Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Chronic myeloid leukemia_Homo sapiens_hsa05220	8/73	0.0002961889829371090569753999233171271043829619884490966796875	0.04774050837134101443748335213967948220670223236083984375	0.000383593124736615891275104406332729922723956406116485595703125	0.0525730302091649004392337474200758151710033416748046875	-1.9376702113005864	15.74262653367615	BCR;SMAD3;MECOM;BAD;CDK4;MYC;AKT1;GRB2
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	10/118	0.0004503821544466133611379909940097832077299244701862335205078125	0.04774050837134101443748335213967948220670223236083984375	0.000495971983105329239198411084288409256259910762310028076171875	0.0525730302091649004392337474200758151710033416748046875	-1.834788866495026	14.13780800881699	KAT2B;KAT2A;HDAC3;BAD;SIN3A;MYC;NOTCH4;AKT1;ATP2A2;HIF1A
MAPK signaling pathway_Homo sapiens_hsa04010	15/255	0.00102114187122874099274139059190247280639596283435821533203125	0.07216069223349770578312956104127806611359119415283203125	0.00085858598159845879969898074790535247302614152431488037109375	0.0606734093662910922706288374683936126530170440673828125	-1.9468685670725285	13.407760244555172	MAP3K2;DUSP5;DUSP3;HSPA1L;FOS;HSPA2;MECOM;TAOK3;MYC;MAPKAPK2;AKT1;GRB2;FLNB;RAC1;MAP3K14
Colorectal cancer_Homo sapiens_hsa05210	6/62	0.00319723331955807342497077883081146865151822566986083984375	0.139106383801475275152625954433460719883441925048828125	0.003699644592969157479156461221236895653419196605682373046875	0.156864930741892283361238469296949915587902069091796875	-1.8869011090574397	10.841132641005759	SMAD3;BAD;MYC;AKT1;FOS;RAC1
Viral carcinogenesis_Homo sapiens_hsa05203	12/205	0.003280810938714039982910808390670354128815233707427978515625	0.139106383801475275152625954433460719883441925048828125	0.00294464148191146170285836802804624312557280063629150390625	0.156065998541307482394557837324100546538829803466796875	-1.8805903879697885	10.756346362695458	KAT2B;VAC14;KAT2A;USP7;HDAC3;BAD;CDK4;TRADD;MAPKAPK2;TBPL1;GRB2;RAC1
Notch signaling pathway_Homo sapiens_hsa04330	5/48	0.005094013012024836521696169455708513851277530193328857421875	0.17998845975821087250778873567469418048858642578125	0.00597625920210489817996357686524788732640445232391357421875	0.2111611584743730840596498410377535037696361541748046875	-1.5445591006881318	8.154792231329958	KAT2B;KAT2A;NOTCH4;HES1;DLL1
Choline metabolism in cancer_Homo sapiens_hsa05231	7/101	0.0094774961341877982101689070759675814770162105560302734375	0.24749314556107882001612097155884839594364166259765625	0.00961427208607803888973375450177627499215304851531982421875	0.258294271178038326031156657336396165192127227783203125	-1.746097839966144	8.134781937114571	SLC22A5;AKT1;GRB2;FOS;RAC1;WASF1;HIF1A
RNA degradation_Homo sapiens_hsa03018	6/77	0.00921593920742885992780646375877040554769337177276611328125	0.24749314556107882001612097155884839594364166259765625	0.00974695362935993660224998080821023904718458652496337890625	0.258294271178038326031156657336396165192127227783203125	-1.6782529187462076	7.865670639354002	BTG3;DDX6;CNOT1;XRN2;TOB2;HSPD1
Acute myeloid leukemia_Homo sapiens_hsa05221	5/57	0.0105067844813665524361656622431837604381144046783447265625	0.24749314556107882001612097155884839594364166259765625	0.011509350679108083792545613732727360911667346954345703125	0.271109149330101495412037593268905766308307647705078125	-1.7118409848756564	7.798692330422227	BAD;MYC;PIM1;AKT1;GRB2
mTOR signaling pathway_Homo sapiens_hsa04150	5/60	0.0129516752775954251120094085081291268579661846160888671875	0.269684764347895955527434352916316129267215728759765625	0.0139408542572568745765426712068801862187683582305908203125	0.2797401603025699845517237918102182447910308837890625	-1.6415567472037018	7.135075868618847	STK11;RRAGC;AKT1S1;AKT1;HIF1A
HTLV-I infection_Homo sapiens_hsa05166	12/258	0.018609630963517413693164570531735080294311046600341796875	0.269684764347895955527434352916316129267215728759765625	0.015870356250283414178969820795828127302229404449462890625	0.2797401603025699845517237918102182447910308837890625	-1.668219499717545	6.646313335840526	KAT2B;VAC14;KAT2A;RANBP3;SMAD3;CDK4;MYC;TBPL1;AKT1;VDAC2;FOS;MAP3K14
ErbB signaling pathway_Homo sapiens_hsa04012	6/87	0.01618601751636304653114706297856173478066921234130859375	0.269684764347895955527434352916316129267215728759765625	0.0164649461460034778059746685130448895506560802459716796875	0.2797401603025699845517237918102182447910308837890625	-1.6028683899160252	6.609600155391623	BAD;MYC;AKT1;ABL2;GRB2;NRG2
