Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Circadian rhythm_Homo sapiens_hsa04710	4/30	0.0054356345421132275241848930136256967671215534210205078125	0.94031361763325083114040126019972376525402069091796875	0.0042434878284719097785160357716449652798473834991455078125	0.84082613303564845974591435151523910462856292724609375	-1.9727237660196422	10.28731849574442	PRKAB1;CLOCK;NPAS2;ARNTL
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	4/48	0.0275963476704346281909163707268817233853042125701904296875	0.94031361763325083114040126019972376525402069091796875	0.0188746732065555311574911456773406825959682464599609375	0.84082613303564845974591435151523910462856292724609375	-1.8113123100151194	6.502741328130584	GALE;GFPT1;FUK;GNE
Sphingolipid signaling pathway_Homo sapiens_hsa04071	6/120	0.0687835416171030111787132454992388375103473663330078125	0.94031361763325083114040126019972376525402069091796875	0.037907772897783964527462785554234869778156280517578125	0.84082613303564845974591435151523910462856292724609375	-1.7235798958733	4.613662779627752	CERS3;PLCB3;PPP2R1B;S1PR1;AKT1;CTSD
Central carbon metabolism in cancer_Homo sapiens_hsa05230	4/67	0.07677631276504741364430373096183757297694683074951171875	0.94031361763325083114040126019972376525402069091796875	0.051024781044250851202992436128624831326305866241455078125	0.84082613303564845974591435151523910462856292724609375	-1.7867603190246892	4.586362009315779	PKM;AKT1;SLC1A5;FGFR2
Dopaminergic synapse_Homo sapiens_hsa04728	6/129	0.09007075476144775494358185596865951083600521087646484375	0.94031361763325083114040126019972376525402069091796875	0.050199019860757844446741415822543785907328128814697265625	0.84082613303564845974591435151523910462856292724609375	-1.7610791747402652	4.2391989121632525	PLCB3;PPP2R1B;AKT1;COMT;CLOCK;ARNTL
Adipocytokine signaling pathway_Homo sapiens_hsa04920	4/70	0.0869901886679837754723365605968865565955638885498046875	0.94031361763325083114040126019972376525402069091796875	0.057800938276976764063075364674659795127809047698974609375	0.84082613303564845974591435151523910462856292724609375	-1.690569119202447	4.128302065938625	IKBKB;CPT1A;AKT1;PRKAB1
Glucagon signaling pathway_Homo sapiens_hsa04922	5/101	0.09530175149663934475174897897886694408953189849853515625	0.94031361763325083114040126019972376525402069091796875	0.057878300988233814805550281334944884292781352996826171875	0.84082613303564845974591435151523910462856292724609375	-1.7483485821587246	4.10985540738654	CPT1A;PLCB3;PKM;AKT1;PRKAB1
FoxO signaling pathway_Homo sapiens_hsa04068	6/133	0.1005592968956089128251818465287215076386928558349609375	0.94031361763325083114040126019972376525402069091796875	0.056365635797699799314219859525110223330557346343994140625	0.84082613303564845974591435151523910462856292724609375	-1.6229423691409464	3.7279111293070057	IKBKB;PLK1;S1PR1;AKT1;FBXO32;PRKAB1
Adherens junction_Homo sapiens_hsa04520	4/74	0.10157088005432736432798179748715483583509922027587890625	0.94031361763325083114040126019972376525402069091796875	0.06754835863667747741789781912302714772522449493408203125	0.84082613303564845974591435151523910462856292724609375	-1.5682103130286216	3.586494474498291	LMO7;CTNNA3;ACP1;ACTG1
Pyrimidine metabolism_Homo sapiens_hsa00240	5/105	0.10782708043022408428424085968799772672355175018310546875	0.94031361763325083114040126019972376525402069091796875	0.06576111254168233444250546426701475866138935089111328125	0.84082613303564845974591435151523910462856292724609375	-1.4891397919853226	3.316651520733663	TXNRD3;POLR2A;POLR1A;DPYD;DHODH
Fatty acid metabolism_Homo sapiens_hsa01212	3/48	0.10736866893582990012401268131725373677909374237060546875	0.94031361763325083114040126019972376525402069091796875	0.07882009547357159140457127932677394710481166839599609375	0.84082613303564845974591435151523910462856292724609375	-1.405460479460776	3.1362665958158864	CPT1A;MECR;PPT2
Insulin resistance_Homo sapiens_hsa04931	5/109	0.12111249830152236162117418416528380475938320159912109375	0.94031361763325083114040126019972376525402069091796875	0.074216750865272296255881201432202942669391632080078125	0.84082613303564845974591435151523910462856292724609375	-1.4638882280802177	3.090319911077415	IKBKB;CPT1A;GFPT1;AKT1;PRKAB1
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	6/137	0.11166185038908539584046053505517193116247653961181640625	0.94031361763325083114040126019972376525402069091796875	0.06297125885273956169552178607773385010659694671630859375	0.84082613303564845974591435151523910462856292724609375	-1.3596418115154931	2.9807157784242735	UBE2F;DET1;CDC27;UBE2G2;RHOBTB2;UBE2J1
Tight junction_Homo sapiens_hsa04530	6/139	0.11743797123841447083147926377932890318334102630615234375	0.94031361763325083114040126019972376525402069091796875	0.06643923932156904632595484372359351254999637603759765625	0.84082613303564845974591435151523910462856292724609375	-1.3876249638453173	2.972077575621004	PPP2R1B;AKT1;CTNNA3;SHROOM1;ACTG1;CRB3
Parkinson's disease_Homo sapiens_hsa05012	6/142	0.1263761536120248940573418394706095568835735321044921875	0.94031361763325083114040126019972376525402069091796875	0.07184770521896206851852895169940893538296222686767578125	0.84082613303564845974591435151523910462856292724609375	-1.385462857935031	2.8658194935371584	NDUFB8;NDUFS7;ADORA2A;ATP5A1;UBE2G2;UBE2J1
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	2/22	0.09656132930020681903737767015627468936145305633544921875	0.94031361763325083114040126019972376525402069091796875	0.08035175212771940300715556304567144252359867095947265625	0.84082613303564845974591435151523910462856292724609375	-1.0883078213936672	2.544003262248587	MVK;FNTB
HTLV-I infection_Homo sapiens_hsa05166	9/258	0.168055952045164713748448548358283005654811859130859375	0.94031361763325083114040126019972376525402069091796875	0.0807479233894888570599590593701577745378017425537109375	0.84082613303564845974591435151523910462856292724609375	-1.4184198397204346	2.5296926461603624	ATF1;STAT5A;IKBKB;KAT2A;FZD7;MYB;CDC27;AKT1;NFKB2
