Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	12/142	0.004546869064482658186199248717684895382262766361236572265625	0.50135718729382172664799099948140792548656463623046875	0.0037871999012942876745857478937296036747284233570098876953125	0.474910238264781348060949994760449044406414031982421875	-1.828800790509056	9.863301296840755	APC2;DVL1;SMARCAD1;INHBB;NANOG;FGFR4;BMI1;FGF2;LEFTY2;JAK3;PIK3R5;JAK1
TNF signaling pathway_Homo sapiens_hsa04668	10/110	0.005553216770151518655307398830700549297034740447998046875	0.50135718729382172664799099948140792548656463623046875	0.004989016168321191817269788515432082931511104106903076171875	0.474910238264781348060949994760449044406414031982421875	-1.8877233289727289	9.803660657455708	EDN1;CREB1;CSF1;BCL3;CCL2;MAP3K8;TRAF2;IKBKG;ICAM1;PIK3R5
Pancreatic cancer_Homo sapiens_hsa05212	7/66	0.008497579445657994778873245422801119275391101837158203125	0.50135718729382172664799099948140792548656463623046875	0.00855149025522316912073517158887625555507838726043701171875	0.50453792505816696944975774385966360569000244140625	-1.8999684805340533	9.059000177574006	RB1;TGFB3;TGFA;E2F3;IKBKG;PIK3R5;JAK1
Osteoclast differentiation_Homo sapiens_hsa04380	11/132	0.007144194626613964253791788650005400995723903179168701171875	0.50135718729382172664799099948140792548656463623046875	0.006036994554213322324021095965917993453331291675567626953125	0.474910238264781348060949994760449044406414031982421875	-1.8123864653171184	8.955826509698536	CYLD;CREB1;CSF1;CAMK4;TRAF2;NFATC1;IKBKG;SQSTM1;RELB;PIK3R5;JAK1
Epstein-Barr virus infection_Homo sapiens_hsa05169	13/202	0.02744564880457091293752824867624440230429172515869140625	0.71968590198652615530505727292620576918125152587890625	0.0204338423448242635649396703456659452058374881744384765625	0.6175078896659922378375995322130620479583740234375	-1.750434825433482	6.29377180046018	RB1;HDAC5;DDX58;TRAF2;HSPA2;ICAM1;RELB;PIK3R5;FGR;CDK1;IKBKG;JAK3;JAK1
Circadian rhythm_Homo sapiens_hsa04710	4/30	0.0203556495087234175234147670607853797264397144317626953125	0.69396660836529633353819690455566160380840301513671875	0.0224052130950102325324113650140134268440306186676025390625	0.6175078896659922378375995322130620479583740234375	-1.5793339187892343	6.150552941279414	CREB1;CSNK1E;BTRC;ARNTL
MAPK signaling pathway_Homo sapiens_hsa04010	15/255	0.03764355539519355364763697480157134123146533966064453125	0.80661074817602063102839338171179406344890594482421875	0.026413138600412632006619872981900698505342006683349609375	0.6175078896659922378375995322130620479583740234375	-1.743190574236827	5.716956495407364	DUSP3;TGFB3;NFATC1;TRAF2;HSPA2;FGF2;MAPK8IP1;RELB;CACNB1;NR4A1;RRAS;MAPKAPK5;MAP3K8;IKBKG;FGFR4
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	5/48	0.0265050777594824371607984403453883714973926544189453125	0.71968590198652615530505727292620576918125152587890625	0.02661310506062915248737255069499951787292957305908203125	0.6175078896659922378375995322130620479583740234375	-1.5272868874797216	5.544691259584367	CHIT1;MPI;UAP1;NANS;FUK
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	4/30	0.0203556495087234175234147670607853797264397144317626953125	0.69396660836529633353819690455566160380840301513671875	0.0224052130950102325324113650140134268440306186676025390625	0.6175078896659922378375995322130620479583740234375	-1.3949441461661547	5.432466002946475	IDH3G;IDH2;OGDH;DLAT
HTLV-I infection_Homo sapiens_hsa05166	15/258	0.041014105839458671332042882795576588250696659088134765625	0.80661074817602063102839338171179406344890594482421875	0.0287821473996860803523656358038351754657924175262451171875	0.6175078896659922378375995322130620479583740234375	-1.668219499717545	5.328024876748309	RB1;APC2;TGFB3;NFATC1;ICAM1;RELB;PIK3R5;ZFP36;CREB1;RRAS;DVL1;E2F3;IKBKG;JAK3;JAK1
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	6/70	0.036906625044450643013949076021162909455597400665283203125	0.80661074817602063102839338171179406344890594482421875	0.03439478536891348026127701587029150687158107757568359375	0.67643077892196512568290245326352305710315704345703125	-1.428406289962467	4.712832581229403	CYLD;DDX58;TRAF2;ISG15;IKBKG;TANK
Viral carcinogenesis_Homo sapiens_hsa05203	12/205	0.060328895370948439069724855698950705118477344512939453125	0.98370742485854700820624429979943670332431793212890625	0.04570627804270566141298104412271641194820404052734375	0.77047725843418113367278010628069750964641571044921875	-1.6516467094179128	4.637731627176506	RB1;HDAC5;CREB1;HDAC11;PXN;CDK1;PMAIP1;TRAF2;IKBKG;JAK3;JAK1;PIK3R5
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	7/101	0.06641795242355007233836516888914047740399837493896484375	0.98370742485854700820624429979943670332431793212890625	0.0577360594895854617458752500169794075191020965576171875	0.89459107956148020690534394816495478153228759765625	-1.6616824346354058	4.506130305293928	EDN1;TGFB3;PRKCD;CCL2;NFATC1;ICAM1;PIK3R5
Biosynthesis of amino acids_Homo sapiens_hsa01230	6/74	0.046438574779041404128054892908039619214832782745361328125	0.84303874214259788555381192054483108222484588623046875	0.042608590333019287499372040883827139623463153839111328125	0.77047725843418113367278010628069750964641571044921875	-1.3851554266256916	4.251907466234825	IDH3G;CBS;IDH2;GPT;ASL;GAPDH
Hepatitis B_Homo sapiens_hsa05161	9/146	0.074214909332567968736071861712844111025333404541015625	0.98370742485854700820624429979943670332431793212890625	0.060650242682134251903658395121965440921485424041748046875	0.89459107956148020690534394816495478153228759765625	-1.5285418831951227	3.9754167724082543	RB1;CREB1;TGFB3;DDX58;E2F3;NFATC1;IKBKG;PIK3R5;JAK1
Glioma_Homo sapiens_hsa05214	5/65	0.07919678420471353008647241722428589127957820892333984375	0.98370742485854700820624429979943670332431793212890625	0.0729998527338694136457064587375498376786708831787109375	0.92319314107241534639314295418444089591503143310546875	-1.4370978248856303	3.6442208091326367	RB1;TGFA;E2F3;CALM2;PIK3R5
2-Oxocarboxylic acid metabolism_Homo sapiens_hsa01210	3/17	0.0205837553328689602805123826101407757960259914398193359375	0.69396660836529633353819690455566160380840301513671875	0.024734039449367160867776505028814426623284816741943359375	0.6175078896659922378375995322130620479583740234375	-0.891919898213609	3.463550701083183	IDH3G;IDH2;GPT
Peroxisome_Homo sapiens_hsa04146	6/83	0.07302122569436271526388537722596083767712116241455078125	0.98370742485854700820624429979943670332431793212890625	0.06528830038983900185822761841336614452302455902099609375	0.906355228941294388533833625842817127704620361328125	-1.2615123740639491	3.301384338286798	NUDT7;IDH2;ACSL5;PXMP4;DHRS4;SOD1
Prostate cancer_Homo sapiens_hsa05215	6/89	0.094711539682891920932661378174088895320892333984375	0.99378656079669080991578766770544461905956268310546875	0.08369244382067310417117056431379751302301883697509765625	0.92319314107241534639314295418444089591503143310546875	-1.3465175182960512	3.1736333031371653	RB1;CREB1;TGFA;E2F3;IKBKG;PIK3R5
Hippo signaling pathway_Homo sapiens_hsa04390	9/153	0.09282087558933550808237811224898905493319034576416015625	0.99378656079669080991578766770544461905956268310546875	0.07556268310816023625609005875958246178925037384033203125	0.92319314107241534639314295418444089591503143310546875	-1.2794361493272588	3.041326831131203	APC2;TGFB3;DVL1;CSNK1E;BTRC;SMAD7;BBC3;TEAD3;LLGL2
Carbon metabolism_Homo sapiens_hsa01200	7/113	0.10515959088103989105267288550749071873724460601806640625	0.99378656079669080991578766770544461905956268310546875	0.08997221290112522584792031921097077429294586181640625	0.92319314107241534639314295418444089591503143310546875	-1.143039011925186	2.5744395274488263	ACSS2;IDH3G;IDH2;OGDH;GPT;DLAT;GAPDH
Chronic myeloid leukemia_Homo sapiens_hsa05220	5/73	0.1153529408682519574735891865202574990689754486083984375	0.99378656079669080991578766770544461905956268310546875	0.104265602886293662354688649429590441286563873291015625	0.95867580336633240190025162519305013120174407958984375	-1.1517243220791573	2.48744673922472	RB1;TGFB3;E2F3;IKBKG;PIK3R5
Malaria_Homo sapiens_hsa05144	4/49	0.09391106389511272301007238638703711330890655517578125	0.99378656079669080991578766770544461905956268310546875	0.0889527370668772021655712478604982607066631317138671875	0.92319314107241534639314295418444089591503143310546875	-1.0315139695884894	2.439950439923818	TGFB3;CCL2;THBS3;ICAM1
Estrogen signaling pathway_Homo sapiens_hsa04915	6/99	0.137580216317190140440374079844332300126552581787109375	0.99378656079669080991578766770544461905956268310546875	0.12006770390111608237670992593848495744168758392333984375	0.95867580336633240190025162519305013120174407958984375	-1.1635373103303592	2.3079322684063235	CREB1;PRKCD;HSPA2;CALM2;FKBP5;PIK3R5
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	9/169	0.144584668618349343471862766818958334624767303466796875	0.99378656079669080991578766770544461905956268310546875	0.11743874612550235514429886052312212996184825897216796875	0.95867580336633240190025162519305013120174407958984375	-1.12198708240111	2.1697995999416047	SSR4;UBE2E3;TRAF2;UBE4B;STUB1;HSPA2;MAN1B1;UGGT1;ERO1L
Lysine degradation_Homo sapiens_hsa00310	4/52	0.11075664397501398805712113926347228698432445526123046875	0.99378656079669080991578766770544461905956268310546875	0.1038029976021206113312445040719467215240001678466796875	0.95867580336633240190025162519305013120174407958984375	-0.9235848128249512	2.032274384032405	KMT2E;SETD2;SETD1B;OGDH
Non-small cell lung cancer_Homo sapiens_hsa05223	4/56	0.1351233063922157862091211200095131061971187591552734375	0.99378656079669080991578766770544461905956268310546875	0.1252283788691577470775229130595107562839984893798828125	0.95867580336633240190025162519305013120174407958984375	-0.9977614407160837	1.997086909147185	RB1;TGFA;E2F3;PIK3R5
Legionellosis_Homo sapiens_hsa05134	4/55	0.1288386853558025901822503556104493327438831329345703125	0.99378656079669080991578766770544461905956268310546875	0.1197058223952674194112688610402983613312244415283203125	0.95867580336633240190025162519305013120174407958984375	-0.8673551031258828	1.7773790104688334	EEF1A1;CLK1;BCL2L13;HSPA2
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	6/106	0.17210818021644669340020072922925464808940887451171875	0.99378656079669080991578766770544461905956268310546875	0.149496411569920717443693547465954907238483428955078125	0.95867580336633240190025162519305013120174407958984375	-1.0052166244520098	1.7688113846842124	TLR1;MAP3K8;IRF5;TLR6;IKBKG;PIK3R5
Small cell lung cancer_Homo sapiens_hsa05222	5/86	0.1874279181525166648736302477118442766368389129638671875	0.99378656079669080991578766770544461905956268310546875	0.1666201062694858681112464182660914957523345947265625	0.95867580336633240190025162519305013120174407958984375	-0.825481441652819	1.3821538859054507	RB1;E2F3;TRAF2;IKBKG;PIK3R5
Rheumatoid arthritis_Homo sapiens_hsa05323	5/90	0.2122936883706752209111101592498016543686389923095703125	0.99378656079669080991578766770544461905956268310546875	0.188258125194551373393636595210409723222255706787109375	0.95867580336633240190025162519305013120174407958984375	-0.7152127719426082	1.108425768632408	CSF1;TGFB3;TNFSF13;CCL2;ICAM1
