Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Bladder cancer_Homo sapiens_hsa05219	7/41	0.00431832316622847607601176633806971949525177478790283203125	0.97274860776782146043473176177940331399440765380859375	0.00396623500852688604112472603446803987026214599609375	0.69658563750691115945556930455495603382587432861328125	-1.9195102212510624	10.451518376958386	RB1;RASSF1;RPS6KA5;DAPK1;SRC;DAPK2;HRAS
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	8/64	0.0156874191095372032822563568288387614302337169647216796875	0.97274860776782146043473176177940331399440765380859375	0.0112791744919980944927839772162769804708659648895263671875	0.69658563750691115945556930455495603382587432861328125	-1.9420705279450206	8.069101492556124	AKT1S1;IRS2;ADCY8;HRAS;HSPA1B;SOD1;FOXA2;ATG5
Adherens junction_Homo sapiens_hsa04520	9/74	0.012716699952262509876188545376862748526036739349365234375	0.97274860776782146043473176177940331399440765380859375	0.00863585460596252678378004219439389999024569988250732421875	0.69658563750691115945556930455495603382587432861328125	-1.8372210489867478	8.019174439802564	SMAD3;SRC;ACTN1;PARD3;FYN;WASL;CTNNA2;BAIAP2;RHOA
Circadian rhythm_Homo sapiens_hsa04710	5/30	0.0168221529781555183269414754931858624331653118133544921875	0.97274860776782146043473176177940331399440765380859375	0.0156321809528458428861785733943179366178810596466064453125	0.69658563750691115945556930455495603382587432861328125	-1.7366898576813974	7.094479893445646	PER1;BHLHE41;NR1D1;CSNK1E;BTRC
Chronic myeloid leukemia_Homo sapiens_hsa05220	8/73	0.032046792023161969897859790989969042129814624786376953125	0.99459269695300644986701854577404446899890899658203125	0.0218245243379265770056196771520262700505554676055908203125	0.69658563750691115945556930455495603382587432861328125	-1.7411837389952292	5.990643979599703	RB1;SHC4;BCR;SMAD3;PTPN11;SOS2;HRAS;CRKL
Proteasome_Homo sapiens_hsa03050	6/44	0.023367445764796934692952845580293796956539154052734375	0.97274860776782146043473176177940331399440765380859375	0.01895700348277477853553563136301818303763866424560546875	0.69658563750691115945556930455495603382587432861328125	-1.532316636773071	5.75601173163047	PSMA5;PSMA3;PSMC3;PSMC4;POMP;PSME2
Neurotrophin signaling pathway_Homo sapiens_hsa04722	11/120	0.042805632153325480493410992721692309714853763580322265625	0.99459269695300644986701854577404446899890899658203125	0.024153982132993100095941230165408342145383358001708984375	0.69658563750691115945556930455495603382587432861328125	-1.6726094211594922	5.270535449204011	SHC4;CAMK2D;RPS6KA5;IRAK1;PSEN2;PTPN11;MAP2K7;SOS2;HRAS;RHOA;CRKL
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	17/214	0.047280742636064666817308221880011842586100101470947265625	0.99459269695300644986701854577404446899890899658203125	0.0199844339684484388619534200870475615374743938446044921875	0.69658563750691115945556930455495603382587432861328125	-1.6983221620195887	5.182688560023462	ARHGEF12;SRC;ACTN1;BRK1;WASL;BAIAP2;RHOA;ARHGAP35;MYL12B;CRKL;APC;CFL1;CD14;ARHGEF7;FGF13;HRAS;SOS2
Notch signaling pathway_Homo sapiens_hsa04330	6/48	0.03426950014029982172214516822350560687482357025146484375	0.99459269695300644986701854577404446899890899658203125	0.0267570510408094985876914506661705672740936279296875	0.69658563750691115945556930455495603382587432861328125	-1.454030684508492	4.90517182952774	PSENEN;LFNG;JAG1;NOTCH1;PSEN2;CIR1
Lysine degradation_Homo sapiens_hsa00310	6/52	0.048007282316321175930085018990212120115756988525390625	0.99459269695300644986701854577404446899890899658203125	0.03643676024003326963107696201404905878007411956787109375	0.69658563750691115945556930455495603382587432861328125	-1.501858265971965	4.560246290550742	NSD1;KMT2C;DOT1L;PLOD3;EHMT1;PLOD2
