Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MAPK signaling pathway_Homo sapiens_hsa04010	77/255	0.000242896161643319538452068240275139032746665179729461669921875	0.06898250990670275195615346319755190052092075347900390625	0.0000725461497220134259207580118555824810755439102649688720703125	0.0206031065210518123109739718756827642209827899932861328125	-1.9977880652814541	16.627343389038703	ARRB2;FGF2;IKBKB;RPS6KA4;DUSP10;RPS6KA5;MECOM;FGF9;AKT2;RPS6KA1;RAC3;MAP3K8;RAC1;HRAS;MAP3K4;MAP3K5;DUSP4;MAP2K3;MAP4K2;MAP2K4;DAXX;DUSP2;MAP2K1;MAP2K2;CHUK;DUSP1;PRKCA;MAPK8IP2;NGF;MAPK8IP3;DUSP6;TGFBR2;CACNB1;CACNB4;TRAF6;MAPKAPK2;MAPT;SOS1;CRK;PDGFB;CACNA1B;CACNA1A;CACNA1F;RASGRP2;STK4;MAPK9;PAK1;MAPK8;RRAS;GNA12;FLNA;MAPK1;FLNB;CACNG2;CACNG3;MAP4K4;HSPA8;JUN;TGFB2;HSPA1L;GADD45B;EGF;NFATC3;NFATC1;MAPK14;FGF16;NR4A1;TAOK3;FGF18;NF1;GRB2;TAB2;HSPA1B;FGF11;FGFR2;HSPA1A;FGFR1
TNF signaling pathway_Homo sapiens_hsa04668	36/110	0.0023296112219011416537284286931708265910856425762176513671875	0.288873597626942257843296602004556916654109954833984375	0.001959095141981441468015390228174510411918163299560546875	0.2099511352702792266189391057196189649403095245361328125	-1.8877233289727289	11.443480536202209	ATF6B;CSF1;TRADD;TNFAIP3;PIK3CB;CXCL3;CXCL2;CX3CL1;CXCL5;RPS6KA4;IKBKB;SOCS3;MAPK9;BAG4;MAPK8;RPS6KA5;AKT2;MAPK1;MAP3K8;FADD;JUNB;MAP3K5;MAP2K3;MAP2K4;MAP2K1;JUN;MLKL;CHUK;DAB2IP;MAPK14;MMP9;MMP14;TRAF3;TRAF5;LTA;TAB2
N-Glycan biosynthesis_Homo sapiens_hsa00510	19/49	0.003051481665073334063886800748832683893851935863494873046875	0.288873597626942257843296602004556916654109954833984375	0.00529796708770723621950704540495280525647103786468505859375	0.214946093272693594666833405426586978137493133544921875	-1.6954314065935472	9.820155746783696	DPAGT1;B4GALT3;B4GALT1;ALG9;ALG6;ALG2;ALG3;MOGS;DOLK;ALG11;ALG1;DDOST;DPM1;DPM2;DAD1;DOLPP1;MGAT4B;MGAT3;ALG10B
Alcoholism_Homo sapiens_hsa05034	51/179	0.0087924790300860332370458394279921776615083217620849609375	0.41022568902920142352996890622307546436786651611328125	0.0032060910950894847860903613678829060518182814121246337890625	0.2099511352702792266189391057196189649403095245361328125	-1.777634135315575	8.415068601069429	HIST2H2AB;HIST2H2AC;PPP1CB;H2AFJ;HIST1H2AE;HIST1H2AD;HIST1H2AG;SLC18A1;HRAS;HIST1H2AC;SLC18A2;HIST1H2AB;MAP2K1;HIST1H2AI;HIST1H2AH;HIST1H2AK;H2AFX;HIST2H2BE;CRH;HIST1H2BF;HIST1H2BG;SOS1;HIST1H2BB;HIST1H2BC;SHC3;HDAC3;ATF6B;HIST1H2BJ;HIST1H2BK;GNAI3;CAMKK1;CAMKK2;HDAC7;GNG3;GNG5;MAPK1;HIST1H3C;HIST1H4K;H3F3B;GRIN2D;GRIN1;HIST3H2A;H2AFY2;GNB2;GNAS;FOSB;HIST1H4I;GRB2;GNB5;CALM1;HIST1H4D
Ribosome_Homo sapiens_hsa03010	41/137	0.007332071412903880258671307501572300679981708526611328125	0.41022568902920142352996890622307546436786651611328125	0.0038544337995885004366503068240490392781794071197509765625	0.2099511352702792266189391057196189649403095245361328125	-1.6734171822858337	8.225677489283001	MRPS16;RPL32;RPL12;MRPL18;MRPS11;RPL11;MRPL19;MRPL16;RPS27L;MRPL13;MRPL32;MRPL11;MRPL4;RPS15;MRPL3;MRPL2;RPS18;RPL14;RPL36;RPLP2;RPL15;RPS2;RPL37;RPL18;RPS11;RPL19;RPS12;RPL23;RPS5;RPS6;RPL13A;RPL23A;MRPS7;MRPS5;RPS26;RPS25;RPL27A;RPL37A;FAU;UBA52;RPS24
Spliceosome_Homo sapiens_hsa03040	40/134	0.00838629846356982698585280644465456134639680385589599609375	0.41022568902920142352996890622307546436786651611328125	0.00443558736486505435225868865245502092875540256500244140625	0.2099511352702792266189391057196189649403095245361328125	-1.6980203719263425	8.118500357570253	ISY1;DDX5;SF3B3;DHX8;RBM8A;SRSF1;U2AF1;SNRPD2;PUF60;PCBP1;TRA2B;MAGOH;DHX16;CTNNBL1;HSPA8;PPIL1;PRPF38B;SF3A2;HSPA1L;CCDC12;NCBP2;THOC1;PRPF40B;CRNKL1;CDC40;CHERP;LSM2;XAB2;SNRNP40;PRPF6;DDX39B;PRPF3;PPIH;SNRPE;HNRNPC;SNRNP200;RBMX;HSPA1B;HSPA1A;RBM22
Chronic myeloid leukemia_Homo sapiens_hsa05220	24/73	0.0108503509397915622047836592400926747359335422515869140625	0.41022568902920142352996890622307546436786651611328125	0.009863409115219601286383976912475191056728363037109375	0.26063183902367004218803003823268227279186248779296875	-1.7411837389952292	7.87634537924719	STAT5A;TGFB2;MAP2K1;SHC3;SMAD3;MAP2K2;CHUK;CBLC;GAB2;PIK3CB;RUNX1;TGFBR2;BCR;IKBKB;MECOM;CCND1;AKT2;ABL1;MAPK1;GRB2;SOS1;CRK;HRAS;BCL2L1
Colorectal cancer_Homo sapiens_hsa05210	21/62	0.0115556532120901812865643165650908485986292362213134765625	0.41022568902920142352996890622307546436786651611328125	0.01175252443887355412177608826596042490564286708831787109375	0.26063183902367004218803003823268227279186248779296875	-1.7293013274157232	7.7136877903583025	APC2;TCF7L2;TGFB2;JUN;MAP2K1;SMAD3;LEF1;AXIN2;PIK3CB;MLH1;RHOA;TGFBR2;MSH6;MAPK9;MAPK8;CCND1;AKT2;RAC3;MAPK1;RAC1;RALGDS
ErbB signaling pathway_Homo sapiens_hsa04012	27/87	0.016168067991065272759332316354630165733397006988525390625	0.5101923677180597582747623164323158562183380126953125	0.01175805892567339562548855980139705934561789035797119140625	0.26063183902367004218803003823268227279186248779296875	-1.6622641803019222	6.856369478576289	CAMK2B;SHC3;TGFA;CBLC;PIK3CB;MAPK9;PAK1;MAPK8;AKT2;ABL1;MAPK1;PAK3;HRAS;NCK1;STAT5A;MAP2K4;JUN;MAP2K1;MAP2K2;EGF;PRKCA;PTK2;BTC;GRB2;SOS1;CRK;HBEGF
Acute myeloid leukemia_Homo sapiens_hsa05221	19/57	0.0188532848390757512557769359773374162614345550537109375	0.52052700255206041379807402336155064404010772705078125	0.0181890278757966573908166907358463504351675510406494140625	0.322855244795390683432145806364133022725582122802734375	-1.6706149068304852	6.63412559438781	STAT5A;TCF7L2;CEBPA;MAP2K1;MAP2K2;CHUK;LEF1;PIK3CB;PML;RUNX1;IKBKB;CCND1;AKT2;PIM1;MAPK1;GRB2;SOS1;HRAS;PPARD
FoxO signaling pathway_Homo sapiens_hsa04068	38/133	0.0204560008804883404487373610436407034285366535186767578125	0.52052700255206041379807402336155064404010772705078125	0.00969835809870905028728937935511567047797143459320068359375	0.26063183902367004218803003823268227279186248779296875	-1.5721139542832354	6.114704207569111	SETD7;IRS4;FBXO25;PRKAG2;IRS2;FOXO4;SLC2A4;PIK3CB;FOXO3;STK4;FOXO1;IKBKB;MAPK9;STK11;MAPK8;CCND1;AKT2;MAPK1;S1PR4;HRAS;TGFB2;MAP2K1;SMAD3;MAP2K2;HOMER1;GADD45B;CHUK;EGF;HOMER2;CSNK1E;MAPK14;KLF2;TGFBR2;RBL2;CDK2;GRB2;SOS1;SGK2
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	57/214	0.023826940257664734612585988315913709811866283416748046875	0.52052700255206041379807402336155064404010772705078125	0.006351296351109896563824630533190429559908807277679443359375	0.225471020464401317173752659073215909302234649658203125	-1.624124969951282	6.069254958278784	NCKAP1;ITGB5;ARPC1B;CHRM4;PIK3CB;FGF2;ACTB;ARHGAP35;MYLK3;PPP1CB;FGF9;CFL2;RAC3;PIP4K2C;RAC1;HRAS;APC2;MAP2K1;ARHGEF12;MAP2K2;ACTN3;ITGA4;ACTN2;RHOA;TIAM1;ARHGEF1;ITGA6;ARHGEF7;SOS1;CRK;ARHGEF6;PDGFB;IQGAP1;MYL12B;GNA13;PAK1;RRAS;PDGFC;GNA12;PIP5K1A;MYH14;MAPK1;PAK3;WASF1;WASF2;GSN;EGF;FN1;BAIAP2;PTK2;SSH1;FGF16;FGF18;FGF11;FGFR2;BCAR1;FGFR1
Pathways in cancer_Homo sapiens_hsa05200	98/397	0.03361094151241016125819527360363281331956386566162109375	0.53030596608469371400218506096280179917812347412109375	0.003211092665752218570929255037071925471536815166473388671875	0.2099511352702792266189391057196189649403095245361328125	-1.6559912927497376	5.61861885976138	CBLC;FZD10;FGF2;FGF9;CCND1;AKT2;MAP2K1;MAP2K2;TPM3;PRKCA;RUNX1;BCR;MSH6;CCNE2;COL4A6;COL4A5;CSF1R;EPAS1;PDGFB;TGFA;RASGRP2;STK4;FOXO1;DVL1;ABL1;DVL3;FADD;RALGDS;FZD1;STAT5A;JUN;TGFB2;SMAD3;FZD4;FN1;FZD8;PTK2;FGF16;CXCL12;GNB2;CDK2;FGF18;GNAS;GRB2;GNB5;FGF11;FGFR2;BCL2L1;FGFR1;RET;HSP90AB1;PIK3CB;LAMC1;IKBKB;MECOM;SUFU;RAC3;RAC1;HRAS;NKX3-1;APC2;ARHGEF12;CHUK;PLEKHG5;AXIN2;MMP9;RHOA;TGFBR2;PLCB4;TRAF4;TRAF3;TRAF6;TRAF5;ITGA6;ARHGEF1;SOS1;CRK;PPARD;CEBPA;LAMA5;RALB;LEF1;PTGER3;GNAI3;GNA13;MAPK9;GNG3;MAPK8;GNG5;GNA12;MAPK1;RXRG;TCF7L2;EGLN2;EGF;MLH1;PML;CCDC6
