Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.008982538610420053026839326548724784515798091888427734375	0.14372061776672084842942922477959655225276947021484375	0.01008500093581454933044927457785888691432774066925048828125	0.1613600149730327892871883932457421906292438507080078125	-1.6450257774768577	7.7521391339130155	UBE2C;CDC26
Renal cell carcinoma_Homo sapiens_hsa05211	1/66	0.06709264937844990062121297569319722242653369903564453125	0.228292934376277789620957037186599336564540863037109375	0.07390682514970846328505871269953786395490169525146484375	0.248797313116727425441609966583200730383396148681640625	-1.8836042912948472	5.088897526496598	RAPGEF1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	1/98	0.098057646281215660177821291654254309833049774169921875	0.228292934376277789620957037186599336564540863037109375	0.10748623373371103684181804283070960082113742828369140625	0.248797313116727425441609966583200730383396148681640625	-1.8843631212712182	4.375867561380737	CDC26
Neurotrophin signaling pathway_Homo sapiens_hsa04722	1/120	0.11877557150863764234838271249827812425792217254638671875	0.228292934376277789620957037186599336564540863037109375	0.12994946906849091927682593450299464166164398193359375	0.248797313116727425441609966583200730383396148681640625	-1.8053490944481594	3.846331486550272	RAPGEF1
Oocyte meiosis_Homo sapiens_hsa04114	1/123	0.1215653754193224411750406943610869348049163818359375	0.228292934376277789620957037186599336564540863037109375	0.1329739757761739527008870709323673509061336517333984375	0.248797313116727425441609966583200730383396148681640625	-1.77777606703772	3.7463130022661	CDC26
Cell cycle_Homo sapiens_hsa04110	1/124	0.12249343936177455038905037554286536760628223419189453125	0.228292934376277789620957037186599336564540863037109375	0.133980098230409794268780387938022613525390625	0.248797313116727425441609966583200730383396148681640625	-1.6067992434143796	3.3737928471432586	CDC26
Spliceosome_Homo sapiens_hsa03040	1/134	0.13172286393429966100399042261415161192417144775390625	0.228292934376277789620957037186599336564540863037109375	0.143985273592323659297420590519323013722896575927734375	0.248797313116727425441609966583200730383396148681640625	-1.648720946310429	3.342048168266332	PRPF4
Insulin signaling pathway_Homo sapiens_hsa04910	1/139	0.13630283461362335817312896324438042938709259033203125	0.228292934376277789620957037186599336564540863037109375	0.1489498231190679311541913421024219132959842681884765625	0.248797313116727425441609966583200730383396148681640625	-1.6003265588143483	3.1892526210692034	RAPGEF1
Hippo signaling pathway_Homo sapiens_hsa04390	1/153	0.1490046699465439605791772237353143282234668731689453125	0.228292934376277789620957037186599336564540863037109375	0.1627167860076756678022746882561477832496166229248046875	0.248797313116727425441609966583200730383396148681640625	-1.5440376679112748	2.9395043745245895	CRB2
Alzheimer's disease_Homo sapiens_hsa05010	1/168	0.162416286184504710110587666349601931869983673095703125	0.228292934376277789620957037186599336564540863037109375	0.1772504894172177991595873436381225474178791046142578125	0.248797313116727425441609966583200730383396148681640625	-1.616600281180501	2.938320662797626	ATF6
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	1/169	0.1633031991579692865368400589431985281407833099365234375	0.228292934376277789620957037186599336564540863037109375	0.1782115050486925422745798641699366271495819091796875	0.248797313116727425441609966583200730383396148681640625	-1.5755701349205653	2.855164202524271	ATF6
Huntington's disease_Homo sapiens_hsa05016	1/193	0.184322730398881418079071181637118570506572723388671875	0.228292934376277789620957037186599336564540863037109375	0.200983148281635826126745314468280412256717681884765625	0.248797313116727425441609966583200730383396148681640625	-1.6282057971390553	2.7534052363946775	RCOR1
Focal adhesion_Homo sapiens_hsa04510	1/202	0.1920746213501767496456551498340559192001819610595703125	0.228292934376277789620957037186599336564540863037109375	0.2093790467041604930198417378051090054214000701904296875	0.248797313116727425441609966583200730383396148681640625	-1.6202614406159364	2.673222897320223	RAPGEF1
Rap1 signaling pathway_Homo sapiens_hsa04015	1/211	0.19975631757924305897944350363104604184627532958984375	0.228292934376277789620957037186599336564540863037109375	0.2176976489771365042003026246675290167331695556640625	0.248797313116727425441609966583200730383396148681640625	-1.6347041368002966	2.632947771054219	RAPGEF1
HTLV-I infection_Homo sapiens_hsa05166	1/258	0.2387548212572671302300619800007552839815616607666015625	0.2395645745051704633699074520336580462753772735595703125	0.2599071379654152025295843486674129962921142578125	0.260783117095133631924142036950797773897647857666015625	-1.5932796017184119	2.2820832215851854	CDC26
Endocytosis_Homo sapiens_hsa04144	1/259	0.2395645745051704633699074520336580462753772735595703125	0.2395645745051704633699074520336580462753772735595703125	0.260783117095133631924142036950797773897647857666015625	0.260783117095133631924142036950797773897647857666015625	-1.5934183992728121	2.276886980405719	EHD3
