Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FoxO signaling pathway_Homo sapiens_hsa04068	4/133	0.040094165852832354401957815071000368334352970123291015625	0.7913012867485027523883900357759557664394378662109375	0.02418227049085162894126455057630664668977260589599609375	0.707625383756477877028601142228581011295318603515625	-1.8262560285717904	5.874197159110755	GABARAPL1;CDKN1B;EGF;IRS2
Prostate cancer_Homo sapiens_hsa05215	3/89	0.054988343881928691825322630393202416598796844482421875	0.7913012867485027523883900357759557664394378662109375	0.0377087094939815570260321919704438187181949615478515625	0.707625383756477877028601142228581011295318603515625	-1.8350842149798945	5.322907750567705	CDKN1B;EGF;CREB3L2
Base excision repair_Homo sapiens_hsa03410	2/33	0.04022154390115333100208516725615481846034526824951171875	0.7913012867485027523883900357759557664394378662109375	0.032082096240580837420708348872722126543521881103515625	0.707625383756477877028601142228581011295318603515625	-1.6265432137637215	5.226656716897012	MBD4;NEIL2
Prion diseases_Homo sapiens_hsa05020	2/35	0.0447641602440517483163517908906214870512485504150390625	0.7913012867485027523883900357759557664394378662109375	0.035545587148809711097730001938543864525854587554931640625	0.707625383756477877028601142228581011295318603515625	-1.679725915403225	5.217812321200986	C1QA;C1QC
Regulation of autophagy_Homo sapiens_hsa04140	2/39	0.054379564700685369127430845992421382106840610504150390625	0.7913012867485027523883900357759557664394378662109375	0.0428817462489378409262741342899971641600131988525390625	0.707625383756477877028601142228581011295318603515625	-1.7238248131945675	5.019375936921525	GABARAPL1;PIK3C3
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	4/137	0.043903378831347532329498761782815563492476940155029296875	0.7913012867485027523883900357759557664394378662109375	0.0265346925092528607148523178693722002208232879638671875	0.707625383756477877028601142228581011295318603515625	-1.5974617831499636	4.993288525665499	DET1;UBE2O;UBE4A;UBE2J1
Glycerophospholipid metabolism_Homo sapiens_hsa00564	3/95	0.0643229159768330394086888190940953791141510009765625	0.7913012867485027523883900357759557664394378662109375	0.044164459213539154769367911512745195068418979644775390625	0.707625383756477877028601142228581011295318603515625	-1.5624911473095286	4.287224646637197	LPCAT1;LPIN2;PLD3
Non-small cell lung cancer_Homo sapiens_hsa05223	2/56	0.101778698278260026910402302746661007404327392578125	0.7913012867485027523883900357759557664394378662109375	0.07931297667099020121117547432731953449547290802001953125	0.707625383756477877028601142228581011295318603515625	-1.771768599532451	4.048410541383012	EML4;EGF
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	6/341	0.113234936711757161464930732108769007027149200439453125	0.7913012867485027523883900357759557664394378662109375	0.059412568639799830105818756464941543526947498321533203125	0.707625383756477877028601142228581011295318603515625	-1.7818454626357056	3.8813771018747905	CDKN1B;EGF;CREB3L2;THEM4;LAMB1;YWHAZ
Ether lipid metabolism_Homo sapiens_hsa00565	2/45	0.070004495770530861253888588180416263639926910400390625	0.7913012867485027523883900357759557664394378662109375	0.054833338867324603327357834814392845146358013153076171875	0.707625383756477877028601142228581011295318603515625	-1.4578719004493528	3.876766854588459	LPCAT1;PLD3
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	2/56	0.101778698278260026910402302746661007404327392578125	0.7913012867485027523883900357759557664394378662109375	0.07931297667099020121117547432731953449547290802001953125	0.707625383756477877028601142228581011295318603515625	-1.5566239531433672	3.556814824767686	LIPE;IRS2
Staphylococcus aureus infection_Homo sapiens_hsa05150	2/56	0.101778698278260026910402302746661007404327392578125	0.7913012867485027523883900357759557664394378662109375	0.07931297667099020121117547432731953449547290802001953125	0.707625383756477877028601142228581011295318603515625	-1.4657157182996423	3.3490936492501953	C1QA;C1QC
AMPK signaling pathway_Homo sapiens_hsa04152	3/124	0.1183812317393528046327588754138560034334659576416015625	0.7913012867485027523883900357759557664394378662109375	0.0823989627309264227594809426591382361948490142822265625	0.707625383756477877028601142228581011295318603515625	-1.4851514633539515	3.169083150279329	LIPE;CREB3L2;IRS2
