Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
One carbon pool by folate_Homo sapiens_hsa00670	1/20	0.02276114599619079303938207203827914781868457794189453125	0.2179427837138511458991985136890434660017490386962890625	0.026621897654582012127111312338456627912819385528564453125	0.2449988727333627103188717910597915761172771453857421875	-1.8917672520466144	7.15598858904871	MTHFR
DNA replication_Homo sapiens_hsa03030	1/36	0.040612417487571043916982915789049002341926097869873046875	0.2179427837138511458991985136890434660017490386962890625	0.046480443178079811072933580362587235867977142333984375	0.2449988727333627103188717910597915761172771453857421875	-1.935236309088139	6.199880586781397	DNA2
Malaria_Homo sapiens_hsa05144	1/49	0.054886481845324346096059997535121510736644268035888671875	0.2179427837138511458991985136890434660017490386962890625	0.06234946718016080857704963591459090821444988250732421875	0.2449988727333627103188717910597915761172771453857421875	-1.869899779413677	5.427362032051701	SDC1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	1/56	0.062488143991537771493316455462263547815382480621337890625	0.2179427837138511458991985136890434660017490386962890625	0.07079671375238226482817793794311000965535640716552734375	0.2449988727333627103188717910597915761172771453857421875	-1.8310607000136174	5.0771256246818846	ADRB1
Renin secretion_Homo sapiens_hsa04924	1/64	0.0711041463460626577131051817559637129306793212890625	0.2179427837138511458991985136890434660017490386962890625	0.08036782370182003754077726398463710211217403411865234375	0.2449988727333627103188717910597915761172771453857421875	-1.7464872948734218	4.617030625758463	ADRB1
Adherens junction_Homo sapiens_hsa04520	1/74	0.08176767089902230167819396910999785177409648895263671875	0.2179427837138511458991985136890434660017490386962890625	0.09220842035845726314402526213598321191966533660888671875	0.2449988727333627103188717910597915761172771453857421875	-1.669089339012919	4.179188289315512	WASF2
Shigellosis_Homo sapiens_hsa05131	1/65	0.07217580588522269635642913954143295995891094207763671875	0.2179427837138511458991985136890434660017490386962890625	0.08155802927913853583863357243899372406303882598876953125	0.2449988727333627103188717910597915761172771453857421875	-1.5625503532999367	4.107398592133969	WASF2
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	1/78	0.08600020929619396625742666628866572864353656768798828125	0.2179427837138511458991985136890434660017490386962890625	0.096906584409909013455575177431455813348293304443359375	0.2449988727333627103188717910597915761172771453857421875	-1.573534947284785	3.8605193713003274	WASF2
Salivary secretion_Homo sapiens_hsa04970	1/89	0.09754368400406943084846034253132529556751251220703125	0.2179427837138511458991985136890434660017490386962890625	0.10971529065899067456602011816357844509184360504150390625	0.2449988727333627103188717910597915761172771453857421875	-1.5268353574637317	3.55364052621616	ADRB1
Dilated cardiomyopathy_Homo sapiens_hsa05414	1/90	0.09858614772807579307301040216771070845425128936767578125	0.2179427837138511458991985136890434660017490386962890625	0.11087167143340447006405469210221781395375728607177734375	0.2449988727333627103188717910597915761172771453857421875	-1.533617151377924	3.5531218157225015	ADRB1
ECM-receptor interaction_Homo sapiens_hsa04512	1/82	0.0902140825741336860321695212405757047235965728759765625	0.2179427837138511458991985136890434660017490386962890625	0.10158312289037561837456991042927256785333156585693359375	0.2449988727333627103188717910597915761172771453857421875	-1.4694674056005839	3.5349063218914982	SDC1
Gap junction_Homo sapiens_hsa04540	1/88	0.09650006716352325930596833813979174010455608367919921875	0.2179427837138511458991985136890434660017490386962890625	0.10855757322125168806703499058130546472966670989990234375	0.2449988727333627103188717910597915761172771453857421875	-1.5045977507871788	3.5180678760714716	ADRB1
Salmonella infection_Homo sapiens_hsa05132	1/86	0.09440936928841568709369624912142171524465084075927734375	0.2179427837138511458991985136890434660017490386962890625	0.10623812294870919881173421117637190036475658416748046875	0.2449988727333627103188717910597915761172771453857421875	-1.456938122410241	3.438541458231195	WASF2
Choline metabolism in cancer_Homo sapiens_hsa05231	1/101	0.1099774904373351513964252035293611697852611541748046875	0.219954980874670302792850407058722339570522308349609375	0.12350402559853464190542382539206300862133502960205078125	0.2470080511970692838108476507841260172426700592041015625	-1.5475630644692162	3.4162138427132263	WASF2
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	1/93	0.10170663239979720049444011920058983378112316131591796875	0.2179427837138511458991985136890434660017490386962890625	0.11433280727556925648880081780589534901082515716552734375	0.2449988727333627103188717910597915761172771453857421875	-1.4914864192254842	3.4090349695215245	WASF2
Carbon metabolism_Homo sapiens_hsa01200	1/113	0.12224733706548972234084970978074125014245510101318359375	0.2292137569977932276543697298620827496051788330078125	0.13710260171123389572045425666146911680698394775390625	0.257067378208563568353639539054711349308490753173828125	-1.3241479118341095	2.7829734956562797	MTHFR
Spliceosome_Homo sapiens_hsa03040	1/134	0.143331237657689791742399165741517208516597747802734375	0.2480796365198919828376489249421865679323673248291015625	0.1604494405776093757243216941787977702915668487548828125	0.277421645802910898925830451844376511871814727783203125	-1.4022238182308622	2.7239557546668243	DDX42
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	1/148	0.1571171031292649400423755423616967163980007171630859375	0.2480796365198919828376489249421865679323673248291015625	0.1757003756751769341093449838808737695217132568359375	0.277421645802910898925830451844376511871814727783203125	-1.4095435677581671	2.60873231101903	ADRB1
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	1/167	0.17548743495201579722930773641564883291721343994140625	0.251099271573713866967381136419135145843029022216796875	0.1960040531264835295122139768864144571125507354736328125	0.2799105007953406332177337390021421015262603759765625	-1.4486477939949711	2.5209192673742744	ADRB1
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	1/142	0.1512350609869691775433153679841780103743076324462890625	0.2480796365198919828376489249421865679323673248291015625	0.1691946816236632733509992476683692075312137603759765625	0.277421645802910898925830451844376511871814727783203125	-1.316550564193614	2.4868586354780176	SDC1
Calcium signaling pathway_Homo sapiens_hsa04020	1/180	0.187835276203091205982076417058124206960201263427734375	0.251099271573713866967381136419135145843029022216796875	0.20963868037581023795468126991181634366512298583984375	0.2799105007953406332177337390021421015262603759765625	-1.453716258163767	2.43088963076113	ADRB1
Huntington's disease_Homo sapiens_hsa05016	1/193	0.2000061217050270456763172433056752197444438934326171875	0.251099271573713866967381136419135145843029022216796875	0.2230673866679062644635678225313313305377960205078125	0.2799105007953406332177337390021421015262603759765625	-1.355449361155605	2.1814701025575065	DNAL4
Proteoglycans in cancer_Homo sapiens_hsa05205	1/203	0.20924939297809486138390866472036577761173248291015625	0.251099271573713866967381136419135145843029022216796875	0.233258750662783842511061038749176077544689178466796875	0.2799105007953406332177337390021421015262603759765625	-1.3921412882450985	2.1776270381119462	SDC1
cAMP signaling pathway_Homo sapiens_hsa04024	1/199	0.205564410029901944998442786527448333799839019775390625	0.251099271573713866967381136419135145843029022216796875	0.2291965541459653754596814678734517656266689300537109375	0.2799105007953406332177337390021421015262603759765625	-1.350057323988281	2.1357851018383114	ADRB1
Herpes simplex infection_Homo sapiens_hsa05168	1/185	0.192537183810288059504500779439695179462432861328125	0.251099271573713866967381136419135145843029022216796875	0.214827787152124916048023806069977581501007080078125	0.2799105007953406332177337390021421015262603759765625	-1.276748809920256	2.1034002309539224	SRPK1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	1/214	0.2192989846201967851779812690438120625913143157958984375	0.253037289946380916649815162600134499371051788330078125	0.2443318479642939689000513681094162166118621826171875	0.28192136303572379318893581512384116649627685546875	-1.3026038043219532	1.9764658321935107	WASF2
MAPK signaling pathway_Homo sapiens_hsa04010	1/255	0.255690999146861719371059962213621474802494049072265625	0.27766419183042534424288305672234855592250823974609375	0.284362781125374552981810438723186962306499481201171875	0.30874866511513843203573514983872883021831512451171875	-1.3358345885654237	1.82179197338027	PPM1B
Endocytosis_Homo sapiens_hsa04144	1/259	0.259153245708396984259280770857003517448902130126953125	0.27766419183042534424288305672234855592250823974609375	0.28816542077412921063483963735052384436130523681640625	0.30874866511513843203573514983872883021831512451171875	-1.2989511609600959	1.7540201381718463	ADRB1
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	1/277	0.27454362434842904949761077659786678850650787353515625	0.2840106458776852083047970154439099133014678955078125	0.305055974511315053376847572508268058300018310546875	0.315575146046187970938490252592600882053375244140625	-1.2169432679413315	1.5730757616702977	ADRB1
Metabolic pathways_Homo sapiens_hsa01100	1/1239	0.77047255689328608685428889657487161457538604736328125	0.77047255689328608685428889657487161457538604736328125	0.826332443862740628759411265491507947444915771484375	0.826332443862740628759411265491507947444915771484375	-1.2914342462860322	0.33674308384379464	MTHFR
