Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Notch signaling pathway_Homo sapiens_hsa04330	4/48	0.0256221807731998423018904276204921188764274120330810546875	0.98493800204233228345884754162398166954517364501953125	0.01305543343269257965111318497974934871308505535125732421875	0.906772833447536896755991620011627674102783203125	-1.7708801411372317	6.489030551554674	NCOR2;NOTCH1;DVL3;HES1
FoxO signaling pathway_Homo sapiens_hsa04068	7/133	0.037048720891436369428983965690349577926099300384521484375	0.98493800204233228345884754162398166954517364501953125	0.01171392457389766779407569430304647539742290973663330078125	0.906772833447536896755991620011627674102783203125	-1.800841821142935	5.934712852665997	RBL2;CDKN2B;PRKAA2;SGK3;PIK3R2;KLF2;TGFBR2
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	8/180	0.061628911887881075715167611406286596320569515228271484375	0.98493800204233228345884754162398166954517364501953125	0.0178687176232941447029389792078291065990924835205078125	0.906772833447536896755991620011627674102783203125	-1.7026306508405271	4.7445917237436435	CEBPA;DDX5;TLX1;TMPRSS2;MLLT3;RUNX2;DUSP6;TGFBR2
Viral carcinogenesis_Homo sapiens_hsa05203	8/205	0.1094482972610274773561656047604628838598728179931640625	0.98493800204233228345884754162398166954517364501953125	0.0344020840438641062331015518793719820678234100341796875	0.906772833447536896755991620011627674102783203125	-1.9060285744755525	4.2167127569672544	RBL2;CDKN2B;HDAC3;CREB3L1;GTF2H1;PIK3R2;SND1;MAD1L1
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	4/81	0.121872747579624185476632192148827016353607177734375	0.98493800204233228345884754162398166954517364501953125	0.0629372666144503989382741337976767681539058685302734375	0.906772833447536896755991620011627674102783203125	-1.837499705572121	3.867528645185115	NR4A2;NR4A1;CREB3L1;PRKD2
TNF signaling pathway_Homo sapiens_hsa04668	5/110	0.11600036813026855242458879047262598760426044464111328125	0.98493800204233228345884754162398166954517364501953125	0.052344830324294051859812526572568458504974842071533203125	0.906772833447536896755991620011627674102783203125	-1.7800262611119222	3.834464778219469	MAP2K3;CREB3L1;TNFAIP3;PIK3R2;CX3CL1
Insulin resistance_Homo sapiens_hsa04931	5/109	0.11275584005214202287792346623973571695387363433837890625	0.98493800204233228345884754162398166954517364501953125	0.050757451024627871227767883510750834830105304718017578125	0.906772833447536896755991620011627674102783203125	-1.7554690865904357	3.8313648328921546	PRKAA2;CREB3L1;NR1H3;PIK3R2;SLC27A2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	6/151	0.1437307511463884190927586814723326824605464935302734375	0.98493800204233228345884754162398166954517364501953125	0.05891568784135625680420389471692033112049102783203125	0.906772833447536896755991620011627674102783203125	-1.7048558331468966	3.3071023834337896	CEBPA;PRKAA2;NDUFB7;NR1H3;NDUFS1;PIK3R2
Fanconi anemia pathway_Homo sapiens_hsa03460	3/53	0.127086957049051541002171461514080874621868133544921875	0.98493800204233228345884754162398166954517364501953125	0.07586878906635473318598172909332788549363613128662109375	0.906772833447536896755991620011627674102783203125	-1.4859487104238345	3.065339411885145	MUS81;RAD51;HES1
Basal cell carcinoma_Homo sapiens_hsa05217	3/55	0.1377161865469686830021345258501241914927959442138671875	0.98493800204233228345884754162398166954517364501953125	0.0823787033653149702860929437520098872482776641845703125	0.906772833447536896755991620011627674102783203125	-1.5241421372817698	3.0217037398682645	DVL3;FZD8;WNT9A
