Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neurotrophin signaling pathway_Homo sapiens_hsa04722	2/120	0.0130399320496810446068369770955541753210127353668212890625	0.267070172743049838448570199034293182194232940673828125	0.009959596732273721941819388803196488879621028900146484375	0.241931716611947678075011936016380786895751953125	-1.8849928984213598	8.18037707048287	SOS2;MAP3K5
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.024819440051421504112028060262673534452915191650390625	0.267070172743049838448570199034293182194232940673828125	0.0189819348667953947951136939309435547329485416412353515625	0.241931716611947678075011936016380786895751953125	-1.79042526506136	6.617641061236227	DNAJC10;MAP3K5
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.0524680077582977133499042565745185129344463348388671875	0.267070172743049838448570199034293182194232940673828125	0.040561486987372281920460892479241010732948780059814453125	0.241931716611947678075011936016380786895751953125	-1.921408817968066	5.663451772387216	SOS2;MAP3K5
Dorso-ventral axis formation_Homo sapiens_hsa04320	1/27	0.038445389353219845685050160000173491425812244415283203125	0.267070172743049838448570199034293182194232940673828125	0.03535479721106217498860502246316173113882541656494140625	0.241931716611947678075011936016380786895751953125	-1.5036866386500036	4.899787727397752	SOS2
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.078148329665885973849270840219105593860149383544921875	0.267070172743049838448570199034293182194232940673828125	0.07079671375238226482817793794311000965535640716552734375	0.241931716611947678075011936016380786895751953125	-1.8147689972444714	4.626112211453239	SOS2
Endometrial cancer_Homo sapiens_hsa05213	1/52	0.07276770622015982237229536622180603444576263427734375	0.267070172743049838448570199034293182194232940673828125	0.06597803771212522316869097949165734462440013885498046875	0.241931716611947678075011936016380786895751953125	-1.7478574036074432	4.580230644168532	SOS2
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	1/48	0.06735676643454124867815835386863909661769866943359375	0.267070172743049838448570199034293182194232940673828125	0.061137162224625986317594339425340876914560794830322265625	0.241931716611947678075011936016380786895751953125	-1.6692995987474206	4.50335618829163	UAP1L1
Acute myeloid leukemia_Homo sapiens_hsa05221	1/57	0.079488767817754435451860217654029838740825653076171875	0.267070172743049838448570199034293182194232940673828125	0.0719979245510038168287536564093898050487041473388671875	0.241931716611947678075011936016380786895751953125	-1.7118409848756564	4.334620265590766	SOS2
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	1/51	0.0714178198557504362309344969617086462676525115966796875	0.267070172743049838448570199034293182194232940673828125	0.064769903526009808825136815357836894690990447998046875	0.241931716611947678075011936016380786895751953125	-1.6406115014849725	4.329914774788853	MAP3K5
Glioma_Homo sapiens_hsa05214	1/65	0.09014473546216626720362086189197725616395473480224609375	0.267070172743049838448570199034293182194232940673828125	0.08155802927913853583863357243899372406303882598876953125	0.241931716611947678075011936016380786895751953125	-1.7492763786061043	4.209351496818856	SOS2
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	1/68	0.0941099359098155618941206057570525445044040679931640625	0.267070172743049838448570199034293182194232940673828125	0.085120434949744971930840620188973844051361083984375	0.241931716611947678075011936016380786895751953125	-1.6312361242127702	3.8550867101034205	SOS2
Retinol metabolism_Homo sapiens_hsa00830	1/65	0.09014473546216626720362086189197725616395473480224609375	0.267070172743049838448570199034293182194232940673828125	0.08155802927913853583863357243899372406303882598876953125	0.241931716611947678075011936016380786895751953125	-1.5211563214477555	3.660417368514296	DHRS3
Renal cell carcinoma_Homo sapiens_hsa05211	1/66	0.09146832726035407368225804702888126485049724578857421875	0.267070172743049838448570199034293182194232940673828125	0.08274686542722513304948250834058853797614574432373046875	0.241931716611947678075011936016380786895751953125	-1.5255469405414683	3.6487459899823893	SOS2
Prolactin signaling pathway_Homo sapiens_hsa04917	1/72	0.0993709236888189462177933819475583732128143310546875	0.267070172743049838448570199034293182194232940673828125	0.0898512014249448487390736772795207798480987548828125	0.241931716611947678075011936016380786895751953125	-1.5358925985606564	3.5462158569224886	SOS2
B cell receptor signaling pathway_Homo sapiens_hsa04662	1/73	0.100681554116388405351045776114915497601032257080078125	0.267070172743049838448570199034293182194232940673828125	0.091030490107049555348339708871208131313323974609375	0.241931716611947678075011936016380786895751953125	-1.4924718506690209	3.4264059388820547	SOS2
Chronic myeloid leukemia_Homo sapiens_hsa05220	1/73	0.100681554116388405351045776114915497601032257080078125	0.267070172743049838448570199034293182194232940673828125	0.091030490107049555348339708871208131313323974609375	0.241931716611947678075011936016380786895751953125	-1.4792017759214195	3.395940598511174	SOS2
ErbB signaling pathway_Homo sapiens_hsa04012	1/87	0.11883814264401493243639151842216961085796356201171875	0.267070172743049838448570199034293182194232940673828125	0.1073985177696525628032730992345022968947887420654296875	0.241931716611947678075011936016380786895751953125	-1.424681018758334	3.0345603942525643	SOS2
Prostate cancer_Homo sapiens_hsa05215	1/89	0.121402871929519096116933951634564436972141265869140625	0.267070172743049838448570199034293182194232940673828125	0.10971529065899067456602011816357844509184360504150390625	0.241931716611947678075011936016380786895751953125	-1.4381237739242718	3.0324863844477985	SOS2
