Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Acute myeloid leukemia_Homo sapiens_hsa05221	36/57	0.000000049132725386289086729117128911348277853221588884480297565460205078125	0.0000141993576366375464617615442808329362378572113811969757080078125	0.00002718853873664446219493746881301632356553454883396625518798828125	0.001964371923722562328362695183159303269349038600921630859375	-2.041649609237026	34.35839150528065	CEBPA;SPI1;PIK3CD;PIK3R2;PIK3CB;PIK3R1;RELA;CCND1;AKT2;EIF4EBP1;AKT1;MAPK1;IKBKG;HRAS;RUNX1T1;MAPK3;STAT5A;TCF7L2;TCF7L1;MAP2K1;MAP2K2;JUP;BAD;ZBTB16;BRAF;PML;MTOR;RUNX1;RPS6KB1;KIT;RPS6KB2;RARA;GRB2;SOS1;RAF1;PPARD
Non-small cell lung cancer_Homo sapiens_hsa05223	35/56	0.0000001104567485445827009848281910660283688940808133338578045368194580078125	0.000014802769394464598956269278662301047688742983154952526092529296875	0.000041026727773079549516956066046446949258097447454929351806640625	0.0019761207210699980284240862005162853165529668331146240234375	-2.0727713835165935	33.202982343456995	RB1;TGFA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;FOXO3;STK4;FHIT;EGFR;RASSF1;RXRA;CCND1;AKT2;RASSF5;ERBB2;E2F1;AKT1;MAPK1;E2F3;PLCG1;HRAS;MAPK3;PRKCG;MAP2K1;MAP2K2;BAD;PRKCB;BRAF;PRKCA;EML4;RARB;GRB2;SOS1;RAF1
MAPK signaling pathway_Homo sapiens_hsa04010	111/255	0.000000153661966032504491190549479780191877154038593289442360401153564453125	0.000014802769394464598956269278662301047688742983154952526092529296875	0.000001558206050735729952190001569578559070805567898787558078765869140625	0.0004503215486626259661355475838462325555155985057353973388671875	-1.9468685670725285	30.54346829324294	ATF2;FGF1;FGF2;CRKL;ELK4;RPS6KA4;RPS6KA5;FGF9;AKT2;STMN1;RPS6KA1;AKT1;MAP3K8;MAP3K7;MAP3K4;PRKCG;PDGFRB;DAXX;MAP2K1;MAP2K2;PRKCB;IL1R2;CACNA2D2;PRKCA;MAPK8IP3;CACNB3;CACNB4;MAPKAPK3;DDIT3;MAPKAPK5;RAF1;ATF4;PDGFB;CACNA1B;CACNA1A;CACNA1D;STK4;CACNA1E;RASGRP1;RAP1B;FGF20;CACNA1S;MAP2K7;MAP2K5;MAP2K6;HSPA8;JUN;TGFB2;TGFB1;TGFB3;NFATC3;BRAF;HSPA2;GADD45G;NFKB2;NR4A1;PPP5C;NF1;GRB2;TAB2;MAP3K14;FGFR3;FGF11;FGFR2;MAP3K12;RASGRF2;ARRB1;ARRB2;PPP3CB;IKBKG;HRAS;DUSP4;DUSP5;DUSP2;DUSP3;DUSP1;PLA2G4A;RRAS2;FOS;DUSP8;DUSP9;TGFBR1;DUSP7;PPM1A;PPM1B;MRAS;RASA1;SOS1;RELA;EGFR;RELB;MAPK9;PAK1;MAPK8;MAPK7;MKNK2;GNA12;MAPK1;FLNB;MAP4K3;CACNG4;MAP4K4;MAPK3;MAP3K3;NTRK2;MAP3K1;MAPK14;MAPK13;TAOK3;FAS;HSPA1B
ErbB signaling pathway_Homo sapiens_hsa04012	47/87	0.0000004446096869237518262149740089217431204815511591732501983642578125	0.000032123049880241068385240688076720516619388945400714874267578125	0.0000364498221294978034796689658758594987375545315444469451904296875	0.0019761207210699980284240862005162853165529668331146240234375	-1.810753656266665	26.484208004933304	SHC4;CAMK2D;CDKN1A;CDKN1B;TGFA;PIK3CD;PIK3R2;CBLB;PIK3CB;PIK3R1;EGFR;CRKL;MAPK9;PAK1;MAPK8;ERBB3;ERBB4;AKT2;ERBB2;EIF4EBP1;NCK2;AKT1;PAK6;ABL2;MAPK1;PLCG1;MAP2K7;HRAS;MAPK3;NCK1;PRKCG;STAT5A;JUN;MAP2K1;MAP2K2;BAD;PRKCB;GAB1;BRAF;PRKCA;MTOR;RPS6KB1;NRG4;RPS6KB2;GRB2;SOS1;RAF1
Chronic myeloid leukemia_Homo sapiens_hsa05220	41/73	0.0000006050114697247946821088439815772286323181106126867234706878662109375	0.0000349696629500931342564296055996919676545076072216033935546875	0.00005870260235842113933323049845824925796478055417537689208984375	0.0021206315101979637295637193261654829257167875766754150390625	-1.8066792297636816	25.868066492364083	RB1;SHC4;CDKN1A;CDKN1B;CTBP2;CTBP1;PIK3CD;PIK3R2;CBLB;PIK3CB;PIK3R1;RELA;CRKL;CCND1;AKT2;E2F1;AKT1;MAPK1;E2F3;IKBKG;HRAS;MAPK3;STAT5A;TGFB2;SMAD4;MAP2K1;TGFB1;SMAD3;MAP2K2;TGFB3;BAD;PTPN11;BRAF;GAB2;TGFBR1;RUNX1;BCR;MDM2;GRB2;SOS1;RAF1
Prostate cancer_Homo sapiens_hsa05215	47/89	0.00000106463670176734703242435280123867613610855187289416790008544921875	0.0000512800011351272132069378795193870246293954551219940185546875	0.0000557710719578729269426363435169236026922590099275112152099609375	0.0021206315101979637295637193261654829257167875766754150390625	-1.8350842149798945	25.237687387009352	RB1;CDKN1A;CDKN1B;HSP90AB1;PTEN;PDGFB;TGFA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;RELA;EGFR;FOXO1;HSP90B1;IGF1R;CCND1;AKT2;ERBB2;E2F1;AKT1;EP300;MAPK1;E2F3;IKBKG;HRAS;MAPK3;PDGFRB;TCF7L2;CREBBP;TCF7L1;MAP2K1;MAP2K2;SRD5A2;BAD;BRAF;MTOR;CREB3;CREB1;CCNE1;MDM2;CTNNB1;GRB2;SOS1;RAF1;FGFR2;ATF4
Proteoglycans in cancer_Homo sapiens_hsa05205	88/203	0.00000348568534761931008068521799236894054274671361781656742095947265625	0.00014390900935171149700904369428400286778924055397510528564453125	0.00002141333407375403536363790701901876900592469610273838043212890625	0.001964371923722562328362695183159303269349038600921630859375	-1.8580379717882085	23.34967682445808	CDKN1A;WNT2B;ITGB5;PIK3CD;CBLB;FZD10;PIK3CB;FGF2;ACTB;ACTG1;IGF1R;PPP1CC;CCND1;AKT2;AKT1;ITGAV;HRAS;PRKCG;MAP2K1;MAP2K2;WNT5B;PRKCB;GAB1;WNT9B;RRAS2;FRS2;PRKCA;WNT9A;NUDT16L1;HSPG2;VAV2;MRAS;CTTN;SMO;ARHGEF1;EZR;RAF1;SOS1;PPP1R12C;CD44;CD63;DDX5;CAMK2D;PXN;ITPR1;ITPR3;PIK3R2;PIK3R1;IQGAP1;EGFR;SLC9A1;PAK1;WNT11;ERBB3;ERBB4;ERBB2;GPC3;DROSHA;MAPK1;FLNB;PLCG1;MAPK3;FZD1;TGFB2;TGFB1;FZD5;CAV2;PTCH1;FZD6;RDX;IGF2;FN1;BRAF;PTPN11;MAPK14;MTOR;MAPK13;VEGFA;TFAP4;RPS6KB1;RPS6KB2;PDCD4;MDM2;SDC1;CTNNB1;FAS;GRB2;PTPN6
Glioma_Homo sapiens_hsa05214	35/65	0.00001405993984081853150265063734369874737240024842321872711181640625	0.000451480290444061685244114823234440336818806827068328857421875	0.00036305480367472379998883269536236184649169445037841796875	0.008416556490057923445302634490872151218354701995849609375	-1.8273210170362228	20.415161056684006	RB1;SHC4;CAMK2D;CDKN1A;PTEN;PDGFB;TGFA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;EGFR;IGF1R;CCND1;AKT2;E2F1;AKT1;MAPK1;E2F3;PLCG1;HRAS;MAPK3;PDGFRB;PRKCG;MAP2K1;MAP2K2;PRKCB;BRAF;PRKCA;MTOR;MDM2;GRB2;CALM1;SOS1;RAF1
Renal cell carcinoma_Homo sapiens_hsa05211	36/66	0.00000721205980458500524950433974158414685007301159203052520751953125	0.0002605356604406333328495526391321845949278213083744049072265625	0.0002495917949060435657611389803633983319741673767566680908203125	0.00722926386140736350338631410750167560763657093048095703125	-1.6687698808428197	19.75782814305427	EPAS1;CUL2;SLC2A1;PDGFB;TGFA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;ETS1;CRKL;RAP1B;FLCN;PAK1;AKT2;AKT1;PAK6;EP300;MAPK1;HRAS;MAPK3;TGFB2;JUN;CREBBP;MAP2K1;TGFB1;MAP2K2;TGFB3;GAB1;PTPN11;BRAF;VEGFA;RBX1;GRB2;SOS1;RAF1
Pancreatic cancer_Homo sapiens_hsa05212	35/66	0.0000217914173005200959422171524959566113466280512511730194091796875	0.00062977195998503081135477810192924152943305671215057373046875	0.000449744721533388886088034031018878522445447742938995361328125	0.008416556490057923445302634490872151218354701995849609375	-1.6782809246982724	18.014657992795865	RB1;TGFA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PLD1;RELA;EGFR;MAPK9;MAPK8;CCND1;AKT2;ERBB2;E2F1;AKT1;MAPK1;E2F3;IKBKG;MAPK3;JAK1;RALBP1;TGFB2;SMAD4;MAP2K1;TGFB1;SMAD3;TGFB3;BAD;STAT1;BRAF;TGFBR1;VEGFA;RAF1;ARHGEF6
