Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Mismatch repair_Homo sapiens_hsa03430	6/23	0.0011762272145748515518592913764450713642872869968414306640625	0.30817153021861110051560217470978386700153350830078125	0.0021328125344527476721367964529463279177434742450714111328125	0.55879688402661986668107374498504213988780975341796875	-1.6740562626266604	11.292251497596546	MSH6;RFC3;PCNA;EXO1;RPA1;PMS2
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	7/40	0.005407336098214389312477390348021799582056701183319091796875	0.60770926752943321691446953991544432938098907470703125	0.006482056585283069334579852949218548019416630268096923828125	0.5660996084480547363426694573718123137950897216796875	-1.892029498983858	9.876391545267293	SRR;SHMT2;CHDH;SARDH;DLD;GCAT;GNMT
Small cell lung cancer_Homo sapiens_hsa05222	11/86	0.006958503063314120003213236742567460169084370136260986328125	0.60770926752943321691446953991544432938098907470703125	0.006340512421762280019510438222596349078230559825897216796875	0.5660996084480547363426694573718123137950897216796875	-1.821638296880578	9.049518163221236	COL4A2;TRAF4;COL4A1;TRAF5;PTEN;RARB;PIK3R3;XIAP;ITGAV;PIK3CB;BCL2L1
Melanoma_Homo sapiens_hsa05218	9/71	0.014744213228502452139867529012917657382786273956298828125	0.68582390960335970486738688123296014964580535888671875	0.01364896194543215902916788451193497166968882083892822265625	0.58746978250372183794070224394090473651885986328125	-1.8556416228748607	7.825063689266987	MAP2K1;FGF18;PDGFC;PTEN;PDGFB;PIK3R3;PIK3CB;FGF1;HRAS
Focal adhesion_Homo sapiens_hsa04510	19/202	0.01475387594760852426334363229898372082971036434173583984375	0.68582390960335970486738688123296014964580535888671875	0.0092794764264126465558302214731156709603965282440185546875	0.58746978250372183794070224394090473651885986328125	-1.8214255743214258	7.679584584339681	GSK3B;MAP2K1;SHC3;VWF;PDGFB;PTEN;XIAP;PIK3R3;PIK3CB;VAV1;ACTG1;CCND3;PAK1;COL4A2;COL4A1;PDGFC;ITGAV;ITGB6;HRAS
Insulin resistance_Homo sapiens_hsa04931	12/109	0.0157058910596189239827769057455952861346304416656494140625	0.68582390960335970486738688123296014964580535888671875	0.0126649374206795721498064466459254617802798748016357421875	0.58746978250372183794070224394090473651885986328125	-1.7289617358167795	7.18162192169442	GSK3B;SOCS3;CPT1A;RPS6KA6;PRKAA2;MLX;PTEN;PIK3R3;IRS2;PIK3CB;CPT1B;PPARGC1B
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	8/64	0.0225440613568611593342527754657567129470407962799072265625	0.738158305129778202768875416950322687625885009765625	0.0209146199864981806315622492320471792481839656829833984375	0.61229458450428264626452801167033612728118896484375	-1.7902861178773912	6.789272688037361	PRKAA2;PIK3R3;IRS2;HSPA2;PIK3CB;SIRT1;HRAS;PRKACB
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	19/214	0.0253565830006412355757117182974980096332728862762451171875	0.738158305129778202768875416950322687625885009765625	0.0156957575478093615262142890287577756680548191070556640625	0.58746978250372183794070224394090473651885986328125	-1.723054559375691	6.331737705881965	MAP2K1;ARHGEF12;PDGFB;PIK3R3;PIK3CB;IQGAP2;FGF1;VAV1;ACTG1;PAK1;MRAS;DIAPH3;PDGFC;FGF18;ITGAV;PIP4K2C;ITGB6;HRAS;MYH10
Pathways in cancer_Homo sapiens_hsa05200	30/397	0.044954249788972895640615234924553078599274158477783203125	0.8430102357021660441915855699335224926471710205078125	0.0210330200783913900952626363505260087549686431884765625	0.61229458450428264626452801167033612728118896484375	-1.7894583092511487	5.551096475857786	GSK3B;PDGFB;PTEN;WNT8B;LPAR2;XIAP;PIK3R3;PIK3CB;FGF1;GNG3;RASSF5;SUFU;ITGAV;PRKACB;HRAS;MAP2K1;RALBP1;ARHGEF12;SMAD3;FZD4;ZBTB16;PLEKHG5;MSH6;COL4A2;TRAF4;COL4A1;TRAF5;FGF18;RARB;BCL2L1
Fanconi anemia pathway_Homo sapiens_hsa03460	7/53	0.0243087797205781830367499196654534898698329925537109375	0.738158305129778202768875416950322687625885009765625	0.023499677587459973093775289498807978816330432891845703125	0.613287958400662969182803863077424466609954833984375	-1.4859487104238345	5.523149046003547	TOP3B;WDR48;USP1;RPA1;PMS2;HES1;FANCB
HTLV-I infection_Homo sapiens_hsa05166	21/258	0.04415863087694293920293375776964239776134490966796875	0.8430102357021660441915855699335224926471710205078125	0.02574873107789042714355076668653055094182491302490234375	0.613287958400662969182803863077424466609954833984375	-1.693199465717256	5.282726256280239	EGR1;MAP3K3;GSK3B;VAC14;PCNA;SMAD3;FZD4;PDGFB;NFATC2;WNT8B;XIAP;PIK3R3;PIK3CB;KAT2B;CCND3;ZFP36;MRAS;SLC25A5;PRKACB;HRAS;BCL2L1
B cell receptor signaling pathway_Homo sapiens_hsa04662	8/73	0.044844660608340448926245613847640925087034702301025390625	0.8430102357021660441915855699335224926471710205078125	0.038948628942658748697258630500073195435106754302978515625	0.77582921052702380482202215716824866831302642822265625	-1.6271723528935287	5.051639144561144	GSK3B;MAP2K1;NFATC2;PIK3R3;PTPN6;PIK3CB;HRAS;VAV1
Insulin signaling pathway_Homo sapiens_hsa04910	13/139	0.040517857948822615099526700532805989496409893035888671875	0.8430102357021660441915855699335224926471710205078125	0.029699898437965534248039745079950080253183841705322265625	0.64844778256224755441650131615460850298404693603515625	-1.551138016892346	4.972967817163336	GSK3B;MAP2K1;PRKAA2;SHC3;RPS6;PIK3R3;IRS2;PIK3CB;SOCS3;PRKAR2B;PRKACB;HRAS;RHOQ
Glioma_Homo sapiens_hsa05214	7/65	0.06308496554693078517406235050657414831221103668212890625	0.9273867595906224448043531083385460078716278076171875	0.05542484385748321085163325960820657201111316680908203125	0.77582921052702380482202215716824866831302642822265625	-1.554164782530808	4.294581272989302	MAP2K1;SHC3;PTEN;PDGFB;PIK3R3;PIK3CB;HRAS
