Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Taurine and hypotaurine metabolism_Homo sapiens_hsa00430	3/11	0.000231369762196619011516973696274135363637469708919525146484375	0.0370191619514590453121627433574758470058441162109375	0.000262176054601718036031476888325641994015313684940338134765625	0.041948168736274882295589350178488530218601226806640625	-1.5715592103167393	13.156297596244622	GGT5;ADO;GGT1
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	4/67	0.00741776116041475454265796685149325639940798282623291015625	0.395613928555453575608424898746307007968425750732421875	0.0041994029754981419821913135592694743536412715911865234375	0.2239681586932342483020619283706764690577983856201171875	-1.9619840008719007	9.6213301737837	ALDH3A2;LDHA;ADPGK;HK1
Type II diabetes mellitus_Homo sapiens_hsa04930	3/48	0.0177561783164330057316337985184873105026781558990478515625	0.71024713265732020150977632511057890951633453369140625	0.01173457831194965432508592328986196662299335002899169921875	0.469383132477986186881224739408935420215129852294921875	-1.8592894668022357	7.49483627922027	MAPK8;PRKCZ;HK1
Cyanoamino acid metabolism_Homo sapiens_hsa00460	2/7	0.0026619942148363826169010781796941955690272152423858642578125	0.2129595371869106024131923504683072678744792938232421875	0.002957264630574093187964646034515681094489991664886474609375	0.2239681586932342483020619283706764690577983856201171875	-1.2385622628616344	7.343038984958836	GGT5;GGT1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	3/68	0.043592410534002944133558088424251764081418514251708984375	0.80583751868064779078082437990815378725528717041015625	0.0282443314208679595311846100003094761632382869720458984375	0.64558471819126761470641895357402972877025604248046875	-1.774661724984816	5.5597884076320225	LYN;MAPK8;ATP6V0D1
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	5/169	0.04595055989039188715228334558560163713991641998291015625	0.80583751868064779078082437990815378725528717041015625	0.022687903468916935378896226893630228005349636077880859375	0.60501075917111835078543435884057544171810150146484375	-1.6710613038720297	5.147185056724573	ATXN3;MAPK8;MAN1A2;CANX;MAP3K5
Protein export_Homo sapiens_hsa03060	2/23	0.0284256331784471516499479548656381666660308837890625	0.80583751868064779078082437990815378725528717041015625	0.0223911271976386938575842577847652137279510498046875	0.60501075917111835078543435884057544171810150146484375	-1.3214917372169397	4.705123709331154	IMMP2L;SRP72
Tryptophan metabolism_Homo sapiens_hsa00380	2/40	0.07725014368056175306787025647281552664935588836669921875	0.80583751868064779078082437990815378725528717041015625	0.05810668384956511889338770515678334049880504608154296875	0.72194600458092483830085939189302735030651092529296875	-1.5562027128509393	3.9849784071936467	ALDH3A2;CYP1B1
Pyruvate metabolism_Homo sapiens_hsa00620	2/40	0.07725014368056175306787025647281552664935588836669921875	0.80583751868064779078082437990815378725528717041015625	0.05810668384956511889338770515678334049880504608154296875	0.72194600458092483830085939189302735030651092529296875	-1.4191795284064022	3.6341022476886513	ALDH3A2;LDHA
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	2/44	0.09097893012791428979380015107381041161715984344482421875	0.80583751868064779078082437990815378725528717041015625	0.06822609235313188691396391050147940404713153839111328125	0.72194600458092483830085939189302735030651092529296875	-1.48051233888263	3.5489765993094418	DCTN1;DYNLL1
TNF signaling pathway_Homo sapiens_hsa04668	3/110	0.1334726061637237226609187246140209026634693145751953125	0.80583751868064779078082437990815378725528717041015625	0.0881392753723811706034751978222629986703395843505859375	0.72194600458092483830085939189302735030651092529296875	-1.510783591459906	3.0425051621335735	BAG4;MAPK8;MAP3K5
Cysteine and methionine metabolism_Homo sapiens_hsa00270	2/45	0.09451577297877446215412788887988426722586154937744140625	0.80583751868064779078082437990815378725528717041015625	0.07084142488654159020011746861200663261115550994873046875	0.72194600458092483830085939189302735030651092529296875	-1.2773190969327748	3.0131811225495615	LDHA;ENOPH1
ABC transporters_Homo sapiens_hsa02010	2/44	0.09097893012791428979380015107381041161715984344482421875	0.80583751868064779078082437990815378725528717041015625	0.06822609235313188691396391050147940404713153839111328125	0.72194600458092483830085939189302735030651092529296875	-1.237152264639704	2.9656115127704212	ABCC6;ABCC10
Lysine degradation_Homo sapiens_hsa00310	2/52	0.12029300136337199578218104534244048409163951873779296875	0.80583751868064779078082437990815378725528717041015625	0.09001475670881252388877413750378764234483242034912109375	0.72194600458092483830085939189302735030651092529296875	-1.3684105460149618	2.8980538377650533	ALDH3A2;SUV39H1
Pathways in cancer_Homo sapiens_hsa05200	7/397	0.1744309096801507641405493131969706155359745025634765625	0.80583751868064779078082437990815378725528717041015625	0.0809393874179556160886050975022953934967517852783203125	0.72194600458092483830085939189302735030651092529296875	-1.5492176795486086	2.7052850419087777	MAPK8;EPAS1;WNT7B;RASSF5;ITGA6;GNG12;FGF2
Glutathione metabolism_Homo sapiens_hsa00480	2/52	0.12029300136337199578218104534244048409163951873779296875	0.80583751868064779078082437990815378725528717041015625	0.09001475670881252388877413750378764234483242034912109375	0.72194600458092483830085939189302735030651092529296875	-1.2445281761999787	2.6356926784483115	GGT5;GGT1
MAPK signaling pathway_Homo sapiens_hsa04010	5/255	0.1713637985862117296687046064107562415301799774169921875	0.80583751868064779078082437990815378725528717041015625	0.0943017843665993338309050386669696308672428131103515625	0.72194600458092483830085939189302735030651092529296875	-1.4885930831921999	2.6258283386858188	MAPK8;GNG12;FGF2;GADD45G;MAP3K5
Glycerolipid metabolism_Homo sapiens_hsa00561	2/59	0.147549085658607470605829803389497101306915283203125	0.80583751868064779078082437990815378725528717041015625	0.11051724475316045126493946781920385546982288360595703125	0.72194600458092483830085939189302735030651092529296875	-1.3061438203754059	2.4994294668753305	AGPAT5;ALDH3A2
Sphingolipid signaling pathway_Homo sapiens_hsa04071	3/120	0.1603674458194076779538050914197810925543308258056640625	0.80583751868064779078082437990815378725528717041015625	0.10685306504876235234036130350432358682155609130859375	0.72194600458092483830085939189302735030651092529296875	-1.287416137002651	2.3563417405964517	MAPK8;PRKCZ;MAP3K5
Arachidonic acid metabolism_Homo sapiens_hsa00590	2/62	0.15958607722737194745121769301476888358592987060546875	0.80583751868064779078082437990815378725528717041015625	0.119650470728942914799830532501800917088985443115234375	0.72194600458092483830085939189302735030651092529296875	-1.2522228674592462	2.2980441352365313	GGT5;GGT1
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	2/66	0.175900450960853216297863355066510848701000213623046875	0.80583751868064779078082437990815378725528717041015625	0.13210857609456472250286651615169830620288848876953125	0.72194600458092483830085939189302735030651092529296875	-1.2409112991022382	2.15650164810532	YARS;VARS
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	2/68	0.1841542091812924664129269558543455787003040313720703125	0.80583751868064779078082437990815378725528717041015625	0.1384467257430631870196435784237110055983066558837890625	0.72194600458092483830085939189302735030651092529296875	-1.2044960122727506	2.0379853056445136	LYN;MAPK8
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.1974881348175145101553340509781264699995517730712890625	0.80583751868064779078082437990815378725528717041015625	0.1332759572656543045621191367899882607161998748779296875	0.72194600458092483830085939189302735030651092529296875	-1.1654866354215478	1.8905088009309934	MAPK8;FBXO25;GADD45G
Central carbon metabolism in cancer_Homo sapiens_hsa05230	2/67	0.1800200386330965962589090167966787703335285186767578125	0.80583751868064779078082437990815378725528717041015625	0.135269057824427829661573241537553258240222930908203125	0.72194600458092483830085939189302735030651092529296875	-1.096688670217384	1.8804779249132213	LDHA;HK1
Apoptosis_Homo sapiens_hsa04210	3/140	0.2182707562127018940945077929427498020231723785400390625	0.80583751868064779078082437990815378725528717041015625	0.1483702155723237992024365894394577480852603912353515625	0.72194600458092483830085939189302735030651092529296875	-1.2158636987479845	1.8505676337154773	MAPK8;MAP3K5;GADD45G
Spliceosome_Homo sapiens_hsa03040	3/134	0.2004272390111695167913552495519979856908321380615234375	0.80583751868064779078082437990815378725528717041015625	0.1353974642437717756937587409993284381926059722900390625	0.72194600458092483830085939189302735030651092529296875	-1.131076977343339	1.817984545239888	RBM25;PRPF6;SRSF6
Insulin signaling pathway_Homo sapiens_hsa04910	3/139	0.21527343604237658691857859594165347516536712646484375	0.80583751868064779078082437990815378725528717041015625	0.14617991093942384051018734680837951600551605224609375	0.72194600458092483830085939189302735030651092529296875	-1.083846868633326	1.66462216324	MAPK8;PRKCZ;HK1
Wnt signaling pathway_Homo sapiens_hsa04310	3/142	0.2242911606794442958001667420830926857888698577880859375	0.80583751868064779078082437990815378725528717041015625	0.1527833058722717629596132837832556106150150299072265625	0.72194600458092483830085939189302735030651092529296875	-1.0922821049381695	1.6327544827549383	MAPK8;WNT7B;CSNK2B
Adipocytokine signaling pathway_Homo sapiens_hsa04920	2/70	0.19246281693733013895553085603751242160797119140625	0.80583751868064779078082437990815378725528717041015625	0.144851301960274569946562905897735618054866790771484375	0.72194600458092483830085939189302735030651092529296875	-0.9828434307230306	1.6195808104898461	MAPK8;AGRP
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	3/142	0.2242911606794442958001667420830926857888698577880859375	0.80583751868064779078082437990815378725528717041015625	0.1527833058722717629596132837832556106150150299072265625	0.72194600458092483830085939189302735030651092529296875	-1.030592997658564	1.5405409730832516	WNT7B;FGF2;BMPR1A
RNA degradation_Homo sapiens_hsa03018	2/77	0.2218794141663276153764172704541124403476715087890625	0.80583751868064779078082437990815378725528717041015625	0.167726051951593790878547451939084567129611968994140625	0.72194600458092483830085939189302735030651092529296875	-0.9056954827710474	1.3636343414462604	LSM1;DCP1A
Ras signaling pathway_Homo sapiens_hsa04014	4/227	0.26528449369616080577571892717969603836536407470703125	0.80583751868064779078082437990815378725528717041015625	0.168240323480836562186624405512702651321887969970703125	0.72194600458092483830085939189302735030651092529296875	-0.9998231883374489	1.3267178470610108	MAPK8;RASSF5;GNG12;FGF2
Hippo signaling pathway_Homo sapiens_hsa04390	3/153	0.257923791538705093895345044074929319322109222412109375	0.80583751868064779078082437990815378725528717041015625	0.1777739423527792961277071981385233812034130096435546875	0.72194600458092483830085939189302735030651092529296875	-0.8223971626821398	1.1144230917104483	WNT7B;PRKCZ;BMPR1A
ECM-receptor interaction_Homo sapiens_hsa04512	2/82	0.2431053573552008628677612023238907568156719207763671875	0.80583751868064779078082437990815378725528717041015625	0.184428800477328513895969308578060008585453033447265625	0.72194600458092483830085939189302735030651092529296875	-0.6187698321311198	0.8751016456970473	ITGA6;COL9A2
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	2/89	0.272940945605870177725904568433179520070552825927734375	0.80583751868064779078082437990815378725528717041015625	0.20819382898231231227015314289019443094730377197265625	0.72194600458092483830085939189302735030651092529296875	-0.6646681954068947	0.8630715345275798	RBM28;CSNK2B
