Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Adherens junction_Homo sapiens_hsa04520	6/74	0.0171848466495660712194393227036925964057445526123046875	0.9999929890452137204448490592767484486103057861328125	0.00623259217392334308183166058370261453092098236083984375	0.8240272307045766186917035156511701643466949462890625	-1.8708473909815135	7.602613602319855	LMO7;PTPN6;WASF2;RHOA;PTPRF;FGFR1
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	4/48	0.044432975708943826809171895320105249993503093719482421875	0.9999929890452137204448490592767484486103057861328125	0.02253343340634976488257024129779892973601818084716796875	0.8240272307045766186917035156511701643466949462890625	-1.8113123100151194	5.6400160701998425	CYB5R4;GFPT1;PGM2;UAP1
Glutathione metabolism_Homo sapiens_hsa00480	4/52	0.05675610219614131424226144417843897826969623565673828125	0.9999929890452137204448490592767484486103057861328125	0.0286960373137186593173186821559283998794853687286376953125	0.8240272307045766186917035156511701643466949462890625	-1.708282063416851	4.901047745737779	RRM1;ANPEP;IDH2;PGD
AMPK signaling pathway_Homo sapiens_hsa04152	7/124	0.05894686547459826453376763311098329722881317138671875	0.9999929890452137204448490592767484486103057861328125	0.0191970757238024043733748413842477020807564258575439453125	0.8240272307045766186917035156511701643466949462890625	-1.6642965140246946	4.711821192940076	PPP2R1A;PPP2R5E;HNF4A;AKT1S1;ULK1;ADIPOR2;CAMKK1
Pentose phosphate pathway_Homo sapiens_hsa00030	3/29	0.046140461238232115259716437094539287500083446502685546875	0.9999929890452137204448490592767484486103057861328125	0.0282031533242033394248693412009743042290210723876953125	0.8240272307045766186917035156511701643466949462890625	-1.435650456325837	4.416154163709576	PGM2;PGD;ALDOA
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	5/78	0.06682732298488365529909316364864935167133808135986328125	0.9999929890452137204448490592767484486103057861328125	0.0289773520208029856937148593942765728570520877838134765625	0.8240272307045766186917035156511701643466949462890625	-1.6048857086928905	4.342248193329872	SHC4;CLTB;WASF2;RHOA;BCAR1
Peroxisome_Homo sapiens_hsa04146	5/83	0.08234968076053493513111192214637412689626216888427734375	0.9999929890452137204448490592767484486103057861328125	0.036038553227080639962398578290958539582788944244384765625	0.8240272307045766186917035156511701643466949462890625	-1.5064029410900126	3.7611577882057796	ABCD4;IDH2;NUDT19;ACSL4;ACSL3
Fatty acid biosynthesis_Homo sapiens_hsa00061	2/13	0.049457018146730820362666491973868687637150287628173828125	0.9999929890452137204448490592767484486103057861328125	0.037837985083373416872465355709209688939154148101806640625	0.8240272307045766186917035156511701643466949462890625	-1.191979157318978	3.5838656911315643	ACSL4;ACSL3
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	7/137	0.08935388788069753562837149729602970182895660400390625	0.9999929890452137204448490592767484486103057861328125	0.030300033595333897284973545538377948105335235595703125	0.8240272307045766186917035156511701643466949462890625	-1.4547698001692813	3.5134880471986873	ANAPC7;SMURF1;UBA2;NEDD4L;UBE2J2;MID1;PML
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	5/94	0.12250677555482235303596638686940423212945461273193359375	0.9999929890452137204448490592767484486103057861328125	0.05504096778924556787604416285830666311085224151611328125	0.9410497514766771320893212759983725845813751220703125	-1.6032705541744985	3.366209123172555	AKT1S1;ULK1;ADIPOR2;CAMKK1;APPL1
