Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FoxO signaling pathway_Homo sapiens_hsa04068	10/133	0.005562704675453357221204253590940425056032836437225341796875	0.391703236317685943301825091111822985112667083740234375	0.0031548965990861881254769816251837255549617111682891845703125	0.2464969609962346097642438280672649852931499481201171875	-1.8262560285717904	9.481320163663842	PLK4;TGFB2;SMAD4;CCND1;GADD45B;EGF;PTEN;PRKAG2;IRS2;PIK3R1
HTLV-I infection_Homo sapiens_hsa05166	15/258	0.008854151498243610640681566792409284971654415130615234375	0.391703236317685943301825091111822985112667083740234375	0.003581749966345466711092893064005693304352462291717529296875	0.2464969609962346097642438280672649852931499481201171875	-1.9180191597146554	9.066224989274579	TGFB2;SMAD4;RANBP3;CRTC3;WNT2B;NFATC2;PIK3R1;ADCY6;ETS2;PPP3R1;DLG1;CCND1;VDAC1;IKBKG;WNT1
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	11/167	0.00985685507903134860985261411769897677004337310791015625	0.391703236317685943301825091111822985112667083740234375	0.0051502904205916223701056111394791514612734317779541015625	0.2464969609962346097642438280672649852931499481201171875	-1.8906360446249488	8.733959808624705	MEF2A;PPP3R1;ADORA1;NFATC2;IRS2;VDAC1;PIK3R1;ADCY6;ADRA2A;MYLK;GNAI2
Pancreatic cancer_Homo sapiens_hsa05212	6/66	0.01229561728351480538734552538926436682231724262237548828125	0.391703236317685943301825091111822985112667083740234375	0.00925242867105478816736052749547525309026241302490234375	0.2464969609962346097642438280672649852931499481201171875	-1.789124702616163	7.869487186944303	TGFB2;SMAD4;CCND1;EGF;PIK3R1;IKBKG
T cell receptor signaling pathway_Homo sapiens_hsa04660	8/104	0.01099200819087875653778940687743670423515141010284423828125	0.391703236317685943301825091111822985112667083740234375	0.007080544173740888243273605695549122174270451068878173828125	0.2464969609962346097642438280672649852931499481201171875	-1.7426846898553081	7.860530555722121	DLG1;PPP3R1;NCK2;NFATC2;PIK3R1;PLCG1;IKBKG;PAK2
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	8/104	0.01099200819087875653778940687743670423515141010284423828125	0.391703236317685943301825091111822985112667083740234375	0.007080544173740888243273605695549122174270451068878173828125	0.2464969609962346097642438280672649852931499481201171875	-1.7245433960425738	7.7787026753456825	GNA14;TGFB2;CCL5;PPP2R2D;PIK3R1;CFLAR;IKBKG;GNAI2
Oxytocin signaling pathway_Homo sapiens_hsa04921	10/158	0.01742819179021427855591497291243285872042179107666015625	0.39827935097755451376855262424214743077754974365234375	0.009690872356677600329977195769970421679317951202392578125	0.2464969609962346097642438280672649852931499481201171875	-1.761895774392804	7.135089705700462	CACNB2;PLA2G4F;PPP3R1;CCND1;NFATC2;PRKAG2;PIK3R1;ADCY6;MYLK;GNAI2
Galactose metabolism_Homo sapiens_hsa00052	4/30	0.0106699167846045807339638855637531378306448459625244140625	0.391703236317685943301825091111822985112667083740234375	0.00998506294208983090354703193725072196684777736663818359375	0.2464969609962346097642438280672649852931499481201171875	-1.4981328976432196	6.802013263791553	B4GALT2;GALE;AKR1B10;GAA
Hippo signaling pathway_Homo sapiens_hsa04390	10/153	0.0142057827045508865138057075228061876259744167327880859375	0.395986192889355936852524564528721384704113006591796875	0.00790780302812656675504054959446875727735459804534912109375	0.2464969609962346097642438280672649852931499481201171875	-1.5680923514189127	6.670831338765577	TGFB2;SMAD4;DLG1;PARD6A;WNT2B;CCND1;ID2;PPP2R2D;SCRIB;WNT1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	12/214	0.0231856732377977332870688798038827371783554553985595703125	0.39827935097755451376855262424214743077754974365234375	0.011478735704937681472159738405025564134120941162109375	0.2464969609962346097642438280672649852931499481201171875	-1.6488573673073843	6.206663072798986	FGD3;EGF;ITGB4;ITGA2;ITGA7;PIP5K1B;PIK3R1;IQGAP2;PAK2;SSH3;MYLK;FGF21
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	5/56	0.02317208169222641223061742721256450749933719635009765625	0.39827935097755451376855262424214743077754974365234375	0.0182462439445728701048476949608811992220580577850341796875	0.29063659997426782855001192729105241596698760986328125	-1.5566239531433672	5.8603889112638665	ADORA1;IRS2;PIK3R1;ADCY6;GNAI2
Hepatitis B_Homo sapiens_hsa05161	9/146	0.0271697873261130297406484856992392451502382755279541015625	0.432775898123086089075428617434226907789707183837890625	0.0160643765116507027113090799730343860574066638946533203125	0.27556584323831589955489107524044811725616455078125	-1.605008741711882	5.787099260927333	IFIH1;TGFB2;SMAD4;CCND1;PTEN;NFATC2;PTK2B;PIK3R1;IKBKG
Tight junction_Homo sapiens_hsa04530	9/139	0.0205368884332323455021995783909005695022642612457275390625	0.39827935097755451376855262424214743077754974365234375	0.01215904291909677449601279164426159695722162723541259765625	0.2464969609962346097642438280672649852931499481201171875	-1.4828658780448691	5.761723672187467	IGSF5;PARD6A;PPP2R2D;PTEN;EXOC3;CGN;TJP2;CRB3;GNAI2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	9/142	0.0232180787565390532589670868901521316729485988616943359375	0.39827935097755451376855262424214743077754974365234375	0.013734347607540296765105125587069778703153133392333984375	0.25522995970679052124552299574133940041065216064453125	-1.5294728681901215	5.755137287698697	SMAD4;WNT2B;RIF1;ID2;ID4;ID3;PIK3R1;WNT1;DUSP9
VEGF signaling pathway_Homo sapiens_hsa04370	5/61	0.03211286576098092149234020098447217606008052825927734375	0.445518132081088091833720454815193079411983489990234375	0.024808747118501568718063055030143004842102527618408203125	0.340789881254643045593866190756671130657196044921875	-1.4841597523224315	5.103281121634241	PLA2G4F;PPP3R1;NFATC2;PIK3R1;PLCG1
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	6/83	0.033963265674343039168814328832013416104018688201904296875	0.445518132081088091833720454815193079411983489990234375	0.024303452931888396004733721156298997811973094940185546875	0.340789881254643045593866190756671130657196044921875	-1.3266052461316737	4.487210087843606	CACNB2;TGFB2;ITGB4;ITGA2;ITGA7;PRKAG2
Glioma_Homo sapiens_hsa05214	5/65	0.040626474930736893032001688652599113993346691131591796875	0.452985195477716373613219502658466808497905731201171875	0.031029615015899229824025695734235341660678386688232421875	0.340789881254643045593866190756671130657196044921875	-1.3980755056705712	4.478504665521852	CCND1;EGF;PTEN;PIK3R1;PLCG1
Small cell lung cancer_Homo sapiens_hsa05222	6/86	0.03938661799395448692706622750847600400447845458984375	0.452985195477716373613219502658466808497905731201171875	0.0280560517641254801579631106278611696325242519378662109375	0.340789881254643045593866190756671130657196044921875	-1.3235598692666986	4.280828287049781	CCND1;TRAF4;ITGA2;PTEN;PIK3R1;IKBKG
Glutamatergic synapse_Homo sapiens_hsa04724	7/114	0.048972409003277837802325933580505079589784145355224609375	0.4690741938960252266355155370547436177730560302734375	0.032612150079752100229057987235137261450290679931640625	0.340789881254643045593866190756671130657196044921875	-1.3354429664268441	4.028361332509901	PLA2G4F;PPP3R1;GNB2;GRIK4;ADCY6;GRIN2D;GNAI2
Dilated cardiomyopathy_Homo sapiens_hsa05414	6/90	0.047429027543695330415562949610830401070415973663330078125	0.4690741938960252266355155370547436177730560302734375	0.03362874708117502553506028561969287693500518798828125	0.340789881254643045593866190756671130657196044921875	-1.2915371906888584	3.937278044397406	CACNB2;TGFB2;ITGB4;ITGA2;ITGA7;ADCY6
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	5/68	0.047828122829458953602088655543411732651293277740478515625	0.4690741938960252266355155370547436177730560302734375	0.036284946380718864633596609792220988310873508453369140625	0.340789881254643045593866190756671130657196044921875	-1.1805655130468997	3.5890861728236496	IGSF5;ATP6V0B;CCL5;PLCG1;IKBKG
Melanoma_Homo sapiens_hsa05218	5/71	0.05573754573971127779241641064800205640494823455810546875	0.49717890799822461733725731392041780054569244384765625	0.042057912689358982472054293566543492488563060760498046875	0.36072748191257897332206994178704917430877685546875	-1.1412345940174276	3.294859866756226	CCND1;EGF;PTEN;PIK3R1;FGF21
MAPK signaling pathway_Homo sapiens_hsa04010	12/255	0.07042424905175480309704738601794815622270107269287109375	0.50310507925472958135060252971015870571136474609375	0.036676937892876383673357310044593759812414646148681640625	0.340789881254643045593866190756671130657196044921875	-1.233995592147573	3.2740588584148744	CACNB2;NR4A1;PLA2G4F;PPP3R1;TGFB2;PPM1B;GADD45B;EGF;IKBKG;DUSP9;PAK2;FGF21
Chronic myeloid leukemia_Homo sapiens_hsa05220	5/73	0.06140442641179748306523578094129334203898906707763671875	0.50310507925472958135060252971015870571136474609375	0.046197948738035669868917665326080168597400188446044921875	0.36167138892631711666325600162963382899761199951171875	-1.086228831310705	3.0308753654717964	TGFB2;SMAD4;CCND1;PIK3R1;IKBKG
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	8/151	0.074377889576671851745715002834913320839405059814453125	0.50310507925472958135060252971015870571136474609375	0.04703349900835514241226320564237539656460285186767578125	0.36167138892631711666325600162963382899761199951171875	-1.1623515073953683	3.0204826337660022	COX7B;NDUFA11;NDUFA12;EIF2AK3;MLX;PRKAG2;IRS2;PIK3R1
AMPK signaling pathway_Homo sapiens_hsa04152	7/124	0.0704206526504030094759656321912189014256000518798828125	0.50310507925472958135060252971015870571136474609375	0.046915017127504683724925627075208467431366443634033203125	0.36167138892631711666325600162963382899761199951171875	-1.050084911725004	2.7861574258172377	CCND1;PPP2R2D;PRKAG2;IRS2;PIK3R1;CPT1B;FBP2
Choline metabolism in cancer_Homo sapiens_hsa05231	6/101	0.07445052742334563877779629592623678036034107208251953125	0.50310507925472958135060252971015870571136474609375	0.05248088004246455329226961339372792281210422515869140625	0.365726132795924863128078641238971613347530364990234375	-1.037045070334259	2.693849467353733	PLA2G4F;CHKB;EGF;PIP5K1B;PIK3R1;PLCG1
Vibrio cholerae infection_Homo sapiens_hsa05110	4/51	0.0606468354764621297992022164180525578558444976806640625	0.50310507925472958135060252971015870571136474609375	0.04901273625958306456862345612535136751830577850341796875	0.364328006196234122082699968814267776906490325927734375	-0.8417997822865574	2.359301998177719	ATP6V0B;KDELR1;PLCG1;TJP2
Endometrial cancer_Homo sapiens_hsa05213	4/52	0.0642577422374349949141247861916781403124332427978515625	0.50310507925472958135060252971015870571136474609375	0.05178693025460957832795116928537026979029178619384765625	0.365726132795924863128078641238971613347530364990234375	-0.8466727967043354	2.3239924174593782	CCND1;EGF;PTEN;PIK3R1
