Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
B cell receptor signaling pathway_Homo sapiens_hsa04662	9/73	0.001951328842977799980784592293048262945376336574554443359375	0.46051360694276077811792902139131911098957061767578125	0.002307924058016212753852158812151174061000347137451171875	0.54467007769182618215353386403876356780529022216796875	-1.9975987340109251	12.463507275063415	LYN;GSK3B;JUN;CR2;CD81;FOS;SOS2;VAV1;NFKBIB
Cysteine and methionine metabolism_Homo sapiens_hsa00270	6/45	0.007367271867087154570141738219035687507130205631256103515625	0.57955872021085619305580394211574457585811614990234375	0.00875155377739574198703298435475517180748283863067626953125	0.68845556382179839971513501950539648532867431640625	-1.8061391432893787	8.869421594365207	MPST;LDHB;LDHA;TST;MAT2A;MAT2B
Hippo signaling pathway_Homo sapiens_hsa04390	13/153	0.00650222594156142121024632984926938661374151706695556640625	0.57955872021085619305580394211574457585811614990234375	0.005815331378317669698552183632500600651837885379791259765625	0.68620910264148504698056285633356310427188873291015625	-1.7124204524647397	8.623082767297	GSK3B;FBXW11;FGF1;BBC3;LATS2;APC;YWHAQ;BIRC5;SNAI2;BMPR1B;BMPR1A;TEAD3;YWHAH
Insulin signaling pathway_Homo sapiens_hsa04910	11/139	0.01913274721212665507863448510761372745037078857421875	0.98014913483964871687703634961508214473724365234375	0.0170330009685378709616276893257236224599182605743408203125	0.9452781176913422900298655804363079369068145751953125	-1.6987036426583524	6.7206727786988	SOCS2;RPTOR;PTPN1;GSK3B;SOCS3;PPP1R3C;PHKG1;RHEB;SOS2;RHOQ;FBP2
Colorectal cancer_Homo sapiens_hsa05210	6/62	0.032172237308989826143346135722822509706020355224609375	0.98014913483964871687703634961508214473724365234375	0.032455242357764764460359430131575209088623523712158203125	0.9452781176913422900298655804363079369068145751953125	-1.8475011636470107	6.349217448926455	GSK3B;JUN;APC;BIRC5;FOS;APPL1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	14/214	0.038855179436016733240943921146026696078479290008544921875	0.98014913483964871687703634961508214473724365234375	0.0311057057528612741770235317062542890198528766632080078125	0.9452781176913422900298655804363079369068145751953125	-1.7725193540878954	5.756990234403254	ROCK2;FGF1;MYL12A;VAV1;MYL12B;SLC9A1;FGD3;GNA13;APC;CFL1;PIP5K1C;ITGB6;SOS2;GIT1
Oxytocin signaling pathway_Homo sapiens_hsa04921	11/158	0.0431635226370996882838682040528510697185993194580078125	0.98014913483964871687703634961508214473724365234375	0.036913789835823600238295938424926134757697582244873046875	0.9452781176913422900298655804363079369068145751953125	-1.78803081907431	5.619350885538421	RGS2;JUN;EEF2K;PLCB4;ROCK2;GNAQ;CD38;MYL6B;OXT;FOS;KCNJ2
Propanoate metabolism_Homo sapiens_hsa00640	4/32	0.033749685417246232110866088760303682647645473480224609375	0.98014913483964871687703634961508214473724365234375	0.03707055522269352143549525635535246692597866058349609375	0.9452781176913422900298655804363079369068145751953125	-1.5057277140037455	5.102586260635075	BCKDHA;LDHB;LDHA;ACSS2
Viral carcinogenesis_Homo sapiens_hsa05203	13/205	0.05553383205202734596017677404233836568892002105712890625	0.98014913483964871687703634961508214473724365234375	0.045063689233299293601664459174571675248444080352783203125	0.9452781176913422900298655804363079369068145751953125	-1.7279612689352046	4.9951262553139895	LYN;GTF2A1;HDAC5;JUN;CDKN2B;HDAC3;UBE3A;HDAC7;YWHAQ;DNAJA3;MDM2;YWHAH;HIST1H2BC
Epstein-Barr virus infection_Homo sapiens_hsa05169	12/202	0.09321999025822814977093599964064196683466434478759765625	0.98014913483964871687703634961508214473724365234375	0.07650551176350682547333548200185759924352169036865234375	0.9452781176913422900298655804363079369068145751953125	-1.626931104599401	3.8603708870328597	LYN;GSK3B;HDAC5;JUN;CR2;YWHAQ;AKAP8L;MDM2;CD38;HSPB1;NFKBIB;YWHAH
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	8/118	0.086953024122424948938459010605583898723125457763671875	0.98014913483964871687703634961508214473724365234375	0.077548055211534794306516005235607735812664031982421875	0.9452781176913422900298655804363079369068145751953125	-1.5396076264386038	3.7603180503191798	GSK3B;NCOR1;PLCB4;HDAC3;RHEB;MDM2;ATP1B1;SLC9A1
Platelet activation_Homo sapiens_hsa04611	8/122	0.100559313515907022829054540125071071088314056396484375	0.98014913483964871687703634961508214473724365234375	0.0891845523701839948405023505983990617096424102783203125	0.9452781176913422900298655804363079369068145751953125	-1.546799234765877	3.5530095071889676	LYN;GNA13;PLCB4;ROCK2;GP1BB;GNAQ;MYL12A;MYL12B
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	9/137	0.084249456040948522694833400237257592380046844482421875	0.98014913483964871687703634961508214473724365234375	0.07357529033044012123365718025524984113872051239013671875	0.9452781176913422900298655804363079369068145751953125	-1.38342380867894	3.422553380233817	SOCS3;FBXW11;CUL3;MDM2;UBA2;UBE3A;UBE2L6;UBA1;RHOBTB1
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	5/67	0.1168103384261481025863105287498910911381244659423828125	0.98014913483964871687703634961508214473724365234375	0.1104547167892866166294396634839358739554882049560546875	0.9452781176913422900298655804363079369068145751953125	-1.4145657249286936	3.0373607564551177	LDHB;LDHA;ACSS2;PFKM;FBP2
