Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Proteoglycans in cancer_Homo sapiens_hsa05205	115/203	0.000000056344872270304311912109108094470766303629716276191174983978271484375	0.00001645270270292885960773145159752317567836144007742404937744140625	0.0000093763853578286682731446344263304126798175275325775146484375	0.0018437199135093534051177410759692065767012536525726318359375	-2.013336866302579	33.606165163105	ARAF;CBLB;FGF2;ACTB;ACTG1;IGF1R;PPP1CB;PPP1CC;CCND1;PLAU;MYC;AKT2;KDR;AKT1;IL12B;PRKACB;FRS2;PRKCA;TIAM1;SMO;EZR;DDX5;SDC4;PXN;ITPR1;TWIST1;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;IQGAP1;HIF1A;SLC9A1;WNT6;PLCG1;WNT1;WNT2;FZD1;SMAD2;WNT10B;WNT10A;FZD3;FZD2;TGFB1;FZD5;FZD4;WNT3A;CAV2;FZD7;PTCH1;CAV1;FZD6;RDX;FZD8;ESR1;SDC1;GRB2;HPSE;FGFR1;ITGB1;CDKN1A;WNT2B;ITGB5;HSPB2;CTSL;ITGAV;HRAS;ARHGEF12;PPP1R12A;MMP2;ITGA2;GAB1;WNT9A;NUDT16L1;VAV2;MRAS;ARHGEF1;ITGA5;SOS1;PPP1R12C;CD44;HBEGF;CD63;CAMK2D;ROCK2;SRC;CBL;THBS1;EGFR;CDC42;PAK1;ERBB3;ERBB4;GPC1;ERBB2;GPC3;DROSHA;FLNA;MAPK1;FLNB;FLNC;EIF4B;MAPK3;STAT3;MAPK14;MTOR;MAPK13;VEGFA;PPP1CA;MAPK11;TFAP4;PDCD4;CTNNB1;PTPN6
Hippo signaling pathway_Homo sapiens_hsa04390	89/153	0.00000035371814246361337578396753789089501651687896810472011566162109375	0.000051642848799687550323360418769169655206496827304363250732421875	0.0000463057929949430173758272155648541001937701366841793060302734375	0.004507097184841120547649229166609075036831200122833251953125	-1.7124204524647397	25.437604170893497	GSK3B;WNT2B;BMPR2;WWC1;SERPINE1;PPP2R2A;FGF1;LIMD1;ACTB;CTGF;ACTG1;BBC3;GLI2;PPP1CB;SOX2;PPP1CC;CCND3;CCND2;CCND1;PPP2R1B;MYC;BTRC;TEAD1;YWHAG;TEAD3;TEAD4;SCRIB;CSNK1E;AXIN2;WNT9A;YWHAZ;TGFBR1;TGFBR2;LATS1;PARD3;AJUBA;BIRC2;YAP1;CRB2;LEF1;NKD1;STK3;PPP2CA;WNT6;DVL1;DVL2;CTNNA1;DVL3;CTNNA3;WNT1;WNT2;SMAD2;FZD1;WWTR1;WNT10B;SMAD1;TCF7L2;SMAD4;WNT10A;FZD3;TCF7L1;TGFB1;SMAD3;FZD2;FZD5;TGFB3;FZD4;WNT3A;FZD7;FZD6;BMP8A;FZD8;GDF6;MPP5;WTIP;GDF5;BMP7;PPP1CA;SMAD7;MOB1B;BMP4;DLG1;APC;DLG3;ID2;ID1;SNAI2;CTNNB1;BMPR1A
Pathways in cancer_Homo sapiens_hsa05200	195/397	0.0000041249861997441158135914614224493135452576098032295703887939453125	0.00022826570406376200071674187341841388843022286891937255859375	0.0000126282185856805024963024630668684267220669426023960113525390625	0.0018437199135093534051177410759692065767012536525726318359375	-2.003005535653407	24.834159744560974	SPI1;ARAF;CBLB;EDNRA;TFG;MYC;AKT2;AKT1;PRKACB;DAPK1;DAPK2;PRKCA;RUNX1;ADCY9;CTBP2;CTBP1;EPAS1;PDGFB;LPAR1;PDGFA;TGFA;PIK3R3;PIK3R2;PIK3R1;HIF1A;GNG10;PLCG1;RALGDS;FZD1;STAT5A;WNT10B;STAT5B;WNT10A;FZD3;JUN;FZD2;FZD5;JUP;FZD4;FZD7;FZD6;FZD8;GNG12;GRB2;RET;CDKN1A;CDKN1B;GLI1;GLI3;GLI2;MECOM;SUFU;RAC2;HRAS;JAK1;NCOA4;WNT9A;FOS;PLCB4;RARA;RARB;PPARG;ARHGEF1;PLCB1;PLCB2;PPARD;PTGER4;PTGER2;ADCY8;ADCY6;EGFR;GNAI1;ADCY5;RXRA;CTNNA1;CTNNA3;BID;CDKN2B;EGLN2;STAT3;VEGFB;VEGFC;VEGFA;CCDC6;CTNNB1;FGF1;FGF2;ETS1;IGF1R;CCND1;EP300;PDGFRA;TPM3;RBX1;MSH6;MSH2;SMO;CCNE1;COL4A6;COL4A5;MAX;RASGRP2;PLD1;STK4;CSF2RA;RASGRP1;HSP90B1;WNT6;STK36;TPR;DVL1;ABL1;DVL2;DVL3;WNT1;WNT2;FGF21;SMAD2;SMAD4;TGFB1;SMAD3;TGFB3;WNT3A;PTCH1;ZBTB16;NFKB1;BMP4;NFKBIA;FGF16;IL6;CDK6;CDK4;GNAQ;GNB2;CDK2;BCL2;GNAS;CYCS;GNB5;FGF11;FGFR2;BCL2L1;FGF10;FGFR1;ITGB1;GSK3B;HSP90AB1;WNT2B;PTEN;LAMC1;CKS1B;ITGAV;NKX3-1;ARHGEF11;ARHGEF12;CHUK;ITGA3;ITGA2;PLEKHG5;MMP2;TRAF2;AXIN2;TGFBR1;TGFBR2;TRAF4;TRAF3;ITGA6;SOS1;CRK;BIRC2;CEBPA;HDAC2;ROCK2;HDAC1;LEF1;LAMA3;CBL;CDC42;GNA13;GNG5;GNG7;ERBB2;E2F1;E2F2;MAPK1;E2F3;MAPK3;TCF7L2;TCF7L1;EGF;BAD;MTOR;MAPK10;RAD51;APC
Axon guidance_Homo sapiens_hsa04360	75/127	0.00000128916987887160884376238322024388338604694581590592861175537109375	0.00012547920154350327716884228035354453822947107255458831787109375	0.0001258831565505489735561084341242121809045784175395965576171875	0.0091894704281900753406464588124435977078974246978759765625	-1.7252360387912575	23.39680933171428	SEMA5A;ITGB1;EPHB6;ROBO2;GSK3B;NRP1;LRRC4;ROBO1;RND1;PPP3CA;RGS3;PPP3CC;DPYSL5;DPYSL2;CFL1;RAC2;NCK2;PLXNC1;HRAS;EPHB4;EPHB3;NCK1;EPHA5;SEMA6B;EPHA4;SEMA6C;EPHA7;ARHGEF12;UNC5A;EPHA8;UNC5B;SEMA6D;RASA1;EPHA3;EPHA2;ROCK2;SEMA3D;SEMA3B;NTN4;SEMA3E;EFNA5;NTN1;EFNA4;GNAI1;EFNB2;CDC42;EFNB1;ABLIM1;PAK1;EFNB3;ABL1;PLXNA1;MAPK1;SLIT3;SLIT2;SRGAP2;PAK2;SRGAP1;PAK4;PLXNA3;MAPK3;SEMA4D;SEMA4B;SEMA4C;NFATC3;NFATC2;SEMA4G;NFATC4;EFNA1;EFNA3;EFNA2;CDK5;FES;PLXNB2;PLXNB1
Adherens junction_Homo sapiens_hsa04520	48/74	0.0000027221429680378172303082361105364128661676659248769283294677734375	0.00019871643666676065188327060528905576575198210775852203369140625	0.000446926374819364181922853873629719601012766361236572265625	0.016312812680906792206503297393282991833984851837158203125	-1.7699683649972162	22.680535929752875	SRC;LEF1;CTNND1;PTPRM;PTPRJ;IQGAP1;WASL;NLK;PTPRF;EGFR;ACTB;ACTG1;IGF1R;CDC42;ERBB2;CTNNA1;RAC2;EP300;MAPK1;CTNNA3;WASF2;MAPK3;SMAD2;FARP2;TCF7L2;SMAD4;TCF7L1;SMAD3;ACTN3;CSNK2A1;ACTN1;INSR;CSNK2A2;LMO7;SORBS1;BAIAP2;TGFBR1;TGFBR2;TJP1;FER;PARD3;CSNK2B;SNAI2;CTNNB1;PTPN6;SSX2IP;VCL;FGFR1
Chronic myeloid leukemia_Homo sapiens_hsa05220	47/73	0.000004690391179392369692090214439161854897974990308284759521484375	0.00022826570406376200071674187341841388843022286891937255859375	0.00057406170676736344334056827420909030479378998279571533203125	0.01709516832262748808890506779789575375616550445556640625	-1.7739314843794554	21.766129684195203	SHC4;SHC2;HDAC2;CDKN1A;CDKN1B;CTBP2;SHC1;HDAC1;CTBP1;ARAF;PIK3R3;PIK3R2;CBLB;PIK3R1;CBL;MECOM;CCND1;MYC;AKT2;E2F1;ABL1;AKT1;E2F2;MAPK1;E2F3;HRAS;MAPK3;STAT5A;STAT5B;SMAD4;TGFB1;SMAD3;CHUK;TGFB3;BAD;GAB2;TGFBR1;NFKB1;RUNX1;TGFBR2;NFKBIA;CDK6;CDK4;GRB2;SOS1;CRK;BCL2L1
MAPK signaling pathway_Homo sapiens_hsa04010	127/255	0.000084826537513856602808377804780803899120655842125415802001953125	0.002476934895404612514691056190940798842348158359527587890625	0.0002718463488109168491035916304099373519420623779296875	0.01587582677055754398764975121594034135341644287109375	-1.7686503233412896	16.580923668912437	ATF2;FGF1;FGF2;ELK4;RPS6KA3;RPS6KA5;MYC;AKT2;RPS6KA2;STMN1;AKT1;MAP3K8;MAP3K6;PRKACB;MAP3K4;PDGFRA;MAP2K4;DAXX;MEF2C;CACNA2D1;CACNA2D2;PRKCA;MAPK8IP3;CACNB1;CACNB2;CACNB3;CACNB4;DDIT3;MAPKAPK2;MAPKAPK5;ATF4;MAX;PDGFB;PDGFA;NLK;RASGRP2;STK4;RASGRP1;CACNA1G;STK3;CD14;MAP2K7;FGF21;JUN;JUND;TGFB1;GADD45B;GADD45A;TGFB3;NFATC3;NFATC1;HSPA2;GNG12;NFKB1;GADD45G;FGF16;NR4A1;PPP5C;NF1;GRB2;TAB2;TAB1;MAP3K14;FGF11;FGFR2;FGF10;FGFR1;MAP3K12;ARRB1;ARRB2;DUSP16;PPP3CA;PPP3CC;DUSP10;MECOM;RAC2;HRAS;DUSP4;DUSP5;MAP4K2;CHUK;DUSP1;TRAF2;FOS;DUSP8;DUSP6;TGFBR1;DUSP7;TGFBR2;PPM1B;MRAS;RASA1;RASA2;MAPT;SOS1;CRK;EGFR;CDC42;CACNG7;PAK1;MAPK7;NTF3;MKNK2;FLNA;MAPK1;FLNB;FLNC;PAK2;MAP4K3;CACNG4;MAP4K4;MAPK3;MAP3K2;MAP3K3;NTRK2;MAP3K1;HSPA1L;EGF;MAPK14;MAPK13;MAPK10;MOS;MAPK11;TAOK3;TAOK1;TAOK2;LAMTOR3
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	109/214	0.000083318373882721214634429485190736386357457377016544342041015625	0.002476934895404612514691056190940798842348158359527587890625	0.000389761854975829145387999918881405392312444746494293212890625	0.0162821460021923720973280325097221066243946552276611328125	-1.723054559375691	16.184378300202948	CYFIP2;MYLK2;NCKAP1;CHRM4;ARPC5L;ARAF;FGF1;FGF2;ACTB;ARHGAP35;MYLK;ACTG1;PPP1CB;PPP1CC;CFL1;PIP4K2A;PIP4K2B;PIP4K2C;PDGFRA;ACTN3;ACTN1;TIAM1;PFN4;PFN1;EZR;VCL;PXN;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;IQGAP1;IQGAP2;MYL12A;MYL12B;SLC9A1;SCIN;PDGFC;PIP5K1A;MYH14;PIP5K1B;PIP5K1C;CD14;MYH10;FGF21;RDX;ARPC5;GNG12;SSH1;DIAPH1;FGF16;DIAPH3;ARPC2;ARPC3;ITGA11;FGF11;FGFR2;FGF10;FGFR1;ITGB1;ITGB5;ARPC1B;ARPC1A;BRK1;WASL;RAC2;ITGB8;ITGAV;HRAS;GIT1;ARHGEF12;PPP1R12A;ITGA3;ITGA2;ITGA1;VAV1;VAV2;ENAH;MRAS;MYH9;ARHGEF1;ITGA6;ITGA5;ARHGEF7;SOS1;PPP1R12C;CRK;ROCK2;SRC;EGFR;FGD3;CDC42;GNA13;PAK1;MAPK1;PAK2;WASF2;PAK4;MAPK3;GSN;EGF;BAIAP2;PPP1CA;MOS;PIKFYVE;APC;ABI2;BCAR1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	77/142	0.0000656641143200013821523697288284893147647380828857421875	0.00239674017268005044856149510223985998891294002532958984375	0.000716778382130786703881064614307661031489260494709014892578125	0.01902720796201724795526644129495252855122089385986328125	-1.6541928358230107	15.93146170399791	GSK3B;WNT2B;BMPR2;ONECUT1;BMI1;FGF2;IGF1R;SOX2;MYC;AKT2;AKT1;JARID2;HRAS;JAK1;ACVR1;LIFR;AXIN2;WNT9A;KAT6A;DLX5;PIK3R3;PIK3R2;PIK3R1;ACVR1B;WNT6;ACVR1C;DVL1;DVL2;DVL3;PCGF1;MAPK1;OTX1;WNT1;SKIL;WNT2;MAPK3;SMAD2;FZD1;WNT10B;SMAD1;PCGF6;SMAD4;WNT10A;FZD3;ZFHX3;SMAD3;FZD2;FZD5;SETDB1;PCGF5;FZD4;WNT3A;FZD7;PCGF2;FZD6;STAT3;FZD8;INHBB;MAPK14;KLF4;SMAD5;TBX3;MAPK13;BMP4;MAPK11;MEIS1;REST;APC;ID2;ID1;ID3;CTNNB1;GRB2;TCF3;FGFR2;FGFR1;BMPR1A
Shigellosis_Homo sapiens_hsa05131	41/65	0.0000384652327204060954265844862742795839949394576251506805419921875	0.00160454970776551138211818425816090893931686878204345703125	0.00166112973905075300869171872619745045085437595844268798828125	0.0373115295232938348757301127989194355905055999755859375	-1.526403335535052	15.517043516914539	ITGB1;ROCK2;SRC;ARPC1B;ARPC1A;ARPC5L;NOD1;U2AF1;WASL;ACTB;U2AF1L4;ACTG1;CDC42;ABL1;MAPK1;BTRC;WASF2;MAPK3;ATG5;CHUK;RIPK2;RHOG;ARPC5;MAPK14;NFKB1;MAPK13;NFKBIA;MAPK10;MAD2L2;MAPK11;DIAPH1;ARPC2;ARPC3;ELMO1;ELMO2;PFN4;ITGA5;PFN1;CRK;VCL;CD44
