Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Herpes simplex infection_Homo sapiens_hsa05168	12/185	0.0243539336356079945400399111576916766352951526641845703125	0.99999948844690311755556422212976031005382537841796875	0.00490545280373049820410447097174255759455263614654541015625	0.5862734264617757151683008487452752888202667236328125	-1.7535163456144562	6.514421761166835	CD74;SOCS3;TBK1;CASP8;IRF3;CUL1;CDK1;SRSF3;CCL2;TNFRSF14;EIF2AK4;SRSF7
Fructose and mannose metabolism_Homo sapiens_hsa00051	4/32	0.022280263144351088178130027017687098123133182525634765625	0.99999948844690311755556422212976031005382537841796875	0.013346883828828572104985283885980607010424137115478515625	0.5862734264617757151683008487452752888202667236328125	-1.6792492397252807	6.387954876718453	PFKL;TPI1;PFKM;FUK
N-Glycan biosynthesis_Homo sapiens_hsa00510	5/49	0.02477554331701659062758835716522298753261566162109375	0.99999948844690311755556422212976031005382537841796875	0.01241722017654038785761105856408903491683304309844970703125	0.5862734264617757151683008487452752888202667236328125	-1.6954314065935472	6.269532863574934	DPM2;DPM3;STT3A;MOGS;ALG10B
One carbon pool by folate_Homo sapiens_hsa00670	3/20	0.028883413655706520473120946235212613828480243682861328125	0.99999948844690311755556422212976031005382537841796875	0.0205709974197114293936738960155707900412380695343017578125	0.5862734264617757151683008487452752888202667236328125	-1.5825435185084746	5.609306147744727	MTHFD1;MTHFD1L;GART
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	9/137	0.044119431377788502490755462304150569252669811248779296875	0.99999948844690311755556422212976031005382537841796875	0.0131498010063451249707089374396673520095646381378173828125	0.5862734264617757151683008487452752888202667236328125	-1.5261157916596224	4.762786057412542	SOCS3;UBA7;UBE2D3;CUL1;ANAPC4;CBLB;BIRC6;UBE2G1;UBE4B
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	10/169	0.0628649924868128484600759975364780984818935394287109375	0.99999948844690311755556422212976031005382537841796875	0.01739304721426741806578064597488264553248882293701171875	0.5862734264617757151683008487452752888202667236328125	-1.6710613038720297	4.623435312798296	ATF6B;UBE2D3;STT3A;CUL1;MOGS;UBE2G1;UBE4B;EIF2AK4;RNF5;TXNDC5
Steroid biosynthesis_Homo sapiens_hsa00100	3/20	0.028883413655706520473120946235212613828480243682861328125	0.99999948844690311755556422212976031005382537841796875	0.0205709974197114293936738960155707900412380695343017578125	0.5862734264617757151683008487452752888202667236328125	-1.1329212201951429	4.015625409998506	SQLE;CYP27B1;EBP
Endocytosis_Homo sapiens_hsa04144	13/259	0.10451798838607252728483132386827492155134677886962890625	0.99999948844690311755556422212976031005382537841796875	0.023657437059510712240584240362295531667768955230712890625	0.599321738840937978665124319377355277538299560546875	-1.7161130819031105	3.875663065116185	GIT2;CAV2;F2R;CBLB;ARRB1;SNF8;ARPC5;ARAP1;EPN3;SNX4;PIP5KL1;SNX5;RAB11FIP5
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	6/94	0.10036661809931768374326566117815673351287841796875	0.99999948844690311755556422212976031005382537841796875	0.044438873592983839377890120658776140771806240081787109375	0.88606267563984408841548656710074283182621002197265625	-1.6614186642130915	3.819477926162768	ATF6B;RHEB;EHMT2;ADIPOR2;FOXO1;ADCY5
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	5/70	0.089106446853180809597461120574735105037689208984375	0.99999948844690311755556422212976031005382537841796875	0.04410135807280628206239470046057249419391155242919921875	0.88606267563984408841548656710074283182621002197265625	-1.4622663379417467	3.535648276104263	SIKE1;CASP8;TBK1;IRF3;PIN1
Adherens junction_Homo sapiens_hsa04520	5/74	0.10660660256163635717374660316636436618864536285400390625	0.99999948844690311755556422212976031005382537841796875	0.0531035792853397359269962407779530622065067291259765625	0.88606267563984408841548656710074283182621002197265625	-1.50095762903909	3.360058504944833	FARP2;TCF7L1;WASF2;SSX2IP;PTPRF
Pentose phosphate pathway_Homo sapiens_hsa00030	3/29	0.074126423516244266398445006416295655071735382080078125	0.99999948844690311755556422212976031005382537841796875	0.048698313726040380611248536979474010877311229705810546875	0.88606267563984408841548656710074283182621002197265625	-1.1391106090118226	2.9639466876186957	PFKL;IDNK;PFKM
Alcoholism_Homo sapiens_hsa05034	9/179	0.156341050235838829873813438098295591771602630615234375	0.99999948844690311755556422212976031005382537841796875	0.05440735727613077443720612791366875171661376953125	0.88606267563984408841548656710074283182621002197265625	-1.5018806805337142	2.7870631657601983	GRIN3A;ATF6B;H2AFJ;HIST1H2AE;HIST1H2BF;HIST1H2AD;HIST1H2BG;ADCY5;HDAC7
