Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Non-small cell lung cancer_Homo sapiens_hsa05223	5/56	0.0072456042654223361265675151798859587870538234710693359375	0.63528850103834322293749892196501605212688446044921875	0.005360336328307998242370668862122329301200807094573974609375	0.4646038489262391824041742438566870987415313720703125	-2.1157717812286143	10.42516988336692	CASP9;ARAF;PLCG2;RARB;TGFA
VEGF signaling pathway_Homo sapiens_hsa04370	5/61	0.010337741386587627478998996366499341093003749847412109375	0.63528850103834322293749892196501605212688446044921875	0.007480322688375218125045318373622649232856929302215576171875	0.4646038489262391824041742438566870987415313720703125	-1.9849985143674114	9.075321636387722	CASP9;PPP3CA;PPP3R1;PLCG2;PTK2
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	5/68	0.0160296318050697876589349988307731109671294689178466796875	0.63528850103834322293749892196501605212688446044921875	0.011342782957207919736219992046244442462921142578125	0.4646038489262391824041742438566870987415313720703125	-1.8860547647231753	7.795660867284577	JUN;PLCG2;F11R;ATP6V0C;ATP6V1C1
B cell receptor signaling pathway_Homo sapiens_hsa04662	5/73	0.0211733199157775366094913493952844874002039432525634765625	0.63528850103834322293749892196501605212688446044921875	0.0148153616796175106873345583835543948225677013397216796875	0.4646038489262391824041742438566870987415313720703125	-1.8965733573425443	7.311315677075187	PPP3CA;JUN;PPP3R1;PLCG2;PTPN6
Arginine and proline metabolism_Homo sapiens_hsa00330	4/50	0.022978435432919032399556868995205149985849857330322265625	0.63528850103834322293749892196501605212688446044921875	0.01772024714349855478712214562619919888675212860107421875	0.4646038489262391824041742438566870987415313720703125	-1.6709778863639877	6.304932244814508	ALDH4A1;GOT1;ARG1;PYCR1
Alzheimer's disease_Homo sapiens_hsa05010	8/168	0.0305418869218153470057597331788201699964702129364013671875	0.63528850103834322293749892196501605212688446044921875	0.0166820891757978977121279484663318726234138011932373046875	0.4646038489262391824041742438566870987415313720703125	-1.691693129104645	5.90173571631274	CASP9;PPP3CA;NCSTN;PPP3R1;COX7B;NDUFB11;NDUFAB1;ATP2A3
Wnt signaling pathway_Homo sapiens_hsa04310	7/142	0.0354899944505668030192424566848785616457462310791015625	0.63528850103834322293749892196501605212688446044921875	0.0209071732016807600162966451762258657254278659820556640625	0.4646038489262391824041742438566870987415313720703125	-1.6763535382747285	5.596513778634228	WNT10B;WNT6;PPP3CA;PPP3R1;JUN;SMAD3;CTNNBIP1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	7/142	0.0354899944505668030192424566848785616457462310791015625	0.63528850103834322293749892196501605212688446044921875	0.0209071732016807600162966451762258657254278659820556640625	0.4646038489262391824041742438566870987415313720703125	-1.6541928358230107	5.522530174469861	WNT10B;WNT6;SMAD3;LIF;LIFR;INHBB;KLF4
Pathways in cancer_Homo sapiens_hsa05200	14/397	0.052273582101028899515871017911194940097630023956298828125	0.63528850103834322293749892196501605212688446044921875	0.0203103994469697353431048014726911787874996662139892578125	0.4646038489262391824041742438566870987415313720703125	-1.7894583092511487	5.281164170113093	WNT10B;JUN;SMAD3;TPM3;EPAS1;ARAF;TGFA;PTK2;BCR;CASP9;WNT6;PLCG2;RARA;RARB
ErbB signaling pathway_Homo sapiens_hsa04012	5/87	0.040890080933314663924615928181083290837705135345458984375	0.63528850103834322293749892196501605212688446044921875	0.02813234394700379892295671879764995537698268890380859375	0.468872399116730009804854262256412766873836517333984375	-1.6028683899160252	5.12415828776323	JUN;ARAF;PLCG2;TGFA;PTK2
MAPK signaling pathway_Homo sapiens_hsa04010	10/255	0.0523675524540229420100700963303097523748874664306640625	0.63528850103834322293749892196501605212688446044921875	0.02567406194279893416609894529756275005638599395751953125	0.466801126232707919161413201436516828835010528564453125	-1.6668113269234388	4.916206849868144	DUSP4;MAP3K2;PPP3CA;PPM1A;PPP3R1;JUN;RPS6KA1;MAPK8IP3;DUSP6;MAP3K4
Colorectal cancer_Homo sapiens_hsa05210	4/62	0.04557102169611822184425165005450253374874591827392578125	0.63528850103834322293749892196501605212688446044921875	0.0340948763728530501726510237858747132122516632080078125	0.4760223832992218628845648709102533757686614990234375	-1.5717015457740067	4.854173903765808	CASP9;JUN;SMAD3;ARAF
Pancreatic cancer_Homo sapiens_hsa05212	4/66	0.05510596138466690441237716413525049574673175811767578125	0.63528850103834322293749892196501605212688446044921875	0.04100779292385843544099799373725545592606067657470703125	0.4760223832992218628845648709102533757686614990234375	-1.4935412948351217	4.3290255248881095	CASP9;SMAD3;ARAF;TGFA
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	3/35	0.03978719112060331852820382891877670772373676300048828125	0.63528850103834322293749892196501605212688446044921875	0.033144392184806865941926190544108976610004901885986328125	0.4760223832992218628845648709102533757686614990234375	-1.240638860072264	4.000080528735663	ALDH4A1;GOT1;DDO
Long-term potentiation_Homo sapiens_hsa04720	4/66	0.05510596138466690441237716413525049574673175811767578125	0.63528850103834322293749892196501605212688446044921875	0.04100779292385843544099799373725545592606067657470703125	0.4760223832992218628845648709102533757686614990234375	-1.361523138178889	3.946371244159568	PPP3CA;PPP3R1;RPS6KA1;ARAF
Renal cell carcinoma_Homo sapiens_hsa05211	4/66	0.05510596138466690441237716413525049574673175811767578125	0.63528850103834322293749892196501605212688446044921875	0.04100779292385843544099799373725545592606067657470703125	0.4760223832992218628845648709102533757686614990234375	-1.346518265164779	3.9028796590923083	JUN;EPAS1;ARAF;TGFA
Proteoglycans in cancer_Homo sapiens_hsa05205	8/203	0.0757273219663185670480487488021026365458965301513671875	0.6706592533827413493696667501353658735752105712890625	0.04284201449692996710449932606934453360736370086669921875	0.4760223832992218628845648709102533757686614990234375	-1.4956738845880118	3.8597603453253666	WNT10B;VTN;WNT6;GPC1;ARAF;PLCG2;PTPN6;PTK2
p53 signaling pathway_Homo sapiens_hsa04115	4/69	0.062908550833045639993912345744320191442966461181640625	0.66219527192679616955928167953970842063426971435546875	0.046677651089394679717603509061518707312643527984619140625	0.4913436956778387543209873911109752953052520751953125	-1.1484556062445137	3.1767122522587603	CASP9;GORAB;SESN1;SESN2
Adherens junction_Homo sapiens_hsa04520	4/74	0.077125814139015258508180750141036696732044219970703125	0.6706592533827413493696667501353658735752105712890625	0.057048528200226274187389918779444997198879718780517578125	0.518622983638420631535836946568451821804046630859375	-1.1646942090914323	2.984316052115733	SMAD3;SNAI1;PTPRM;PTPN6
Biosynthesis of amino acids_Homo sapiens_hsa01230	4/74	0.077125814139015258508180750141036696732044219970703125	0.6706592533827413493696667501353658735752105712890625	0.057048528200226274187389918779444997198879718780517578125	0.518622983638420631535836946568451821804046630859375	-1.0631771466500493	2.72419713279545	TPI1;GOT1;ARG1;PYCR1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	6/151	0.11129744570821235860602627099069650284945964813232421875	0.74198297138808244621799303786247037351131439208984375	0.07230905145725953497848337292452924884855747222900390625	0.5438624664150364385051261706394143402576446533203125	-1.214018586038371	2.6654372568363525	SREBF1;JUN;COX7B;NDUFB11;NDUFAB1;PRKAG2
