Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Small cell lung cancer_Homo sapiens_hsa05222	4/86	0.000667562104089616283053576495376546517945826053619384765625	0.0694264588253200864986780516119324602186679840087890625	0.00015388520034118212853786744620521176329930312931537628173828125	0.016004060835482940283736041919837589375674724578857421875	-1.883898100332313	13.774833323081266	TRAF4;MAX;CKS2;PIK3CG
Pathways in cancer_Homo sapiens_hsa05200	6/397	0.0100362136995350258172887691898722550831735134124755859375	0.46335948618558508993459099656320177018642425537109375	0.0011601480093622082261084482723845212603919208049774169921875	0.060327696486834829492362786140802199952304363250732421875	-2.0830857455542535	9.58543437239339	STAT5B;TRAF4;MAX;RASSF5;CKS2;PIK3CG
Non-small cell lung cancer_Homo sapiens_hsa05223	2/56	0.02744643529752820165779070293865515850484371185302734375	0.46335948618558508993459099656320177018642425537109375	0.01389372562652885050027418145646151970140635967254638671875	0.223514929223303238092768197020632214844226837158203125	-1.9437701903805324	6.988862614440441	RASSF5;PIK3CG
Apoptosis_Homo sapiens_hsa04210	3/140	0.02682819447757521513775458288364461623132228851318359375	0.46335948618558508993459099656320177018642425537109375	0.00955335285667830054479043866422216524370014667510986328125	0.223514929223303238092768197020632214844226837158203125	-1.8841494994513188	6.817421735828381	HTRA2;PIK3CG;GADD45G
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.02350520783958566506388621064616017974913120269775390625	0.46335948618558508993459099656320177018642425537109375	0.008325962820179888534966039514984004199504852294921875	0.223514929223303238092768197020632214844226837158203125	-1.7754276137140794	6.658800337597421	RBL2;PIK3CG;GADD45G
Acute myeloid leukemia_Homo sapiens_hsa05221	2/57	0.028360741473306923243757893260408309288322925567626953125	0.46335948618558508993459099656320177018642425537109375	0.01435415676398250905965170431954902596771717071533203125	0.223514929223303238092768197020632214844226837158203125	-1.83551921901117	6.539495056096904	STAT5B;PIK3CG
Central carbon metabolism in cancer_Homo sapiens_hsa05230	2/67	0.038149919487524990013849190972905489616096019744873046875	0.46335948618558508993459099656320177018642425537109375	0.019314356340531017852679696034101652912795543670654296875	0.223514929223303238092768197020632214844226837158203125	-1.6832495717035934	5.4978829950977	PDHB;PIK3CG
Prolactin signaling pathway_Homo sapiens_hsa04917	2/72	0.04346035733717852622692845443452824838459491729736328125	0.46335948618558508993459099656320177018642425537109375	0.0220289360696933854411039277465533814392983913421630859375	0.223514929223303238092768197020632214844226837158203125	-1.7052383788429915	5.3474674034381255	STAT5B;PIK3CG
Chronic myeloid leukemia_Homo sapiens_hsa05220	2/73	0.0445537967486139552253376905355253256857395172119140625	0.46335948618558508993459099656320177018642425537109375	0.0225899684257064616021981606763802119530737400054931640625	0.223514929223303238092768197020632214844226837158203125	-1.6429405028425506	5.111283037598753	STAT5B;PIK3CG
p53 signaling pathway_Homo sapiens_hsa04115	2/69	0.0402422739728348355381370993200107477605342864990234375	0.46335948618558508993459099656320177018642425537109375	0.02038191337247872991778052664813003502786159515380859375	0.223514929223303238092768197020632214844226837158203125	-1.529528901014652	4.9141274197618285	STEAP3;GADD45G
Viral carcinogenesis_Homo sapiens_hsa05203	3/205	0.0687508305450315326812216198959504254162311553955078125	0.53040427078073992817053294857032597064971923828125	0.025956081818719826947994278043552185408771038055419921875	0.223514929223303238092768197020632214844226837158203125	-1.6770848959236768	4.490003145537399	RBL2;STAT5B;PIK3CG
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	2/78	0.05017140930409950960733311831063474528491497039794921875	0.474347869784213560517827090734499506652355194091796875	0.0254835543661068621157372859897805028595030307769775390625	0.223514929223303238092768197020632214844226837158203125	-1.479482663060469	4.427070693981755	SEPT8;PIK3CG
ErbB signaling pathway_Homo sapiens_hsa04012	2/87	0.06087980204784208815294022087982739321887493133544921875	0.52762495108129814358477460700669325888156890869140625	0.0310512930301401583743636791723474743776023387908935546875	0.2306667482238982935793814021963044069707393646240234375	-1.5731704947230767	4.403074243865273	STAT5B;PIK3CG
