Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
beta-Alanine metabolism_Homo sapiens_hsa00410	3/31	0.0118204663727985437304823790327645838260650634765625	0.943912469584002877809325582347810268402099609375	0.006887268273523095875321420322734411456622183322906494140625	0.6898614692421209948491878094500862061977386474609375	-1.9280901756845117	8.55671537337459	ALDH3B2;DPYS;UPB1
Pyrimidine metabolism_Homo sapiens_hsa00240	5/105	0.0232462742948294810718667946503046550787985324859619140625	0.943912469584002877809325582347810268402099609375	0.00867750275776252820436607038345755427144467830657958984375	0.6898614692421209948491878094500862061977386474609375	-1.7620875155779794	6.628286733423768	TXNRD1;DPYS;POLD2;POLR2I;UPB1
Pantothenate and CoA biosynthesis_Homo sapiens_hsa00770	2/18	0.0307449076223545968156170005158855929039418697357177734375	0.943912469584002877809325582347810268402099609375	0.021926974390090246680440344562157406471669673919677734375	0.8527750927896440291675617118016816675662994384765625	-1.1584334652918717	4.033701126629946	DPYS;UPB1
Tyrosine metabolism_Homo sapiens_hsa00350	2/35	0.10098163478656034530711593788510072045028209686279296875	0.943912469584002877809325582347810268402099609375	0.067797216711397545463313463187660090625286102294921875	0.8527750927896440291675617118016816675662994384765625	-1.7419476791376518	3.9939665767822485	ALDH3B2;COMT
Fructose and mannose metabolism_Homo sapiens_hsa00051	2/32	0.08670184656951744617270350090620922856032848358154296875	0.943912469584002877809325582347810268402099609375	0.058378680449239495064972516047419048845767974853515625	0.8527750927896440291675617118016816675662994384765625	-1.486789054558636	3.635615683613281	PFKFB4;PFKFB3
Axon guidance_Homo sapiens_hsa04360	4/127	0.13295601981910964983768508318462409079074859619140625	0.943912469584002877809325582347810268402099609375	0.0646267560730502677035502756552887149155139923095703125	0.8527750927896440291675617118016816675662994384765625	-1.6481528670645271	3.325538829519457	EFNB1;NFATC2;SEMA4G;PAK2
ErbB signaling pathway_Homo sapiens_hsa04012	3/87	0.1505863966247971974521391302914707921445369720458984375	0.943912469584002877809325582347810268402099609375	0.08566181933540335802224063854737323708832263946533203125	0.8527750927896440291675617118016816675662994384765625	-1.7216599706878195	3.259478155226979	CDKN1A;PAK2;CRKL
Drug metabolism - other enzymes_Homo sapiens_hsa00983	2/46	0.1578036982731481352448810184796457178890705108642578125	0.943912469584002877809325582347810268402099609375	0.1059854998229204647852697007692768238484859466552734375	0.8527750927896440291675617118016816675662994384765625	-1.5315917046034906	2.8279361834577785	DPYS;UPB1
Hepatitis B_Homo sapiens_hsa05161	4/146	0.1885054460817162935715174398865201510488986968994140625	0.943912469584002877809325582347810268402099609375	0.09516106531646624511200371898667071945965290069580078125	0.8527750927896440291675617118016816675662994384765625	-1.6559866473897213	2.763226318112057	CDKN1A;NFATC2;LAMTOR5;JAK1
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	2/48	0.1686946770606907453071698910207487642765045166015625	0.943912469584002877809325582347810268402099609375	0.11344500521368161560786802510847337543964385986328125	0.8527750927896440291675617118016816675662994384765625	-1.4799493170571554	2.6338137684275966	GNPDA1;GALT
