Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fructose and mannose metabolism_Homo sapiens_hsa00051	3/32	0.0006071175045682629389798279362366884015500545501708984375	0.052212105392870612752265202516355202533304691314697265625	0.000553898937531393923718037175518702497356571257114410400390625	0.047635308627699879391315107568516395986080169677734375	-1.6792492397252807	12.43784345895365	PFKFB1;GMDS;HK1
Glucagon signaling pathway_Homo sapiens_hsa04922	3/101	0.0157566468527345175665299592537849093787372112274169921875	0.385988474347941867836908613753621466457843780517578125	0.01237673800999700667035963164153145044110715389251708984375	0.389926795840772000278917630566866137087345123291015625	-1.8884032082328548	7.837804259823995	PFKFB1;FOXO1;ATF4
TNF signaling pathway_Homo sapiens_hsa04668	3/110	0.0197360277855085537723756061723179300315678119659423828125	0.385988474347941867836908613753621466457843780517578125	0.01546649901878782533415357391959332744590938091278076171875	0.389926795840772000278917630566866137087345123291015625	-1.8607990620075272	7.304212220611001	RPS6KA4;EDN1;ATF4
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	2/48	0.0258642531173623214935108904910521232523024082183837890625	0.385988474347941867836908613753621466457843780517578125	0.022670162548882093200841580937776598148047924041748046875	0.389926795840772000278917630566866137087345123291015625	-1.6692995987474206	6.101112173110091	GMDS;HK1
AMPK signaling pathway_Homo sapiens_hsa04152	3/124	0.0269294284428796652786086696096390369348227977752685546875	0.385988474347941867836908613753621466457843780517578125	0.0210695157728432447274968808414996601641178131103515625	0.389926795840772000278917630566866137087345123291015625	-1.6642965140246946	6.015658992558481	PFKFB1;CAB39;FOXO1
Prostate cancer_Homo sapiens_hsa05215	2/89	0.07837751233745404721986460572225041687488555908203125	0.5873484819633636444535795817500911653041839599609375	0.06733029527513502421331992309205816127359867095947265625	0.5450083187758785197019051338429562747478485107421875	-1.8045487964371543	4.594775033751905	FOXO1;ATF4
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	2/101	0.0971752052218876338773867473719292320311069488525390625	0.5873484819633636444535795817500911653041839599609375	0.0834544783055478356370571191291674040257930755615234375	0.5450083187758785197019051338429562747478485107421875	-1.83333793217014	4.273950153329676	EDN1;FOXO1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	2/94	0.0860597458552791183539198982543894089758396148681640625	0.5873484819633636444535795817500911653041839599609375	0.0739095388020833687914290521803195588290691375732421875	0.5450083187758785197019051338429562747478485107421875	-1.7195667742516845	4.217604649418009	FOXO1;ATF4
Cholinergic synapse_Homo sapiens_hsa04725	2/111	0.11370548062682017675939505352289415895938873291015625	0.5873484819633636444535795817500911653041839599609375	0.097706202385218932082722176346578635275363922119140625	0.5450083187758785197019051338429562747478485107421875	-1.74698372180261	3.7981936123427853	GNB5;ATF4
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.10042290702090551912650795429726713337004184722900390625	0.5873484819633636444535795817500911653041839599609375	0.086249084831521438676560364910983480513095855712890625	0.5450083187758785197019051338429562747478485107421875	-1.6012552599685341	3.6802689497740775	EDN1;HK1
MAPK signaling pathway_Homo sapiens_hsa04010	3/255	0.1474798292457137616207063501860830001533031463623046875	0.5873484819633636444535795817500911653041839599609375	0.11873339233476455645277525263736606575548648834228515625	0.5450083187758785197019051338429562747478485107421875	-1.564972330505588	2.9954569850886283	RPS6KA4;PPM1A;ATF4
Lysosome_Homo sapiens_hsa04142	2/123	0.1344039499329444387054621756760752759873867034912109375	0.5873484819633636444535795817500911653041839599609375	0.115649735256057761834114216981106437742710113525390625	0.5450083187758785197019051338429562747478485107421875	-1.4480305599405037	2.906060439804862	NPC1;AP1S2
Dopaminergic synapse_Homo sapiens_hsa04728	2/129	0.145051357058894214713262726945686154067516326904296875	0.5873484819633636444535795817500911653041839599609375	0.12492299988491849249694354284656583331525325775146484375	0.5450083187758785197019051338429562747478485107421875	-1.4673285025292504	2.832923323497149	GNB5;ATF4
Endocytosis_Homo sapiens_hsa04144	3/259	0.152374195447851856766163791689905337989330291748046875	0.5873484819633636444535795817500911653041839599609375	0.12283593135915697736049168042882229201495647430419921875	0.5450083187758785197019051338429562747478485107421875	-1.4952626531685733	2.8132110369214374	ACAP3;ZFYVE27;CHMP6
Axon guidance_Homo sapiens_hsa04360	2/127	0.141482313520439439979980988937313668429851531982421875	0.5873484819633636444535795817500911653041839599609375	0.121811302674526389377973600858240388333797454833984375	0.5450083187758785197019051338429562747478485107421875	-1.4169033518843357	2.7708686538854077	SEMA3B;SRGAP1
Insulin signaling pathway_Homo sapiens_hsa04910	2/139	0.163164475972395639491452357106027193367481231689453125	0.5873484819633636444535795817500911653041839599609375	0.1407660670238249089880611109037999995052814483642578125	0.5450083187758785197019051338429562747478485107421875	-1.2560067653603335	2.2771359096209163	FOXO1;HK1
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.2194546985898028490513667065897607244551181793212890625	0.5873484819633636444535795817500911653041839599609375	0.1905492463926454771439011892653070390224456787109375	0.5450083187758785197019051338429562747478485107421875	-1.2413510435904405	1.8826447263613266	ERO1LB;ATF4
Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040	1/23	0.1130602422304594345536798982720938511192798614501953125	0.5873484819633636444535795817500911653041839599609375	0.10676113218887295364112333118100650608539581298828125	0.5450083187758785197019051338429562747478485107421875	-0.8600914675737996	1.8748570414802095	ELOVL5
Butirosin and neomycin biosynthesis_Homo sapiens_hsa00524	1/5	0.025733549148197761013978634991872240789234638214111328125	0.385988474347941867836908613753621466457843780517578125	0.027795513486821132875803641582024283707141876220703125	0.398402359977769571219852196009014733135700225830078125	-0.4830681943718753	1.768010135378682	HK1
Alcoholism_Homo sapiens_hsa05034	2/179	0.2386117854640481816819175264754449017345905303955078125	0.5873484819633636444535795817500911653041839599609375	0.2076822258644833996132916809074231423437595367431640625	0.5450083187758785197019051338429562747478485107421875	-1.150921738084073	1.6491757572677608	GNB5;ATF4
Galactose metabolism_Homo sapiens_hsa00052	1/30	0.1448862816575136047703153963084332644939422607421875	0.5873484819633636444535795817500911653041839599609375	0.135759044916132831648525325363152660429477691650390625	0.5450083187758785197019051338429562747478485107421875	-0.7834904584181912	1.5135516536716025	HK1
Fatty acid elongation_Homo sapiens_hsa00062	1/25	0.1222712275566890383071694259342621080577373504638671875	0.5873484819633636444535795817500911653041839599609375	0.11514115205312415446403662144803092814981937408447265625	0.5450083187758785197019051338429562747478485107421875	-0.7049807213496104	1.4815265208900283	ELOVL5
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	2/180	0.24053319544922324713098760184948332607746124267578125	0.5873484819633636444535795817500911653041839599609375	0.2094059963182953454374768398338346742093563079833984375	0.5450083187758785197019051338429562747478485107421875	-1.019519361206194	1.452710254730036	REL;FOXO1
Viral carcinogenesis_Homo sapiens_hsa05203	2/205	0.288679131514394338164919417977216653525829315185546875	0.5873484819633636444535795817500911653041839599609375	0.252922041336336944628015999114722944796085357666015625	0.5450083187758785197019051338429562747478485107421875	-1.0156920467738138	1.2619358976763646	REL;ATF4
Type II diabetes mellitus_Homo sapiens_hsa04930	1/48	0.22162471557122043197551874982309527695178985595703125	0.5873484819633636444535795817500911653041839599609375	0.206196158030583609477304207757697440683841705322265625	0.5450083187758785197019051338429562747478485107421875	-0.7892807511666213	1.1892643979747113	HK1
