Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Shigellosis_Homo sapiens_hsa05131	17/65	0.0081040119512067292084633862714326824061572551727294921875	0.7213984196209290988832663060748018324375152587890625	0.0091548808316788098105032389639745815657079219818115234375	0.52467528850855338351522050288622267544269561767578125	-1.7432854421243604	8.39460980990147	FBXW11;ROCK2;SRC;RHOG;ARPC5L;WASL;MAPK14;RELA;ACTB;ABL1;ELMO2;ELMO3;WASF1;BTRC;WASF2;VCL;NFKBIB
Tight junction_Homo sapiens_hsa04530	30/139	0.01186585795188184987158930283612789935432374477386474609375	0.7213984196209290988832663060748018324375152587890625	0.00773187674464522779749220404710285947658121585845947265625	0.52467528850855338351522050288622267544269561767578125	-1.673347706443973	7.4197744692770895	IGSF5;EPB41;SRC;F11R;ACTB;MYL12A;PPP2CA;NRAS;RRAS;EPB41L1;CTNNA1;SYMPK;PRKCI;ACTN1;PRKCE;MAGI3;MAGI2;RRAS2;SHROOM1;MPP5;CLDN4;CLDN15;VAPA;CLDN14;CDK4;CLDN8;CSNK2B;CTNNB1;TJP3;CRB3
Notch signaling pathway_Homo sapiens_hsa04330	13/48	0.01436594722926482804725711872606552788056433200836181640625	0.7213984196209290988832663060748018324375152587890625	0.016970882607939809239017137088012532331049442291259765625	0.52467528850855338351522050288622267544269561767578125	-1.6350875168677719	6.9375040753824635	NOTCH2;NUMBL;NOTCH1;CTBP1;NOTCH4;NCOR2;APH1A;KAT2A;ADAM17;SNW1;MFNG;DVL3;HES5
Base excision repair_Homo sapiens_hsa03410	10/33	0.01367219727360733001753079207674090866930782794952392578125	0.7213984196209290988832663060748018324375152587890625	0.0191812528503182942729576865303897648118436336517333984375	0.52467528850855338351522050288622267544269561767578125	-1.5624792949225572	6.706771913603895	POLE4;FEN1;PARP4;LIG1;NTHL1;POLE2;OGG1;TDG;POLL;UNG
RNA degradation_Homo sapiens_hsa03018	18/77	0.02108368649612869794029990089256898500025272369384765625	0.7213984196209290988832663060748018324375152587890625	0.01857874749971345773591480110553675331175327301025390625	0.52467528850855338351522050288622267544269561767578125	-1.7104428119118393	6.601036153227132	ZCCHC7;BTG3;TTC37;PNPT1;BTG1;DIS3;PARN;EDC3;CNOT4;PAN2;EXOSC5;LSM7;EXOSC4;CNOT1;EXOSC8;C1D;PABPC1;DCPS
Salmonella infection_Homo sapiens_hsa05132	20/86	0.01651745087804860900870806972307036630809307098388671875	0.7213984196209290988832663060748018324375152587890625	0.0141909234134519716963307445212194579653441905975341796875	0.52467528850855338351522050288622267544269561767578125	-1.605811259268925	6.589186084784001	DYNC1I2;DYNC1H1;JUN;ROCK2;RHOG;ARPC5L;FOS;WASL;MAPK14;RELA;ACTB;DYNC1LI1;KLC3;KLC2;FLNB;PKN1;WASF1;TLR4;WASF2;MYD88
Spliceosome_Homo sapiens_hsa03040	28/134	0.0221442809166806954535022811114686192013323307037353515625	0.7213984196209290988832663060748018324375152587890625	0.01399026035185624294854278559796512126922607421875	0.52467528850855338351522050288622267544269561767578125	-1.648720946310429	6.2819170029535725	SF3B4;SF3B5;SF3B2;DDX5;DDX23;PCBP1;TRA2B;SNRPD3;RBM17;HSPA8;SF3A1;THOC1;THOC3;WBP11;CDC40;HNRNPM;PRPF4;LSM7;SNRNP40;SNW1;SRSF2;SRSF4;PPIH;PRPF31;SNRPA1;SRSF5;SRSF6;SRSF7
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	18/78	0.0238731455193508072809560616178714553825557231903076171875	0.7213984196209290988832663060748018324375152587890625	0.0205388902974878544138714886457819375209510326385498046875	0.52467528850855338351522050288622267544269561767578125	-1.573534947284785	5.877154712128329	SRC;RHOG;ARPC5L;CLTB;WASL;DNM1;ACTB;SEPT3;DNM2;ARHGAP10;CTNNA1;ELMO2;CTNNB1;ELMO3;WASF1;WASF2;MET;VCL
Cell cycle_Homo sapiens_hsa04110	26/124	0.025672541623520610254427509744346025399863719940185546875	0.7213984196209290988832663060748018324375152587890625	0.016851442379597104948008023939109989441931247711181640625	0.52467528850855338351522050288622267544269561767578125	-1.505679970433432	5.51430186108297	CDKN1A;CUL1;BUB1B;ORC4;CCND3;CDC26;CHEK2;ABL1;BUB3;E2F5;SKP2;SMAD3;TGFB3;PLK1;CDC6;CDC25A;GADD45G;RBL1;CDK6;DBF4;ESPL1;CDK4;CDC16;MCM3;ATR;MCM2
DNA replication_Homo sapiens_hsa03030	10/36	0.0252198561745167297576397658076530206017196178436279296875	0.7213984196209290988832663060748018324375152587890625	0.029950176159664547437255777140308055095374584197998046875	0.60114282149040987324184470708132721483707427978515625	-1.4741009947788215	5.424873935284522	POLE4;RNASEH2C;FEN1;RNASEH2B;LIG1;RPA3;POLE2;PRIM1;MCM3;MCM2
