Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.00354185126728732979639602262977859936654567718505859375	0.058316517130300275784104968579413252882659435272216796875	0.00104679848683983563184529685941015486605465412139892578125	0.0281784967939685444815456349942905944772064685821533203125	-1.8262560285717904	10.305755862330198	STK11;SMAD3;SOD2
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	2/44	0.00460393556291844273375968299433225183747708797454833984375	0.058316517130300275784104968579413252882659435272216796875	0.0022246181679448852504255018658341214177198708057403564453125	0.0281784967939685444815456349942905944772064685821533203125	-1.89978606140852	10.222452019671348	DCTN2;RAB5A
Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860	2/42	0.004202508566609160396698730011166844633407890796661376953125	0.058316517130300275784104968579413252882659435272216796875	0.00203680305272243601655279832129963324405252933502197265625	0.0281784967939685444815456349942905944772064685821533203125	-1.8351632132021396	10.042148270172014	ALAD;COX10
Colorectal cancer_Homo sapiens_hsa05210	2/62	0.0089648010085927876122724455854040570557117462158203125	0.08516560958163148231658823306133854202926158905029296875	0.004266982752231542573573275234366519725881516933441162109375	0.04053633614619965574998872170908725820481777191162109375	-1.8869011090574397	8.895699742295873	SMAD3;AXIN2
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	2/94	0.0197815429735789076459706592459042440168559551239013671875	0.1370711327934674150785809843000606633722782135009765625	0.00939100719566987769681976061519890208728611469268798828125	0.059476378905909225991432975888528744690120220184326171875	-1.8067889393095742	7.088043757637456	STK11;SOD2
Endocytosis_Homo sapiens_hsa04144	3/259	0.0216428104410738043894557591784177930094301700592041015625	0.1370711327934674150785809843000606633722782135009765625	0.006784102509589585994209670616328367032110691070556640625	0.051559179072880857719329839028432616032660007476806640625	-1.8388077645334089	7.0483008718483235	EPN3;SMAD3;RAB5A
Wnt signaling pathway_Homo sapiens_hsa04310	2/142	0.042275717924684631798815104275490739382803440093994140625	0.200809660142251988901307413470931351184844970703125	0.0203514299896839397086001355319240246899425983428955078125	0.09666929245099871448321238176504266448318958282470703125	-1.727142358564864	5.463888085765905	SMAD3;AXIN2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	2/142	0.042275717924684631798815104275490739382803440093994140625	0.200809660142251988901307413470931351184844970703125	0.0203514299896839397086001355319240246899425983428955078125	0.09666929245099871448321238176504266448318958282470703125	-1.6541928358230107	5.233109177359814	SMAD3;AXIN2
Hippo signaling pathway_Homo sapiens_hsa04390	2/153	0.048334908031517125059917106000284547917544841766357421875	0.2040807227997389616813705970344017259776592254638671875	0.023370373615650981424796128749221679754555225372314453125	0.09867491082163747095901129569028853438794612884521484375	-1.5440376679112748	4.677818442262982	SMAD3;AXIN2
Huntington's disease_Homo sapiens_hsa05016	2/193	0.07273629280696437826581046692808740772306919097900390625	0.2763979126664646290834070896380580961704254150390625	0.035793558913021071565818687076898640953004360198974609375	0.136015523869480070562332230110769160091876983642578125	-1.6777978764087738	4.3973652952642235	DCTN2;SOD2
