Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Chronic myeloid leukemia_Homo sapiens_hsa05220	16/73	0.000028840440889099820741085788977642323516192846000194549560546875	0.007786919040056951464567891463275373098440468311309814453125	0.000009138481499363131237731287803693902560553397051990032196044921875	0.0024673900048280453765892072937049306347034871578216552734375	-1.9376702113005864	20.255885012417323	SHC1;HDAC1;CBLB;PIK3R1;RELA;NFKBIA;CDK6;MECOM;CDK4;AKT2;ABL1;E2F2;E2F3;IKBKG;SOS2;MAPK3
Prostate cancer_Homo sapiens_hsa05215	16/89	0.0003409267941929227112470013327794049473595805466175079345703125	0.046025117216044568457800068017604644410312175750732421875	0.00007642994558354682978207339516529827960766851902008056640625	0.01031804265377882223742034284441615454852581024169921875	-1.9572258891508554	15.626183790803656	PDGFRA;LEF1;TCF7;PDGFA;PIK3R1;RELA;IGF1R;NFKBIA;AKT2;E2F2;E2F3;IKBKG;SOS2;FGFR2;ATF4;MAPK3
Glioma_Homo sapiens_hsa05214	12/65	0.001432008741894301440122916346808779053390026092529296875	0.1288807867704871157332746633983333595097064971923828125	0.000484636587663877182151350719863103222451172769069671630859375	0.0436172928897489431410150473311659879982471466064453125	-2.0614549323265785	13.499802719939836	PDGFRA;CDK6;CDK4;SHC1;AKT2;E2F2;PDGFA;E2F3;PIK3R1;SOS2;IGF1R;MAPK3
Melanoma_Homo sapiens_hsa05218	12/71	0.003112870838867037685815386538479287992231547832489013671875	0.210118781623525041624134246376343071460723876953125	0.000968438146552493407497042010589893834549002349376678466796875	0.052295659913834648124808524016771116293966770172119140625	-1.8556416228748607	10.71115290794473	FGF17;PDGFRA;CDK6;CDK4;AKT2;E2F2;PDGFA;E2F3;PIK3R1;FGF2;IGF1R;MAPK3
HTLV-I infection_Homo sapiens_hsa05166	28/258	0.01130277698896150172236385600399444228969514369964599609375	0.5121683504496814531847803664277307689189910888671875	0.0006716883424304890583267368953102049999870359897613525390625	0.04533896311405800905180996096532908268272876739501953125	-1.8430792617155223	8.261983998815534	CREM;PDGFA;PIK3R1;ETS1;RELA;RELB;PPP3R1;AKT2;POLD1;E2F2;E2F3;IKBKG;POLE;FZD1;PDGFRA;IL15RA;EGR2;TBP;IL1R1;NFKB2;NFKBIA;DLG1;CDK4;ATM;SLC25A5;ATF3;ATF4;ATR
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	13/94	0.01203346535754028744091836955476537696085870265960693359375	0.5121683504496814531847803664277307689189910888671875	0.003048633666726308956429480900851558544673025608062744140625	0.10289138625201292576161193892403389327228069305419921875	-1.7777148842902775	7.857613083809625	PRKAG1;PRKAG2;EHMT1;PIK3R1;SIRT1;RELA;CAMKK1;IGF1R;STK11;AKT2;AKT1S1;SESN2;ATF4
Pancreatic cancer_Homo sapiens_hsa05212	10/66	0.0142645862247113598686443225460607209242880344390869140625	0.5121683504496814531847803664277307689189910888671875	0.005069362884061780379074679814266346511431038379669189453125	0.1479553659486826100444289977531298063695430755615234375	-1.789124702616163	7.603735796647083	RALA;CDK6;CDK4;AKT2;E2F2;E2F3;PIK3R1;IKBKG;RELA;MAPK3
Acute myeloid leukemia_Homo sapiens_hsa05221	9/57	0.01517535853184241202706861173510333173908293247222900390625	0.5121683504496814531847803664277307689189910888671875	0.006074307130459133223510104215847604791633784770965576171875	0.1479553659486826100444289977531298063695430755615234375	-1.7530670629208276	7.341989164691734	CEBPA;AKT2;LEF1;TCF7;PIK3R1;IKBKG;SOS2;RELA;MAPK3
Endometrial cancer_Homo sapiens_hsa05213	8/52	0.024758510518042183001785616625056718476116657257080078125	0.59131138262481874878773169257328845560550689697265625	0.01081860734784349277470827388469842844642698764801025390625	0.1718249402304554696030436389264650642871856689453125	-1.6191167454784279	5.988442510610163	AKT2;LEF1;TCF7;CTNNA1;CTNNA3;PIK3R1;SOS2;MAPK3
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	20/180	0.023141398508537851241850802352928440086543560028076171875	0.59131138262481874878773169257328845560550689697265625	0.003015557309170638182471702037901195581071078777313232421875	0.10289138625201292576161193892403389327228069305419921875	-1.5612972805713548	5.880051840663652	CEBPA;CCNT1;MAX;HDAC1;PDGFA;RELA;DUSP6;MLF1;AFF1;IGF1R;LYL1;MEIS1;HHEX;NR4A3;BCL6;NFKBIZ;BMP2K;ATM;PROM1;CDK14
T cell receptor signaling pathway_Homo sapiens_hsa04660	13/104	0.0260878641611020090085304445892688818275928497314453125	0.59131138262481874878773169257328845560550689697265625	0.00657579404216367124913489305981784127652645111083984375	0.1479553659486826100444289977531298063695430755615234375	-1.6043558221823981	5.849938645226111	CBLB;PIK3R1;MAPK14;RELA;NFKBIA;DLG1;PPP3R1;CDK4;AKT2;IKBKG;SOS2;MAPK3;NCK1
Apoptosis_Homo sapiens_hsa04210	16/140	0.031310137437022163287014819843534496612846851348876953125	0.59131138262481874878773169257328845560550689697265625	0.0059783499188283788228215342996918479911983013153076171875	0.1479553659486826100444289977531298063695430755615234375	-1.6271164991808056	5.636027858533541	ITPR2;PIK3R1;RELA;ACTB;BBC3;NFKBIA;PIDD1;TUBA1A;AKT2;ATM;FADD;IKBKG;CTSD;TUBA8;ATF4;MAPK3
Pathways in cancer_Homo sapiens_hsa05200	37/397	0.037230716683784879916796484167207381688058376312255859375	0.59131138262481874878773169257328845560550689697265625	0.00137682536736185722088532390472437327844090759754180908203125	0.061957141531283572988275665238688816316425800323486328125	-1.6826846960500197	5.537077834651148	CEBPA;RALA;MAX;HDAC1;LEF1;TCF7;GNAI3;PDGFA;CBLB;PIK3R1;GLI1;FGF2;ETS1;RELA;IGF1R;CKS1B;MECOM;AKT2;ABL1;CTNNA1;E2F2;E2F3;CTNNA3;IKBKG;FADD;MAPK3;FZD1;PDGFRA;DAPK1;NFKB2;FGF17;NFKBIA;CDK6;CDK4;GNAS;SOS2;FGFR2
Adherens junction_Homo sapiens_hsa04520	10/74	0.029720197351044037870071434781493735499680042266845703125	0.59131138262481874878773169257328845560550689697265625	0.01022083147290657988148776524894856265746057033538818359375	0.1718249402304554696030436389264650642871856689453125	-1.4673312870443243	5.159031771928106	YES1;LEF1;CSNK2B;TCF7;CTNNA1;CTNNA3;BAIAP2;ACTB;IGF1R;MAPK3
Small cell lung cancer_Homo sapiens_hsa05222	11/86	0.033421884277844877975116588686432805843651294708251953125	0.59131138262481874878773169257328845560550689697265625	0.01032927554158521825378169722853272105567157268524169921875	0.1718249402304554696030436389264650642871856689453125	-1.4480794761701683	4.921362359248926	NFKBIA;CDK6;CDK4;MAX;AKT2;E2F2;E2F3;PIK3R1;IKBKG;RELA;CKS1B
Non-small cell lung cancer_Homo sapiens_hsa05223	8/56	0.03678468115942697125309024386297096498310565948486328125	0.59131138262481874878773169257328845560550689697265625	0.015689698917224097207689936794849927537143230438232421875	0.2229588793500266452607405653907335363328456878662109375	-1.470765815548308	4.857459715114227	CDK6;CDK4;AKT2;E2F2;E2F3;PIK3R1;SOS2;MAPK3
Ras signaling pathway_Homo sapiens_hsa04014	22/227	0.06565847625243338703260320698973373509943485260009765625	0.808461028222593025560627211234532296657562255859375	0.008442993557908597124228577968096942640841007232666015625	0.1628291614739515169585359899429022334516048431396484375	-1.5171321804577347	4.1315887320024824	BRAP;PDGFRA;RALA;PLA2G4F;RAB5C;ANGPT1;SHC1;PDGFA;PIK3R1;EFNA4;FGF2;ETS1;RELA;IGF1R;FGF17;TIAM1;AKT2;ABL1;IKBKG;SOS2;FGFR2;MAPK3
MAPK signaling pathway_Homo sapiens_hsa04010	24/255	0.0737089790996881266682549949109670706093311309814453125	0.808461028222593025560627211234532296657562255859375	0.00839944200441070619456152002157978131435811519622802734375	0.1628291614739515169585359899429022334516048431396484375	-1.4376735849832745	3.748921710799325	PDGFRA;PLA2G4F;IL1R1;MAX;PDGFA;ARRB1;MAPK14;CACNA1E;FGF2;DUSP6;RELA;RELB;NFKB2;FGF17;PPP3R1;PPM1B;MECOM;AKT2;IKBKG;LAMTOR3;SOS2;FGFR2;ATF4;MAPK3
Adipocytokine signaling pathway_Homo sapiens_hsa04920	9/70	0.04990701856620873011483041636893176473677158355712890625	0.70920500067770309016168539528734982013702392578125	0.018913534369701424930898525644806795753538608551025390625	0.243174013324732596341704038422903977334499359130859375	-1.2187519935495028	3.653323216662219	NFKBIA;CPT1A;STK11;AKT2;PRKAG1;PRKAG2;IKBKG;RELA;CAMKK1
FoxO signaling pathway_Homo sapiens_hsa04068	14/133	0.07366817955444572574297268374721170403063297271728515625	0.808461028222593025560627211234532296657562255859375	0.01797613516227196395202980738758924417197704315185546875	0.242677824690671506413508495825226418673992156982421875	-1.2925576725658252	3.3712286664386384	PRKAG1;PRKAG2;PIK3R1;MAPK14;FBXO32;SIRT1;IGF1R;STK11;BCL6;AKT2;CCNG2;ATM;SOS2;MAPK3
TNF signaling pathway_Homo sapiens_hsa04668	12/110	0.07536092070040113777285029073027544654905796051025390625	0.808461028222593025560627211234532296657562255859375	0.0218124173383538559611860563336449558846652507781982421875	0.2605605636672281288923613828956149518489837646484375	-1.2953894557382928	3.349185953435394	NFKBIA;EDN1;ITCH;JAG1;AKT2;PIK3R1;FADD;IKBKG;MAPK14;RELA;ATF4;MAPK3
