Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ribosome_Homo sapiens_hsa03010	2/137	0.025208459906661200011779300211856025271117687225341796875	0.189215229338159762750848358336952514946460723876953125	0.0190390985069218178493688498065239400602877140045166015625	0.17056954166182192178524701375863514840602874755859375	-1.6976574712056103	6.248356716982241	RPS5;RPL36
Sulfur relay system_Homo sapiens_hsa04122	1/10	0.01785888375638187974825399351175292395055294036865234375	0.189215229338159762750848358336952514946460723876953125	0.0171117339788995452554143383849805104546248912811279296875	0.17056954166182192178524701375863514840602874755859375	-1.3865886891278758	5.581371951697177	MOCS1
Epstein-Barr virus infection_Homo sapiens_hsa05169	2/202	0.051097852377363757458983428705323603935539722442626953125	0.189215229338159762750848358336952514946460723876953125	0.038882614846973216626846436838604859076440334320068359375	0.17056954166182192178524701375863514840602874755859375	-1.8245370579339306	5.426196583520032	POLR2I;YWHAZ
Folate biosynthesis_Homo sapiens_hsa00790	1/14	0.024915276362371695240138791405115625821053981781005859375	0.189215229338159762750848358336952514946460723876953125	0.02326788370764017177538818259563413448631763458251953125	0.17056954166182192178524701375863514840602874755859375	-1.2537982112596835	4.629366731147135	MOCS1
RNA polymerase_Homo sapiens_hsa03020	1/32	0.056063771655751042100046532823398592881858348846435546875	0.189215229338159762750848358336952514946460723876953125	0.050539123455354641178960406477926881052553653717041015625	0.17056954166182192178524701375863514840602874755859375	-1.455403338942284	4.19340336591123	POLR2I
2-Oxocarboxylic acid metabolism_Homo sapiens_hsa01210	1/17	0.03017519957692892107470328255658387206494808197021484375	0.189215229338159762750848358336952514946460723876953125	0.0278619697013165745769214254323742352426052093505859375	0.17056954166182192178524701375863514840602874755859375	-1.1785224217619963	4.125694569982105	CS
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630	1/28	0.0492266064858169760665163039448088966310024261474609375	0.189215229338159762750848358336952514946460723876953125	0.044539389185148277328085697490678285248577594757080078125	0.17056954166182192178524701375863514840602874755859375	-1.3191887401705513	3.9725007818601954	CS
Sphingolipid metabolism_Homo sapiens_hsa00600	1/47	0.0812799690859009882348829023612779565155506134033203125	0.2438399072577029647046487070838338695466518402099609375	0.07273435117855046871948587750011938624083995819091796875	0.2182030535356514200362454403148149140179157257080078125	-1.5761665409966836	3.955950538442417	DEGS1
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	1/30	0.0526511858269177734914734401172609068453311920166015625	0.189215229338159762750848358336952514946460723876953125	0.047543551045708676294765382408513687551021575927734375	0.17056954166182192178524701375863514840602874755859375	-1.257389603307798	3.701838630962689	CS
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	1/55	0.09445955979990149076197525346287875436246395111083984375	0.2550408114597340070162090341909788548946380615234375	0.0843779476049337506804448594266432337462902069091796875	0.2197964984542104260878403465540031902492046356201171875	-1.4871325288485049	3.509013339759286	YWHAZ
Thyroid hormone synthesis_Homo sapiens_hsa04918	1/71	0.1202695628928885096531331555524957366287708282470703125	0.259674916112513809451911583892069756984710693359375	0.1072673063372924229241789362276904284954071044921875	0.2197964984542104260878403465540031902492046356201171875	-1.5361820324090711	3.253663804430007	ASGR1
Bile secretion_Homo sapiens_hsa04976	1/71	0.1202695628928885096531331555524957366287708282470703125	0.259674916112513809451911583892069756984710693359375	0.1072673063372924229241789362276904284954071044921875	0.2197964984542104260878403465540031902492046356201171875	-1.3963332874129946	2.9574614077810084	NCEH1
Biosynthesis of amino acids_Homo sapiens_hsa01230	1/74	0.1250286633134325697813693523130496032536029815673828125	0.259674916112513809451911583892069756984710693359375	0.11150069189761573074104461511524277739226818084716796875	0.2197964984542104260878403465540031902492046356201171875	-1.3851554266256916	2.8800321470667405	CS
Metabolic pathways_Homo sapiens_hsa01100	4/1239	0.1814168021788463425192361455628997646272182464599609375	0.28528773510587279726991027928306721150875091552734375	0.1139685547540350285533605756427277810871601104736328125	0.2197964984542104260878403465540031902492046356201171875	-1.663927539128845	2.840254624954923	CS;DEGS1;POLR2I;MOCS1
Pyrimidine metabolism_Homo sapiens_hsa00240	1/105	0.1727632205222645322972852000020793639123439788818359375	0.28528773510587279726991027928306721150875091552734375	0.1541894027313464865525105551569140516221523284912109375	0.254969506383942612348647571707260794937610626220703125	-1.4345502472667913	2.5188310795635473	POLR2I
Oocyte meiosis_Homo sapiens_hsa04114	1/123	0.1993078714672661677642651056885370053350925445556640625	0.28528773510587279726991027928306721150875091552734375	0.178112160071155989360391913578496314585208892822265625	0.254969506383942612348647571707260794937610626220703125	-1.4333589883567506	2.3118712440980795	YWHAZ
Carbon metabolism_Homo sapiens_hsa01200	1/113	0.184664812688697888010125325308763422071933746337890625	0.28528773510587279726991027928306721150875091552734375	0.1648988064124169705682021458414965309202671051025390625	0.254969506383942612348647571707260794937610626220703125	-1.3241479118341095	2.2367677613831884	CS
Sphingolipid signaling pathway_Homo sapiens_hsa04071	1/120	0.1949420129283231106764873175052343867719173431396484375	0.28528773510587279726991027928306721150875091552734375	0.17416825241622924114182069388334639370441436767578125	0.254969506383942612348647571707260794937610626220703125	-1.3643862120974712	2.230843952403593	DEGS1
Hepatitis B_Homo sapiens_hsa05161	1/146	0.2320232581828941265111865277503966353833675384521484375	0.296655769432419891273866596748121082782745361328125	0.2077846095876023368997920215406338684260845184326171875	0.2658518949621784255299417054629884660243988037109375	-1.4265860718394439	2.0841247880747114	YWHAZ
Cell cycle_Homo sapiens_hsa04110	1/124	0.200758035815243818245079410189646296203136444091796875	0.28528773510587279726991027928306721150875091552734375	0.179422985973885562582808006482082419097423553466796875	0.254969506383942612348647571707260794937610626220703125	-1.2781616062263004	2.052286443458508	YWHAZ
Spliceosome_Homo sapiens_hsa03040	1/134	0.2151199485506413433544281588183366693556308746337890625	0.29041193054336578160956605643150396645069122314453125	0.1924271066974419797102058282689540646970272064208984375	0.259776594041546682323229333633207716047763824462890625	-1.3282746798069922	2.0409730860854736	HNRNPC
