Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cyanoamino acid metabolism_Homo sapiens_hsa00460	2/7	0.00101263665012873310157515138740791371674276888370513916015625	0.10632684826351697371382698520392295904457569122314453125	0.0013314779630497924380050367432204438955523073673248291015625	0.1398051861202282142304653689279803074896335601806640625	-1.4655656357976896	10.105364955035911	GGT5;GGT1
Taurine and hypotaurine metabolism_Homo sapiens_hsa00430	2/11	0.0026034984114783848822838319136963036726228892803192138671875	0.1366836666026152169450824658269993960857391357421875	0.002839475361164891555054712313221898511983454227447509765625	0.149072456461156799267797623542719520628452301025390625	-1.4097237085099288	8.389123682863115	GGT5;GGT1
Spliceosome_Homo sapiens_hsa03040	4/134	0.0150172175010812695983286602086081984452903270721435546875	0.3241460708076029373359006058308295905590057373046875	0.01038918750713858051015758832136270939372479915618896484375	0.29137208964082661477590363574563525617122650146484375	-1.722670084734299	7.23273009806052	RBM25;HSPA1L;PPIE;SRSF10
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	2/25	0.0133142714097535634631963574747715028934180736541748046875	0.3241460708076029373359006058308295905590057373046875	0.01209010410943396618410616838446003384888172149658203125	0.29137208964082661477590363574563525617122650146484375	-1.423327522285156	6.147235967114752	PIGT;PIGW
Propanoate metabolism_Homo sapiens_hsa00640	2/32	0.0213187308532171888864059638990511302836239337921142578125	0.373077789931300751735676612952374853193759918212890625	0.01879866943661363809514597278393921442329883575439453125	0.32897671514073867360394842762616463005542755126953125	-1.5057277140037455	5.794295027548096	LDHA;DBT
Dorso-ventral axis formation_Homo sapiens_hsa04320	2/27	0.01543552718131442624827087684025173075497150421142578125	0.3241460708076029373359006058308295905590057373046875	0.01387486141146793312828311428575034369714558124542236328125	0.29137208964082661477590363574563525617122650146484375	-1.3818136995605446	5.763660276273378	NOTCH2;NOTCH4
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	4/169	0.031833055224598720556183906182923237793147563934326171875	0.477495828368980801403864688836620189249515533447265625	0.02212885818204381183083029327463009394705295562744140625	0.331932872730657191340242206933908164501190185546875	-1.6710613038720297	5.760566174357874	SEC61A1;HSPA1L;ATF6B;NFE2L2
Neurotrophin signaling pathway_Homo sapiens_hsa04722	3/120	0.0531007811553906583501571958549902774393558502197265625	0.51393974363337335820034468270023353397846221923828125	0.0408159421038341851950548289096332155168056488037109375	0.4375444204161216266157907739398069679737091064453125	-1.6460614865017587	4.832118248679567	MAPKAPK2;ARHGDIG;FOXO3
Notch signaling pathway_Homo sapiens_hsa04330	2/48	0.045080598349619922793340975886167143471539020538330078125	0.51393974363337335820034468270023353397846221923828125	0.03855652313134112774140049850757350213825702667236328125	0.4375444204161216266157907739398069679737091064453125	-1.454030684508492	4.506482123279916	NOTCH2;NOTCH4
Glutathione metabolism_Homo sapiens_hsa00480	2/52	0.052043969609105865392617573661482310853898525238037109375	0.51393974363337335820034468270023353397846221923828125	0.044343481762628304820861302459888975135982036590576171875	0.4375444204161216266157907739398069679737091064453125	-1.522780508530102	4.500831104890156	GGT5;GGT1
