Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Acute myeloid leukemia_Homo sapiens_hsa05221	6/57	0.0060077881410058008027075260315541527234017848968505859375	0.6818839540041583546781112090684473514556884765625	0.0037967457418091612141031188087936243391595780849456787109375	0.471050410216115211792242689625709317624568939208984375	-2.000423531191855	10.23156349032054	ZBTB16;MYC;EIF4EBP1;PIK3R1;NFKB1;PPARD
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	4/24	0.004687894319048002168826005942037227214314043521881103515625	0.6818839540041583546781112090684473514556884765625	0.004150223878556080943369455127367473323829472064971923828125	0.471050410216115211792242689625709317624568939208984375	-1.5043131146301585	8.0672879041187	EXT1;EXTL2;HS6ST1;HS2ST1
Cocaine addiction_Homo sapiens_hsa05030	5/49	0.0134488626838705944976926076606105198152363300323486328125	0.7632229573096562802447806461714208126068115234375	0.00911611633306877618132535445738540147431194782257080078125	0.51733960190165306780585297019570134580135345458984375	-1.7541120651161737	7.55822460274703	JUN;ATF6B;GNAS;NFKB1;GNAI2
Notch signaling pathway_Homo sapiens_hsa04330	5/48	0.0123634053548320743676214306105975992977619171142578125	0.7632229573096562802447806461714208126068115234375	0.00843152581090232666749528789296164177358150482177734375	0.51733960190165306780585297019570134580135345458984375	-1.6803517249575919	7.3818092420540395	NCOR2;NOTCH1;APH1B;DTX2;PSEN1
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142	7/104	0.03170884945639797225513945022612460888922214508056640625	0.87155081704848103019145355574437417089939117431640625	0.016886228010250685371840262405385146848857402801513671875	0.566213824434267376517482261988334357738494873046875	-1.7245433960425738	5.951674280257918	GNAO1;JUN;GNAS;PIK3R1;CFLAR;NFKB1;GNAI2
ErbB signaling pathway_Homo sapiens_hsa04012	6/87	0.040735916599604467258632922721517388708889484405517578125	0.87155081704848103019145355574437417089939117431640625	0.02373651470201353086419970850329264067113399505615234375	0.566213824434267376517482261988334357738494873046875	-1.751357865880768	5.605474978692256	JUN;PAK1;MYC;EIF4EBP1;PAK6;PIK3R1
TNF signaling pathway_Homo sapiens_hsa04668	7/110	0.04108194622888687586037548271633568219840526580810546875	0.87155081704848103019145355574437417089939117431640625	0.0219080837315008790378012548671904369257390499114990234375	0.566213824434267376517482261988334357738494873046875	-1.7531019941467207	5.5962285512510475	SOCS3;JUN;ATF6B;TRAF5;PIK3R1;CFLAR;NFKB1
Apoptosis_Homo sapiens_hsa04210	8/140	0.05147473288261784907238194364254013635218143463134765625	0.87155081704848103019145355574437417089939117431640625	0.0254338124147940429498060410651305573992431163787841796875	0.566213824434267376517482261988334357738494873046875	-1.7556329993160622	5.208373594351694	JUN;GADD45A;PARP2;BIRC5;CTSH;PIK3R1;CFLAR;NFKB1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	5/68	0.047249900245753317928887327070697210729122161865234375	0.87155081704848103019145355574437417089939117431640625	0.03018884204276826854762560969902551732957363128662109375	0.566213824434267376517482261988334357738494873046875	-1.7003996984925764	5.190138053219484	JUN;PAK1;ATP6V0A4;F11R;NFKB1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	6/94	0.0556640742032220858792612716570147313177585601806640625	0.87155081704848103019145355574437417089939117431640625	0.032426342368482276301566713527790852822363376617431640625	0.566213824434267376517482261988334357738494873046875	-1.632344609193795	4.714897350709076	STK11;ATF6B;SESN1;EIF4EBP1;PIK3R1;NFKB1
Pathways in cancer_Homo sapiens_hsa05200	17/397	0.0719715824723629882253561618199455551803112030029296875	0.87155081704848103019145355574437417089939117431640625	0.020291375573284066435864048116854974068701267242431640625	0.566213824434267376517482261988334357738494873046875	-1.7360715026505842	4.568444253194488	JUN;FZD7;ZBTB16;PIK3R1;FGF1;CSF2RA;NFKB1;GNAI2;RASSF1;MYC;TRAF5;TPR;GNA12;GNAS;BIRC5;E2F2;PPARD
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	9/169	0.058236095084195825533068813228965154848992824554443359375	0.87155081704848103019145355574437417089939117431640625	0.0268456274265264256684293542321029235608875751495361328125	0.566213824434267376517482261988334357738494873046875	-1.5278245504448331	4.343987040044075	PPP1R15A;XBP1;DNAJC1;ATF6B;BAG2;SEC61G;UBE2G2;SEC24D;RNF5
Estrogen signaling pathway_Homo sapiens_hsa04915	6/99	0.06810353897608671658314705155135015957057476043701171875	0.87155081704848103019145355574437417089939117431640625	0.039759512173186080385978158346915734000504016876220703125	0.59631045821448858124114167367224581539630889892578125	-1.5579794772224036	4.185864124458397	GNAO1;JUN;ATF6B;GNAS;PIK3R1;GNAI2
Leukocyte transendothelial migration_Homo sapiens_hsa04670	7/118	0.056138271935738733031673319828769308514893054962158203125	0.87155081704848103019145355574437417089939117431640625	0.030100619970255759749733215357991866767406463623046875	0.566213824434267376517482261988334357738494873046875	-1.4441581569699848	4.159085217543816	MYLPF;CLDN11;CLDN19;PIK3R1;F11R;VAV2;GNAI2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	8/151	0.07323610514117452618965131705408566631376743316650390625	0.87155081704848103019145355574437417089939117431640625	0.0367703674596402130259065188511158339679241180419921875	0.59620524380988049184537658220506273210048675537109375	-1.57568813653939	4.1189539503150225	NDUFB9;SOCS3;XBP1;JUN;UQCRQ;COX7A2;PIK3R1;NFKB1
T cell receptor signaling pathway_Homo sapiens_hsa04660	6/104	0.0820281052030986945755586248196777887642383575439453125	0.87155081704848103019145355574437417089939117431640625	0.048071116594314504399942933332567918114364147186279296875	0.59631045821448858124114167367224581539630889892578125	-1.4106954074403242	3.5277166158859132	PAK1;JUN;PAK6;PIK3R1;NFKB1;VAV2
Small cell lung cancer_Homo sapiens_hsa05222	5/86	0.10461322144561129021678169692677329294383525848388671875	0.87155081704848103019145355574437417089939117431640625	0.06669821796822124337911219527086359448730945587158203125	0.59631045821448858124114167367224581539630889892578125	-1.1990402623632286	2.7068158087018466	MYC;TRAF5;E2F2;PIK3R1;NFKB1
Long-term depression_Homo sapiens_hsa04730	4/60	0.09608493471122769857828416206757538020610809326171875	0.87155081704848103019145355574437417089939117431640625	0.06664915117689838852665928925489424727857112884521484375	0.59631045821448858124114167367224581539630889892578125	-1.1476391954718932	2.688370915104169	GNAO1;GNA12;GNAS;GNAI2
Peroxisome_Homo sapiens_hsa04146	5/83	0.09335624319691997186065890446116100065410137176513671875	0.87155081704848103019145355574437417089939117431640625	0.059419844865667988120794262840718147344887256622314453125	0.59631045821448858124114167367224581539630889892578125	-1.1084557696726596	2.628517226661716	HMGCL;ACOX2;EPHX2;MPV17L;ACOX3
cAMP signaling pathway_Homo sapiens_hsa04024	9/199	0.12583514324787703486663303920067846775054931640625	0.87155081704848103019145355574437417089939117431640625	0.06169892687346890947086563983248197473585605621337890625	0.59631045821448858124114167367224581539630889892578125	-1.2208184268406614	2.5304912120055745	ABCC4;JUN;PAK1;GNAS;PIK3R1;ACOX3;NFKB1;VAV2;GNAI2
Colorectal cancer_Homo sapiens_hsa05210	4/62	0.1052167632238575623038201456438400782644748687744140625	0.87155081704848103019145355574437417089939117431640625	0.0729305337886825555404612941856612451374530792236328125	0.59631045821448858124114167367224581539630889892578125	-1.0989022008488571	2.4744339594658094	JUN;MYC;BIRC5;PIK3R1
Hepatitis B_Homo sapiens_hsa05161	7/146	0.1326549818957366289051691410350031219422817230224609375	0.87155081704848103019145355574437417089939117431640625	0.0740871603094890307517061955877579748630523681640625	0.59631045821448858124114167367224581539630889892578125	-1.1971854962891664	2.418319063141584	JUN;ATF6B;MYC;E2F2;BIRC5;PIK3R1;NFKB1
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	3/35	0.080178162004568898080236749592586420476436614990234375	0.87155081704848103019145355574437417089939117431640625	0.06181757195575908470086545776212005876004695892333984375	0.59631045821448858124114167367224581539630889892578125	-0.8016897301361765	2.023067317235425	GOT1;GFPT1;ASPA
Purine metabolism_Homo sapiens_hsa00230	8/176	0.14047914033280084478150229188031516969203948974609375	0.87155081704848103019145355574437417089939117431640625	0.07402207436169709608986266857755254022777080535888671875	0.59631045821448858124114167367224581539630889892578125	-1.0178730004374577	1.9977755398804247	ENTPD1;PDE10A;POLR1A;ENTPD5;AK1;PDE6B;AMPD3;AK7
Renal cell carcinoma_Homo sapiens_hsa05211	4/66	0.1245988739827368074752911297764512710273265838623046875	0.87155081704848103019145355574437417089939117431640625	0.08635991413543796235696703433859511278569698333740234375	0.64168831691269268002741910095210187137126922607421875	-0.9526551793360623	1.9840527486445878	JUN;PAK1;PAK6;PIK3R1
Circadian entrainment_Homo sapiens_hsa04713	5/95	0.1420954159740571431935762802822864614427089691162109375	0.87155081704848103019145355574437417089939117431640625	0.09136600827643186206739045474023441784083843231201171875	0.644008433652702105831622247933410108089447021484375	-0.9482363846191539	1.8502524123951702	GNAO1;RASD1;NOS1AP;GNAS;GNAI2
Synaptic vesicle cycle_Homo sapiens_hsa04721	4/63	0.10992542397794800856924979370887740515172481536865234375	0.87155081704848103019145355574437417089939117431640625	0.07618063122563951961030426218712818808853626251220703125	0.59631045821448858124114167367224581539630889892578125	-0.7909492933907005	1.746378949780294	NAPA;ATP6V0A4;VAMP2;AP2M1
PPAR signaling pathway_Homo sapiens_hsa03320	4/69	0.1400496081777585499761329401735565625131130218505859375	0.87155081704848103019145355574437417089939117431640625	0.09716543973239509524031376486163935624063014984130859375	0.644008433652702105831622247933410108089447021484375	-0.6725407441829567	1.322052734921953	ACOX2;UBC;ACOX3;PPARD
B cell receptor signaling pathway_Homo sapiens_hsa04662	4/73	0.1617560789156227418761346825704094953835010528564453125	0.87155081704848103019145355574437417089939117431640625	0.11250347757119190383878759575964068062603473663330078125	0.666335265081250849306115924264304339885711669921875	-0.7179439628781009	1.307853937745774	JUN;PIK3R1;NFKB1;VAV2
