Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	6/89	0.0007580337947241237196716046042865855270065367221832275390625	0.1190113057716874200853141019251779653131961822509765625	0.0004101301366008531655744928645646041331929154694080352783203125	0.06439043144633395387987917501959600485861301422119140625	-1.9940045862206843	14.326489433956997	FCF1;WDR75;NAT10;RPP25L;NOP10;GNL3
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	6/137	0.006634540039112009172928008382541520404629409313201904296875	0.5208113930702926719362721996731124818325042724609375	0.0034184562877486554706429888739194211666472256183624267578125	0.268348818588269477647401117792469449341297149658203125	-1.6212437803134108	8.131292955768075	FZR1;FBXW7;KEAP1;ANAPC5;UBE2J1;CUL4B
Cell cycle_Homo sapiens_hsa04110	5/124	0.01780849556973780611901503334593144245445728302001953125	0.88899027570120903174455406769993714988231658935546875	0.010368276779987063707100247711423435248434543609619140625	0.54260648481932294284746376433758996427059173583984375	-1.68263869815009	6.777802709000299	FZR1;TFDP1;CDKN1B;ANAPC5;CDC14B
RNA transport_Homo sapiens_hsa03013	5/172	0.05916193654046279781777428752320702187716960906982421875	0.88899027570120903174455406769993714988231658935546875	0.035325229188088051734961680949709261767566204071044921875	0.82963910322388667584192489812267012894153594970703125	-1.7943923825409651	5.073603025033312	NUP133;EIF3I;RNPS1;RPP14;RPP25L
RNA degradation_Homo sapiens_hsa03018	3/77	0.06736023274622333911754168411789578385651111602783203125	0.88899027570120903174455406769993714988231658935546875	0.04910535545673085089379839018874918110668659210205078125	0.82963910322388667584192489812267012894153594970703125	-1.742632705077471	4.701101039286156	ZCCHC7;SKIV2L;LSM5
Parkinson's disease_Homo sapiens_hsa05012	4/142	0.095120781033187606912093770006322301924228668212890625	0.88899027570120903174455406769993714988231658935546875	0.0632904591281845119166149515876895748078823089599609375	0.82963910322388667584192489812267012894153594970703125	-1.6485404077111292	3.878369047518845	NDUFS8;NDUFB6;NDUFA2;UBE2J1
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	4/148	0.1065126753027161032871816814804333262145519256591796875	0.88899027570120903174455406769993714988231658935546875	0.07118756670701122113431580373799079097807407379150390625	0.82963910322388667584192489812267012894153594970703125	-1.6843464387567348	3.7720791688114264	CACNB1;PIK3R3;ATP2B1;CALM2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	4/151	0.112430469488560225155282523701316677033901214599609375	0.88899027570120903174455406769993714988231658935546875	0.07531859310881684754779286095072166062891483306884765625	0.82963910322388667584192489812267012894153594970703125	-1.7048558331468966	3.725826541898732	NDUFS8;NDUFB6;NDUFA2;PIK3R3
Basal transcription factors_Homo sapiens_hsa03022	2/45	0.10364550236540313876698604644843726418912410736083984375	0.88899027570120903174455406769993714988231658935546875	0.08418253095341475533697206401484436355531215667724609375	0.82963910322388667584192489812267012894153594970703125	-1.5885141540593057	3.600810261233462	TAF11;TAF1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	3/98	0.11699445841541887547432310157091706059873104095458984375	0.88899027570120903174455406769993714988231658935546875	0.0856957286276695262561275967527762986719608306884765625	0.82963910322388667584192489812267012894153594970703125	-1.6045727790687618	3.4428174208941047	FZR1;PIK3R3;ANAPC5
Drug metabolism - other enzymes_Homo sapiens_hsa00983	2/46	0.10752396922002739609869337300551705993711948394775390625	0.88899027570120903174455406769993714988231658935546875	0.0872757581018449302145967294563888572156429290771484375	0.82963910322388667584192489812267012894153594970703125	-1.4804237927624067	3.30140647587606	IMPDH1;IMPDH2
Nucleotide excision repair_Homo sapiens_hsa03420	2/47	0.11144073999888114145928597054080455563962459564208984375	0.88899027570120903174455406769993714988231658935546875	0.09040291631079201695175839859075495041906833648681640625	0.82963910322388667584192489812267012894153594970703125	-1.4628661766589133	3.209912114843373	ERCC5;CUL4B
Alzheimer's disease_Homo sapiens_hsa05010	4/168	0.1485451069267840207288600140600465238094329833984375	0.88899027570120903174455406769993714988231658935546875	0.10094500393009507577257721777641563676297664642333984375	0.82963910322388667584192489812267012894153594970703125	-1.4664145853322126	2.7962570187384337	NDUFS8;NDUFB6;NDUFA2;CALM2
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	4/169	0.1507963227185566967847307751071639358997344970703125	0.88899027570120903174455406769993714988231658935546875	0.102565742871285670023695502095506526529788970947265625	0.82963910322388667584192489812267012894153594970703125	-1.432333381493369	2.7097243986023662	PLAA;MARCH6;UBE2J1;UBQLN2
Lysine degradation_Homo sapiens_hsa00310	2/52	0.1315479344878272838226251906235120259225368499755859375	0.88899027570120903174455406769993714988231658935546875	0.1065130902547830604731871062540449202060699462890625	0.82963910322388667584192489812267012894153594970703125	-1.3239279726959607	2.685434281177738	DOT1L;PLOD1
Glioma_Homo sapiens_hsa05214	2/65	0.18692953255631794551305802087881602346897125244140625	0.88899027570120903174455406769993714988231658935546875	0.151425751168906941312997105342219583690166473388671875	0.82963910322388667584192489812267012894153594970703125	-1.4761201441006897	2.4754882655363644	PIK3R3;CALM2
Aminoacyl-tRNA biosynthesis_Homo sapiens_hsa00970	2/66	0.191322575189269816764436882294830866158008575439453125	0.88899027570120903174455406769993714988231658935546875	0.1550245880696951294996921433266834355890750885009765625	0.82963910322388667584192489812267012894153594970703125	-1.411154899489081	2.3337600705126063	IARS2;FARSB
Epstein-Barr virus infection_Homo sapiens_hsa05169	4/202	0.23138414823032160683169422554783523082733154296875	0.88899027570120903174455406769993714988231658935546875	0.1623410163570918329778436373089789412915706634521484375	0.82963910322388667584192489812267012894153594970703125	-1.355222918764423	1.9836072206324262	NCOR2;CDKN1B;PIK3R3;NFKB2
Oxidative phosphorylation_Homo sapiens_hsa00190	3/133	0.21981064478918510562976962319226004183292388916015625	0.88899027570120903174455406769993714988231658935546875	0.16470488959536166984065630458644591271877288818359375	0.82963910322388667584192489812267012894153594970703125	-1.2838534458449535	1.9450236025342598	NDUFS8;NDUFB6;NDUFA2
Viral carcinogenesis_Homo sapiens_hsa05203	4/205	0.239199971056101967636919880533241666853427886962890625	0.88899027570120903174455406769993714988231658935546875	0.1683185259382831422403370424945023842155933380126953125	0.82963910322388667584192489812267012894153594970703125	-1.3209502848429813	1.8895604389035208	CDKN1B;DDX3X;PIK3R3;NFKB2
Measles_Homo sapiens_hsa05162	3/136	0.2293818687983499027271960812868201173841953277587890625	0.88899027570120903174455406769993714988231658935546875	0.172283936640860335653968604674446396529674530029296875	0.82963910322388667584192489812267012894153594970703125	-1.2779095903929976	1.8815520567186548	CDKN1B;OAS3;PIK3R3
Chronic myeloid leukemia_Homo sapiens_hsa05220	2/73	0.2224031436951811879776386149387690238654613494873046875	0.88899027570120903174455406769993714988231658935546875	0.180646275561510971652268153775366954505443572998046875	0.82963910322388667584192489812267012894153594970703125	-1.2172198128476097	1.8298022151947504	CDKN1B;PIK3R3
