Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Endometrial cancer_Homo sapiens_hsa05213	4/52	0.000755776183226526611542983591363054074463434517383575439453125	0.09673935145299540627750189969447092153131961822509765625	0.0002905089890867468900743919579809926290181465446949005126953125	0.037185150603103601929522170621567056514322757720947265625	-2.005338719865474	14.413904024387348	CCND1;GRB2;SOS1;MLH1
Prolactin signaling pathway_Homo sapiens_hsa04917	4/72	0.00254224078635349910737506462510282290168106555938720703125	0.16270341032662394287200413600658066570758819580078125	0.0009331563508779183897801079439204841037280857563018798828125	0.0597220064561867769459269084109109826385974884033203125	-1.9423224712382605	11.604812302477022	MAPK8;CCND1;GRB2;SOS1
Non-small cell lung cancer_Homo sapiens_hsa05223	3/56	0.00987434653044072345451365180224456707946956157684326171875	0.2074985662116207441041382253388292156159877777099609375	0.004734193958331901937175434369464710471220314502716064453125	0.08160673325707364089698359066460398025810718536376953125	-2.029770985804573	9.373107198149844	CCND1;GRB2;SOS1
Acute myeloid leukemia_Homo sapiens_hsa05221	3/57	0.01036350134940515477222078288832562975585460662841796875	0.2074985662116207441041382253388292156159877777099609375	0.004963400033304483059681810885876984684728085994720458984375	0.08160673325707364089698359066460398025810718536376953125	-1.9179713751015126	8.76410332108907	CCND1;GRB2;SOS1
Glioma_Homo sapiens_hsa05214	3/65	0.0147803984559724717329221022055207868106663227081298828125	0.2074985662116207441041382253388292156159877777099609375	0.007039499250516841055702599305732292123138904571533203125	0.08160673325707364089698359066460398025810718536376953125	-1.9443879746814006	8.194532519940875	CCND1;GRB2;SOS1
Colorectal cancer_Homo sapiens_hsa05210	3/62	0.01301827639806692193946702218454447574913501739501953125	0.2074985662116207441041382253388292156159877777099609375	0.006209702987394789298891684126147083588875830173492431640625	0.08160673325707364089698359066460398025810718536376953125	-1.8475011636470107	8.020743458599743	MAPK8;CCND1;MLH1
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	3/68	0.0166709470838414426652196453915166785009205341339111328125	0.2074985662116207441041382253388292156159877777099609375	0.0079323094113197510635071552087538293562829494476318359375	0.08160673325707364089698359066460398025810718536376953125	-1.8090445041877783	7.406386980280323	MAPK8;GRB2;SOS1
Neurotrophin signaling pathway_Homo sapiens_hsa04722	4/120	0.01518533780631958242379742074490422965027391910552978515625	0.2074985662116207441041382253388292156159877777099609375	0.00558257999524208216313159169885693700052797794342041015625	0.08160673325707364089698359066460398025810718536376953125	-1.725705290474959	7.226261363241533	MAPK8;PSEN2;GRB2;SOS1
Chronic myeloid leukemia_Homo sapiens_hsa05220	3/73	0.0201094387738689449329765324137042625807225704193115234375	0.2074985662116207441041382253388292156159877777099609375	0.00956328905356331783471635077376049594022333621978759765625	0.08160673325707364089698359066460398025810718536376953125	-1.6429405028425506	6.418255481155759	CCND1;GRB2;SOS1
Proteoglycans in cancer_Homo sapiens_hsa05205	5/203	0.02269515567939602018743272537903976626694202423095703125	0.2074985662116207441041382253388292156159877777099609375	0.006724057937205180947304317129464834579266607761383056640625	0.08160673325707364089698359066460398025810718536376953125	-1.6768559281881101	6.347912146071488	CCND1;GRB2;PPP1R12B;SOS1;SLC9A1
Focal adhesion_Homo sapiens_hsa04510	5/202	0.02227344817229891249521500640184967778623104095458984375	0.2074985662116207441041382253388292156159877777099609375	0.006590382635247566019132126058366338838823139667510986328125	0.08160673325707364089698359066460398025810718536376953125	-1.6202614406159364	6.164057773455923	MAPK8;CCND1;GRB2;PPP1R12B;SOS1
FoxO signaling pathway_Homo sapiens_hsa04068	4/133	0.021301341200397734543248162708550808019936084747314453125	0.2074985662116207441041382253388292156159877777099609375	0.00791619040769282744651746952513349242508411407470703125	0.08160673325707364089698359066460398025810718536376953125	-1.5721139542832354	6.051043407354545	MAPK8;CCND1;GRB2;SOS1
Hepatitis C_Homo sapiens_hsa05160	4/133	0.021301341200397734543248162708550808019936084747314453125	0.2074985662116207441041382253388292156159877777099609375	0.00791619040769282744651746952513349242508411407470703125	0.08160673325707364089698359066460398025810718536376953125	-1.5555201556509344	5.987174121325127	MAPK8;GRB2;SOS1;EIF2S1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	5/214	0.027678227019402860953345424377403105609118938446044921875	0.221425816155222887626763395019224844872951507568359375	0.00832323815676641771965638127994679962284862995147705078125	0.08160673325707364089698359066460398025810718536376953125	-1.5499277778829754	5.559760196108984	ABI2;CHRM5;PPP1R12B;SOS1;SLC9A1
Insulin signaling pathway_Homo sapiens_hsa04910	4/139	0.024565914654369323810723102496922365389764308929443359375	0.2096291383839515576337220181812881492078304290771484375	0.009181896547839622779729751300692441873252391815185546875	0.08160673325707364089698359066460398025810718536376953125	-1.4281666620873408	5.293350318241254	SREBF1;MAPK8;GRB2;SOS1
Prostate cancer_Homo sapiens_hsa05215	3/89	0.03353800031761523803286451084204600192606449127197265625	0.2356073971413061851620796005590818822383880615234375	0.0160253870357014160941133695814642123878002166748046875	0.10796050213525164307437620436758152209222316741943359375	-1.468659192467012	4.9862097897542235	CCND1;GRB2;SOS1
ErbB signaling pathway_Homo sapiens_hsa04012	3/87	0.03165814089188041802191975193636608310043811798095703125	0.2356073971413061851620796005590818822383880615234375	0.0151118563532141210459247560038420488126575946807861328125	0.1074620896228559718821315982495434582233428955078125	-1.424681018758334	4.919081559237653	MAPK8;GRB2;SOS1
Jak-STAT signaling pathway_Homo sapiens_hsa04630	4/158	0.036813655803329091431574937587356544099748134613037109375	0.2356073971413061851620796005590818822383880615234375	0.01404359898228126242447633131860129651613533496856689453125	0.10574003939600008783461504435763345099985599517822265625	-1.4477292214283501	4.780237457560869	IL15RA;CCND1;GRB2;SOS1
GnRH signaling pathway_Homo sapiens_hsa04912	3/91	0.03547477549168927268841144950783927924931049346923828125	0.2356073971413061851620796005590818822383880615234375	0.01696957418289357644169967898051254451274871826171875	0.10860527477051888645132038391238893382251262664794921875	-1.424373984698061	4.755889849650709	MAPK8;GRB2;SOS1
Dorso-ventral axis formation_Homo sapiens_hsa04320	2/27	0.0191266106639510456710606689512133016251027584075927734375	0.2074985662116207441041382253388292156159877777099609375	0.01212838918268978327663631944233202375471591949462890625	0.09702711346151826621309055553865619003772735595703125	-1.138067821381626	4.502964138779303	GRB2;SOS1
Choline metabolism in cancer_Homo sapiens_hsa05231	3/101	0.04600088508056772440557580239328672178089618682861328125	0.270425298638433952991277919863932766020298004150390625	0.0221534335417207066398770365367454360239207744598388671875	0.1350304520638214433869705999313737265765666961669921875	-1.3773903997575638	4.241115399555094	MAPK8;GRB2;SOS1
Chemokine signaling pathway_Homo sapiens_hsa04062	4/187	0.061206830261490242917066240124768228270113468170166015625	0.34062931623785874801768613906460814177989959716796875	0.024195777631445210265059841958645847626030445098876953125	0.140775433492044854677516241281409747898578643798828125	-1.357523083616776	3.7922359693286545	GRK4;GRB2;SOS1;CCR5
Pathways in cancer_Homo sapiens_hsa05200	6/397	0.0954037845769704351273077236328390426933765411376953125	0.438495916153399944992230530260712839663028717041015625	0.0276200828376532668551046612037680461071431636810302734375	0.1537117653573747133588511815105448476970195770263671875	-1.4424440663474793	3.389219992998643	MAPK8;CCND1;STK36;GRB2;SOS1;MLH1
AMPK signaling pathway_Homo sapiens_hsa04152	3/124	0.07528135886715035807181806148946634493768215179443359375	0.385440557399809813343694031573249958455562591552734375	0.03701622979985620676135482653990038670599460601806640625	0.1974198922658997601420338696698308922350406646728515625	-1.1780456622041062	3.047041885837187	SREBF1;CCND1;PPP2R3C
Hepatitis B_Homo sapiens_hsa05161	3/146	0.10920173330487330243254717743184301070868968963623046875	0.446675133304632321351590462654712609946727752685546875	0.054993850490508720818549903697203262709081172943115234375	0.247219967210977331628640740746050141751766204833984375	-1.1716965434502467	2.5947903558112793	MAPK8;CCND1;GRB2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.11761476442834162270401066052727401256561279296875	0.446675133304632321351590462654712609946727752685546875	0.059572816035079932672768876500413171015679836273193359375	0.247219967210977331628640740746050141751766204833984375	-1.136517968073867	2.432535667370839	SREBF1;MAPK8;EIF2S1
Pancreatic cancer_Homo sapiens_hsa05212	2/66	0.09592098165855623970177390447133802808821201324462890625	0.438495916153399944992230530260712839663028717041015625	0.059062018830846212125162963957336614839732646942138671875	0.247219967210977331628640740746050141751766204833984375	-1.0132182571909296	2.375217176292417	MAPK8;CCND1
Renal cell carcinoma_Homo sapiens_hsa05211	2/66	0.09592098165855623970177390447133802808821201324462890625	0.438495916153399944992230530260712839663028717041015625	0.059062018830846212125162963957336614839732646942138671875	0.247219967210977331628640740746050141751766204833984375	-0.9884609144114	2.317180257403561	GRB2;SOS1
