Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fanconi anemia pathway_Homo sapiens_hsa03460	6/53	0.00018236560061487473607781673035077574240858666598796844482421875	0.03081978650391382912321347475881339050829410552978515625	0.00013142299456045356833254478257089203907526098191738128662109375	0.0222104860807166536174062088093705824576318264007568359375	-1.7989295548353355	15.487878769682798	BLM;SLX4;TOP3A;HES1;PALB2;ATR
Renin secretion_Homo sapiens_hsa04924	5/64	0.0033967399272181795881475618870126709225587546825408935546875	0.28702452384993615286390422625117935240268707275390625	0.00230201370289303229588195875976452953182160854339599609375	0.1945201578944612263999403012348921038210391998291015625	-1.8582367661309536	10.563962945987223	PPP3CB;ACE;GNAQ;ADORA1;CTSB
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	5/78	0.007869825450025853819102650277272914536297321319580078125	0.4433335003514564665039188184891827404499053955078125	0.005129119117226924907948504284149748855270445346832275390625	0.288940376937116771838276463313377462327480316162109375	-1.730288754325312	8.382763488685898	DNM3;SHC4;ARPC5L;ELMO3;WASF2
Axon guidance_Homo sapiens_hsa04360	6/127	0.01560847863468155065358455857449371251277625560760498046875	0.65945822231529549473094675704487599432468414306640625	0.0089991765734592187031548604636554955504834651947021484375	0.380215210228652011892336304299533367156982421875	-1.6995416482156807	7.06999300086576	PPP3CB;SEMA3C;SEMA4C;NFATC2;SLIT2;NTN1
Platelet activation_Homo sapiens_hsa04611	5/122	0.044452672412090603326628723834801348857581615447998046875	0.9204557542129669922559287442709319293498992919921875	0.02831226616973291088097397505407570861279964447021484375	0.65901775656763650346192662254907190799713134765625	-1.7315127674266342	5.390770985446164	GP1BB;GNAQ;ITGA2B;ARHGEF1;GP1BA
Sphingolipid signaling pathway_Homo sapiens_hsa04071	5/120	0.041898975699536877836948178810416720807552337646484375	0.9204557542129669922559287442709319293498992919921875	0.026668430457990853488237092960844165645539760589599609375	0.65901775656763650346192662254907190799713134765625	-1.620953129080206	5.142463912028294	GNAQ;ADORA1;PTEN;S1PR2;SGPP1
Notch signaling pathway_Homo sapiens_hsa04330	3/48	0.040093304836457475948119366648825234733521938323974609375	0.9204557542129669922559287442709319293498992919921875	0.031196106819769774121109406905816285870969295501708984375	0.65901775656763650346192662254907190799713134765625	-1.5898233087779519	5.113739677837424	NCOR2;HES1;HES5
ECM-receptor interaction_Homo sapiens_hsa04512	4/82	0.0409672289106796927438125521803158335387706756591796875	0.9204557542129669922559287442709319293498992919921875	0.0286338279396872903703741286562944878824055194854736328125	0.65901775656763650346192662254907190799713134765625	-1.5606135741865979	4.986133568712494	VTN;GP1BB;ITGA2B;GP1BA
FoxO signaling pathway_Homo sapiens_hsa04068	5/133	0.06013514968349485678711374703198089264333248138427734375	0.9204557542129669922559287442709319293498992919921875	0.038499758655526704342886290532987914048135280609130859375	0.7229399125315569829552941882866434752941131591796875	-1.6229423691409464	4.562351895915239	PLK2;BNIP3;PTEN;FBXO32;FOXO1
Estrogen signaling pathway_Homo sapiens_hsa04915	4/99	0.071949238162453965639286934674601070582866668701171875	0.9204557542129669922559287442709319293498992919921875	0.05024244095527430342684738207026384770870208740234375	0.74994307698016127172735423300764523446559906005859375	-1.6706772391915592	4.396879059340245	SHC4;HSPA8;GNAQ;FKBP4
