Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FoxO signaling pathway_Homo sapiens_hsa04068	43/133	0.00000372431953588491468996987850126334507194769685156643390655517578125	0.001050258109119545958665131735187969752587378025054931640625	0.00001159506270019152512277919864214226208787295036017894744873046875	0.003269807681454009982979780346568077220581471920013427734375	-1.8262560285717904	22.829344319814734	CDKN1A;CDKN1B;IRS1;FBXO25;PTEN;PIK3R3;PRKAG2;IRS2;PIK3R2;PIK3R1;SLC2A4;FOXO1;GABARAP;IGF1R;MAPK9;STK11;BCL2L11;CCND1;S1PR1;AKT1;HRAS;SMAD2;PLK4;USP7;CREBBP;SMAD4;GABARAPL1;SMAD3;GADD45B;GADD45A;INSR;PLK2;BRAF;MAPK14;FBXO32;TGFBR1;GADD45G;G6PC3;CCNG2;GRB2;SGK3;SOS1;SOS2
Chronic myeloid leukemia_Homo sapiens_hsa05220	26/73	0.000047635362391351912677260604933593413079506717622280120849609375	0.00671658609718061953841594657887981156818568706512451171875	0.00017764856924957071640340522389323041352326981723308563232421875	0.01361030395730887347649495922041751327924430370330810546875	-1.9049224659163602	18.95766487546518	CDKN1A;CDKN1B;CTBP1;PIK3R3;PIK3R2;PIK3R1;CBL;CRKL;CCND1;AKT1;E2F2;IKBKG;HRAS;STAT5A;SMAD4;SMAD3;BAD;BRAF;TGFBR1;RUNX1;BCR;GRB2;SOS1;SOS2;CRK;BCL2L1
Insulin signaling pathway_Homo sapiens_hsa04910	40/139	0.00015255436123481487769963649281379503008793108165264129638671875	0.01434010995607259801587485270601973752491176128387451171875	0.0001930539568412606259151242937832648749463260173797607421875	0.01361030395730887347649495922041751327924430370330810546875	-1.7232979136193536	15.14432407076596	IRS1;INPPL1;PIK3R3;PRKAG2;IRS2;PIK3R2;PIK3R1;SLC2A4;CBL;FOXO1;CRKL;PPP1CB;SOCS3;MAPK9;PRKAR2A;MKNK2;AKT1;PRKACA;PPARGC1A;PRKACB;EIF4E;HRAS;SREBF1;BAD;INSR;PHKA1;PHKB;BRAF;MTOR;PPP1R3F;G6PC3;PPP1R3B;HKDC1;CALM3;GRB2;SOS1;CALM2;SOS2;CRK;RHOQ
Pathways in cancer_Homo sapiens_hsa05200	89/397	0.00084449998060361097275416941698722439468838274478912353515625	0.034021284932888327945388340367571800015866756439208984375	0.00014483849432684830593580371793649419487337581813335418701171875	0.01361030395730887347649495922041751327924430370330810546875	-1.9496187290528424	13.796995231918002	RET;CDKN1A;CDKN1B;PTEN;FGF2;CRKL;IGF1R;RASSF1;CCND1;CDH1;CASP3;AKT1;IKBKG;PRKACA;PRKACB;HRAS;ARHGEF12;ITGA3;DAPK1;PLEKHG5;NCOA4;TGFBR1;RUNX1;BCR;MSH6;PLCB3;ADCY9;PLCB4;KIT;ITGA6;SOS1;SOS2;CRK;LAMA5;RALB;CTBP1;ROCK2;MAX;PTGER1;LAMA4;LPAR1;PIK3R3;LPAR3;PIK3R2;PIK3R1;PTGS2;CBL;FOXO1;ADCY5;MAPK9;GNG2;GNG7;GNA11;DVL2;E2F2;BID;WNT1;RXRG;WNT4;NTRK1;STAT5A;SMAD2;CREBBP;JUN;SMAD4;TCF7L1;EGLN2;SMAD3;BAD;ZBTB16;FN1;VEGFB;VEGFC;BRAF;MTOR;BMP4;FGF16;BMP2;CXCL12;APC;GNB2;FGF18;GNB1;GNAS;GRB2;GNB5;FGF11;BCL2L1;FGFR1
Central carbon metabolism in cancer_Homo sapiens_hsa05230	22/67	0.000654488278800538698411204396876428290852345526218414306640625	0.034021284932888327945388340367571800015866756439208984375	0.001314509082121727116809761781723864260129630565643310546875	0.0411879512398141134355000758660025894641876220703125	-1.7522567365843238	12.846945160769183	RET;NTRK1;PDHA1;GLS2;PTEN;PIK3R3;PIK3R2;PDHB;SLC1A5;PIK3R1;MTOR;SLC7A5;LDHA;PFKL;SCO2;HKDC1;KIT;AKT1;SLC16A3;PFKM;HRAS;FGFR1
AMPK signaling pathway_Homo sapiens_hsa04152	35/124	0.000566549463761289854614455752113144626491703093051910400390625	0.034021284932888327945388340367571800015866756439208984375	0.0006375817978441209767093145188709968351759016513824462890625	0.0299663444986736880737421273579457192681729793548583984375	-1.7154808142163354	12.82484221697928	PFKFB2;CRTC2;IRS1;PIK3R3;PRKAG2;IRS2;PIK3R2;PIK3R1;SLC2A4;ADIPOR1;ADIPOR2;FOXO1;IGF1R;STK11;CCND1;PPP2R1A;PPP2R3C;HNF4A;CREB3L2;AKT1;MAP3K7;PPARGC1A;RAB2A;SREBF1;CPT1A;INSR;STRADB;PPP2R5A;EEF2;MTOR;PFKL;CREB1;G6PC3;PPP2R2D;PFKM
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	28/94	0.000776336981478267557262029630038568939198739826679229736328125	0.034021284932888327945388340367571800015866756439208984375	0.00109613429995731649115031647312434870400466024875640869140625	0.0411879512398141134355000758660025894641876220703125	-1.7777148842902775	12.730080962407957	IRS1;PIK3R3;PRKAG2;PIK3R2;IRS2;PIK3R1;ADIPOR1;ADIPOR2;FOXO1;ADCY5;IGF1R;STK11;RB1CC1;CREB3L2;SESN2;AKT1;PRKACA;PPARGC1A;EIF4E;HRAS;PRKACB;INSR;MTOR;ADCY9;CREB1;CAMK4;ULK2;ATF4
MAPK signaling pathway_Homo sapiens_hsa04010	61/255	0.00102396684023044388413270500137741692014969885349273681640625	0.034913593821759791868686306770541705191135406494140625	0.000400315552233074744246932308300301883718930184841156005859375	0.0225777971459454156188950690875572036020457744598388671875	-1.8195698215502152	12.526048087518154	ARRB2;FGF2;CRKL;ELK4;PPP3CA;DUSP10;CASP3;AKT1;IKBKG;PRKACA;MAP3K6;PRKACB;HRAS;MAP3K7;MAP3K4;MAP3K5;DUSP5;DAXX;DUSP3;IL1R1;MAPK8IP3;DUSP9;DUSP6;TGFBR1;DUSP7;CDC25B;MAPKAPK5;SOS1;SOS2;CRK;ATF4;MAX;SRF;CACNA1B;CACNA1E;RAP1B;MAPK9;MKNK2;FLNA;FLNB;MAP2K7;PAK2;NTRK1;MAP3K3;JUN;JUND;MAP3K1;GADD45B;GADD45A;BRAF;NFATC1;MAPK14;GADD45G;FGF16;NR4A1;FGF18;NF1;GRB2;MAP3K11;FGF11;FGFR1
ErbB signaling pathway_Homo sapiens_hsa04012	26/87	0.0011142636326093549765936518980424807523377239704132080078125	0.034913593821759791868686306770541705191135406494140625	0.00156350962835250981673718140285700428648851811885833740234375	0.0440909715195407780896630356437526643276214599609375	-1.6622641803019222	11.302667542205203	CDKN1A;CDKN1B;SRC;CAMK2A;PIK3R3;PIK3R2;PIK3R1;CBL;CRKL;MAPK9;ERBB3;AKT1;MAP2K7;PAK2;HRAS;NCK1;STAT5A;JUN;BAD;GAB1;BRAF;MTOR;GRB2;SOS1;SOS2;CRK
Apoptosis_Homo sapiens_hsa04210	37/140	0.0015228560811728782641016888277363250381313264369964599609375	0.0411262685410068995484067500001401640474796295166015625	0.00125388859569707552914230586083021989907138049602508544921875	0.0411879512398141134355000758660025894641876220703125	-1.7299296992890107	11.222344079684147	HTRA2;PIK3R3;PIK3R2;PIK3R1;ACTB;BBC3;MAPK9;BCL2L11;CASP3;LMNA;CAPN2;AKT1;PMAIP1;CAPN1;BAK1;IKBKG;BID;HRAS;SPTAN1;CTSC;MAP3K5;MCL1;NTRK1;DAXX;JUN;ENDOG;PARP4;GADD45B;BAD;GADD45A;PARP2;CFLAR;SEPT4;GADD45G;TUBA8;BCL2L1;ATF4
