Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Epstein-Barr virus infection_Homo sapiens_hsa05169	4/202	0.00841703122767292581662967876354741747491061687469482421875	0.51763256448773808937602325386251322925090789794921875	0.0034559249644376334627271507571322217700071632862091064453125	0.2833858470838859222595829123747535049915313720703125	-1.9480407787680116	9.306761116730765	RB1;GSK3B;PSMC6;HSPA1L
Prostate cancer_Homo sapiens_hsa05215	2/89	0.0483757729620814813653595365394721738994121551513671875	0.51763256448773808937602325386251322925090789794921875	0.032349088062409679655839767065117484889924526214599609375	0.41583531337339285638421415569609962403774261474609375	-1.9266904706081152	5.8354756104892855	RB1;GSK3B
Antigen processing and presentation_Homo sapiens_hsa04612	2/77	0.037251020750581932683420660623596631921827793121337890625	0.51763256448773808937602325386251322925090789794921875	0.0248931766783493206574018330456965486519038677215576171875	0.41583531337339285638421415569609962403774261474609375	-1.7608143902230056	5.7932130456958495	HSPA1L;LGMN
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	2/118	0.07932650290039590379453926516362116672098636627197265625	0.51763256448773808937602325386251322925090789794921875	0.05342482624937007484877682372825802303850650787353515625	0.41583531337339285638421415569609962403774261474609375	-1.781119550121131	4.513682877011318	GSK3B;NOTCH4
Lysosome_Homo sapiens_hsa04142	2/123	0.0851588765044966056194652992417104542255401611328125	0.51763256448773808937602325386251322925090789794921875	0.057450606651665812873996941334553412161767482757568359375	0.41583531337339285638421415569609962403774261474609375	-1.674127242371418	4.123771549711311	AP3S1;LGMN
Cell cycle_Homo sapiens_hsa04110	2/124	0.0863407313537641607492645334787084721028804779052734375	0.51763256448773808937602325386251322925090789794921875	0.0582684494979669731495874884785735048353672027587890625	0.41583531337339285638421415569609962403774261474609375	-1.6067992434143796	3.935780541967729	RB1;GSK3B
Measles_Homo sapiens_hsa05162	2/136	0.100896481088304568185520793122122995555400848388671875	0.51763256448773808937602325386251322925090789794921875	0.06839783094681207986642590412884601391851902008056640625	0.41583531337339285638421415569609962403774261474609375	-1.6562818990792987	3.7989479173975376	GSK3B;HSPA1L
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	2/142	0.1084143639602574982205851483740843832492828369140625	0.51763256448773808937602325386251322925090789794921875	0.073670404313406712137890508529380895197391510009765625	0.41583531337339285638421415569609962403774261474609375	-1.5793608552432772	3.5090155616101457	GSK3B;PAX6
Influenza A_Homo sapiens_hsa05164	2/175	0.1520762732318263754649478869396261870861053466796875	0.51763256448773808937602325386251322925090789794921875	0.10483355541259824217359408748961868695914745330810546875	0.41583531337339285638421415569609962403774261474609375	-1.606852035674918	3.0263018778434785	GSK3B;HSPA1L
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.1438878728811479879023949024485773406922817230224609375	0.51763256448773808937602325386251322925090789794921875	0.0989193750547865124911339762547868303954601287841796875	0.41583531337339285638421415569609962403774261474609375	-1.5278245504448331	2.962025453585355	HSPA1L;UBQLN4
Maturity onset diabetes of the young_Homo sapiens_hsa04950	1/26	0.09784403638163656491411046545181307010352611541748046875	0.51763256448773808937602325386251322925090789794921875	0.0812676580476461019042488942432100884616374969482421875	0.41583531337339285638421415569609962403774261474609375	-1.2573855531985794	2.922642502998496	PAX6
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	1/25	0.09426189317349407958968043885761289857327938079833984375	0.51763256448773808937602325386251322925090789794921875	0.0783735985524820211178820272834855131804943084716796875	0.41583531337339285638421415569609962403774261474609375	-1.1281188509963829	2.6642537798702266	PIGU
Regulation of autophagy_Homo sapiens_hsa04140	1/39	0.1431583666807606791682161428980180062353610992431640625	0.51763256448773808937602325386251322925090789794921875	0.1181098681254265925222313171616406179964542388916015625	0.41583531337339285638421415569609962403774261474609375	-1.2922311864407308	2.511843893520891	ATG12
Dorso-ventral axis formation_Homo sapiens_hsa04320	1/27	0.1014121910435803741723503890170832164585590362548828125	0.51763256448773808937602325386251322925090789794921875	0.08415304156344464991956755284263635985553264617919921875	0.41583531337339285638421415569609962403774261474609375	-1.0771313518368966	2.4650818461362585	NOTCH4
Viral carcinogenesis_Homo sapiens_hsa05203	2/205	0.194214601260074559707646812967141158878803253173828125	0.51763256448773808937602325386251322925090789794921875	0.1357738086105649000234762979744118638336658477783203125	0.41583531337339285638421415569609962403774261474609375	-1.4735794038775651	2.4148894594672488	RB1;HIST1H4H
