Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	21/214	0.00016570694795934527341306485848093643653555773198604583740234375	0.039106839718405485284424827341354102827608585357666015625	0.000033976625432541370116189261008088351445621810853481292724609375	0.00801848360207976264268925348233096883632242679595947265625	-1.9209137382245087	16.72211058659149	CYFIP2;VAV3;GSN;ROCK2;ITGB4;CHRM4;PDGFA;PIK3CB;IQGAP2;FGF1;BAIAP2;PTK2;RHOA;VAV1;VAV2;MRAS;MYL2;RAC3;PIP4K2C;PPP1R12B;GIT1
T cell receptor signaling pathway_Homo sapiens_hsa04660	12/104	0.0009972760273647984265166233086574720800854265689849853515625	0.1176785712290462082574293845027568750083446502685546875	0.0004600370330538147852460217901437999898917041718959808349609375	0.054284369900350147586376436947830370627343654632568359375	-1.853347783993636	12.807528295776374	VAV3;JUN;PPP3CB;CDK4;LCK;BCL10;PIK3CB;FOS;MAP2K7;RHOA;VAV1;VAV2
B cell receptor signaling pathway_Homo sapiens_hsa04662	9/73	0.0026311399451082544652391614903308436623774468898773193359375	0.2008500831083687432343509726706543006002902984619140625	0.00154826014918054062109720181439342923113144934177398681640625	0.086573952339435600311645657711778767406940460205078125	-1.9302484828986712	11.46632858129327	VAV3;JUN;PPP3CB;RAC3;PIK3CB;FOS;BCL10;VAV1;VAV2
Focal adhesion_Homo sapiens_hsa04510	17/202	0.0035258606263613872545958916049357867450453341007232666015625	0.2008500831083687432343509726706543006002902984619140625	0.0009930806652765629231882638094930371153168380260467529296875	0.07812234566842295169220022899025934748351573944091796875	-1.846571091034612	10.42875162629101	VAV3;JUN;ROCK2;LAMB2;ITGB4;PDGFA;ILK;PRKCA;PIK3CB;PTK2;RHOA;VAV1;VAV2;VEGFA;MYL2;RAC3;PPP1R12B
Amphetamine addiction_Homo sapiens_hsa05031	8/67	0.005444391557715416198048874463211177499033510684967041015625	0.2008500831083687432343509726706543006002902984619140625	0.00335330360807757632546355353042599745094776153564453125	0.0986523765134163233003761206418857909739017486572265625	-1.8337135714203945	9.559459244442078	JUN;PPP3CB;CAMK2D;CREB3L2;PPP1R1B;CALM3;PRKCA;FOS
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	10/93	0.004297783940406534226863488612480068695731461048126220703125	0.2008500831083687432343509726706543006002902984619140625	0.002201032686595820464514616787710110656917095184326171875	0.086573952339435600311645657711778767406940460205078125	-1.7469248979204233	9.520139317956193	VAV3;GSN;SPHK2;PRKCD;PRKCA;GAB2;PIK3CB;VAV1;VAV2;DNM2
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	8/68	0.00595741771931602125123017543728565215133130550384521484375	0.2008500831083687432343509726706543006002902984619140625	0.0036424969892449505538822851491431720205582678318023681640625	0.0986523765134163233003761206418857909739017486572265625	-1.8446061801827798	9.450135420414002	VAV3;RAC3;PRKCA;GAB2;PIK3CB;MAP2K7;VAV1;VAV2
cAMP signaling pathway_Homo sapiens_hsa04024	16/199	0.007031947824178823476526378755124824238009750843048095703125	0.2074424608132753033995498981312266550958156585693359375	0.0021555500992578228817986296661501910421065986156463623046875	0.086573952339435600311645657711778767406940460205078125	-1.7636217948606636	8.742787400594557	VAV3;JUN;CAMK2D;ROCK2;ADRB1;FOS;PIK3CB;ADCY7;RHOA;VAV1;VAV2;CREB3L2;PPP1R1B;RAC3;CALM3;SOX9
VEGF signaling pathway_Homo sapiens_hsa04370	7/61	0.0112271854245890832790788493866784847341477870941162109375	0.2649615760203023473451366953668184578418731689453125	0.00723945440248495442059351034913561306893825531005859375	0.13987816199107372394649928537546657025814056396484375	-1.6767900454166544	7.527810023212785	PPP3CB;SPHK2;RAC3;PRKCA;PIK3CB;PTK2;VEGFA
Leukocyte transendothelial migration_Homo sapiens_hsa04670	11/118	0.0082804969681060623665214137645307346247136592864990234375	0.2171330316081145073159319736078032292425632476806640625	0.003762166900935367923330954198490871931426227092742919921875	0.0986523765134163233003761206418857909739017486572265625	-1.5210725244694858	7.291797007853204	VAV3;CXCL12;ROCK2;MYL2;PTK2B;PRKCA;PIK3CB;PTK2;RHOA;VAV1;VAV2
TNF signaling pathway_Homo sapiens_hsa04668	10/110	0.0135908308735660822430535432658871286548674106597900390625	0.2915850987419632556196802397607825696468353271484375	0.0066183561116026912163334827710059471428394317626953125	0.13987816199107372394649928537546657025814056396484375	-1.645404926285914	7.072542577591208	RPS6KA4;JUN;CSF1;TRAF3;CREB3L2;FAS;CCL2;PIK3CB;FOS;MAP2K7
Chemokine signaling pathway_Homo sapiens_hsa04062	14/187	0.0198228558098135672349560110205857199616730213165283203125	0.36029498684901983818207327203708700835704803466796875	0.0071838006965813973325740704467534669674932956695556640625	0.13987816199107372394649928537546657025814056396484375	-1.6428449989394847	6.441463276333289	VAV3;ROCK2;PRKCD;PIK3CB;ADCY7;PTK2;RHOA;VAV1;VAV2;CXCL12;PARD3;GNB1;PTK2B;CCL2
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	13/169	0.01984675775015787291266633474151603877544403076171875	0.36029498684901983818207327203708700835704803466796875	0.00770515299103372193478822538281747256405651569366455078125	0.13987816199107372394649928537546657025814056396484375	-1.5278245504448331	5.988636231319287	EDEM3;ERO1LB;HSP90AB1;FBXO2;EIF2AK3;EIF2AK4;PDIA6;UBE2J1;NSFL1C;ERP29;CALR;MAP2K7;UGGT1
MAPK signaling pathway_Homo sapiens_hsa04010	17/255	0.0303394545555471621678389482212878647260367870330810546875	0.467246600001255785183928992410073988139629364013671875	0.00929560655946679893768536118159317993558943271636962890625	0.1566973677167260436959850267157889902591705322265625	-1.6668113269234388	5.826016103500157	MAP4K1;JUN;SRF;PDGFA;PRKCA;FOS;FGF1;MAPK8IP1;GADD45G;ELK4;RPS6KA4;PPP3CB;MRAS;RAC3;FAS;MAP2K7;MAP3K11
GnRH signaling pathway_Homo sapiens_hsa04912	8/91	0.030745178056391854470863478354658582247793674468994140625	0.467246600001255785183928992410073988139629364013671875	0.0172291027831993452668069011224361020140349864959716796875	0.2460597659824903804537399309992906637489795684814453125	-1.5429549031278083	5.372603084646643	JUN;CAMK2D;PRKCD;PTK2B;CALM3;PRKCA;MAP2K7;ADCY7
HTLV-I infection_Homo sapiens_hsa05166	17/258	0.03337890941920311493884554465694236569106578826904296875	0.467246600001255785183928992410073988139629364013671875	0.010306869115588347673995173181538120843470096588134765625	0.1621614074185900034041907247228664346039295196533203125	-1.568299635718701	5.331953770505287	JUN;FZD2;SRF;PDGFA;FOS;PIK3CB;ADCY7;ELK4;PPP3CB;MRAS;CDK4;LCK;CHEK2;TBPL1;CALR;POLE;ATF3
mTOR signaling pathway_Homo sapiens_hsa04150	6/60	0.0336575940678870699773739261217997409403324127197265625	0.467246600001255785183928992410073988139629364013671875	0.0222161208297646760312371583268031827174127101898193359375	0.2460597659824903804537399309992906637489795684814453125	-1.3736858246881118	4.658878236758476	RRAGB;CAB39L;PRKCA;PIK3CB;EIF4E;VEGFA
Rap1 signaling pathway_Homo sapiens_hsa04015	14/211	0.047808154763926420660613558766272035427391529083251953125	0.490553240186375472120516860741190612316131591796875	0.0181122419132086730220176917782737291418015956878662109375	0.2460597659824903804537399309992906637489795684814453125	-1.4085559978099023	4.28279768978386	CSF1;PDGFA;PRKCA;PIK3CB;FGF1;ADCY7;RHOA;RAP1GAP;VAV2;VEGFA;MRAS;PARD3;RAC3;CALM3
Glioma_Homo sapiens_hsa05214	6/65	0.047016385312928253570330383581676869653165340423583984375	0.490553240186375472120516860741190612316131591796875	0.0305583781862877844337500476967761642299592494964599609375	0.257563473284425581422141249277046881616115570068359375	-1.3980755056705712	4.274279082257859	CAMK2D;CDK4;PDGFA;CALM3;PRKCA;PIK3CB
Estrogen signaling pathway_Homo sapiens_hsa04915	8/99	0.04702260358675576512599292300365050323307514190673828125	0.490553240186375472120516860741190612316131591796875	0.0261898008910628164735978629096280201338231563568115234375	0.25753304209545102576583985864999704062938690185546875	-1.3607583937763814	4.160011043072218	JUN;HSP90AB1;CREB3L2;PRKCD;CALM3;PIK3CB;FOS;ADCY7
