Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	10/74	0.005690887246231604058854802730138544575311243534088134765625	0.68293378674777349690572236795560456812381744384765625	0.0031306882234384803519178230857278322218917310237884521484375	0.358598219541522544862033328172401525080204010009765625	-1.8204220523302637	9.409559725904915	ITGB1;TCF7L2;CACNB3;GJA1;ITGB5;ITGA3;ITGA1;ITGA8;DAG1;CACNA1C
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	7/44	0.00811090417926790645253287692639787564985454082489013671875	0.68293378674777349690572236795560456812381744384765625	0.005874654880991931303613196035939836292527616024017333984375	0.358598219541522544862033328172401525080204010009765625	-1.9521952767242563	9.398933819511706	DYNC2H1;DYNC2LI1;DCTN2;CREB3L4;GNAS;DYNLL2;ADCY6
Dilated cardiomyopathy_Homo sapiens_hsa05414	11/90	0.00819520544097328274002478565307683311402797698974609375	0.68293378674777349690572236795560456812381744384765625	0.004001004231697653963639726981682542827911674976348876953125	0.358598219541522544862033328172401525080204010009765625	-1.8362171022392557	8.821565216276547	ITGB1;CACNB3;ITGB5;ITGA3;ITGA1;ITGA8;DAG1;GNAS;CACNA1C;ADCY8;ADCY6
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	10/94	0.0278208866982789203292636415199012844823300838470458984375	0.70764511744647773383576350170187652111053466796875	0.0139083452999875338551571957168562221340835094451904296875	0.358598219541522544862033328172401525080204010009765625	-1.7777148842902775	6.367718220287778	STK11;CREB3L4;ATG101;SESN2;EIF4EBP1;ULK2;PRKAG2;EIF4E2;ADCY8;ADCY6
Glycosaminoglycan degradation_Homo sapiens_hsa00531	4/19	0.0163147830891529448116283873559950734488666057586669921875	0.70764511744647773383576350170187652111053466796875	0.01570684975952015005606909880953026004135608673095703125	0.358598219541522544862033328172401525080204010009765625	-1.4128473128463985	5.8148325772399705	NAGLU;IDUA;HEXB;HYAL2
Galactose metabolism_Homo sapiens_hsa00052	5/30	0.019919527379121400312289580369906616397202014923095703125	0.70764511744647773383576350170187652111053466796875	0.016207119077783459226704820821396424435079097747802734375	0.358598219541522544862033328172401525080204010009765625	-1.438579361041134	5.633555544451771	AKR1B10;UGP2;PGM2;PFKM;PFKP
p53 signaling pathway_Homo sapiens_hsa04115	8/69	0.029750043787746337231592264060964225791394710540771484375	0.70764511744647773383576350170187652111053466796875	0.017361918087112009068118112509182537905871868133544921875	0.358598219541522544862033328172401525080204010009765625	-1.5641719278119373	5.497946505218975	CCND3;CCND1;CCNG2;CASP3;SESN2;RCHY1;BBC3;GADD45G
ECM-receptor interaction_Homo sapiens_hsa04512	9/82	0.0300466904731788546356607838561103562824428081512451171875	0.70764511744647773383576350170187652111053466796875	0.01617448714125553632658949254619074054062366485595703125	0.358598219541522544862033328172401525080204010009765625	-1.4998494617959217	5.256976500284731	ITGB1;COL4A2;ITGB5;ITGA3;COL4A1;ITGA1;ITGA8;DAG1;AGRN
Adipocytokine signaling pathway_Homo sapiens_hsa04920	8/70	0.03208223543834110014216776107787154614925384521484375	0.70764511744647773383576350170187652111053466796875	0.01864710741615917266589264045251184143126010894775390625	0.358598219541522544862033328172401525080204010009765625	-1.5220630028978241	5.2350638801853515	RXRB;CPT1A;STK11;TRADD;PRKAG2;AGRP;CPT1B;NFKBIB
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	9/83	0.03217234232143821592853072388606960885226726531982421875	0.70764511744647773383576350170187652111053466796875	0.0172734419804716661517307585427261074073612689971923828125	0.358598219541522544862033328172401525080204010009765625	-1.5230471227949438	5.23417704591273	ITGB1;CACNB3;ITGB5;ITGA3;ITGA1;ITGA8;DAG1;PRKAG2;CACNA1C
Hippo signaling pathway_Homo sapiens_hsa04390	14/153	0.0339669656374309292257152037564083002507686614990234375	0.70764511744647773383576350170187652111053466796875	0.01288730175572822163332364908683302928693592548370361328125	0.358598219541522544862033328172401525080204010009765625	-1.4718736173883613	4.978416494890859	TEAD4;TCF7L2;WNT2B;FZD5;WWC1;CTGF;BBC3;CCND3;RASSF1;APC;CCND1;BMPR1A;TEAD3;LLGL2
Huntington's disease_Homo sapiens_hsa05016	16/193	0.053107193811749824063905833781973342411220073699951171875	0.8274299572646379719031983768218196928501129150390625	0.01827134643872962982413810095749795436859130859375	0.358598219541522544862033328172401525080204010009765625	-1.5538176782344781	4.561143045409729	NDUFA8;NDUFA11;DCTN2;NDUFA4L2;HTT;AP2A2;ATP5G1;BBC3;SOD1;CREB3L4;UQCRQ;POLR2B;NDUFS5;CASP3;POLR2D;POLR2K
Purine metabolism_Homo sapiens_hsa00230	15/176	0.04910372693489771511732300268704420886933803558349609375	0.8274299572646379719031983768218196928501129150390625	0.0177999068489823435157415332241725991480052471160888671875	0.358598219541522544862033328172401525080204010009765625	-1.4912538769067176	4.494371269419027	ENTPD2;POLR3GL;AK1;NME5;ADCY8;ADCY6;NT5C;NUDT9;POLD4;POLR2B;POLD1;POLR2D;PGM2;PDE7B;POLR2K
Pyrimidine metabolism_Homo sapiens_hsa00240	10/105	0.05309519121800472529759673534499597735702991485595703125	0.8274299572646379719031983768218196928501129150390625	0.02630040813152779988204343908364535309374332427978515625	0.453554575471469101355381781104370020329952239990234375	-1.4345502472667913	4.2113645689127726	NT5C;POLD4;POLR3GL;POLR2B;TXNRD1;POLD1;POLR2D;CMPK2;NME5;POLR2K
Lysosome_Homo sapiens_hsa04142	11/123	0.06367856478335413850100366062179091386497020721435546875	0.8274299572646379719031983768218196928501129150390625	0.0296541754347075005304734673927669064141809940338134765625	0.463346491167304697089690534994588233530521392822265625	-1.3977868527336337	3.849375383550836	AP4M1;LAPTM4B;ARSA;NAGLU;IDUA;SORT1;HEXB;AP4S1;ABCB9;ATP6V0D1;AP1M2
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	8/81	0.06619439658117103053580621008222806267440319061279296875	0.8274299572646379719031983768218196928501129150390625	0.037533832975195802195145233781659044325351715087890625	0.524865271987437598255610282649286091327667236328125	-1.4091789786549591	3.8261456395343236	NR4A1;CREB3L4;GNAS;CALML3;CACNA1C;CALM1;ADCY8;ADCY6
Central carbon metabolism in cancer_Homo sapiens_hsa05230	7/67	0.06493592972590693512824344679756904952228069305419921875	0.8274299572646379719031983768218196928501129150390625	0.0396001315937334619210474784267717041075229644775390625	0.524865271987437598255610282649286091327667236328125	-1.3382137472999407	3.659150369359364	RET;IDH1;SLC1A5;PFKM;HIF1A;EGFR;PFKP
Mismatch repair_Homo sapiens_hsa03430	4/23	0.03151421284259377231240506489484687335789203643798828125	0.70764511744647773383576350170187652111053466796875	0.02721327452828814497109988224110566079616546630859375	0.453554575471469101355381781104370020329952239990234375	-0.9777189290553353	3.3802839163685885	POLD4;RPA3;POLD1;MLH3
Melanogenesis_Homo sapiens_hsa04916	9/100	0.0851391081738122057487316851620562374591827392578125	0.91901870287846076923443661144119687378406524658203125	0.04518537763227460646309197045411565341055393218994140625	0.5378509337879453511277461075223982334136962890625	-1.344436436563829	3.311977206261719	TCF7L2;WNT2B;FZD5;CREB3L4;GNAS;CALML3;CALM1;ADCY8;ADCY6
Peroxisome_Homo sapiens_hsa04146	8/83	0.0741481142350753075209723874650080688297748565673828125	0.88271564565565852067408059156150557100772857666015625	0.041989221758995005917558529517918941564857959747314453125	0.524865271987437598255610282649286091327667236328125	-1.1084557696726596	2.8838590035608997	ACOX2;ACOX1;IDH1;PMVK;HSD17B4;PEX2;DDO;SOD1
Vascular smooth muscle contraction_Homo sapiens_hsa04270	10/120	0.10682978865317072081353444445994682610034942626953125	0.989164709751580772945089847780764102935791015625	0.053785093378794536500553391533685498870909214019775390625	0.5378509337879453511277461075223982334136962890625	-1.165260651647215	2.6061269713736923	KCNU1;PLA2G12A;GNAS;CALML3;MYH11;AVPR1A;CACNA1C;CALM1;ADCY8;ADCY6
Oxytocin signaling pathway_Homo sapiens_hsa04921	12/158	0.13725454955881877250334355267114005982875823974609375	0.99999972568832529162818900658749043941497802734375	0.0632216967626959835957478617274318821728229522705078125	0.5643651551153252565740103818825446069240570068359375	-1.1869247913996748	2.357135368624582	CACNB3;CCND1;GNAS;NFATC2;PRKAG2;CALML3;NFATC1;CACNA1C;CALM1;ADCY8;EGFR;ADCY6
