Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
AMPK signaling pathway_Homo sapiens_hsa04152	2/124	0.050322563628261172963274105995878926478326320648193359375	0.411316050751582340527789938278147019445896148681640625	0.02188804245320645491812427962941001169383525848388671875	0.28526988423932897465107316747889854013919830322265625	-1.7922572645037969	5.3575977259372	RPTOR;PFKFB3
Fructose and mannose metabolism_Homo sapiens_hsa00051	1/32	0.0888129015679219591117288246095995418727397918701171875	0.411316050751582340527789938278147019445896148681640625	0.0594415346247358644671265892611700110137462615966796875	0.28526988423932897465107316747889854013919830322265625	-1.6150958446697325	3.910507774203009	PFKFB3
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.1278526526139464880582607975156861357390880584716796875	0.411316050751582340527789938278147019445896148681640625	0.05877317925049894975497721816282137297093868255615234375	0.28526988423932897465107316747889854013919830322265625	-1.846716546156202	3.7984684746272976	GNA12;SSH2
Base excision repair_Homo sapiens_hsa03410	1/33	0.09145957883446541314409472533952794037759304046630859375	0.411316050751582340527789938278147019445896148681640625	0.061190784990032297263606864134999341331422328948974609375	0.28526988423932897465107316747889854013919830322265625	-1.5624792949225572	3.7372288602632064	HMGB1
Glutathione metabolism_Homo sapiens_hsa00480	1/52	0.1403347803585633657430520315756439231336116790771484375	0.411316050751582340527789938278147019445896148681640625	0.0938612463765625404388259767074487172067165374755859375	0.28526988423932897465107316747889854013919830322265625	-1.708282063416851	3.3545952087533193	GSTM5
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.1601321304560184566323499666395946405827999114990234375	0.411316050751582340527789938278147019445896148681640625	0.10730059710347715495881715241921483539044857025146484375	0.28526988423932897465107316747889854013919830322265625	-1.794625845784039	3.2873166413809933	RPTOR
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.16890577680352947265163265910814516246318817138671875	0.411316050751582340527789938278147019445896148681640625	0.07979824511498030681355686510869418270885944366455078125	0.28526988423932897465107316747889854013919830322265625	-1.8195698215502152	3.235948905420637	JUND;GNA12
Long-term depression_Homo sapiens_hsa04730	1/60	0.1601321304560184566323499666395946405827999114990234375	0.411316050751582340527789938278147019445896148681640625	0.10730059710347715495881715241921483539044857025146484375	0.28526988423932897465107316747889854013919830322265625	-1.7240688310568273	3.1580734070746277	GNA12
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	1/64	0.169862089328251197883901113527826964855194091796875	0.411316050751582340527789938278147019445896148681640625	0.113951050987684265880517386904102750122547149658203125	0.28526988423932897465107316747889854013919830322265625	-1.7143939128435768	3.03922337168843	RPTOR
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	1/68	0.1794812469245456731936627647883142344653606414794921875	0.411316050751582340527789938278147019445896148681640625	0.12055574505211426317163869725845870561897754669189453125	0.28526988423932897465107316747889854013919830322265625	-1.6261376720003369	2.7931915561314997	IGSF5
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982	1/69	0.1818688692198986434078733509522862732410430908203125	0.411316050751582340527789938278147019445896148681640625	0.1221998024748065236888550089133786968886852264404296875	0.28526988423932897465107316747889854013919830322265625	-1.527884104678159	2.6042316273583963	GSTM5
Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980	1/73	0.191351267211411879554106008072267286479473114013671875	0.411316050751582340527789938278147019445896148681640625	0.128747702672005692736689752564416266977787017822265625	0.28526988423932897465107316747889854013919830322265625	-1.4607460972621136	2.415554668786141	GSTM5
TGF-beta signaling pathway_Homo sapiens_hsa04350	1/84	0.2168744585709597438860640750135644339025020599365234375	0.411316050751582340527789938278147019445896148681640625	0.146522674008354503172313343384303152561187744140625	0.28526988423932897465107316747889854013919830322265625	-1.4805947519426321	2.2629952453364073	TGIF1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	1/94	0.239389337550266090293149545686901547014713287353515625	0.411316050751582340527789938278147019445896148681640625	0.1623906484681006123782509575903532095253467559814453125	0.28526988423932897465107316747889854013919830322265625	-1.5160483891166088	2.1674398421846734	RPTOR
Chemical carcinogenesis_Homo sapiens_hsa05204	1/82	0.21229351663783913028993310945224948227405548095703125	0.411316050751582340527789938278147019445896148681640625	0.1433159701007146458184848825112567283213138580322265625	0.28526988423932897465107316747889854013919830322265625	-1.331864112556468	2.064103622246175	GSTM5
HIF-1 signaling pathway_Homo sapiens_hsa04066	1/103	0.259108048199668983269106092848232947289943695068359375	0.411316050751582340527789938278147019445896148681640625	0.176438529729944837409760793889290653169155120849609375	0.28526988423932897465107316747889854013919830322265625	-1.439834775930115	1.9445114500737612	PFKFB3
Vascular smooth muscle contraction_Homo sapiens_hsa04270	1/120	0.294993354116027506339747787933447398245334625244140625	0.411316050751582340527789938278147019445896148681640625	0.20238178492268688035693458004971034824848175048828125	0.28526988423932897465107316747889854013919830322265625	-1.4094712547581805	1.7206859628686924	GNA12
Sphingolipid signaling pathway_Homo sapiens_hsa04071	1/120	0.294993354116027506339747787933447398245334625244140625	0.411316050751582340527789938278147019445896148681640625	0.20238178492268688035693458004971034824848175048828125	0.28526988423932897465107316747889854013919830322265625	-1.3643862120974712	1.665646032270797	GNA12
Lysosome_Homo sapiens_hsa04142	1/123	0.30114625882999102035597616122686304152011871337890625	0.411316050751582340527789938278147019445896148681640625	0.2068809225119510042389947557239793241024017333984375	0.28526988423932897465107316747889854013919830322265625	-1.322421291923329	1.5871161095519555	AP1B1
Osteoclast differentiation_Homo sapiens_hsa04380	1/132	0.319290061575223604872775240437476895749568939208984375	0.411316050751582340527789938278147019445896148681640625	0.220238164530424163078947685789898969233036041259765625	0.28526988423932897465107316747889854013919830322265625	-1.372391051962648	1.5667975255712359	JUND
Spliceosome_Homo sapiens_hsa03040	1/134	0.323258708556752427654146231361664831638336181640625	0.411316050751582340527789938278147019445896148681640625	0.2231780992461863954989809144535684026777744293212890625	0.28526988423932897465107316747889854013919830322265625	-1.3036249669990356	1.4721867010354115	RBMXL1
Phospholipase D signaling pathway_Homo sapiens_hsa04072	1/144	0.342763375626318589350915999602875672280788421630859375	0.411316050751582340527789938278147019445896148681640625	0.237724903532774145542560972899082116782665252685546875	0.28526988423932897465107316747889854013919830322265625	-1.2850374086634946	1.3759087478831877	GNA12
Ribosome_Homo sapiens_hsa03010	1/137	0.329169079328741009948799955964204855263233184814453125	0.411316050751582340527789938278147019445896148681640625	0.2275688213730899800424367640516720712184906005859375	0.28526988423932897465107316747889854013919830322265625	-1.2370919817298534	1.374636496585279	MRPS21
Insulin signaling pathway_Homo sapiens_hsa04910	1/139	0.33308111314148536319379445558297447860240936279296875	0.411316050751582340527789938278147019445896148681640625	0.2304832304355694250208586026928969658911228179931640625	0.28526988423932897465107316747889854013919830322265625	-1.2068182234383313	1.326738827876833	RPTOR
Tight junction_Homo sapiens_hsa04530	1/139	0.33308111314148536319379445558297447860240936279296875	0.411316050751582340527789938278147019445896148681640625	0.2304832304355694250208586026928969658911228179931640625	0.28526988423932897465107316747889854013919830322265625	-1.1733329068963254	1.289926101024357	IGSF5
