Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glioma_Homo sapiens_hsa05214	2/65	0.01196933368606826163238476823380551650188863277435302734375	0.28323739267249214979216276333318091928958892822265625	0.004667722271610053909329796084648478426970541477203369140625	0.1103934907638903784032891053357161581516265869140625	-2.139499570756697	9.468157288962216	PDGFB;E2F3
Melanoma_Homo sapiens_hsa05218	2/71	0.0141618696336246081834975285573818837292492389678955078125	0.28323739267249214979216276333318091928958892822265625	0.005519674538194518920164455266785807907581329345703125	0.1103934907638903784032891053357161581516265869140625	-1.9236803875279496	8.189496307011801	PDGFB;E2F3
Prostate cancer_Homo sapiens_hsa05215	2/89	0.0216783539316865690727009763349997228942811489105224609375	0.289044719089154245050821145923691801726818084716796875	0.00846950163007879376630970824635369353927671909332275390625	0.11292668840105057892486684067989699542522430419921875	-1.9266904706081152	7.382000923034856	PDGFB;E2F3
Circadian rhythm_Homo sapiens_hsa04710	1/30	0.07378914283220595893286741784322657622396945953369140625	0.420681063158795442991078061822918243706226348876953125	0.047543551045708676294765382408513687551021575927734375	0.262032450768421465436830430917325429618358612060546875	-1.7366898576813974	4.526757962748456	PER1
Purine metabolism_Homo sapiens_hsa00230	2/176	0.07418745282355158898734970307486946694552898406982421875	0.420681063158795442991078061822918243706226348876953125	0.03024615355190739263147037263479433022439479827880859375	0.262032450768421465436830430917325429618358612060546875	-1.6806062274944216	4.371526102291308	PPAT;PAICS
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.09717821820765025486732469062189920805394649505615234375	0.420681063158795442991078061822918243706226348876953125	0.0624359600211813747794309392702416516840457916259765625	0.262032450768421465436830430917325429618358612060546875	-1.5932750041684505	3.7142565275373216	GNMT
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	1/35	0.085556990370994234762491714718635194003582000732421875	0.420681063158795442991078061822918243706226348876953125	0.05501642520156845017620383941903128288686275482177734375	0.262032450768421465436830430917325429618358612060546875	-1.491466934321457	3.6668796953376246	PPAT
Bladder cancer_Homo sapiens_hsa05219	1/41	0.09948502736944365987259430994527065195143222808837890625	0.420681063158795442991078061822918243706226348876953125	0.06391349647385269339139313160558231174945831298828125	0.262032450768421465436830430917325429618358612060546875	-1.5595416411352925	3.599029297939406	E2F3
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.133401583986034688589228380806162022054195404052734375	0.420681063158795442991078061822918243706226348876953125	0.08582401258435932989154792949193506501615047454833984375	0.262032450768421465436830430917325429618358612060546875	-1.68576780410841	3.3957959505619044	E2F3
Type I diabetes mellitus_Homo sapiens_hsa04940	1/43	0.1040813232741155947014277671769377775490283966064453125	0.420681063158795442991078061822918243706226348876953125	0.06686222075719257251780192063961294479668140411376953125	0.262032450768421465436830430917325429618358612060546875	-1.4732176380393187	3.3332767866101274	HSPD1
HTLV-I infection_Homo sapiens_hsa05166	2/258	0.1403892074673954992736213398529798723757266998291015625	0.420681063158795442991078061822918243706226348876953125	0.060274315437304833154019689800406922586262226104736328125	0.262032450768421465436830430917325429618358612060546875	-1.668219499717545	3.275276501115037	PDGFB;E2F3
Legionellosis_Homo sapiens_hsa05134	1/55	0.1311799835441837813743148899447987787425518035888671875	0.420681063158795442991078061822918243706226348876953125	0.0843779476049337506804448594266432337462902069091796875	0.262032450768421465436830430917325429618358612060546875	-1.5410840909078314	3.1302268561514857	HSPD1
Pancreatic cancer_Homo sapiens_hsa05212	1/66	0.155313507750690416031602580915205180644989013671875	0.420681063158795442991078061822918243706226348876953125	0.1001708974669572038695974924848997034132480621337890625	0.262032450768421465436830430917325429618358612060546875	-1.567437146780382	2.919053205369169	E2F3
Renal cell carcinoma_Homo sapiens_hsa05211	1/66	0.155313507750690416031602580915205180644989013671875	0.420681063158795442991078061822918243706226348876953125	0.1001708974669572038695974924848997034132480621337890625	0.262032450768421465436830430917325429618358612060546875	-1.4539354703907925	2.707677946743742	PDGFB
MicroRNAs in cancer_Homo sapiens_hsa05206	2/297	0.17519214632758195460127126352745108306407928466796875	0.420681063158795442991078061822918243706226348876953125	0.077141997255865291105436654106597416102886199951171875	0.262032450768421465436830430917325429618358612060546875	-1.5462932150039344	2.693444744262851	PDGFB;E2F3
