Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	3/78	0.00723071325226162971155918768317860667593777179718017578125	0.63146563882141304446804497274570167064666748046875	0.00391037819408097953033376370512996800243854522705078125	0.36366517204953108244325221676263026893138885498046875	-1.7929902771415227	8.838397821440797	ARHGAP10;WASF1;RHOA
Ether lipid metabolism_Homo sapiens_hsa00565	2/45	0.021710945360954657379348731183199561201035976409912109375	0.63146563882141304446804497274570167064666748046875	0.014774920127139122560944173301322734914720058441162109375	0.46410432947470880993279251924832351505756378173828125	-1.7564355569770211	6.72704060345133	LPCAT4;PLA2G7
Spliceosome_Homo sapiens_hsa03040	3/134	0.03046284173941342376945584646819042973220348358154296875	0.63146563882141304446804497274570167064666748046875	0.0165658526598889445369255923878881731070578098297119140625	0.46410432947470880993279251924832351505756378173828125	-1.722670084734299	6.014267870806985	TRA2B;PPIH;CDC40
Phospholipase D signaling pathway_Homo sapiens_hsa04072	3/144	0.036535789934333977313496433225736836902797222137451171875	0.63146563882141304446804497274570167064666748046875	0.0199614765365466149960038677591001032851636409759521484375	0.46410432947470880993279251924832351505756378173828125	-1.7947765993125924	5.939746663742104	DGKA;PLCG2;RHOA
Adherens junction_Homo sapiens_hsa04520	2/74	0.053932575455795196683883574451101594604551792144775390625	0.63146563882141304446804497274570167064666748046875	0.036296584625885384978172254477613023482263088226318359375	0.5023865012137036512029908408294431865215301513671875	-1.7027156810076847	4.97196489043844	WASF1;RHOA
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666	2/93	0.08038081182613406039383363577144336886703968048095703125	0.63146563882141304446804497274570167064666748046875	0.054306434155949052933198828441163641400635242462158203125	0.5023865012137036512029908408294431865215301513671875	-1.6901607915437702	4.26086119760218	PLCG2;WASF1
Choline metabolism in cancer_Homo sapiens_hsa05231	2/101	0.09250043840406939332776659057344659231603145599365234375	0.63146563882141304446804497274570167064666748046875	0.0626680646761536286337701540105626918375492095947265625	0.5023865012137036512029908408294431865215301513671875	-1.6893736183955932	4.021624674850366	DGKA;WASF1
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	2/98	0.0878947692909870792465909516977262683212757110595703125	0.63146563882141304446804497274570167064666748046875	0.05948244829866113081440204268801608122885227203369140625	0.5023865012137036512029908408294431865215301513671875	-1.6396004204153487	3.9868769493315157	DGKA;PLCG2
Glycerophospholipid metabolism_Homo sapiens_hsa00564	2/95	0.08336135383777200369426196857602917589247226715087890625	0.63146563882141304446804497274570167064666748046875	0.05635644415917816230088277507093152962625026702880859375	0.5023865012137036512029908408294431865215301513671875	-1.5350160601119405	3.81385555896772	LPCAT4;DGKA
Ras signaling pathway_Homo sapiens_hsa04014	3/227	0.107611320788296271899753264733590185642242431640625	0.63146563882141304446804497274570167064666748046875	0.061932328022724018878886198535838047973811626434326171875	0.5023865012137036512029908408294431865215301513671875	-1.6981903276998347	3.785655847761725	GNG3;PLCG2;RHOA
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.09560946371876814786627818421038682572543621063232421875	0.63146563882141304446804497274570167064666748046875	0.06482406467273595096489913203186006285250186920166015625	0.5023865012137036512029908408294431865215301513671875	-1.5743518459621308	3.6957649358558937	MKNK2;PLCG2
Insulin resistance_Homo sapiens_hsa04931	2/109	0.10511170544456786835052497508513624779880046844482421875	0.63146563882141304446804497274570167064666748046875	0.0714413173745237217726611334001063369214534759521484375	0.5027455336903585703112185001373291015625	-1.5699176311748424	3.536603108869184	PPP1R3D;OGT
Neurotrophin signaling pathway_Homo sapiens_hsa04722	2/120	0.1231504980696816187180075985452276654541492462158203125	0.63146563882141304446804497274570167064666748046875	0.0841180884383893878730731330506387166678905487060546875	0.5027455336903585703112185001373291015625	-1.5133218132130917	3.1694226793381963	PLCG2;RHOA
Platelet activation_Homo sapiens_hsa04611	2/122	0.1265076356890384168263352648864383809268474578857421875	0.63146563882141304446804497274570167064666748046875	0.08649385525855630973968146690822322852909564971923828125	0.5027455336903585703112185001373291015625	-1.5204115872429118	3.1433789065364452	PLCG2;RHOA
Leukocyte transendothelial migration_Homo sapiens_hsa04670	2/118	0.11981595257973808033025164831997244618833065032958984375	0.63146563882141304446804497274570167064666748046875	0.08176343908993209674829216737634851597249507904052734375	0.5027455336903585703112185001373291015625	-1.3928819119703175	2.955414670803075	PLCG2;RHOA
Vitamin B6 metabolism_Homo sapiens_hsa00750	1/6	0.0299237220148300155087017770938473404385149478912353515625	0.63146563882141304446804497274570167064666748046875	0.02753023165801181393330665514440624974668025970458984375	0.5023865012137036512029908408294431865215301513671875	-0.7643885550487238	2.6823187332997587	PNPO
Insulin signaling pathway_Homo sapiens_hsa04910	2/139	0.1558484621756517640722705664302338846027851104736328125	0.63146563882141304446804497274570167064666748046875	0.107477640580598221564656569171347655355930328369140625	0.534305060847312773830708465538918972015380859375	-1.3297895782433367	2.4719074694736762	PPP1R3D;MKNK2
Chemokine signaling pathway_Homo sapiens_hsa04062	2/187	0.2436188016362093033961855326197110116481781005859375	0.63146563882141304446804497274570167064666748046875	0.1726071074622816114985113244983949698507785797119140625	0.534305060847312773830708465538918972015380859375	-1.3056463717399198	1.8437692598586426	GNG3;RHOA
Proteoglycans in cancer_Homo sapiens_hsa05205	2/203	0.2735498111139016419457448137109167873859405517578125	0.63146563882141304446804497274570167064666748046875	0.1956369347763375066140412172899232245981693267822265625	0.534305060847312773830708465538918972015380859375	-1.2109592446450002	1.56973201579781	PLCG2;RHOA
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	1/48	0.2159643982578500487345962710605817846953868865966796875	0.63146563882141304446804497274570167064666748046875	0.17798863775454754065918905325816012918949127197265625	0.534305060847312773830708465538918972015380859375	-0.9768887402270181	1.4972204271160605	BCKDHA
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.2471641225494359550562961658215499483048915863037109375	0.63146563882141304446804497274570167064666748046875	0.2039807629916177145190658848150633275508880615234375	0.534305060847312773830708465538918972015380859375	-1.040761838428104	1.4546756308469022	PLCG2
Vibrio cholerae infection_Homo sapiens_hsa05110	1/51	0.227811532653097559286692330715595744550228118896484375	0.63146563882141304446804497274570167064666748046875	0.1878301739303754047671901616922696121037006378173828125	0.534305060847312773830708465538918972015380859375	-0.9776957112655532	1.446243282729185	PLCG2
Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860	1/42	0.191727618807664590416806049688602797687053680419921875	0.63146563882141304446804497274570167064666748046875	0.1579594327052837587910261163415270857512950897216796875	0.534305060847312773830708465538918972015380859375	-0.8252881007795854	1.3631114923164365	BLVRB
Propanoate metabolism_Homo sapiens_hsa00640	1/32	0.1496739606035234204650663514257757924497127532958984375	0.63146563882141304446804497274570167064666748046875	0.1235273106626907646532487206059158779680728912353515625	0.534305060847312773830708465538918972015380859375	-0.7154745422151458	1.3588978978895028	BCKDHA
Cysteine and methionine metabolism_Homo sapiens_hsa00270	1/45	0.2039373286818379760187980309638078324496746063232421875	0.63146563882141304446804497274570167064666748046875	0.1680321547718179597818988213475677184760570526123046875	0.534305060847312773830708465538918972015380859375	-0.8542630598474916	1.358229183201096	AHCYL2
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	1/55	0.2433324140427590431823290373358759097754955291748046875	0.63146563882141304446804497274570167064666748046875	0.2007756236980815511827813679701648652553558349609375	0.534305060847312773830708465538918972015380859375	-0.8977248576418927	1.2687786105847607	RHOA
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.294119098050302618663209841542993672192096710205078125	0.63146563882141304446804497274570167064666748046875	0.2117114795396324300469359513954259455204010009765625	0.534305060847312773830708465538918972015380859375	-1.0305474334048286	1.2611535460617465	WASF1;RHOA
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.262299784591421281110257268665009178221225738525390625	0.63146563882141304446804497274570167064666748046875	0.2166778178174418034718229364443686790764331817626953125	0.534305060847312773830708465538918972015380859375	-0.9144785289471002	1.2238166325927997	STK11
VEGF signaling pathway_Homo sapiens_hsa04370	1/61	0.26603638047951372325172769706114195287227630615234375	0.63146563882141304446804497274570167064666748046875	0.21982143557326250249417398663354106247425079345703125	0.534305060847312773830708465538918972015380859375	-0.9062688730397623	1.2000107437780432	PLCG2
Other types of O-glycan biosynthesis_Homo sapiens_hsa00514	1/31	0.1453512844388825386854335874886601231992244720458984375	0.63146563882141304446804497274570167064666748046875	0.12001036665276561266058052979133208282291889190673828125	0.534305060847312773830708465538918972015380859375	-0.6123899276602637	1.1810563260636187	OGT
Glycerolipid metabolism_Homo sapiens_hsa00561	1/59	0.258544355084931176680385078725521452724933624267578125	0.63146563882141304446804497274570167064666748046875	0.2135219874407979501196308547150692902505397796630859375	0.534305060847312773830708465538918972015380859375	-0.85133643040447	1.1515925847370365	DGKA
Pathways in cancer_Homo sapiens_hsa05200	3/397	0.324629561090938045797571476214216090738773345947265625	0.63146563882141304446804497274570167064666748046875	0.2109467753894642971790318597413715906441211700439453125	0.534305060847312773830708465538918972015380859375	-0.988656210242681	1.1123079948793149	GNG3;PLCG2;RHOA
Glioma_Homo sapiens_hsa05214	1/65	0.280796290856385077905343905513291247189044952392578125	0.63146563882141304446804497274570167064666748046875	0.23227468835240061562075197798549197614192962646484375	0.534305060847312773830708465538918972015380859375	-0.8517630366597416	1.0818462220771379	PLCG2
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.269754236223772203562276672528241761028766632080078125	0.63146563882141304446804497274570167064666748046875	0.2229528862319621607124275897149345837533473968505859375	0.534305060847312773830708465538918972015380859375	-0.8231025829758533	1.0784651966187444	RHOA
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	1/68	0.291673006792152467170353702385909855365753173828125	0.63146563882141304446804497274570167064666748046875	0.241488609606209381208685726960538886487483978271484375	0.534305060847312773830708465538918972015380859375	-0.8133175763277326	1.0021064331983423	PLCG2
Steroid hormone biosynthesis_Homo sapiens_hsa00140	1/58	0.254769997916980350805005173242534510791301727294921875	0.63146563882141304446804497274570167064666748046875	0.210353898770355762781747444023494608700275421142578125	0.534305060847312773830708465538918972015380859375	-0.7321540012827826	1.001143068817276	SRD5A1
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	1/68	0.291673006792152467170353702385909855365753173828125	0.63146563882141304446804497274570167064666748046875	0.241488609606209381208685726960538886487483978271484375	0.534305060847312773830708465538918972015380859375	-0.6978623408473428	0.8598515040183701	PLCG2
B cell receptor signaling pathway_Homo sapiens_hsa04662	1/73	0.3094400890374371382307572275749407708644866943359375	0.63146563882141304446804497274570167064666748046875	0.256608670722675735742512870274367742240428924560546875	0.534305060847312773830708465538918972015380859375	-0.684268837321974	0.8026410365219907	PLCG2
Inositol phosphate metabolism_Homo sapiens_hsa00562	1/71	0.30238683539631916463719107923679985105991363525390625	0.63146563882141304446804497274570167064666748046875	0.25059585276664264608115217924932949244976043701171875	0.534305060847312773830708465538918972015380859375	-0.6260988356206796	0.748844366186743	PLCG2
Shigellosis_Homo sapiens_hsa05131	1/65	0.280796290856385077905343905513291247189044952392578125	0.63146563882141304446804497274570167064666748046875	0.23227468835240061562075197798549197614192962646484375	0.534305060847312773830708465538918972015380859375	-0.5865808736480485	0.7450315108618072	WASF1
Adipocytokine signaling pathway_Homo sapiens_hsa04920	1/70	0.298833507968535527776765547969262115657329559326171875	0.63146563882141304446804497274570167064666748046875	0.2475718844503521920419331081575364805757999420166015625	0.534305060847312773830708465538918972015380859375	-0.5784287515919355	0.6986659785682	STK11
