Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
p53 signaling pathway_Homo sapiens_hsa04115	3/69	0.0043365791358101514474387983000269741751253604888916015625	0.41631159703777453895412463680258952081203460693359375	0.0022563958099371772374197586685795613448135554790496826171875	0.216613997753969000914509024369181133806705474853515625	-1.772030088595649	9.641029983862307	CCNB2;CASP3;DDB2
TNF signaling pathway_Homo sapiens_hsa04668	3/110	0.0155408228831353904808576515961249242536723613739013671875	0.55225070630557293593909662376972846686840057373046875	0.00801387362567285675696293623104793368838727474212646484375	0.29581315779535943821798582575866021215915679931640625	-1.8877233289727289	7.861017910639132	MAP2K3;CREB3L1;CASP3
Nucleotide excision repair_Homo sapiens_hsa03420	2/47	0.021010200414374867461386742206741473637521266937255859375	0.55225070630557293593909662376972846686840057373046875	0.01388170452835495345678129552879909169860184192657470703125	0.29581315779535943821798582575866021215915679931640625	-1.8114263190117303	6.9970819873650845	CETN2;DDB2
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	2/51	0.0244799496649896509981036984981983550824224948883056640625	0.55225070630557293593909662376972846686840057373046875	0.01611996599463309809419087059723096899688243865966796875	0.29581315779535943821798582575866021215915679931640625	-1.7302725201861502	6.419139540968046	MAP2K3;CASP3
Hepatitis B_Homo sapiens_hsa05161	3/146	0.0324080893226610100565920902226935140788555145263671875	0.55225070630557293593909662376972846686840057373046875	0.0169391075991494090280387041502763167954981327056884765625	0.29581315779535943821798582575866021215915679931640625	-1.8344093172621592	6.290826486797103	CREB3L1;CASP3;DDB2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.03528129261703151497986397089334786869585514068603515625	0.55225070630557293593909662376972846686840057373046875	0.018488322362209964888624114109916263259947299957275390625	0.29581315779535943821798582575866021215915679931640625	-1.8340235297544034	6.133712712375435	BCL2L11;CASP3;NDUFAB1
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664	2/68	0.041533625856247792518249895010740146972239017486572265625	0.55225070630557293593909662376972846686840057373046875	0.0271896474299966224574820472525971126742660999298095703125	0.37288659332566798099151128553785383701324462890625	-1.8446061801827798	5.868156949092517	MAP2K3;VAV1
Huntington's disease_Homo sapiens_hsa05016	3/193	0.0643229159768330394086888190940953791141510009765625	0.55225070630557293593909662376972846686840057373046875	0.0345648471380532729124723800850915722548961639404296875	0.38335864972743871614824229254736565053462982177734375	-1.7025939160436327	4.671644132285633	CREB3L1;CASP3;NDUFAB1
cAMP signaling pathway_Homo sapiens_hsa04024	3/199	0.06915446425994516144175605631971848197281360626220703125	0.55225070630557293593909662376972846686840057373046875	0.03730813155657559943012557823749375529587268829345703125	0.38335864972743871614824229254736565053462982177734375	-1.7119262360016159	4.5732614264857645	ACOX1;CREB3L1;VAV1
Toxoplasmosis_Homo sapiens_hsa05145	2/118	0.10831487551594172480395883439996396191418170928955078125	0.55225070630557293593909662376972846686840057373046875	0.07187966340743685844660859629584592767059803009033203125	0.4533260162214940436342658358626067638397216796875	-1.5966613262240523	3.548919534634428	MAP2K3;CASP3
Dopaminergic synapse_Homo sapiens_hsa04728	2/129	0.1253861529017436249322514640880399383604526519775390625	0.55225070630557293593909662376972846686840057373046875	0.08365139460542479754590061702401726506650447845458984375	0.4533260162214940436342658358626067638397216796875	-1.5207377156585258	3.1575945232043234	CREB3L1;KIF5B
FoxO signaling pathway_Homo sapiens_hsa04068	2/133	0.1317462640645150895313264527430874295532703399658203125	0.55225070630557293593909662376972846686840057373046875	0.0880727969088145601350703373100259341299533843994140625	0.4533260162214940436342658358626067638397216796875	-1.445042917138958	2.9289249004434996	CCNB2;BCL2L11
Apoptosis_Homo sapiens_hsa04210	2/140	0.1430493133010598827414838751792558468878269195556640625	0.55225070630557293593909662376972846686840057373046875	0.095978057938617966637906420146464370191097259521484375	0.4533260162214940436342658358626067638397216796875	-1.498599999045549	2.9141263958044803	BCL2L11;CASP3
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650	2/135	0.1349540346906351884204156021951348520815372467041015625	0.55225070630557293593909662376972846686840057373046875	0.0903100943654094046042501986448769457638263702392578125	0.4533260162214940436342658358626067638397216796875	-1.4402438260486223	2.884550640844979	CASP3;VAV1
Parkinson's disease_Homo sapiens_hsa05012	2/142	0.1463161767448792061063755909344763495028018951416015625	0.55225070630557293593909662376972846686840057373046875	0.098274214457050590443287774178315885365009307861328125	0.4533260162214940436342658358626067638397216796875	-1.3137144352688224	2.5249399704645334	CASP3;NDUFAB1
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.138179448618531097725536938014556653797626495361328125	0.55225070630557293593909662376972846686840057373046875	0.09256464652159009098841835339044337160885334014892578125	0.4533260162214940436342658358626067638397216796875	-1.2407318256982578	2.4556590178895616	STUB1;DDB2
Alzheimer's disease_Homo sapiens_hsa05010	2/168	0.1899981316973284040106051406837650574743747711181640625	0.55225070630557293593909662376972846686840057373046875	0.129464203785246201316994074659305624663829803466796875	0.4533260162214940436342658358626067638397216796875	-1.2911979401758762	2.1443454100677117	CASP3;NDUFAB1
