Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cell cycle_Homo sapiens_hsa04110	35/124	0.0000052472840217038167106027198027806690561192226596176624298095703125	0.0014954759461855877955560600867102039046585559844970703125	0.000012210118188038723496748223784624798327058670111000537872314453125	0.0034798836835910362287604957742814804078079760074615478515625	-1.7331983346405637	21.0718786165635	RB1;CDKN1C;GSK3B;PCNA;MCM7;PRKDC;PKMYT1;SMC3;CDC20;CCNB2;CCNB1;CDC23;ORC6;PTTG1;YWHAQ;CHEK1;ABL1;E2F2;E2F3;SFN;BUB3;BUB1;SMAD2;TGFB2;CDKN2B;TGFB3;CDKN2A;PLK1;CDC25C;RBX1;GADD45G;WEE1;STAG2;CCNE2;MCM4
Fanconi anemia pathway_Homo sapiens_hsa03460	18/53	0.000074658057419394599561572600787684450551751069724559783935546875	0.01063877318226373082377111956020598881877958774566650390625	0.00025754970810139819238637759468701915466226637363433837890625	0.02446722226963282675882283001556061208248138427734375	-1.7542180056336925	16.669618168755697	TOP3B;RMI2;POLN;RMI1;TOP3A;FANCA;RPA1;RPA2;BRCA1;MLH1;BRIP1;FANCD2;EME2;UBE2T;RPA3;PMS2;HES1;ATRIP
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	39/169	0.000223000705884210891592756009771392200491391122341156005859375	0.0211850670590000324244872587087229476310312747955322265625	0.00017780946420690099132010109084234272813773714005947113037109375	0.02446722226963282675882283001556061208248138427734375	-1.7665524728234938	14.85376608380018	ERO1LB;ATF6B;DERL3;DERL2;RRBP1;RNF5;HSP90B1;HERPUD1;DNAJB1;LMAN1;MAPK9;GANAB;OS9;LMAN2;CAPN2;MAN1C1;SIL1;SEC23B;UBQLN4;UBXN6;MAP3K5;SEC31A;PDIA3;HSPA8;XBP1;HSPA5;WFS1;FBXO2;EDEM1;EIF2AK3;SYVN1;MOGS;UBE4B;RAD23B;RBX1;DNAJB11;STT3A;P4HB;HSPA1B
Insulin signaling pathway_Homo sapiens_hsa04910	33/139	0.00038062948334476715515906075637531102984212338924407958984375	0.026041042413993860382692702160056796856224536895751953125	0.0003561354941349361932258210661217390224919654428958892822265625	0.02537465395711420435009841867213253863155841827392578125	-1.6987036426583524	13.37505593089229	GSK3B;PRKAA2;SHC1;PDE3B;ARAF;PIK3R3;PRKAG2;PIK3CD;CBLB;SLC2A4;PRKCZ;FOXO1;HK2;GYS1;MAPK9;MKNK2;PHKG2;PRKACA;HRAS;SREBF1;MAP2K1;PDPK1;SORBS1;PPP1CA;PPP1R3F;G6PC2;PPP1R3C;FASN;TRIP10;CALM3;GRB2;SOS1;RHOQ
FoxO signaling pathway_Homo sapiens_hsa04068	31/133	0.0007834987453964373758930062052741050138138234615325927734375	0.037216190406330777740162574218629742972552776336669921875	0.0006923940223207201809241251311277665081433951854705810546875	0.03946645927228105421580295342209865339100360870361328125	-1.6991849914275128	12.152131135362968	PRKAA2;ARAF;FBXO25;PIK3R3;PRKAG2;PIK3CD;SLC2A4;FOXO3;NLK;FOXO1;CCNB2;MAPK9;CCNB1;BCL2L11;HRAS;SMAD2;TGFB2;MAP2K1;CDKN2B;TGFB3;PDPK1;PLK1;SOD2;SIRT1;TGFBR1;GADD45G;TGFBR2;G6PC2;CCNG2;GRB2;SOS1
Non-small cell lung cancer_Homo sapiens_hsa05223	16/56	0.00158342404691543046750534795563680745544843375682830810546875	0.06446797905298538855500822819521999917924404144287109375	0.0025188305625157753932230608739928356953896582126617431640625	0.08144673378382551176546400029110372997820377349853515625	-1.8577693949564917	11.979204813889353	RB1;MAP2K1;CDKN2A;PDPK1;ARAF;PIK3R3;PIK3CD;FOXO3;FHIT;EML4;RASSF1;E2F2;E2F3;GRB2;SOS1;HRAS
Chronic myeloid leukemia_Homo sapiens_hsa05220	19/73	0.0020409699576921388163019965844569014734588563442230224609375	0.06733923839347309703295962890479131601750850677490234375	0.0025720021194892265549436505267522079520858824253082275390625	0.08144673378382551176546400029110372997820377349853515625	-1.708435993611003	10.582616524208863	RB1;STAT5B;TGFB2;MAP2K1;TGFB3;SHC1;CDKN2A;ARAF;PIK3R3;PIK3CD;CBLB;TGFBR1;TGFBR2;ABL1;E2F2;E2F3;GRB2;SOS1;HRAS
AMPK signaling pathway_Homo sapiens_hsa04152	28/124	0.0022622114431726202121719637716523720882833003997802734375	0.06733923839347309703295962890479131601750850677490234375	0.001848924938141230552013372090414122794754803180694580078125	0.08144673378382551176546400029110372997820377349853515625	-1.5875200637372333	9.670239448255323	PRKAA2;PFKFB3;CAB39L;PIK3R3;PRKAG2;PIK3CD;SLC2A4;HMGCR;FOXO3;ADIPOR1;ELAVL1;FOXO1;CAMKK1;GYS1;PPP2R1A;CREB3L4;MLYCD;RAB8A;SREBF1;PDPK1;PPP2R5A;PPP2R5D;PPP2R5C;CPT1C;SIRT1;CPT1B;G6PC2;FASN
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	14/48	0.002459422443394984093834043648030274198390543460845947265625	0.06733923839347309703295962890479131601750850677490234375	0.00392461112007565400550124223855164018459618091583251953125	0.1016831062928692241964512277263565920293331146240234375	-1.5746450231987912	9.460197618917265	ECHS1;ACAA2;MCCC1;ABAT;HSD17B10;ALDH3A2;HADHB;HADHA;ALDH6A1;PCCA;EHHADH;PCCB;DBT;ALDH9A1
Steroid biosynthesis_Homo sapiens_hsa00100	9/20	0.00045686039322796246665847608170452076592482626438140869140625	0.026041042413993860382692702160056796856224536895751953125	0.002018617822284659961418196161275773192755877971649169921875	0.08144673378382551176546400029110372997820377349853515625	-1.1329212201951429	8.713447442054443	NSDHL;CYP2R1;SC5D;DHCR24;MSMO1;HSD17B7;LIPA;TM7SF2;FDFT1
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	26/118	0.004506455990503276977376945211517522693611681461334228515625	0.09742635430185582479101213948524673469364643096923828125	0.003517597612296037568047069044041563756763935089111328125	0.10025153195043708109768232361602713353931903839111328125	-1.5396076264386038	8.317336440713934	GSK3B;THRB;SLC2A1;ATP1A3;PIK3R3;ATP2A2;PIK3CD;FOXO1;ACTG1;MED13;SIN3A;ITGAV;SLC16A2;PRKACA;HRAS;MED1;NCOA2;MAP2K1;STAT1;PDPK1;NCOA3;ATP1B1;MED13L;RCAN1;MED24;PLCD3
Colorectal cancer_Homo sapiens_hsa05210	16/62	0.004871906971761009834398503670627178507857024669647216796875	0.09742635430185582479101213948524673469364643096923828125	0.00582032616808193965785012125024877605028450489044189453125	0.10345131698400474029586604274300043471157550811767578125	-1.4929016549531484	7.948611260364717	SMAD2;GSK3B;TGFB2;JUN;TCF7L1;MAP2K1;TGFB3;ARAF;PIK3R3;PIK3CD;AXIN2;MLH1;TGFBR1;TGFBR2;MSH6;MAPK9
