Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ErbB signaling pathway_Homo sapiens_hsa04012	31/87	0.000550711377349116207487178531465588093851692974567413330078125	0.062194959336455073184435349276100168935954570770263671875	0.001056723732876920472667503503316766000352799892425537109375	0.07993921791783532848629789668848388828337192535400390625	-1.8998473418455106	14.25702384147378	CAMK2D;CDKN1A;CDKN1B;SRC;ARAF;TGFA;CBLB;PIK3R1;CBL;PIK3R5;CRKL;ERBB3;ERBB4;PLCG2;PLCG1;CAMK2G;PAK4;NCK1;STAT5B;MAP2K2;EGF;GAB1;NRG1;PRKCA;NRG2;PTK2;RPS6KB1;KRAS;SOS1;RAF1;SOS2
Chronic myeloid leukemia_Homo sapiens_hsa05220	27/73	0.000630560882804642925704430300726244240649975836277008056640625	0.062194959336455073184435349276100168935954570770263671875	0.001399358174558162047629306101725887856446206569671630859375	0.07993921791783532848629789668848388828337192535400390625	-1.9049224659163602	14.037184767771084	HDAC2;CDKN1A;CDKN1B;CTBP2;ARAF;CBLB;PIK3R1;CBL;PIK3R5;CRKL;MECOM;CCND1;STAT5B;SMAD3;MAP2K2;CHUK;GAB2;NFKB1;RUNX1;TGFBR2;BCR;CDK6;CDK4;KRAS;SOS1;RAF1;SOS2
Acute myeloid leukemia_Homo sapiens_hsa05221	22/57	0.00101195139461744535759601948399222237640060484409332275390625	0.062194959336455073184435349276100168935954570770263671875	0.0024570330474234995492277544570924874278716742992401123046875	0.07993921791783532848629789668848388828337192535400390625	-1.9591974531466838	13.510380224504612	STAT5B;CEBPA;TCF7L1;MAP2K2;CHUK;ZBTB16;ARAF;PIK3R1;PML;NFKB1;RUNX1;PIK3R5;CCND1;RPS6KB1;RARA;PIM1;KRAS;PIM2;SOS1;RAF1;SOS2;PPARD
Glioma_Homo sapiens_hsa05214	24/65	0.00126824041168089565907728388793884732876904308795928955078125	0.062194959336455073184435349276100168935954570770263671875	0.002562631437674948477190017825932955020107328891754150390625	0.07993921791783532848629789668848388828337192535400390625	-1.98341029389646	13.229594272842899	PDGFRA;CAMK2D;CDKN1A;MAP2K2;EGF;ARAF;PTEN;TGFA;PRKCA;IGF1;PIK3R1;PIK3R5;CDK6;CCND1;CDK4;PLCG2;KRAS;PLCG1;CALM1;SOS1;RAF1;CALM2;SOS2;CAMK2G
FoxO signaling pathway_Homo sapiens_hsa04068	42/133	0.00118475922487343873594489718215072571183554828166961669921875	0.062194959336455073184435349276100168935954570770263671875	0.001151502918849619215568846897213006741367280483245849609375	0.07993921791783532848629789668848388828337192535400390625	-1.7500134062852237	11.791967828343253	CDKN1A;CDKN1B;IRS1;ARAF;FBXO25;PTEN;PRKAG2;PIK3R1;STK4;FOXO1;GABARAP;PIK3R5;STK11;BCL2L11;CCND1;EP300;PLK3;GABARAPL1;CDKN2B;SMAD3;MAP2K2;CHUK;EGF;HOMER2;GADD45A;BNIP3;CSNK1E;IGF1;MAPK14;PRKAB1;KLF2;GADD45G;TGFBR2;BCL6;CCNG2;CDK2;ATM;KRAS;RAF1;SGK1;SOS1;SOS2
Vibrio cholerae infection_Homo sapiens_hsa05110	20/51	0.0013417933210305064105349881486972662969492375850677490234375	0.062194959336455073184435349276100168935954570770263671875	0.003277311431759855932244196452529649832285940647125244140625	0.07993921791783532848629789668848388828337192535400390625	-1.7477726421465294	11.559328271688619	SLC12A2;ATP6V1A;ATP6V1G2;KDELR1;PRKCA;PDIA4;ACTG1;ERO1L;TJP1;SEC61A2;GNAS;PLCG2;ATP6V0A2;SEC61B;KDELR3;PLCG1;ATP6V0D1;ATP6V0C;ATP6V1B1;ATP6V1C2
Prostate cancer_Homo sapiens_hsa05215	30/89	0.00185793202869879970316746575775823657750152051448822021484375	0.0629102683687854102867476058236206881701946258544921875	0.00252782371534919503286431563537917099893093109130859375	0.07993921791783532848629789668848388828337192535400390625	-1.774013377894414	11.155512752467923	CDKN1A;CDKN1B;HSP90AB1;ARAF;PTEN;TGFA;PIK3R1;FOXO1;PIK3R5;CASP9;CCND1;CREB3L1;EP300;PDGFRA;TCF7L1;MAP2K2;CHUK;EGF;IGF1;NFKB1;AR;CREB1;CDK2;CTNNB1;KRAS;SOS1;RAF1;SOS2;FGFR2;CREB5
Non-small cell lung cancer_Homo sapiens_hsa05223	21/56	0.0019936352652079884946456633798561597359366714954376220703125	0.0629102683687854102867476058236206881701946258544921875	0.004000121776384213574673243130064292927272617816925048828125	0.08738727573023973016486110054756863974034786224365234375	-1.771768599532451	11.016494896648569	MAP2K2;EGF;ARAF;TGFA;PRKCA;PIK3R1;STK4;FHIT;PIK3R5;RXRB;CASP9;CDK6;CCND1;CDK4;RASSF5;PLCG2;KRAS;PLCG1;SOS1;RAF1;SOS2
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130	21/55	0.001532974349842202398119805906162582687102258205413818359375	0.062194959336455073184435349276100168935954570770263671875	0.00337771343314797155288342622725394903682172298431396484375	0.07993921791783532848629789668848388828337192535400390625	-1.613434172678493	10.455933424079111	ROCK1;ARPC1B;ARPC5L;PRKCA;ARPC4;YWHAZ;TUBB4A;ACTG1;CDC42;TUBB2B;TUBB6;OCLN;YWHAQ;CTTN;ARPC2;CDH1;CTNNB1;ARHGEF2;EZR;TUBA8;NCK1
Proteoglycans in cancer_Homo sapiens_hsa05205	56/203	0.006361259564302536306801272303346195258200168609619140625	0.1389690550970707760836120314706931822001934051513671875	0.002710511486590734368806732135226411628536880016326904296875	0.07993921791783532848629789668848388828337192535400390625	-1.7027390772738384	8.611652052519915	CDKN1A;ITGB5;ITGB3;ARAF;CBLB;FGF2;ACTG1;CCND1;CASP3;TIMP3;MAP2K2;HGF;GAB1;PRKCA;HSPG2;TIAM1;CTTN;ITGA5;EZR;RAF1;SOS1;SOS2;CD63;DDX5;CAMK2D;ROCK1;SRC;PXN;ITPR1;TWIST1;ITPR2;PIK3R1;CBL;SLC9A1;PIK3R5;CDC42;RRAS;ERBB3;ERBB4;PLCG2;DROSHA;FLNA;PLCG1;CAMK2G;CAV2;FZD9;IGF1;MAPK14;PTK2;VEGFA;PPP1CA;RPS6KB1;PDCD4;CTNNB1;PTPN6;KRAS
Tight junction_Homo sapiens_hsa04530	42/139	0.0030089224564288584960747297003536004922352731227874755859375	0.08545339776257958319671814706453005783259868621826171875	0.0022989071447531345994408358279770254739560186862945556640625	0.07993921791783532848629789668848388828337192535400390625	-1.4828658780448691	8.609776197721544	SRC;PTEN;PPP2R2A;YBX3;ACTG1;GNAI2;CDC42;PPP2CB;RRAS;PPP2R1B;EPB41L1;EPB41L2;MYL10;SYMPK;MYH10;SPTAN1;MAGI1;YES1;PRKCH;CSNK2A1;PRKCE;PRKCD;MAGI2;CSNK2A2;SHROOM2;SHROOM3;PRKCA;MPP5;CLDN6;TJP1;CLDN10;OCLN;CLDN3;VAPA;CTTN;CDK4;CLDN8;PPP2R2D;CTNNB1;KRAS;TJP3;CRB3
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	26/78	0.00428198299271709791058437843958017765544354915618896484375	0.110553015448332347947513198960223235189914703369140625	0.00533311719370387939120892184519107104279100894927978515625	0.099699489488874915021909828283241949975490570068359375	-1.479482663060469	8.0681205959937	SRC;ARPC1B;CLTC;PXN;ARPC5L;CLTA;CBLB;PIK3R1;CBL;PIK3R5;CRKL;ACTG1;CDC42;CDH1;SEPT11;CAV2;GAB1;ARPC4;PTK2;CTTN;ARPC2;ELMO1;CTNNB1;ITGA5;DOCK1;BCAR1
