Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Propanoate metabolism_Homo sapiens_hsa00640	3/32	0.0010596104481510955526435413531771700945682823657989501953125	0.1472858522930022839858565930626355111598968505859375	0.00137627277384791131369101702119905894505791366100311279296875	0.1913019155648596758556578834031824953854084014892578125	-1.834999868915662	12.569481082262508	MLYCD;ACAT2;HIBCH
Viral carcinogenesis_Homo sapiens_hsa05203	5/205	0.00968614847758303594560391758250261773355305194854736328125	0.339530092550271056506261402319069020450115203857421875	0.0103427902712780565852579428565150010399520397186279296875	0.37341461603814674052870259401970542967319488525390625	-1.9314667609813165	8.956324179969776	BAD;REL;HIST1H2BE;TRAF1;YWHAG
Carbon metabolism_Homo sapiens_hsa01200	4/113	0.00570103477679167851277508560770002077333629131317138671875	0.339530092550271056506261402319069020450115203857421875	0.006340192357266486063160915165326514397747814655303955078125	0.37341461603814674052870259401970542967319488525390625	-1.6863657116519568	8.713633052728557	ENO1;ACAT2;HIBCH;IDH3A
Insulin signaling pathway_Homo sapiens_hsa04910	4/139	0.011642546122439943745430213084546267054975032806396484375	0.339530092550271056506261402319069020450115203857421875	0.01267097842832988312256059515448214369826018810272216796875	0.37341461603814674052870259401970542967319488525390625	-1.6987036426583524	7.564478711872024	SOCS3;BAD;PRKAR2A;TRIP10
Parkinson's disease_Homo sapiens_hsa05012	4/142	0.0125120054972605414256303646425294573418796062469482421875	0.339530092550271056506261402319069020450115203857421875	0.013591467267293606824285490120018948800861835479736328125	0.37341461603814674052870259401970542967319488525390625	-1.6724565485998655	7.32714361837904	APAF1;NDUFA1;ADCY5;COX6B1
Small cell lung cancer_Homo sapiens_hsa05222	3/86	0.0170986377543301988624069309707920183427631855010986328125	0.339530092550271056506261402319069020450115203857421875	0.0188050526062376079095006531360922963358461856842041015625	0.37341461603814674052870259401970542967319488525390625	-1.697118689977108	6.905162670799006	APAF1;ITGA3;TRAF1
beta-Alanine metabolism_Homo sapiens_hsa00410	2/31	0.016251013209652435953511684374461765401065349578857421875	0.339530092550271056506261402319069020450115203857421875	0.0185298902364982968904438820345603744499385356903076171875	0.37341461603814674052870259401970542967319488525390625	-1.5706652817166622	6.470512727209269	MLYCD;HIBCH
Alzheimer's disease_Homo sapiens_hsa05010	4/168	0.0218055651626339157267420176822270150296390056610107421875	0.378871694700764261032333024559193290770053863525390625	0.0233815661594165731529404439470454235561192035675048828125	0.4062547120198629624354680345277301967144012451171875	-1.666662179796597	6.3759662668687085	APAF1;BAD;NDUFA1;COX6B1
Pathways in cancer_Homo sapiens_hsa05200	6/397	0.03990664078693482996751384916933602653443813323974609375	0.4730403420311850570811884608701802790164947509765625	0.041296089339267712248204844627252896316349506378173828125	0.477290571124274032310808024703874252736568450927734375	-1.8428451158517132	5.936195783877149	BAD;ITGA3;FGF18;RARA;TRAF1;ADCY5
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	4/180	0.0272126680575523922922531738777252030558884143829345703125	0.42028453999997583689918201343971304595470428466796875	0.0290514804599902067006045314201401197351515293121337890625	0.44868397599318210478003265961888246238231658935546875	-1.5612972805713548	5.627028869101017	REL;RARA;TRAF1;MEN1
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	2/48	0.03678835538968565355144590967029216699302196502685546875	0.4730403420311850570811884608701802790164947509765625	0.040160147388343968299917463582460186444222927093505859375	0.477290571124274032310808024703874252736568450927734375	-1.5746450231987912	5.200381576654326	ACAT2;HIBCH
Metabolic pathways_Homo sapiens_hsa01100	13/1239	0.04859371607162769890475573220101068727672100067138671875	0.4730403420311850570811884608701802790164947509765625	0.044549178966841664062403793877820135094225406646728515625	0.477290571124274032310808024703874252736568450927734375	-1.7135933115078867	5.182353516741331	NDUFA1;CTPS2;ENO1;LCLAT1;ACAT2;DDOST;COX6B1;ATP5J2;NDST1;ITPKA;MLYCD;HIBCH;IDH3A
Acute myeloid leukemia_Homo sapiens_hsa05221	2/57	0.050193095350720952352308046329198987223207950592041015625	0.4730403420311850570811884608701802790164947509765625	0.05411766612243977536689243379441904835402965545654296875	0.51027846885427485812414261090452782809734344482421875	-1.5057105946498004	4.504902108221556	BAD;RARA
Apoptosis_Homo sapiens_hsa04210	3/140	0.058721911383374479631580555860637105070054531097412109375	0.4730403420311850570811884608701802790164947509765625	0.062408158061314188136403657836126512847840785980224609375	0.51027846885427485812414261090452782809734344482421875	-1.5500065990996517	4.394179341885265	APAF1;BAD;TRAF1
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	2/51	0.041080890946950700259865385532975778914988040924072265625	0.4730403420311850570811884608701802790164947509765625	0.044638686508025625376827605350626981817185878753662109375	0.477290571124274032310808024703874252736568450927734375	-1.3716284453814391	4.378529065528154	APAF1;BAD
Oxidative phosphorylation_Homo sapiens_hsa00190	3/133	0.051877715942530010229116754771894193254411220550537109375	0.4730403420311850570811884608701802790164947509765625	0.0552819462007500816991267811317811720073223114013671875	0.51027846885427485812414261090452782809734344482421875	-1.465113171120396	4.335073469479022	NDUFA1;ATP5J2;COX6B1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	3/151	0.07028675511467734338122426152040134184062480926513671875	0.48863653407846385778867670524050481617450714111328125	0.074429757184411526882428233875543810427188873291015625	0.52049371192214588521807172583066858351230621337890625	-1.4981875185748859	3.9779454049140686	SOCS3;NDUFA1;COX6B1
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	3/137	0.05573856849475726515930062987536075524985790252685546875	0.4730403420311850570811884608701802790164947509765625	0.05930310714201449118210263122819014824926853179931640625	0.51027846885427485812414261090452782809734344482421875	-1.288295820025152	3.719416882494045	SOCS3;UBE2Q1;UBA2
Melanoma_Homo sapiens_hsa05218	2/71	0.0738793033506893459527731238267733715474605560302734375	0.48901062694027708221966577184502966701984405517578125	0.0786357406501083655570027985959313809871673583984375	0.52049371192214588521807172583066858351230621337890625	-1.2773121233236053	3.3278100823279315	BAD;FGF18
p53 signaling pathway_Homo sapiens_hsa04115	2/69	0.0703074149753185329014826265847659669816493988037109375	0.48863653407846385778867670524050481617450714111328125	0.07494688791169799857438960088984458707273006439208984375	0.52049371192214588521807172583066858351230621337890625	-1.1138125794472282	2.957036523934236	APAF1;SESN3
Biosynthesis of amino acids_Homo sapiens_hsa01230	2/74	0.0793437757902860363312669278457178734242916107177734375	0.50130840158407996565159692181623540818691253662109375	0.084274573235357308487181171585689298808574676513671875	0.5324620763506666687447932417853735387325286865234375	-1.0953749746476136	2.7756421488964147	ENO1;IDH3A
Huntington's disease_Homo sapiens_hsa05016	3/193	0.12259081487297542045755704975817934609949588775634765625	0.59487290741473486388457558859954588115215301513671875	0.12861305288575108907167532379389740526676177978515625	0.60883618130733541118360108157503418624401092529296875	-1.2314691629813095	2.5847345394907935	APAF1;NDUFA1;COX6B1
GABAergic synapse_Homo sapiens_hsa04727	2/88	0.10635718376666047912948442899505607783794403076171875	0.59019796511755784340635955231846310198307037353515625	0.11208549784990888553704024843682418577373027801513671875	0.60883618130733541118360108157503418624401092529296875	-1.1314833940916118	2.5356001913758726	SLC38A1;ADCY5
Dilated cardiomyopathy_Homo sapiens_hsa05414	2/90	0.1103967416766654940918357397094951011240482330322265625	0.59019796511755784340635955231846310198307037353515625	0.1162369235911062392840875645561027340590953826904296875	0.60883618130733541118360108157503418624401092529296875	-1.1402372152581925	2.5127118569385187	ITGA3;ADCY5
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	2/94	0.1185942277751506346294974036936764605343341827392578125	0.59487290741473486388457558859954588115215301513671875	0.124656658448754009693715261164470575749874114990234375	0.60883618130733541118360108157503418624401092529296875	-1.1671597288850506	2.488439939223239	SESN3;ADCY5
Peroxisome_Homo sapiens_hsa04146	2/83	0.0964442291316543742762945612412295304238796234130859375	0.58285860214347640084753265909967012703418731689453125	0.1018906646709354379964906911482103168964385986328125	0.60883618130733541118360108157503418624401092529296875	-1.0472331279161435	2.4492587590784325	MLYCD;CRAT
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	4/341	0.1686236224780492121144703787649632431566715240478515625	0.59487290741473486388457558859954588115215301513671875	0.1761803296435917320916786366069572977721691131591796875	0.60883618130733541118360108157503418624401092529296875	-1.1596047381000418	2.064196314785671	BAD;ITGA3;FGF18;YWHAG
TNF signaling pathway_Homo sapiens_hsa04668	2/110	0.1527355432550840663719071699233609251677989959716796875	0.59487290741473486388457558859954588115215301513671875	0.159667515410814864207367236303980462253093719482421875	0.60883618130733541118360108157503418624401092529296875	-1.0799953200166796	2.0293623209605127	SOCS3;TRAF1
Glutamatergic synapse_Homo sapiens_hsa04724	2/114	0.1615509664163492231647722974230418913066387176513671875	0.59487290741473486388457558859954588115215301513671875	0.1686954779823957029094572135363705456256866455078125	0.60883618130733541118360108157503418624401092529296875	-1.061026318075001	1.934181591588409	SLC38A1;ADCY5
Pyrimidine metabolism_Homo sapiens_hsa00240	2/105	0.141859525716152123919755467795766890048980712890625	0.59487290741473486388457558859954588115215301513671875	0.1485230907688552537404547138066845946013927459716796875	0.60883618130733541118360108157503418624401092529296875	-0.9705391171592743	1.895383279127419	ENTPD6;CTPS2
Ras signaling pathway_Homo sapiens_hsa04014	3/227	0.1725685786418447442702728267249767668545246124267578125	0.59487290741473486388457558859954588115215301513671875	0.180233576555871521929219625235418789088726043701171875	0.60883618130733541118360108157503418624401092529296875	-1.0774195371554918	1.8929836378503004	BAD;FGF18;REL
Oocyte meiosis_Homo sapiens_hsa04114	2/123	0.1817019752979349977994871778719243593513965606689453125	0.59487290741473486388457558859954588115215301513671875	0.18931748598178910203415625801426358520984649658203125	0.60883618130733541118360108157503418624401092529296875	-0.8769929381798	1.4956127351053539	YWHAG;ADCY5
Hepatitis C_Homo sapiens_hsa05160	2/133	0.2044977473362859787808787359608686529099941253662109375	0.59487290741473486388457558859954588115215301513671875	0.21262451990317732253288340871222317218780517578125	0.60883618130733541118360108157503418624401092529296875	-0.8115098037687828	1.2880269964185307	SOCS3;BAD
Ribosome_Homo sapiens_hsa03010	2/137	0.2137061732283746240401711702361353673040866851806640625	0.59487290741473486388457558859954588115215301513671875	0.222033758674603898253252509675803594291210174560546875	0.60883618130733541118360108157503418624401092529296875	-0.7522862033343195	1.1608928843464488	RPL12;RPS3
Hepatitis B_Homo sapiens_hsa05161	2/146	0.2345572280338067694405168595039867796003818511962890625	0.59487290741473486388457558859954588115215301513671875	0.2433285911251195920979029096997692249715328216552734375	0.60883618130733541118360108157503418624401092529296875	-0.7893622508664511	1.1446192139319422	APAF1;BAD
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	2/167	0.28352750445440844107025668563437648117542266845703125	0.59487290741473486388457558859954588115215301513671875	0.293287901638861703279559378643170930445194244384765625	0.60883618130733541118360108157503418624401092529296875	-0.5386719838744285	0.6789670244405737	BAD;ADCY5
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	2/169	0.2881902847511101928290599971660412847995758056640625	0.59487290741473486388457558859954588115215301513671875	0.2980412583233518208913892522105015814304351806640625	0.60883618130733541118360108157503418624401092529296875	-0.5012944842165924	0.6236776652616474	UBQLN4;DDOST
RNA transport_Homo sapiens_hsa03013	2/172	0.295178349245573790060603869278565980494022369384765625	0.59487290741473486388457558859954588115215301513671875	0.305163946252348161625178590838913805782794952392578125	0.60883618130733541118360108157503418624401092529296875	-0.48466176027077407	0.5913724209892216	UPF3B;THOC5
Purine metabolism_Homo sapiens_hsa00230	2/176	0.304480990844776033821261762568610720336437225341796875	0.59487290741473486388457558859954588115215301513671875	0.314643729103520730649989900484797544777393341064453125	0.60883618130733541118360108157503418624401092529296875	-0.3551397733804938	0.42231326157625715	ENTPD6;ADCY5
Alcoholism_Homo sapiens_hsa05034	2/179	0.31144417954157910255474916993989609181880950927734375	0.59487290741473486388457558859954588115215301513671875	0.321737973164174129170334026639466173946857452392578125	0.60883618130733541118360108157503418624401092529296875	-0.34872986962775077	0.4068056527690666	HIST1H2BE;ADCY5
Tuberculosis_Homo sapiens_hsa05152	2/178	0.309124580515884261888714945598621852695941925048828125	0.59487290741473486388457558859954588115215301513671875	0.319374862379559643077442387948394753038883209228515625	0.60883618130733541118360108157503418624401092529296875	-0.3182661673627052	0.3736479528142641	APAF1;BAD
Herpes simplex infection_Homo sapiens_hsa05168	2/185	0.32532649680293435068278995458967983722686767578125	0.59487290741473486388457558859954588115215301513671875	0.33587766194117352203107884633936919271945953369140625	0.60883618130733541118360108157503418624401092529296875	-0.20402185460830546	0.22910144416598988	SOCS3;TRAF1
cAMP signaling pathway_Homo sapiens_hsa04024	2/199	0.3574180483564510790728263600612990558147430419921875	0.59487290741473486388457558859954588115215301513671875	0.36854419946987138079208534691133536398410797119140625	0.60883618130733541118360108157503418624401092529296875	-0.05766835251208518	0.05933203710710863	BAD;ADCY5
Epstein-Barr virus infection_Homo sapiens_hsa05169	2/202	0.36422806800337059751626611614483408629894256591796875	0.59487290741473486388457558859954588115215301513671875	0.375472606374219974867401106166653335094451904296875	0.60883618130733541118360108157503418624401092529296875	0.003318010410467994	-0.003351107720602718	TRAF1;YWHAG
Focal adhesion_Homo sapiens_hsa04510	2/202	0.36422806800337059751626611614483408629894256591796875	0.59487290741473486388457558859954588115215301513671875	0.375472606374219974867401106166653335094451904296875	0.60883618130733541118360108157503418624401092529296875	0.039342662454352015	-0.03973510736551605	BAD;ITGA3
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.38449114942478945788906230518477968871593475341796875	0.59487290741473486388457558859954588115215301513671875	0.396080249276400120361785184286418370902538299560546875	0.60883618130733541118360108157503418624401092529296875	0.14935340412392412	-0.14275713765382703	FGF18;ADCY5
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	2/214	0.391185422811590244318580289473175071179866790771484375	0.59487290741473486388457558859954588115215301513671875	0.402885773918041589780614231131039559841156005859375	0.60883618130733541118360108157503418624401092529296875	0.2308048317563848	-0.2166273228238995	ITGA3;FGF18
MicroRNAs in cancer_Homo sapiens_hsa05206	1/297	0.84909314248645439970886172886821441352367401123046875	0.84909314248645439970886172886821441352367401123046875	0.857484793926920563222893179045058786869049072265625	0.857484793926920563222893179045058786869049072265625	1.425178147492205	-0.23313974857396771	MIR330
