Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Influenza A_Homo sapiens_hsa05164	16/175	0.000552997158130644271382958532257134720566682517528533935546875	0.0644241689222200542008778256786172278225421905517578125	0.000109817544892291845998362476155563172142137773334980010986328125	0.0255874879599039990740738659269482013769447803497314453125	-1.943403355290741	14.575831630565476	MAP2K1;RNASEL;DDX58;PIK3R3;ADAR;EIF2S1;PML;PIK3CG;TNFRSF1A;TNFSF10;IRF7;TRIM25;NUP98;JAK2;IRF9;TLR3
Colorectal cancer_Homo sapiens_hsa05210	8/62	0.0015632509585213612106346925401112457620911300182342529296875	0.10926099346967584058365474675156292505562305450439453125	0.000819867114216640976119554462542282635695300996303558349609375	0.046091853704117051460098508641749504022300243377685546875	-1.926301054467869	12.445807377724346	TGFB2;MAP2K1;APC;CCND1;PIK3R3;BIRC5;RAC1;PIK3CG
Hepatitis B_Homo sapiens_hsa05161	13/146	0.00224123111354347821777555083144761738367378711700439453125	0.10926099346967584058365474675156292505562305450439453125	0.00061550531132719701020439284633312126970849931240081787109375	0.046091853704117051460098508641749504022300243377685546875	-1.8598982701010789	11.346737098645013	RB1;TGFB2;EGR2;MAP2K1;DDX58;PIK3R3;PIK3CG;CREB3;CASP8;CCND1;IRF7;BIRC5;TLR3
Pancreatic cancer_Homo sapiens_hsa05212	8/66	0.0023446565122248034553076312391794999712146818637847900390625	0.10926099346967584058365474675156292505562305450439453125	0.0011869146876596664737235631292833204497583210468292236328125	0.046091853704117051460098508641749504022300243377685546875	-1.8630205545614231	11.28173775755702	RB1;TGFB2;MAP2K1;RALB;CCND1;PIK3R3;RAC1;PIK3CG
Viral carcinogenesis_Homo sapiens_hsa05203	16/205	0.002897293508989690243027315119661579956300556659698486328125	0.11089385489163479381335974949251976795494556427001953125	0.000580026648388035190491429649028987114434130489826202392578125	0.046091853704117051460098508641749504022300243377685546875	-1.8551522014640245	10.841469116763875	RB1;EGR2;ACTN1;PXN;PIK3R3;PIK3CG;CREB3;CASP8;CCND1;TRAF5;IRF7;HIST1H4H;TBPL1;RAC1;HIST1H4D;IRF9
Caffeine metabolism_Homo sapiens_hsa00232	3/5	0.0004293263035978535650978582527415028380346484482288360595703125	0.0644241689222200542008778256786172278225421905517578125	0.00117075641981121618233341319381679568323306739330291748046875	0.046091853704117051460098508641749504022300243377685546875	-1.3874808356048978	10.757545885595688	NAT1;NAT2;XDH
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	12/151	0.0080197380573926169144982623038231395184993743896484375	0.2117344706892945460641186627981369383633136749267578125	0.0024436863465781897934714361753094635787419974803924560546875	0.07137661505724852972765148706457694061100482940673828125	-1.7823564511114007	8.601384021944018	CEBPA;CASP8;NDUFA11;COX4I1;NDUFA2;PIK3R3;IRS2;RAC1;PRKAB1;EIF2S1;PIK3CG;TNFRSF1A
Thyroid cancer_Homo sapiens_hsa05216	5/29	0.00333157503966284747332071702885514241643249988555908203125	0.11089385489163479381335974949251976795494556427001953125	0.0026124653431068207455612029121994055458344519138336181640625	0.07137661505724852972765148706457694061100482940673828125	-1.4793551146211723	8.438700324672611	MAP2K1;CCND1;CDH1;NCOA4;TPR
Hepatitis C_Homo sapiens_hsa05160	11/133	0.0081785847047366987128125259687294601462781429290771484375	0.2117344706892945460641186627981369383633136749267578125	0.0027570366331126044782962036805429306696169078350067138671875	0.07137661505724852972765148706457694061100482940673828125	-1.6324867437766741	7.846116822443943	RNASEL;DDX58;IRF1;IRF7;PIK3R3;IFIT1;EIF2S1;IRF9;TLR3;PIK3CG;TNFRSF1A
Measles_Homo sapiens_hsa05162	11/136	0.00959745559965903723143032522102657821960747241973876953125	0.2165522047829213925229652204507146961987018585205078125	0.0032366002761625733454009523626382360816933214664459228515625	0.0754127864345879583840570603570085950195789337158203125	-1.6310570785002119	7.57831078811786	CCND1;DDX58;TNFSF10;IRF7;PIK3R3;ADAR;RCHY1;JAK2;EIF2S1;IRF9;PIK3CG
Endometrial cancer_Homo sapiens_hsa05213	6/52	0.01022349464640401502102395880910989944823086261749267578125	0.2165522047829213925229652204507146961987018585205078125	0.0060540025723429639892270159862164291553199291229248046875	0.11754854994632589482161932892267941497266292572021484375	-1.576203192768756	7.223844539756482	MAP2K1;APC;CCND1;CDH1;PIK3R3;PIK3CG
Non-small cell lung cancer_Homo sapiens_hsa05223	6/56	0.01447428971282772869333399512470350600779056549072265625	0.243929974481386258045034765018499456346035003662109375	0.0083674328526164749864069136719990638084709644317626953125	0.12232467166997100516123708757731947116553783416748046875	-1.6427674063963897	6.957746397084778	RB1;MAP2K1;CCND1;PIK3R3;FHIT;PIK3CG
Chronic myeloid leukemia_Homo sapiens_hsa05220	7/73	0.01524662064198225273903286591803407645784318447113037109375	0.243929974481386258045034765018499456346035003662109375	0.007800818316818325208472639786805302719585597515106201171875	0.12232467166997100516123708757731947116553783416748046875	-1.544697266689872	6.4620825257542664	RB1;TGFB2;MAP2K1;CCND1;PIK3R3;CBLC;PIK3CG
Herpes simplex infection_Homo sapiens_hsa05168	13/185	0.015666945581478401716690740386184188537299633026123046875	0.243929974481386258045034765018499456346035003662109375	0.0044309126517436368819513603511950350366532802581787109375	0.09385478616875157775734095366715337149798870086669921875	-1.467455824197936	6.099043070675934	RNASEL;DDX58;IFIT1;EIF2S1;PML;TNFRSF1A;CASP8;TRAF5;IRF7;TBPL1;JAK2;IRF9;TLR3
Acute myeloid leukemia_Homo sapiens_hsa05221	6/57	0.015703646425840316058764045692441868595778942108154296875	0.243929974481386258045034765018499456346035003662109375	0.009033037182317606161863210445517324842512607574462890625	0.12380574491058837782730961407651193439960479736328125	-1.464484516604629	6.083267076895909	CEBPA;MAP2K1;CCND1;PIK3R3;PML;PIK3CG
FoxO signaling pathway_Homo sapiens_hsa04068	10/133	0.020977871195720178276733491884442628361284732818603515625	0.27625948504075548139979900952312164008617401123046875	0.00786893343511999888983954321020064526237547397613525390625	0.12232467166997100516123708757731947116553783416748046875	-1.445042917138958	5.584060775076445	TGFB2;MAP2K1;CCND1;PLK2;PLK1;TNFSF10;PIK3R3;IRS2;PRKAB1;PIK3CG
VEGF signaling pathway_Homo sapiens_hsa04370	6/61	0.0213419344666678049982078135826668585650622844696044921875	0.27625948504075548139979900952312164008617401123046875	0.012076680786420122826196887899641296826303005218505859375	0.1480982433282046761835459847134188748896121978759765625	-1.3685815764658975	5.265044709987852	PPP3CB;MAP2K1;PXN;PIK3R3;RAC1;PIK3CG
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	7/78	0.021257927549889622798051647123429575003683567047119140625	0.27625948504075548139979900952312164008617401123046875	0.01075457449720780035706813038132168003357946872711181640625	0.1392119921027454021444924592287861742079257965087890625	-1.2913780946118367	4.973129833036259	CDH1;PXN;PIK3R3;CBLC;ARPC5;RAC1;PIK3CG
Toll-like receptor signaling pathway_Homo sapiens_hsa04620	8/106	0.035999210302864848021187071935855783522129058837890625	0.39941980955083378201919686034671030938625335693359375	0.016409632448342127697404890795951359905302524566650390625	0.1820687790697007313323041444164118729531764984130859375	-1.3587296762106202	4.516768372074434	MAP2K1;CXCL9;CASP8;IRF7;PIK3R3;RAC1;TLR3;PIK3CG
Pathways in cancer_Homo sapiens_hsa05200	21/397	0.04807865339562793216554581476884777657687664031982421875	0.423333378864362341875704487392795272171497344970703125	0.00839997745373191433138071460007267887704074382781982421875	0.12232467166997100516123708757731947116553783416748046875	-1.4424440663474793	4.377698013784326	RB1;CEBPA;MAP2K1;TGFB2;RALB;NCOA4;CBLC;PIK3R3;PIK3CG;PML;ADCY9;CASP8;APC;CCND1;CDH1;LPAR6;SUFU;TRAF5;TPR;BIRC5;RAC1
Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623	6/64	0.02637285631717527223383257251043687574565410614013671875	0.323414501152728295352289933362044394016265869140625	0.014788592107039651157851523066710797138512134552001953125	0.1722870980470119495198133563462761230766773223876953125	-1.0745441983935917	3.9064194348690306	POLR3C;DDX58;IRF7;ADAR;POLR2H;MB21D1
Melanoma_Homo sapiens_hsa05218	6/71	0.04100451114297247456885742167287389747798442840576171875	0.415393525926634143985438640811480581760406494140625	0.0227034004931280890271505512600924703292548656463623046875	0.22394277408904816883961075291153974831104278564453125	-1.2092733586705164	3.8625076148586417	RB1;MAP2K1;CCND1;CDH1;PIK3R3;PIK3CG
Prolactin signaling pathway_Homo sapiens_hsa04917	6/72	0.04344055295230604685219333305212785489857196807861328125	0.421735368245304498291403660914511419832706451416015625	0.0240281946447476572881196688058480503968894481658935546875	0.22394277408904816883961075291153974831104278564453125	-1.1972010379959863	3.7548556914822897	MAP2K1;CCND1;IRF1;PIK3R3;JAK2;PIK3CG
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	7/94	0.051007413342150483004378003215606440789997577667236328125	0.424454546740037963470371096263988874852657318115234375	0.02560988441989071884297146652897936291992664337158203125	0.22588683184606928033844042147393338382244110107421875	-1.138085673865754	3.386697477125547	CREB3;ADCY9;PIK3R3;IRS2;EIF4E2;PRKAB1;PIK3CG
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622	6/70	0.038656609753506772364506360872837831266224384307861328125	0.4094086396621399170925315047497861087322235107421875	0.0214287488863716436837680845428621978498995304107666015625	0.22394277408904816883961075291153974831104278564453125	-1.0220857142111106	3.3248831595638464	CASP8;DDX58;IRF7;TRIM25;AZI2;TANK
Apoptosis_Homo sapiens_hsa04210	9/140	0.063737654957169487257573337046778760850429534912109375	0.47906043887162874650442745405598543584346771240234375	0.0271914267778681807696816719044363708235323429107666015625	0.2262715156872601995896587823153822682797908782958984375	-1.1901603987209333	3.276487490529927	MAP2K1;CASP8;TNFSF10;BIRC5;PIK3R3;EIF2S1;PIK3CG;CTSB;TNFRSF1A
Insulin signaling pathway_Homo sapiens_hsa04910	9/139	0.061483845465179480516137999757120269350707530975341796875	0.47752453311289400073036404137383215129375457763671875	0.02617572729546725762705960960374795831739902496337890625	0.22588683184606928033844042147393338382244110107421875	-1.059252597672325	2.954235172127832	MAP2K1;CBLC;PIK3R3;IRS2;SORBS1;EIF4E2;PRKAB1;PIK3CG;HK1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	5/56	0.0490557992675441367769195721848518587648868560791015625	0.423333378864362341875704487392795272171497344970703125	0.030042356348021936884862270744633860886096954345703125	0.24137479410652107336687777205952443182468414306640625	-0.9293399602970813	2.8017712018017487	PLA2G16;ADCY9;PIK3R3;IRS2;PIK3CG
AMPK signaling pathway_Homo sapiens_hsa04152	8/124	0.07635440173834472099567705072331591509282588958740234375	0.53481659382333124330699547499534673988819122314453125	0.03563859438333560891720708241336978971958160400390625	0.276793083043906540385847847574041225016117095947265625	-0.9733084614375426	2.5037090945808194	CREB3;CPT1A;CCND1;RAB14;PIK3R3;IRS2;PRKAB1;PIK3CG
Glioma_Homo sapiens_hsa05214	5/65	0.08219453157548049782032961729782982729375362396240234375	0.54718073877391304460360288430820219218730926513671875	0.049851483656046323422739163788719451986253261566162109375	0.297593854261342383171751180270803160965442657470703125	-0.8127407174446825	2.0307680079113704	RB1;MAP2K1;CCND1;PIK3R3;PIK3CG
Insulin resistance_Homo sapiens_hsa04931	7/109	0.09529745672263538469604071678986656479537487030029296875	0.5578981013382759979180036680190823972225189208984375	0.04872616833041391870562364374563912861049175262451171875	0.297593854261342383171751180270803160965442657470703125	-0.8542191602861254	2.008057532520287	CREB3;CPT1A;PIK3R3;IRS2;PRKAB1;PIK3CG;TNFRSF1A
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	5/64	0.0780419063948208646674942201570956967771053314208984375	0.53481659382333124330699547499534673988819122314453125	0.04734699140284258367383785071069723926484584808349609375	0.297593854261342383171751180270803160965442657470703125	-0.7657413499208944	1.9530304612405347	ADCY9;PIK3R3;IRS2;PRKAB1;PIK3CG
TNF signaling pathway_Homo sapiens_hsa04668	7/110	0.0988298243146134292036464330521994270384311676025390625	0.5578981013382759979180036680190823972225189208984375	0.050623192997758810485198210926682804711163043975830078125	0.297593854261342383171751180270803160965442657470703125	-0.8376769173298648	1.9386824775908102	CREB3;MAP2K1;CASP8;TRAF5;PIK3R3;PIK3CG;TNFRSF1A
Small cell lung cancer_Homo sapiens_hsa05222	6/86	0.08700157504946594289041428282871493138372898101806640625	0.547874783419609823198470621719025075435638427734375	0.048196731755616499526251317320202360861003398895263671875	0.297593854261342383171751180270803160965442657470703125	-0.763221638201084	1.8636567726895354	RB1;CCND1;TRAF5;PIK3R3;FHIT;PIK3CG
Prostate cancer_Homo sapiens_hsa05215	6/89	0.09862469640865532960471995238549425266683101654052734375	0.5578981013382759979180036680190823972225189208984375	0.054813491150789046824076677921766531653702259063720703125	0.3040843675746154328720649573369883000850677490234375	-0.7968799845267274	1.8459195538417024	RB1;CREB3;MAP2K1;CCND1;PIK3R3;PIK3CG
Osteoclast differentiation_Homo sapiens_hsa04380	8/132	0.100565322988015404259698470923467539250850677490234375	0.5578981013382759979180036680190823972225189208984375	0.0477393089991361707635775246671983040869235992431640625	0.297593854261342383171751180270803160965442657470703125	-0.8029852229156862	1.8444151272754983	TGFB2;MAP2K1;PPP3CB;PIK3R3;RAC1;IRF9;PIK3CG;TNFRSF1A
Renal cell carcinoma_Homo sapiens_hsa05211	5/66	0.08646208485025345946706210042975726537406444549560546875	0.547874783419609823198470621719025075435638427734375	0.05243268727518134164622409798539592884480953216552734375	0.297971125246762225113883459926000796258449554443359375	-0.6662092987333592	1.6309131984688823	TGFB2;MAP2K1;PIK3R3;RAC1;PIK3CG
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	10/180	0.11146516818143407945296274874635855667293071746826171875	0.5902587315062304273993731840164400637149810791015625	0.0463156506650719557161011152857099659740924835205078125	0.297593854261342383171751180270803160965442657470703125	-0.7368526206678492	1.6166864301092194	CEBPA;MEIS1;ZEB1;KMT2A;ETV1;ETV4;PML;ETV5;AFF1;ETV6
Bladder cancer_Homo sapiens_hsa05219	4/41	0.057585262570979491025813246096731745637953281402587890625	0.46266779927718004739034540762077085673809051513671875	0.0392056105948244415504433391106431372463703155517578125	0.28546585214356545723290992100373841822147369384765625	-0.4796359007879833	1.3691152119861807	RB1;MAP2K1;CCND1;CDH1
