Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Endocytosis_Homo sapiens_hsa04144	76/259	0.000009151288619919006458113507063156788490232429467141628265380859375	0.0026172685452968357487646411385640021762810647487640380859375	0.00002610288911034745130599309115293493732679053209722042083740234375	0.007465426285559371120947869115980211063288152217864990234375	-1.9615024471637073	22.756597892234026	ARF1;WIPF2;CLTC;ARPC5L;CLTB;ARRB1;WASL;ARRB2;IGF1R;EEA1;PSD4;HRAS;GIT1;SH3GL1;PDCD6IP;VPS37A;VPS37B;ARFGAP3;RHOA;TGFBR1;ARFGAP2;RNF41;ACAP3;ACAP2;ZFYVE16;DNAJC6;PARD3;TRAF6;KIT;MET;ARF5;ARF6;VPS4B;AGAP1;ADRB1;ASAP1;VPS26B;AGAP3;SNX3;CDC42;CYTH2;PARD6B;SNX1;RAB11FIP1;GRK5;GRK4;ERBB4;MVB12B;PIP5K1B;RAB11FIP3;LDLR;CYTH1;RAB11FIP5;ARFGEF1;ARFGEF2;HSPA8;TGFB2;SMAD3;IQSEC2;SMURF1;CAV1;GBF1;WWP1;HSPA2;PML;IGF2R;EHD1;RAB10;ITCH;EHD4;ARPC2;CAPZA2;CHMP2B;MDM2;SMAP2;RAB5A
Adherens junction_Homo sapiens_hsa04520	26/74	0.0004310543155799947501009838912722216264228336513042449951171875	0.0289177113363107869681289940899659995920956134796142578125	0.00167074356826124614285034031269105980754829943180084228515625	0.07865686459309480238477618740944308228790760040283203125	-1.8372210489867478	14.237133814922233	PTPRM;WASL;IGF1R;CDC42;CDH1;ERBB2;CTNNA3;CTNNA2;RAC1;WASF1;WASF2;WASF3;TCF7L2;SMAD4;SMAD3;ACTN3;ACTN1;INSR;BAIAP2;RHOA;TGFBR1;PARD3;CSNK2B;CTNNB1;MET;VCL
MAPK signaling pathway_Homo sapiens_hsa04010	68/255	0.000585353953731736101166738261980526658589951694011688232421875	0.0289177113363107869681289940899659995920956134796142578125	0.000685802380842626753583435306182991553214378654956817626953125	0.07865686459309480238477618740944308228790760040283203125	-1.8959490688636031	14.112106033922446	ARRB1;ARRB2;CRKL;ELK4;IKBKB;RPS6KA6;FGF8;RPS6KA1;RAC1;HRAS;MAP3K5;DUSP4;MAP2K3;DUSP5;DAXX;DUSP2;MAP2K1;DUSP3;IL1R1;CACNA2D2;TRAF2;FOS;DUSP8;NGF;DUSP9;DUSP6;TGFBR1;DUSP7;PPM1A;PPM1B;MRAS;MAPKAPK3;TRAF6;CRK;MAX;PDGFA;CACNA1D;STK3;RAP1B;CDC42;MAPK8;MKNK1;MAP2K5;MAP4K4;HSPA8;NTRK2;JUN;TGFB2;JUND;GADD45A;NFATC1;HSPA2;MAPK14;NFKB1;MAPK13;GADD45G;MOS;PPP5C;TAOK3;FAS;GRB2;TAB2;KRAS;TAB1;MAP3K14;FGF12;MAP3K11;FGF11
Inositol phosphate metabolism_Homo sapiens_hsa00562	25/71	0.000531104097226066840416180969697279579122550785541534423828125	0.0289177113363107869681289940899659995920956134796142578125	0.0019850667654110940550660213688161093159578740596771240234375	0.07865686459309480238477618740944308228790760040283203125	-1.8502483604005535	13.951894929172774	IPPK;PTEN;MTMR4;MTM1;IMPA2;INPP5E;PIP4K2A;INPP5K;PIP5K1B;PLCG1;TPI1;ITPK1;OCRL;SYNJ2;ITPKB;ITPKC;INPP4B;PLCB3;PLCB4;SYNJ1;IMPAD1;PI4KA;PI4KB;PLCD3;PI4K2A
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	49/169	0.0004468210439156053881588903653465649767895229160785675048828125	0.0289177113363107869681289940899659995920956134796142578125	0.0008638322382568453840223643425133559503592550754547119140625	0.07865686459309480238477618740944308228790760040283203125	-1.7665524728234938	13.626041743072467	ERO1LB;HSP90AB1;UBE2D3;UBE2D1;ERO1L;SEC61A1;SEC62;MAP3K5;SEC63;UBE2E3;SSR3;DNAJB12;UBE2E1;UBE2E2;TRAF2;RAD23B;CKAP4;DDOST;RBX1;DNAJC5;DNAJB11;CANX;ERP29;MAN1B1;ATF6B;SAR1B;HSPA4L;SEL1L;RPN1;CUL1;UBE2J2;RNF5;HSPBP1;HSP90B1;DNAJB1;MAPK8;BAG2;OS9;TXNDC5;HSPA8;SEC24A;EDEM2;SYVN1;EIF2AK4;HSPA2;NSFL1C;BCL2;STUB1;SEC24D
Neurotrophin signaling pathway_Homo sapiens_hsa04722	37/120	0.000606665272789736810012117818047272521653212606906890869140625	0.0289177113363107869681289940899659995920956134796142578125	0.0014722213122195597877206463266475111595354974269866943359375	0.07865686459309480238477618740944308228790760040283203125	-1.7522532251326925	12.979874227633546	YWHAE;SHC3;PRDM4;PSEN2;PIK3R3;FOXO3;CRKL;RAP1B;CDC42;IKBKB;MAPK8;RPS6KA6;IRAK2;RPS6KA1;PLCG1;RAC1;HRAS;MAP2K5;MAP3K5;NTRK2;MAP2K1;JUN;SORT1;PRKCD;MAPK14;NGF;NFKB1;RHOA;MAPK13;TRAF6;BCL2;RAPGEF1;CALM3;GRB2;KRAS;CALM2;CRK
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	31/98	0.00101404190501971198067054924507601754157803952693939208984375	0.038175387856074625980706827022004290483891963958740234375	0.0024953019534635335029137959139688973664306104183197021484375	0.07865686459309480238477618740944308228790760040283203125	-1.696677268867437	11.696572501378068	DGKG;IPPK;DGKE;PTEN;ITPR2;PIK3R3;MTMR4;MTM1;IMPA2;INPP5E;PIP4K2A;INPP5K;PIP5K1B;PLCG1;ITPK1;OCRL;SYNJ2;ITPKB;INPP4B;ITPKC;PLCB3;PLCB4;SYNJ1;DGKQ;IMPAD1;PI4KA;CALM3;PI4KB;PLCD3;CALM2;PI4K2A
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	26/78	0.00106784301695313633799588881601039247470907866954803466796875	0.038175387856074625980706827022004290483891963958740234375	0.003025264022811338486540488901255230302922427654266357421875	0.07865686459309480238477618740944308228790760040283203125	-1.573534947284785	10.766306337482801	SHC3;CLTC;ARPC5L;CLTB;PIK3R3;WASL;CRKL;CDC42;SEPT9;CDH1;CTNNA3;CTNNA2;RAC1;WASF1;WASF2;CAV1;RHOA;PTK2;ARPC2;ELMO1;CTNNB1;ELMO3;CRK;MET;BCAR1;VCL
Pathways in cancer_Homo sapiens_hsa05200	95/397	0.0027553124782187139729661140563621302135288715362548828125	0.05253462458470348206418520931038074195384979248046875	0.00144578186923849556777543767793758888728916645050048828125	0.07865686459309480238477618740944308228790760040283203125	-1.7360715026505842	10.232795046810192	CDKN1B;HSP90AB1;ITGA2B;PTEN;CRKL;IGF1R;IKBKB;FGF8;CCND1;CDH1;RAC1;SKP2;HRAS;MAP2K1;ARHGEF12;MMP2;WNT5A;DAPK3;WNT9B;TRAF2;WNT9A;FOS;AXIN2;RHOA;TGFBR1;RBX1;RUNX1;BCR;MSH6;PLCB3;ADCY9;PLCB4;CCNE2;CCNE1;TRAF6;TRAF5;KIT;RARB;ITGA6;CRK;MET;BIRC2;CEBPA;HDAC2;RALB;ROCK1;CTBP1;MAX;EPAS1;PDGFA;PIK3R3;GNAI1;HSP90B1;CDC42;GNA13;GNG10;MAPK8;TPR;ERBB2;E2F1;E2F2;CTNNA3;PLCG1;CTNNA2;RUNX1T1;FZD1;EGLN1;TCF7L2;FZD3;JUN;TGFB2;SMAD4;SMAD3;FZD5;FZD4;FZD7;FZD6;FZD9;VEGFC;NFKB1;MTOR;PML;PTK2;CDK6;GNAQ;GNB1;MDM2;BCL2;GNAS;CTNNB1;FAS;GRB2;KRAS;FGF12;FGF11
Chronic myeloid leukemia_Homo sapiens_hsa05220	24/73	0.00201664648406517550693894946789441746659576892852783203125	0.048063407870220016537832208314284798689186573028564453125	0.004938327516516690697534475162910894141532480716705322265625	0.10769139136642637277763157044319086708128452301025390625	-1.5774450120740982	9.79012742873856	TGFB2;SMAD4;MAP2K1;HDAC2;SHC3;SMAD3;CDKN1B;CTBP1;PIK3R3;TGFBR1;NFKB1;RUNX1;CRKL;BCR;IKBKB;CDK6;CCND1;E2F1;MDM2;E2F2;GRB2;KRAS;CRK;HRAS
