Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pyrimidine metabolism_Homo sapiens_hsa00240	9/105	0.00056211768553493502396933845233206739067099988460540771484375	0.062141807429714389365837945433668210171163082122802734375	0.0003908432060249944668683941273457094212062656879425048828125	0.0298343647265745769148193033970528631471097469329833984375	-1.7893822879372452	13.39137795885769	POLE4;RRM2B;POLR2C;POLE3;POLR3F;NME2;POLR1D;NT5M;POLR3K
Purine metabolism_Homo sapiens_hsa00230	12/176	0.000597512891196909910231094276156227351748384535312652587890625	0.062141807429714389365837945433668210171163082122802734375	0.0003162469294107840729612934893566489336080849170684814453125	0.0298343647265745769148193033970528631471097469329833984375	-1.7516133589648106	13.001761259111504	POLE4;RRM2B;GUK1;POLR2C;POLE3;POLR3F;NME2;POLR1D;AMPD1;NT5M;POLR3K;APRT
Arginine and proline metabolism_Homo sapiens_hsa00330	6/50	0.000814084813489708070989581134568879861035384237766265869140625	0.062141807429714389365837945433668210171163082122802734375	0.000762491588918682607067811574097504490055143833160400390625	0.0436526434655945816398769920851918868720531463623046875	-1.8090116304310961	12.86830655352258	ARG2;GOT1;ALDH2;ARG1;P4HA3;ALDH7A1
Metabolic pathways_Homo sapiens_hsa01100	44/1239	0.00150054736769787808343956658774231982533819973468780517578125	0.08590633680070351718693899556456017307937145233154296875	0.000080147777841855640337288824159855948892072774469852447509765625	0.018353841125784940702114766963859437964856624603271484375	-1.9370892872135745	12.594809894558917	MOCS2;HAAO;PLA2G3;HSD17B12;NDST1;ATP5B;PTDSS2;ALDH2;MAN1A2;GUK1;POLR2C;PHGDH;NT5M;NANS;ATP6V1D;COX10;ARG2;NDUFA6;GOT1;ARG1;MDH2;OXSM;BCKDHB;NDUFA1;AKR1A1;NME2;ASNS;AMPD1;PRDX6;COASY;APRT;POLE4;BTD;RRM2B;GNPDA2;P4HA3;POLE3;MTHFD2L;POLR3F;POLR1D;DLD;POLR3K;ALDH7A1;B4GALT7
Prostate cancer_Homo sapiens_hsa05215	7/89	0.0037026377810526534851975899442777517833746969699859619140625	0.1695808103722115378619861303377547301352024078369140625	0.0027602558472286709868870335782276015379466116428375244140625	0.1264197178030731227860172793953097425401210784912109375	-1.8656196335226347	10.445062924410442	PDGFRA;TCF7L2;CREB1;HSP90AB1;PIK3CD;MAPK1;MTOR
Acute myeloid leukemia_Homo sapiens_hsa05221	5/57	0.00864343902960603045759757634414199856109917163848876953125	0.26943608748415692755173722616746090352535247802734375	0.007296863530472891094802445621780861984007060527801513671875	0.2387116783540417230824459693394601345062255859375	-1.7942931409659988	8.524605502173898	TCF7L2;RARA;PIK3CD;MAPK1;MTOR
RNA polymerase_Homo sapiens_hsa03020	4/32	0.00531002109268139364794958368065636022947728633880615234375	0.2026658050373398578525296898078522644937038421630859375	0.0052287059062931275088548233043184154666960239410400390625	0.1995622754235210349893492320916266180574893951416015625	-1.6010183471997212	8.38638941939715	POLR2C;POLR3F;POLR1D;POLR3K
Pyruvate metabolism_Homo sapiens_hsa00620	4/40	0.01174384635389917087844313670075280242599546909332275390625	0.298815646115878907895790916882106103003025054931640625	0.010675840760706455101480827352133928798139095306396484375	0.271640837133530876901232886666548438370227813720703125	-1.479751211982125	6.576644597499566	ALDH2;MDH2;ALDH7A1;DLD
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	4/48	0.0217797290924021010039002277380859595723450183868408203125	0.453414360196370991307190934094251133501529693603515625	0.0188746732065555311574911456773406825959682464599609375	0.3941027478563536856626114968094043433666229248046875	-1.5248319996178101	5.835189890114744	ALDH2;BCKDHB;ALDH7A1;DLD
Arginine biosynthesis_Homo sapiens_hsa00220	3/20	0.0094126144099268803377977832269607461057603359222412109375	0.26943608748415692755173722616746090352535247802734375	0.00995529946255298801849331624680417007766664028167724609375	0.271640837133530876901232886666548438370227813720703125	-1.1503051741925072	5.366984063061289	ARG2;GOT1;ARG1
