Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
AMPK signaling pathway_Homo sapiens_hsa04152	3/124	0.01848411997059513922625484383388538844883441925048828125	0.5788488325036083015362464720965363085269927978515625	0.0135263720704294210239737594747566618025302886962890625	0.532324478230680409041042366879992187023162841796875	-1.7922572645037969	7.152617887828782	PFKFB4;STK11;EIF4EBP1
Spliceosome_Homo sapiens_hsa03040	3/134	0.022635434342292752585290571687437477521598339080810546875	0.5788488325036083015362464720965363085269927978515625	0.0165658526598889445369255923878881731070578098297119140625	0.532324478230680409041042366879992187023162841796875	-1.7719695103502124	6.712643490826168	SF3A2;HNRNPC;BCAS2
mTOR signaling pathway_Homo sapiens_hsa04150	2/60	0.0299414036552751484931977898895638645626604557037353515625	0.5788488325036083015362464720965363085269927978515625	0.0249171345508716370054091981955934897996485233306884765625	0.532324478230680409041042366879992187023162841796875	-1.9094276697192918	6.699251837697394	STK11;EIF4EBP1
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	4/341	0.06797638728973509625319593396852724254131317138671875	0.5788488325036083015362464720965363085269927978515625	0.045848585148791025367653872990558738820254802703857421875	0.532324478230680409041042366879992187023162841796875	-1.9633323406252743	5.2786052784470305	STK11;EPO;GNB2;EIF4EBP1
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	2/94	0.067081126523148959517328648871625773608684539794921875	0.5788488325036083015362464720965363085269927978515625	0.05532799569146211460246576052668388001620769500732421875	0.532324478230680409041042366879992187023162841796875	-1.8358629943288707	4.960231109817838	STK11;EIF4EBP1
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.07858190244487443798515613480049069039523601531982421875	0.5788488325036083015362464720965363085269927978515625	0.06482406467273595096489913203186006285250186920166015625	0.532324478230680409041042366879992187023162841796875	-1.7088689159941468	4.34670265084734	EPO;EIF4EBP1
Cell cycle_Homo sapiens_hsa04110	2/124	0.1075092439286257917085976032467442564666271209716796875	0.5788488325036083015362464720965363085269927978515625	0.08889028474794337386644116349998512305319309234619140625	0.532324478230680409041042366879992187023162841796875	-1.5562396069239057	3.4706920267377663	FZR1;E2F3
FoxO signaling pathway_Homo sapiens_hsa04068	2/133	0.12066027042485062692467323586242855526506900787353515625	0.5788488325036083015362464720965363085269927978515625	0.09991799431027457989440421215476817451417446136474609375	0.532324478230680409041042366879992187023162841796875	-1.6229423691409464	3.4321601636240917	STK11;PLK2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	2/142	0.1341848937216787718273991458772798068821430206298828125	0.5788488325036083015362464720965363085269927978515625	0.11131557071234617073418604604739812202751636505126953125	0.532324478230680409041042366879992187023162841796875	-1.5793608552432772	3.1722041237312233	MEIS1;KAT6A
Renin-angiotensin system_Homo sapiens_hsa04614	1/23	0.09858614772807579307301040216771070845425128936767578125	0.5788488325036083015362464720965363085269927978515625	0.0913807120735457001359236528514884412288665771484375	0.532324478230680409041042366879992187023162841796875	-1.3165561478120427	3.050229561016296	ACE
