Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	13/169	0.0076474937628826823721173155945507460273802280426025390625	0.997055118247247573748381910263560712337493896484375	0.002224716697970772170955822133464607759378850460052490234375	0.4200950060238322070205185809754766523838043212890625	-1.814298057299226	8.841758963368576	PDIA3;ATF6B;UBE2G2;HERPUD1;ERO1L;LMAN2;BAG1;STT3A;UBQLN1;SEC24C;UBXN6;TXNDC5;SEC31A
Hepatitis B_Homo sapiens_hsa05161	11/146	0.0155777971574361205620018466788678779266774654388427734375	0.997055118247247573748381910263560712337493896484375	0.0055275658687346344855040314314464922063052654266357421875	0.4200950060238322070205185809754766523838043212890625	-1.9108761757789183	7.952892061474302	SMAD3;ATF6B;CCND1;IRF3;YWHAQ;AKT2;NFATC3;E2F2;STAT6;MYD88;DDB2
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	12/167	0.0167067199556749923505805099921417422592639923095703125	0.997055118247247573748381910263560712337493896484375	0.005432617259917636720611966438809758983552455902099609375	0.4200950060238322070205185809754766523838043212890625	-1.8906360446249488	7.736377287755274	PPP3R1;ADCY9;ATF6B;KCNJ8;NPR1;AKT2;FXYD2;NFATC3;GTF2IRD1;VDAC1;ADRA2B;MEF2D
Colorectal cancer_Homo sapiens_hsa05210	6/62	0.02280121922924667476895166373651591129601001739501953125	0.997055118247247573748381910263560712337493896484375	0.01321723634808343560143040207321973866783082485198974609375	0.6027059774726046814663504846976138651371002197265625	-1.8869011090574397	7.13426227467138	SMAD3;MSH2;CCND1;AKT2;MLH1;RALGDS
Pancreatic cancer_Homo sapiens_hsa05212	6/66	0.02995290464675447184017542667788802646100521087646484375	0.997055118247247573748381910263560712337493896484375	0.01717097121473092069532384584817918948829174041748046875	0.65249690615977495866673052660189568996429443359375	-1.8630205545614231	6.5357163902028415	SMAD3;CCND1;AKT2;TGFA;E2F2;RALGDS
Wnt signaling pathway_Homo sapiens_hsa04310	10/142	0.0309502068976830781166231787437936873175203800201416015625	0.997055118247247573748381910263560712337493896484375	0.01220562296814956503021587508328593685291707515716552734375	0.6027059774726046814663504846976138651371002197265625	-1.7525367687099318	6.090723515267284	CAMK2B;WNT10A;PPP3R1;CCND2;SMAD3;CCND1;FZD4;NFATC3;PSEN1;PRICKLE1
Non-small cell lung cancer_Homo sapiens_hsa05223	5/56	0.048813631835609438969214579628896899521350860595703125	0.997055118247247573748381910263560712337493896484375	0.030571635750765498162895283940088120289146900177001953125	0.6949449383704855431886926453444175422191619873046875	-1.8147689972444714	5.480140811022178	CCND1;AKT2;TGFA;E2F2;RXRG
Acute myeloid leukemia_Homo sapiens_hsa05221	5/57	0.052006721002225010652697534396793344058096408843994140625	0.997055118247247573748381910263560712337493896484375	0.0325030412919697919704731248202733695507049560546875	0.6949449383704855431886926453444175422191619873046875	-1.7118409848756564	5.060856420129483	CCND1;AKT2;PML;RUNX1;RUNX1T1
HTLV-I infection_Homo sapiens_hsa05166	14/258	0.07913331885884040961531837865550187416374683380126953125	0.997055118247247573748381910263560712337493896484375	0.0251524847258597326893347911891396506689488887786865234375	0.6949449383704855431886926453444175422191619873046875	-1.693199465717256	4.295005776360593	WNT10A;SMAD3;TBP;FZD4;NFATC3;CREM;PPP3R1;ADCY9;CCND2;CCND1;AKT2;E2F2;VDAC1;TLN2
Glioma_Homo sapiens_hsa05214	5/65	0.081816491464432095082059959167963825166225433349609375	0.997055118247247573748381910263560712337493896484375	0.050682437818021043585137164200205006636679172515869140625	0.6949449383704855431886926453444175422191619873046875	-1.7102540593910451	4.281238707908547	CAMK2B;CCND1;AKT2;TGFA;E2F2
