Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Apoptosis_Homo sapiens_hsa04210	3/140	0.00858761026154354796535717042615942773409187793731689453125	0.36067963098482902495334201375953853130340576171875	0.00158990838050906252952587660587369100539945065975189208984375	0.0667761519813806214695972585104755125939846038818359375	-1.9355560995054213	9.208281909803695	DAB2IP;PIK3R1;GADD45G
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.00746378029282505038588535484223029925487935543060302734375	0.36067963098482902495334201375953853130340576171875	0.00137546706523693500374971865340967269730754196643829345703125	0.0667761519813806214695972585104755125939846038818359375	-1.8262560285717904	8.944441826557965	BCL6;PIK3R1;GADD45G
TNF signaling pathway_Homo sapiens_hsa04668	2/110	0.0431513638830507695320903849278693087399005889892578125	0.46525140116965857384201399327139370143413543701171875	0.01499238701533821792322154209387008449994027614593505859375	0.29345012465037012550084227768820710480213165283203125	-1.8607990620075272	5.848568217297938	DAB2IP;PIK3R1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	2/180	0.101686021407370430491567958597443066537380218505859375	0.46525140116965857384201399327139370143413543701171875	0.037176140454039774407846152826095931231975555419921875	0.29345012465037012550084227768820710480213165283203125	-1.6790750891289983	3.838139708443731	NR4A3;BCL6
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	1/39	0.11067050780020294686867288191933766938745975494384765625	0.46525140116965857384201399327139370143413543701171875	0.06630545607341510605525769506130018271505832672119140625	0.29345012465037012550084227768820710480213165283203125	-1.6702543002213313	3.676560241908565	PIK3R1
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.1320306275479430080377341027997317723929882049560546875	0.46525140116965857384201399327139370143413543701171875	0.049486082676957372783466126975326915271580219268798828125	0.29345012465037012550084227768820710480213165283203125	-1.8105971337928253	3.6659546846839643	PIK3R1;RAP1GAP
Carbohydrate digestion and absorption_Homo sapiens_hsa04973	1/45	0.1265916471733104786689949605715810321271419525146484375	0.46525140116965857384201399327139370143413543701171875	0.07589607360087378962187898423508158884942531585693359375	0.29345012465037012550084227768820710480213165283203125	-1.6249655500876024	3.3584605173154003	PIK3R1
Type II diabetes mellitus_Homo sapiens_hsa04930	1/48	0.134446776464645256776719861591118387877941131591796875	0.46525140116965857384201399327139370143413543701171875	0.08065744131435755026604539352774736471474170684814453125	0.29345012465037012550084227768820710480213165283203125	-1.6647424275957603	3.3404503009298763	PIK3R1
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.155055750227348354552958653584937565028667449951171875	0.46525140116965857384201399327139370143413543701171875	0.0932446949088244492198640500646433793008327484130859375	0.29345012465037012550084227768820710480213165283203125	-1.7287682018204305	3.2223730122454817	PIK3R1
Endometrial cancer_Homo sapiens_hsa05213	1/52	0.1448123078860499013398310808042879216372966766357421875	0.46525140116965857384201399327139370143413543701171875	0.08697095169414979787259056820403202436864376068115234375	0.29345012465037012550084227768820710480213165283203125	-1.6620302981880997	3.211569072998136	PIK3R1
Acute myeloid leukemia_Homo sapiens_hsa05221	1/57	0.157597700436278909119636182367685250937938690185546875	0.46525140116965857384201399327139370143413543701171875	0.09480694381824095184896350474446080625057220458984375	0.29345012465037012550084227768820710480213165283203125	-1.5881627507401428	2.934463708294687	PIK3R1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	1/56	0.155055750227348354552958653584937565028667449951171875	0.46525140116965857384201399327139370143413543701171875	0.0932446949088244492198640500646433793008327484130859375	0.29345012465037012550084227768820710480213165283203125	-1.5566239531433672	2.901501202730407	PIK3R1
mTOR signaling pathway_Homo sapiens_hsa04150	1/60	0.1651785173841175125009073099136003293097019195556640625	0.46525140116965857384201399327139370143413543701171875	0.0994788988031145848811576115622301585972309112548828125	0.29345012465037012550084227768820710480213165283203125	-1.526754923268449	2.749271051544186	PIK3R1
VEGF signaling pathway_Homo sapiens_hsa04370	1/61	0.167690517826722118588378407366690225899219512939453125	0.46525140116965857384201399327139370143413543701171875	0.10103129834355269178747249725347501225769519805908203125	0.29345012465037012550084227768820710480213165283203125	-1.522685810941276	2.718961312860721	PIK3R1
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.17800725077160028941847258465713821351528167724609375	0.46525140116965857384201399327139370143413543701171875	0.0691617370163920830439252540600136853754520416259765625	0.29345012465037012550084227768820710480213165283203125	-1.564972330505588	2.7010342512987493	GADD45G;DUSP7
Glioma_Homo sapiens_hsa05214	1/65	0.177664404833662581406628078184439800679683685302734375	0.46525140116965857384201399327139370143413543701171875	0.10721639669574982434152587984499405138194561004638671875	0.29345012465037012550084227768820710480213165283203125	-1.5151424633157489	2.6179523511186007	PIK3R1
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.170195085205797902450086667158757336437702178955078125	0.46525140116965857384201399327139370143413543701171875	0.10258124438169795300535014348497497849166393280029296875	0.29345012465037012550084227768820710480213165283203125	-1.4535017095427194	2.5738752748348324	PIK3R1
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	1/64	0.17518200717615695083395621622912585735321044921875	0.46525140116965857384201399327139370143413543701171875	0.1056737900394543461235485892757424153387546539306640625	0.29345012465037012550084227768820710480213165283203125	-1.4487711952252256	2.5236577248928156	PIK3R1
