Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Spliceosome_Homo sapiens_hsa03040	3/134	0.005114820677099848368618584260048010037280619144439697265625	0.112526054896196658905438425790634937584400177001953125	0.00477178275351450471852832180275072460062801837921142578125	0.10497922057731910727707003161413013003766536712646484375	-1.7966192231581692	9.478267619131762	LSM4;CTNNBL1;CHERP
Ribosome_Homo sapiens_hsa03010	2/137	0.049443612312351704896062898342279368080198764801025390625	0.26882594340892940198983751542982645332813262939453125	0.048321000597357298411704817908685072325170040130615234375	0.27061491219293654086897049637627787888050079345703125	-1.721897760125387	5.177612952200609	MRPS16;MRPL15
Calcium signaling pathway_Homo sapiens_hsa04020	2/180	0.0797433625036036708433329067702288739383220672607421875	0.26882594340892940198983751542982645332813262939453125	0.07781089425330954545412254219627357088029384613037109375	0.27061491219293654086897049637627787888050079345703125	-1.8570297362514077	4.696320067350571	P2RX4;PHKA1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	2/180	0.0797433625036036708433329067702288739383220672607421875	0.26882594340892940198983751542982645332813262939453125	0.07781089425330954545412254219627357088029384613037109375	0.27061491219293654086897049637627787888050079345703125	-1.6319639657059408	4.127141839316371	CCNT2;AFF1
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	1/25	0.06304852004812193377869533605917240492999553680419921875	0.26882594340892940198983751542982645332813262939453125	0.06461328108962784144697621968589373864233493804931640625	0.27061491219293654086897049637627787888050079345703125	-1.423327522285156	3.9338647538766995	PIGK
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	1/30	0.07518201092666916551809919155857642181217670440673828125	0.26882594340892940198983751542982645332813262939453125	0.07657799102585684247745945185670279897749423980712890625	0.27061491219293654086897049637627787888050079345703125	-1.463721417595333	3.7878816534086837	DLAT
Pyruvate metabolism_Homo sapiens_hsa00620	1/40	0.09898847792594789307685232415678910911083221435546875	0.26882594340892940198983751542982645332813262939453125	0.10007512762261712435662985853923601098358631134033203125	0.27061491219293654086897049637627787888050079345703125	-1.6008945791335711	3.7024718518509157	DLAT
Basal transcription factors_Homo sapiens_hsa03022	1/45	0.11066527130426266622986730681077460758388042449951171875	0.26882594340892940198983751542982645332813262939453125	0.11161083055152294651879429920882103033363819122314453125	0.27061491219293654086897049637627787888050079345703125	-1.488626013080798	3.276830877068334	TAF12
Proteasome_Homo sapiens_hsa03050	1/44	0.108341848588828060240274453462916426360607147216796875	0.26882594340892940198983751542982645332813262939453125	0.10931492171366720411729289708091528154909610748291015625	0.27061491219293654086897049637627787888050079345703125	-1.3770102697190885	3.060355457471132	PSMB6
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	1/67	0.1603042656627214623821231498368433676660060882568359375	0.309242646267243348479070164103177376091480255126953125	0.160728964755293135535652027101605199277400970458984375	0.30943795225046677455082999586011283099651336669921875	-1.6491735574757824	3.0191117020883724	DLAT
Hedgehog signaling pathway_Homo sapiens_hsa04340	1/50	0.1221936106404224731125651715046842582523822784423828125	0.26882594340892940198983751542982645332813262939453125	0.12300677826951660065457616610729019157588481903076171875	0.27061491219293654086897049637627787888050079345703125	-1.4064615021177533	2.9565909646869923	CSNK1G2
RNA degradation_Homo sapiens_hsa03018	1/77	0.181959195287459685186348679053480736911296844482421875	0.309242646267243348479070164103177376091480255126953125	0.1821971024698380847706147278586286120116710662841796875	0.30943795225046677455082999586011283099651336669921875	-1.5173034529180494	2.5854438415823795	LSM4
TGF-beta signaling pathway_Homo sapiens_hsa04350	1/84	0.1967907748973366788280969785773777402937412261962890625	0.309242646267243348479070164103177376091480255126953125	0.1969150605230242934151618783289450220763683319091796875	0.30943795225046677455082999586011283099651336669921875	-1.4805947519426321	2.4068758102429846	BAMBI
Glucagon signaling pathway_Homo sapiens_hsa04922	1/101	0.231721053693142720053543825997621752321720123291015625	0.3398575454166092857377634572912938892841339111328125	0.23162407934155193611758249971899203956127166748046875	0.339715316367609487802070589168579317629337310791015625	-1.5242611804401165	2.228806685415196	PHKA1
Peroxisome_Homo sapiens_hsa04146	1/83	0.19468823879931373976859276808681897819042205810546875	0.309242646267243348479070164103177376091480255126953125	0.19482792091676326418081544034066610038280487060546875	0.30943795225046677455082999586011283099651336669921875	-1.353346336698723	2.2145560939185964	PEX16
Carbon metabolism_Homo sapiens_hsa01200	1/113	0.255476228477285849383093818687484599649906158447265625	0.351279814156268022085072288973606191575527191162109375	0.25526622373750829098071335465647280216217041015625	0.35099105763907390009848086265265010297298431396484375	-1.3241479118341095	1.806966552994152	DLAT
Wnt signaling pathway_Homo sapiens_hsa04310	1/142	0.309950407965394247877810585123370401561260223388671875	0.378828276402148500512367945702862925827503204345703125	0.309596870290892722810127679622382856905460357666015625	0.3783961747999800007136173007893376052379608154296875	-1.4478038469691186	1.695874856067095	BAMBI
Insulin signaling pathway_Homo sapiens_hsa04910	1/139	0.3045015700764588384430453515960834920406341552734375	0.378828276402148500512367945702862925827503204345703125	0.304155095561677690785273853180115111172199249267578125	0.3783961747999800007136173007893376052379608154296875	-1.3789781201653388	1.6397139732410126	PHKA1
RNA transport_Homo sapiens_hsa03013	1/172	0.36218702178279149617168286567903123795986175537109375	0.419374446274811185642050759270205162465572357177734375	0.361848631520148622531252158296410925686359405517578125	0.418982625970698407957826248093624599277973175048828125	-1.4305783207992453	1.452887568565107	EIF3D
MAPK signaling pathway_Homo sapiens_hsa04010	1/255	0.487328824483344524853833945599035359919071197509765625	0.53606170693167898289033246328472159802913665771484375	0.487639638831997845880295017195749096572399139404296875	0.53640360271519760271274890328641049563884735107421875	-1.5140528322966627	1.0883256724264385	PPP5C
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	1/277	0.516240154896149050500753219239413738250732421875	0.54082301941501331743467062551644630730152130126953125	0.51682293771647136448876835856935940682888031005859375	0.54143355379820812256497220005257986485958099365234375	-1.4102120216323553	0.9324085046265	P2RX4
Metabolic pathways_Homo sapiens_hsa01100	2/1239	0.84093589072155328079105629512923769652843475341796875	0.84093589072155328079105629512923769652843475341796875	0.8531702624828587655514411380863748490810394287109375	0.85317026248285887657374360060202889144420623779296875	-1.490097335802199	0.2581442415245302	PIGK;DLAT
