Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	2/83	0.0249885895174383997063838336316621280275285243988037109375	0.44216903267764384732885218909359537065029144287109375	0.01554956541770571333549444403843153850175440311431884765625	0.362748037505950804426646527645061723887920379638671875	-1.8504502505670608	6.826932684189675	PRKAB2;TPM2
Lysosome_Homo sapiens_hsa04142	2/123	0.051140111527624702858485505885255406610667705535888671875	0.44216903267764384732885218909359537065029144287109375	0.032018969509673207707312059255855274386703968048095703125	0.362748037505950804426646527645061723887920379638671875	-1.7494928031817227	5.2015677339664	PLA2G15;AP4S1
Histidine metabolism_Homo sapiens_hsa00340	1/24	0.06848734027738816176889002917960169725120067596435546875	0.44216903267764384732885218909359537065029144287109375	0.055494722834358863050585597420649719424545764923095703125	0.362748037505950804426646527645061723887920379638671875	-1.6748641693935444	4.490488983836856	AMDHD1
Vitamin digestion and absorption_Homo sapiens_hsa04977	1/24	0.06848734027738816176889002917960169725120067596435546875	0.44216903267764384732885218909359537065029144287109375	0.055494722834358863050585597420649719424545764923095703125	0.362748037505950804426646527645061723887920379638671875	-1.5507422796955663	4.157704995423274	SLC5A6
Mismatch repair_Homo sapiens_hsa03430	1/23	0.0657280649001548977761189007651410065591335296630859375	0.44216903267764384732885218909359537065029144287109375	0.0533315272378907245798274061598931439220905303955078125	0.362748037505950804426646527645061723887920379638671875	-1.4999719292338292	4.083267500845813	POLD4
Circadian rhythm_Homo sapiens_hsa04710	1/30	0.0848755486721401719574231492515536956489086151123046875	0.44216903267764384732885218909359537065029144287109375	0.0683768903433985275608364418076234869658946990966796875	0.362748037505950804426646527645061723887920379638671875	-1.5006559493431526	3.701471787442232	PRKAB2
DNA replication_Homo sapiens_hsa03030	1/36	0.10098023956550326862835476049440330825746059417724609375	0.44216903267764384732885218909359537065029144287109375	0.08109419774687050275208122229742002673447132110595703125	0.362748037505950804426646527645061723887920379638671875	-1.4741009947788215	3.3798636164672837	POLD4
Homologous recombination_Homo sapiens_hsa03440	1/29	0.08216400073044725915760722045888542197644710540771484375	0.44216903267764384732885218909359537065029144287109375	0.06624136459138370291999109440439497120678424835205078125	0.362748037505950804426646527645061723887920379638671875	-1.2776861076247714	3.1929861607910586	POLD4
Acute myeloid leukemia_Homo sapiens_hsa05221	1/57	0.1551828477412658113809840187968802638351917266845703125	0.44216903267764384732885218909359537065029144287109375	0.1243347572680146007062518265229300595819950103759765625	0.362748037505950804426646527645061723887920379638671875	-1.629388828785314	3.035797742609886	STAT5B
Nucleotide excision repair_Homo sapiens_hsa03420	1/47	0.129785094292943659066708050886518321931362152099609375	0.44216903267764384732885218909359537065029144287109375	0.1039876083976662146657332641552784480154514312744140625	0.362748037505950804426646527645061723887920379638671875	-1.4628661766589133	2.9869903385773413	POLD4
Base excision repair_Homo sapiens_hsa03410	1/33	0.09296303054578503033411607248126529157161712646484375	0.44216903267764384732885218909359537065029144287109375	0.07475602786505551600182428728658123873174190521240234375	0.362748037505950804426646527645061723887920379638671875	-1.2421597007167353	2.9508166828343327	POLD4
