Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	219/397	0.00000000882100364129769802845862001171306499003321732743643224239349365234375	0.000001274635026167517328716323639359320196717817452736198902130126953125	0.000000549611554389923340628349053560430803599956561811268329620361328125	0.0001588377392186878325243404308508843314484693109989166259765625	-2.0830857455542535	38.633179417049256	RB1;CBLC;CBLB;FZD10;CRKL;EDNRB;MYC;AKT2;RASSF5;AKT1;PRKACB;PRKCB;DAPK2;PRKCA;RUNX1;BCR;ADCY9;CTBP2;CTBP1;EPAS1;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;HIF1A;PLCG2;PLCG1;RALGDS;FZD1;STAT5A;WNT10B;STAT5B;CREBBP;WNT10A;FZD3;JUN;FZD2;FZD5;JUP;FZD7;FZD6;FZD9;FN1;BRAF;IGF1;GNG12;GNG11;PTK2;RET;CDKN1A;CDKN1B;IKBKB;GNGT2;MECOM;SUFU;IKBKG;RAC1;HRAS;APPL1;JAK1;APC2;WNT9A;FOS;PLCB4;KIT;RARA;CKS2;PPARG;ARHGEF1;PPARD;PTGER4;ADCY3;XIAP;ADCY2;ADCY8;ADCY6;EGFR;GNAI1;RELA;ADCY5;RXRA;CTNNA1;CTNNA3;RUNX1T1;EGLN1;CDKN2B;EGLN2;CDKN2A;STAT1;STAT3;WNT7A;VEGFC;MLH1;VEGFA;CTNNB1;CSF3R;ITGA2B;FGF2;ETS1;IGF1R;CCND1;EP300;PDGFRA;RALBP1;WNT5B;TPM3;F2R;WNT5A;PGF;PIAS2;RBX1;MSH2;SMO;CCNE2;MSH3;CCNE1;COL4A4;COL4A3;RAF1;MAX;CUL2;RASGRP2;PLD1;RASGRP1;FOXO1;TPR;DVL2;WNT1;WNT2;SMAD2;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;PTCH1;ZBTB16;NFKB1;BMP2;CDK6;CDK4;GNAQ;GNB2;CDK2;FGF18;GNB1;MDM2;BCL2;GNAS;CYCS;FGF12;FGFR3;FGFR2;BCL2L1;FGFR1;ITGB1;GSK3B;WNT2B;FLT3;PTEN;SLC2A1;PIK3CD;PIK3CB;LAMC1;CKS1B;CASP9;CASP8;BDKRB2;ITGAV;ARHGEF12;ITGA3;ITGA2;PLEKHG5;MMP2;AXIN1;ARNT;TRAF2;AXIN2;TGFBR1;TGFBR2;TRAF4;TRAF3;TRAF6;TRAF5;BIRC5;ITGA6;SOS1;SOS2;BIRC2;CEBPA;RALA;ROCK1;ROCK2;HDAC1;LEF1;CBL;GNA13;MAPK9;MAPK8;WNT11;GNG5;GNG7;GNA11;GNA12;E2F1;GNG8;E2F2;MAPK1;E2F3;VHL;MAPK3;TCF7L2;LAMB3;BAD;MTOR;PML;APC;KRAS
Chronic myeloid leukemia_Homo sapiens_hsa05220	55/73	0.0000000028667193740716729923692052367338589657919101227889768779277801513671875	0.000000828481899106713522918841140219026186741757555864751338958740234375	0.000053326417072093967278352544258979150981758721172809600830078125	0.00513711151127838570873418433393453597091138362884521484375	-1.9376702113005864	38.11416204931057	RB1;CDKN1A;CDKN1B;CBLC;PIK3CD;CBLB;PIK3CB;CRKL;IKBKB;MECOM;CCND1;MYC;AKT2;AKT1;IKBKG;HRAS;GAB2;TGFBR1;RUNX1;TGFBR2;BCR;SOS1;RAF1;SOS2;SHC4;CTBP2;SHC1;HDAC1;CTBP1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;E2F1;E2F2;MAPK1;E2F3;MAPK3;STAT5A;STAT5B;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;BAD;CDKN2A;BRAF;NFKB1;CDK6;CDK4;MDM2;KRAS;BCL2L1
Hippo signaling pathway_Homo sapiens_hsa04390	97/153	0.0000000208297720730311694843826472202386046461697333143092691898345947265625	0.00000200660137636866928729085894633765718708673375658690929412841796875	0.0000197663252841273181441110462497334765430423431098461151123046875	0.002856234003556397393897015035690856166183948516845703125	-1.6883657689571019	29.861927013051158	WWC1;SERPINE1;PPP2R2A;FZD10;ACTB;AMOT;ACTG1;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;PPP2R1B;PPP2R1A;MYC;RASSF6;BTRC;PRKCI;WNT5B;WNT5A;CSNK1D;CSNK1E;FRMD6;PARD3;AJUBA;LLGL2;SAV1;DVL2;WNT1;WNT2;SMAD2;FZD1;WWTR1;WNT10B;TGFB2;SMAD4;WNT10A;FZD3;TGFB1;SMAD3;FZD2;FZD5;TGFB3;FZD7;FZD6;FZD9;GDF5;BMP7;BMP6;SMAD7;MOB1B;MOB1A;DLG1;BMP2;DLG3;ID2;NF2;BMPR1A;GSK3B;WNT2B;BMPR2;YWHAB;LIMD1;AREG;BBC3;YWHAQ;YWHAG;TEAD2;TEAD3;YWHAH;TEAD4;APC2;AXIN1;AXIN2;WNT9A;YWHAZ;TGFBR1;TGFBR2;LATS1;LATS2;BIRC5;BIRC2;YAP1;CRB2;LEF1;PPP2CB;PARD6B;WNT11;CTNNA1;CTNNA3;TCF7L2;BMP8A;WNT7A;WTIP;APC;PPP2R2D;CTNNB1
Colorectal cancer_Homo sapiens_hsa05210	45/62	0.0000005051101198972477167946208177762290603141082101501524448394775390625	0.0000291953649300609157225643019994976157249766401946544647216796875	0.0004395394214353204732741164928455646077054552733898162841796875	0.0161853350205388261950911754638582351617515087127685546875	-1.8475011636470107	26.78597598633728	GSK3B;LEF1;PIK3R3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;CASP9;MAPK9;MAPK8;CCND1;MYC;AKT2;AKT1;MAPK1;RAC1;RALGDS;MAPK3;APPL1;SMAD2;APC2;TCF7L2;TGFB2;JUN;SMAD4;TGFB1;SMAD3;TGFB3;BAD;AXIN1;BRAF;AXIN2;FOS;MLH1;TGFBR1;TGFBR2;MSH2;APC;MSH3;BCL2;CYCS;BIRC5;CTNNB1;KRAS;RAF1
Pancreatic cancer_Homo sapiens_hsa05212	47/66	0.000000708661779546203096926087865170540425197032163850963115692138671875	0.0000341338757148087869135698324551952964611700735986232757568359375	0.0004480369555858498332480410741851528655388392508029937744140625	0.0161853350205388261950911754638582351617515087127685546875	-1.826072628588793	25.8569829200003	RB1;RALA;PIK3R3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PLD1;RELA;EGFR;CASP9;IKBKB;MAPK9;MAPK8;CCND1;AKT2;E2F1;AKT1;E2F2;MAPK1;E2F3;RAC1;IKBKG;RALGDS;MAPK3;JAK1;SMAD2;RALBP1;TGFB2;SMAD4;TGFB1;SMAD3;TGFB3;BAD;CDKN2A;STAT1;STAT3;BRAF;TGFBR1;NFKB1;TGFBR2;VEGFA;CDK6;CDK4;KRAS;RAF1;BCL2L1
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	88/142	0.000000409951818229994874724403559895780091437700320966541767120361328125	0.0000291953649300609157225643019994976157249766401946544647216796875	0.000085606724103752551181811814018374207080341875553131103515625	0.006185085816496121470520197505038595409132540225982666015625	-1.7539688099293222	25.796016036543268	GSK3B;WNT2B;BMPR2;RIF1;PIK3CD;FZD10;PIK3CB;BMI1;FGF2;IGF1R;MYC;AKT2;AKT1;JARID2;JAK2;HRAS;JAK3;JAK1;ACVR1;APC2;WNT5B;WNT5A;AXIN1;LIFR;PAX6;AXIN2;WNT9A;KAT6A;RAF1;DLX5;PIK3R3;PIK3R2;PIK3R1;WNT11;ACVR1C;DVL2;PCGF1;MAPK1;OTX1;WNT1;SKIL;WNT2;MAPK3;SMAD2;FZD1;WNT10B;PCGF6;SMAD4;WNT10A;FZD3;ZFHX3;SMAD3;FZD2;FZD5;PCGF5;FZD7;PCGF2;PCGF3;ESRRB;FZD6;STAT3;FZD9;LIF;WNT7A;INHBB;INHBA;IGF1;MAPK14;KLF4;SMAD5;ACVR2B;MAPK12;ACVR2A;TBX3;INHBE;BMP2;MEIS1;REST;APC;ID2;ID4;ID3;CTNNB1;KRAS;FGFR3;FGFR2;FGFR1;BMPR1A
Proteoglycans in cancer_Homo sapiens_hsa05205	115/203	0.000005369566253847504419018099586224934682832099497318267822265625	0.00020345912223094416164566322624551730768871493637561798095703125	0.00012972097646059654158477714158692606361000798642635345458984375	0.007497872439422480217441346894702292047441005706787109375	-1.8580379717882085	22.546851221947318	CBLC;CBLB;FZD10;FGF2;ACTB;ACTG1;IGF1R;PPP1CB;PPP1CC;CCND1;MYC;AKT2;AKT1;PRKACB;WNT5B;PRKCB;WNT5A;RPS6;FRS2;PRKCA;ANK3;ANK1;TIAM1;SMO;RAF1;DDX5;PXN;ITPR1;TWIST1;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;HIF1A;RRAS;PLCG2;PLCG1;WNT1;WNT2;FZD1;SMAD2;WNT10B;WNT10A;FZD3;TGFB2;FZD2;TGFB1;FZD5;FZD7;PTCH1;FZD6;RDX;FZD9;IGF2;FN1;BRAF;IGF1;PTK2;MDM2;SDC1;FGFR1;ITGB1;CDKN1A;WNT2B;ITGB5;HSPB2;PIK3CD;PIK3CB;CTSL;ITGAV;RAC1;HRAS;ARHGEF12;PPP1R12A;MMP2;ITGA2;PLAUR;RRAS2;WNT9A;VAV2;MRAS;CTTN;ARHGEF1;PPP1R12B;SOS1;PPP1R12C;SOS2;CD44;HBEGF;ROCK1;ROCK2;SRC;CBL;EGFR;PAK1;WNT11;ERBB3;ERBB4;GPC1;DROSHA;MAPK1;EIF4B;MAPK3;STAT3;WNT7A;MAPK14;MAPK12;MTOR;VEGFA;TFAP4;RPS6KB1;CTNNB1;PTPN6;KRAS
mTOR signaling pathway_Homo sapiens_hsa04150	42/60	0.0000056320864285382463872695925355404966694550239481031894683837890625	0.00020345912223094416164566322624551730768871493637561798095703125	0.00111996959487841211099146132568193934275768697261810302734375	0.0229642886458918775438586834525267477147281169891357421875	-1.7180912964938704	20.76662206271802	PRKAA2;CAB39;CAB39L;IRS1;PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;HIF1A;IKBKB;RPTOR;RPS6KA3;STK11;AKT2;RPS6KA2;RPS6KA1;MLST8;AKT1;MAPK1;RICTOR;EIF4E;EIF4B;MAPK3;PRKCB;RPS6;BRAF;PRKCA;IGF1;MTOR;VEGFA;RRAGA;RRAGC;RPS6KB1;RRAGB;RHEB;EIF4E1B;RRAGD;AKT1S1;ULK2;EIF4E2
Acute myeloid leukemia_Homo sapiens_hsa05221	40/57	0.000008524676322282134145898700727794761178301996551454067230224609375	0.000273736828571059646365848383453567294054664671421051025390625	0.00140518311447335631121646759567056506057269871234893798828125	0.0229642886458918775438586834525267477147281169891357421875	-1.7118409848756564	19.981541790847874	CEBPA;FLT3;LEF1;PIK3R3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;RELA;IKBKB;CCND1;MYC;AKT2;PIM1;AKT1;MAPK1;IKBKG;HRAS;RUNX1T1;MAPK3;STAT5A;STAT5B;TCF7L2;JUP;BAD;ZBTB16;STAT3;BRAF;PML;NFKB1;MTOR;RUNX1;RPS6KB1;KIT;RARA;KRAS;SOS1;RAF1;SOS2;PPARD
TGF-beta signaling pathway_Homo sapiens_hsa04350	54/84	0.00001509135686072738175467385091099714600204606540501117706298828125	0.0004361402132750212957794377910403227360802702605724334716796875	0.00102902905138411819574439931557208183221518993377685546875	0.0229642886458918775438586834525267477147281169891357421875	-1.60180100843356	17.782215088244726	BMPR2;PPP2R1B;PPP2R1A;MYC;EP300;PITX2;ACVR1;TGIF1;LEFTY1;TGIF2;FST;NOG;TGFBR1;TGFBR2;RBX1;RBL1;TFDP1;ROCK1;CHRD;CUL1;PPP2CB;ACVR1C;MAPK1;E2F5;MAPK3;SMAD2;TGFB2;CREBBP;SMAD4;CDKN2B;TGFB1;SMAD3;SMURF2;TGFB3;SMURF1;BMP8A;INHBB;INHBA;SMAD6;ACVR2B;BMP7;SMAD5;GDF5;ACVR2A;BMP6;INHBE;SMAD7;BMP2;RPS6KB1;SP1;ID2;ID4;ID3;BMPR1A
