Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glutathione metabolism_Homo sapiens_hsa00480	5/52	0.0216917793826374057097883252254177932627499103546142578125	0.99999804036770190140970271386322565376758575439453125	0.018510979932444070195085572549942298792302608489990234375	0.993666840238910165084007530822418630123138427734375	-1.8474082295819128	7.077091942000498	GGT5;MGST1;GSTT1;GCLM;GGT1
Cyanoamino acid metabolism_Homo sapiens_hsa00460	2/7	0.0180011398180847555228201173349589225836098194122314453125	0.99999804036770190140970271386322565376758575439453125	0.0231471955810436495759585540099578793160617351531982421875	0.993666840238910165084007530822418630123138427734375	-1.4655656357976896	5.887646432916398	GGT5;GGT1
Fatty acid elongation_Homo sapiens_hsa00062	3/25	0.040606936392320470974315327339354553259909152984619140625	0.99999804036770190140970271386322565376758575439453125	0.038921639955589233672572646582921152003109455108642578125	0.993666840238910165084007530822418630123138427734375	-1.4120785019224928	4.524040234115452	HADHB;HADHA;ACOT7
Notch signaling pathway_Homo sapiens_hsa04330	4/48	0.060087580425466240174880994118211674503982067108154296875	0.99999804036770190140970271386322565376758575439453125	0.051416823684508054792541287270069005899131298065185546875	0.993666840238910165084007530822418630123138427734375	-1.5445591006881318	4.343226218014643	NCOR2;LFNG;NOTCH1;CTBP1
Tight junction_Homo sapiens_hsa04530	8/139	0.0664054455818624267404715055818087421357631683349609375	0.99999804036770190140970271386322565376758575439453125	0.045665843152160275064677108503019553609192371368408203125	0.993666840238910165084007530822418630123138427734375	-1.5542965636945332	4.215215310377501	TJP1;CLDN3;PRKCE;SHROOM3;MPP5;MYH10;TJP3;LLGL2
Dorso-ventral axis formation_Homo sapiens_hsa04320	3/27	0.04937523290091194727580159451463259756565093994140625	0.99999804036770190140970271386322565376758575439453125	0.04639091458944662182961593543950584717094898223876953125	0.993666840238910165084007530822418630123138427734375	-1.3818136995605446	4.156918911416893	PIWIL1;CPEB1;NOTCH1
Taurine and hypotaurine metabolism_Homo sapiens_hsa00430	2/11	0.043458467876615447522681279224343597888946533203125	0.99999804036770190140970271386322565376758575439453125	0.04672733063422253307894749241313547827303409576416015625	0.993666840238910165084007530822418630123138427734375	-1.0860527048963073	3.405806500340045	GGT5;GGT1
Peroxisome_Homo sapiens_hsa04146	5/83	0.11348854407103210750751287605453399010002613067626953125	0.99999804036770190140970271386322565376758575439453125	0.08957888117213320955389832533910521306097507476806640625	0.993666840238910165084007530822418630123138427734375	-1.5064029410900126	3.27801321227823	PEX11A;HSD17B4;MLYCD;CRAT;XDH
Fatty acid degradation_Homo sapiens_hsa00071	3/44	0.153695796760174030470835759842884726822376251220703125	0.99999804036770190140970271386322565376758575439453125	0.133635499506485067033878522124723531305789947509765625	0.993666840238910165084007530822418630123138427734375	-1.4387775248671102	2.6945137382742637	HADHB;HADHA;ACSBG2
Sphingolipid signaling pathway_Homo sapiens_hsa04071	6/120	0.166684822961997880508278058186988346278667449951171875	0.99999804036770190140970271386322565376758575439453125	0.1261398978507803914084206553525291383266448974609375	0.993666840238910165084007530822418630123138427734375	-1.4926696705888387	2.6743424174552857	CERS4;PRKCE;GNA12;BAX;GAB2;NSMAF
Purine metabolism_Homo sapiens_hsa00230	8/176	0.1780409368466617792137185460887849330902099609375	0.99999804036770190140970271386322565376758575439453125	0.1256457521530236487450338245253078639507293701171875	0.993666840238910165084007530822418630123138427734375	-1.4439157892597916	2.491825793999411	CANT1;PDE1C;GUK1;ADK;POLR1D;PDE8B;XDH;HDDC3
Adipocytokine signaling pathway_Homo sapiens_hsa04920	4/70	0.169857433593212980849074256184394471347332000732421875	0.99999804036770190140970271386322565376758575439453125	0.139918463225820577378044617944397032260894775390625	0.993666840238910165084007530822418630123138427734375	-1.3872581098541257	2.45932537799098	STK11;ADIPOR2;ACSBG2;CAMKK1
Chronic myeloid leukemia_Homo sapiens_hsa05220	4/73	0.18830557062186714656348840435384772717952728271484375	0.99999804036770190140970271386322565376758575439453125	0.154992823835860826786614552474929951131343841552734375	0.993666840238910165084007530822418630123138427734375	-1.3809585397687407	2.305771642353516	SMAD3;CDKN1B;CTBP1;GAB2
Choline metabolism in cancer_Homo sapiens_hsa05231	5/101	0.201710696733462258034563774344860576093196868896484375	0.99999804036770190140970271386322565376758575439453125	0.15930373793342023081009983798139728605747222900390625	0.993666840238910165084007530822418630123138427734375	-1.4057525105428392	2.250498437351424	SLC22A3;SLC44A3;CHKA;PDGFA;PIP5K1C
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	9/214	0.2170391296603756681182773036198341287672519683837890625	0.99999804036770190140970271386322565376758575439453125	0.150312136918340943925187502827611751854419708251953125	0.993666840238910165084007530822418630123138427734375	-1.401533393746362	2.141091200264813	CYFIP2;FGF8;PXN;GNA12;PDGFA;PIP5K1C;MYH10;VAV1;BCAR1
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	3/48	0.18411177805433387444367099305964075028896331787109375	0.99999804036770190140970271386322565376758575439453125	0.1591343800735004199164990268400288186967372894287109375	0.993666840238910165084007530822418630123138427734375	-1.2259538581319236	2.074574095466724	HADHB;HADHA;ACSF3
Adherens junction_Homo sapiens_hsa04520	4/74	0.1945929568521642394340886994541506282985210418701171875	0.99999804036770190140970271386322565376758575439453125	0.160149038690553913166780830579227767884731292724609375	0.993666840238910165084007530822418630123138427734375	-1.2655732350757296	2.0715476052261494	TJP1;SMAD3;LMO7;PTPRJ
Fatty acid metabolism_Homo sapiens_hsa01212	3/48	0.18411177805433387444367099305964075028896331787109375	0.99999804036770190140970271386322565376758575439453125	0.1591343800735004199164990268400288186967372894287109375	0.993666840238910165084007530822418630123138427734375	-1.1668396824693725	1.9745403652484688	HADHB;HADHA;ACSBG2
Pyrimidine metabolism_Homo sapiens_hsa00240	5/105	0.2238560294319466847934307907053153030574321746826171875	0.99999804036770190140970271386322565376758575439453125	0.1771774302874562778686851061138440854847431182861328125	0.993666840238910165084007530822418630123138427734375	-1.1888972960333999	1.7794845952784362	CANT1;POLR1D;CMPK2;UPRT;UCKL1
Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040	2/23	0.1574249060832094426753968718912801705300807952880859375	0.99999804036770190140970271386322565376758575439453125	0.1459380721031104943818945685052312910556793212890625	0.993666840238910165084007530822418630123138427734375	-0.8600914675737996	1.5901428860874744	HADHA;ACOT7
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	7/169	0.267243953969099112821794506089645437896251678466796875	0.99999804036770190140970271386322565376758575439453125	0.199529096219132229261816746657132171094417572021484375	0.993666840238910165084007530822418630123138427734375	-1.145859874638976	1.512069073425016	ERLEC1;HSPA4L;STT3A;BAX;FBXO6;PDIA6;SVIP
Vitamin digestion and absorption_Homo sapiens_hsa04977	2/24	0.16841379154151081554147140195709653198719024658203125	0.99999804036770190140970271386322565376758575439453125	0.155422692687103902731138305171043612062931060791015625	0.993666840238910165084007530822418630123138427734375	-0.8374133018219322	1.4917105113461289	SLC52A3;LRAT
Mineral absorption_Homo sapiens_hsa04978	3/51	0.2078708755460614010512898630622657947242259979248046875	0.99999804036770190140970271386322565376758575439453125	0.179154168843586203418993818559101782739162445068359375	0.993666840238910165084007530822418630123138427734375	-0.8984332363548235	1.411293232268444	FTH1;SLC40A1;ATP1B1
Phospholipase D signaling pathway_Homo sapiens_hsa04072	6/144	0.28538674048417134176958143143565393984317779541015625	0.99999804036770190140970271386322565376758575439453125	0.220556307173949639466314920355216600000858306884765625	0.993666840238910165084007530822418630123138427734375	-1.1066286919363102	1.3876128212064482	AVPR2;KIT;GNA12;PDGFA;PIP5K1C;GAB2
Viral carcinogenesis_Homo sapiens_hsa05203	8/205	0.299655230743934464232580694442731328308582305908203125	0.99999804036770190140970271386322565376758575439453125	0.2195248008825525232179387558062444441020488739013671875	0.993666840238910165084007530822418630123138427734375	-1.0920066062911056	1.3160019454797427	EGR2;CDKN1B;IRF3;TRAF3;PXN;BAX;HIST1H2BA;HDAC7
Small cell lung cancer_Homo sapiens_hsa05222	4/86	0.274193870899595404377890872638090513646602630615234375	0.99999804036770190140970271386322565376758575439453125	0.226339840160981353722746689527411945164203643798828125	0.993666840238910165084007530822418630123138427734375	-0.9500010485562889	1.2292252282769491	CDKN1B;TRAF4;TRAF3;TRAF6
Salmonella infection_Homo sapiens_hsa05132	4/86	0.274193870899595404377890872638090513646602630615234375	0.99999804036770190140970271386322565376758575439453125	0.226339840160981353722746689527411945164203643798828125	0.993666840238910165084007530822418630123138427734375	-0.8614455749755043	1.1146415418768774	TJP1;PKN1;KLC1;MYH10
Hematopoietic cell lineage_Homo sapiens_hsa04640	4/88	0.28800232888410814968693784976494498550891876220703125	0.99999804036770190140970271386322565376758575439453125	0.2380074407908120137644658598219393752515316009521484375	0.993666840238910165084007530822418630123138427734375	-0.851376176566335	1.059781751908167	KIT;CD9;DNTT;IL9R
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	3/57	0.25713382444773713597641062733600847423076629638671875	0.99999804036770190140970271386322565376758575439453125	0.221013409969411267486094629930448718369007110595703125	0.993666840238910165084007530822418630123138427734375	-0.7753643583834725	1.053067780712676	TRAF6;CARD9;TAB3
Pathways in cancer_Homo sapiens_hsa05200	14/397	0.34268478216299680383372106007300317287445068359375	0.99999804036770190140970271386322565376758575439453125	0.22240513835628927807874788413755595684051513671875	0.993666840238910165084007530822418630123138427734375	-0.9085760003418343	0.9730342494306579	CEBPA;CDKN1B;SMAD3;CTBP1;EPAS1;PDGFA;WNT9A;FGF8;TRAF4;TRAF3;TRAF6;KIT;GNA12;BAX
Leukocyte transendothelial migration_Homo sapiens_hsa04670	5/118	0.299950582008613242379624352906830608844757080078125	0.99999804036770190140970271386322565376758575439453125	0.2398655540212721593018585508616524748504161834716796875	0.993666840238910165084007530822418630123138427734375	-0.8032050944741429	0.9671694102163418	CLDN3;PXN;VAV1;BCAR1;SIPA1
