Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Notch signaling pathway_Homo sapiens_hsa04330	6/48	0.0022178493079184420817828726768539127078838646411895751953125	0.451639714377096657127452772328979335725307464599609375	0.0024039711567314134103845457701709165121428668498992919921875	0.354684216217694581185781999010941945016384124755859375	-1.7708801411372317	10.82223341298096	NCOR2;DLL4;LFNG;JAG1;APH1B;NOTCH4
Choline metabolism in cancer_Homo sapiens_hsa05231	8/101	0.00784956053397752907818674117379487142898142337799072265625	0.451639714377096657127452772328979335725307464599609375	0.006625101817908589374450656350745703093707561492919921875	0.354684216217694581185781999010941945016384124755859375	-1.887908393892521	9.151254075349426	JUN;CHKB;SLC44A1;RHEB;PDGFC;GRB2;PIK3R1;SOS2
Renal cell carcinoma_Homo sapiens_hsa05211	6/66	0.010738689616228695722366381914980593137443065643310546875	0.451639714377096657127452772328979335725307464599609375	0.00996996783097128976003364897451319848187267780303955078125	0.354684216217694581185781999010941945016384124755859375	-1.8119928211441714	8.215398250867006	JUN;EGLN2;GRB2;PIK3R1;SOS2;ETS1
Prostate cancer_Homo sapiens_hsa05215	7/89	0.01299473520038574476942461188855304499156773090362548828125	0.451639714377096657127452772328979335725307464599609375	0.0112343416901532211493730528673040680587291717529296875	0.354684216217694581185781999010941945016384124755859375	-1.8656196335226347	8.102779691995371	CDKN1A;CCND1;PDGFC;GRB2;PIK3R1;SOS2;FGFR2
Dorso-ventral axis formation_Homo sapiens_hsa04320	4/27	0.006599458419019889852952243103345608687959611415863037109375	0.451639714377096657127452772328979335725307464599609375	0.007594555254217739970190592657672823406755924224853515625	0.354684216217694581185781999010941945016384124755859375	-1.5646231081947333	7.855609150280163	NOTCH4;GRB2;SOS2;ETS1
Pathways in cancer_Homo sapiens_hsa05200	19/397	0.0183925675538184167645550104452922823838889598846435546875	0.451639714377096657127452772328979335725307464599609375	0.009749924094965993492944988929593819193542003631591796875	0.354684216217694581185781999010941945016384124755859375	-1.896231922452278	7.576979886406208	FZD3;JUN;CDKN1A;EGLN2;LAMB3;PTGER3;CXCR4;PIK3R1;FGF1;ETS1;BCR;CCND1;SUFU;GRB2;SOS2;FGFR3;FGFR2;BIRC3;RUNX1T1
FoxO signaling pathway_Homo sapiens_hsa04068	9/133	0.01330747669384302854511670233250697492621839046478271484375	0.451639714377096657127452772328979335725307464599609375	0.01040080260951405620450938016574582434259355068206787109375	0.354684216217694581185781999010941945016384124755859375	-1.6991849914275128	7.339509343403327	STK11;CDKN1A;CCND1;PLK2;GRB2;FOXO4;CSNK1E;PIK3R1;SOS2
B cell receptor signaling pathway_Homo sapiens_hsa04662	6/73	0.017079251749435399310161898256410495378077030181884765625	0.451639714377096657127452772328979335725307464599609375	0.01532939662068649212811610738071976811625063419342041015625	0.376421850352412767914955793457920663058757781982421875	-1.7955479806741634	7.307684387350755	JUN;PPP3CB;CD81;GRB2;PIK3R1;SOS2
Chronic myeloid leukemia_Homo sapiens_hsa05220	6/73	0.017079251749435399310161898256410495378077030181884765625	0.451639714377096657127452772328979335725307464599609375	0.01532939662068649212811610738071976811625063419342041015625	0.376421850352412767914955793457920663058757781982421875	-1.708435993611003	6.953148103907333	BCR;CDKN1A;CCND1;GRB2;PIK3R1;SOS2
Acute myeloid leukemia_Homo sapiens_hsa05221	5/57	0.0221725336459874140804249265102043864317238330841064453125	0.49001299357632188691269448099774308502674102783203125	0.020698428697220376537568853336779284290969371795654296875	0.450471795428915522396806636606925167143344879150390625	-1.6706149068304852	6.363206754576378	CCND1;GRB2;PIK3R1;SOS2;RUNX1T1
Viral carcinogenesis_Homo sapiens_hsa05203	11/205	0.0317135581652205900127228233031928539276123046875	0.5391304888087500302162879961542785167694091796875	0.0224216730756473768548797664834637544117867946624755859375	0.450471795428915522396806636606925167143344879150390625	-1.6770848959236768	5.78763840224041	POLB;VAC14;SP100;EGR2;JUN;CDKN1A;PKM;CCND1;GRB2;PIK3R1;GTF2H3
Glioma_Homo sapiens_hsa05214	5/65	0.036494792389100312590688446334752370603382587432861328125	0.5391821138704833149546402637497521936893463134765625	0.03293009572652182137542098416815861128270626068115234375	0.50504969121035692136700845367158763110637664794921875	-1.6322094209609266	5.403569173080295	CDKN1A;CCND1;GRB2;PIK3R1;SOS2
