Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Adherens junction_Homo sapiens_hsa04520	2/74	0.030733523104068134756960972708839108236134052276611328125	0.51673898577397270326372336057829670608043670654296875	0.0272730201893346645147797602248829207383096218109130859375	0.479574570770856467571974235397647134959697723388671875	-1.8372210489867478	6.397940900214795	FARP2;EP300
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	3/180	0.029169304847074924158523145933941123075783252716064453125	0.51673898577397270326372336057829670608043670654296875	0.0234624206966150307407392716640970320440828800201416015625	0.479574570770856467571974235397647134959697723388671875	-1.7497417742635846	6.184704336750795	CDKN1B;SIX4;DUSP6
Prostate cancer_Homo sapiens_hsa05215	2/89	0.043014099660511041778310215022429474629461765289306640625	0.51673898577397270326372336057829670608043670654296875	0.037994547449393088756064429389880388043820858001708984375	0.479574570770856467571974235397647134959697723388671875	-1.9266904706081152	6.061806191869049	CDKN1B;EP300
Glucagon signaling pathway_Homo sapiens_hsa04922	2/101	0.053932575455795196683883574451101594604551792144775390625	0.51673898577397270326372336057829670608043670654296875	0.0475514245482742403670073372268234379589557647705078125	0.479574570770856467571974235397647134959697723388671875	-1.8323813578032027	5.350591339770673	CPT1A;EP300
HIF-1 signaling pathway_Homo sapiens_hsa04066	2/103	0.05583886330559517663374435869627632200717926025390625	0.51673898577397270326372336057829670608043670654296875	0.049222742134958717696857632972751162014901638031005859375	0.479574570770856467571974235397647134959697723388671875	-1.7357723300005499	5.008198174415339	CDKN1B;EP300
Cell cycle_Homo sapiens_hsa04110	2/124	0.0771926685768599407655443656040006317198276519775390625	0.51673898577397270326372336057829670608043670654296875	0.06800513144114568586662272764442604966461658477783203125	0.479574570770856467571974235397647134959697723388671875	-1.6067992434143796	4.1157371963673315	CDKN1B;EP300
FoxO signaling pathway_Homo sapiens_hsa04068	2/133	0.08701777658128072301391142673310241661965847015380859375	0.51673898577397270326372336057829670608043670654296875	0.076685857222147213452245750886504538357257843017578125	0.479574570770856467571974235397647134959697723388671875	-1.6483565765698018	4.024698053848599	CDKN1B;EP300
Hepatitis B_Homo sapiens_hsa05161	2/146	0.10182390276674378737364889957461855374276638031005859375	0.51673898577397270326372336057829670608043670654296875	0.08981453206428542668238179658146691508591175079345703125	0.479574570770856467571974235397647134959697723388671875	-1.7069645530675606	3.8995782759321425	CDKN1B;EP300
Protein export_Homo sapiens_hsa03060	1/23	0.08176767089902230167819396910999785177409648895263671875	0.51673898577397270326372336057829670608043670654296875	0.07887785643619303621587590669150813482701778411865234375	0.479574570770856467571974235397647134959697723388671875	-1.1639473486163436	2.9143767292851974	SEC11C
Epstein-Barr virus infection_Homo sapiens_hsa05169	2/202	0.171805197368401996182996072093374095857143402099609375	0.51673898577397270326372336057829670608043670654296875	0.1526331419565577773855835630456567741930484771728515625	0.479574570770856467571974235397647134959697723388671875	-1.602230360432585	2.8221589714494035	CDKN1B;EP300
Viral carcinogenesis_Homo sapiens_hsa05203	2/205	0.1757598283184597376394009415889740921556949615478515625	0.51673898577397270326372336057829670608043670654296875	0.1562204054503689987232206703993142582476139068603515625	0.479574570770856467571974235397647134959697723388671875	-1.600770336406385	2.78315825956834	CDKN1B;EP300
Rap1 signaling pathway_Homo sapiens_hsa04015	2/211	0.1837127317107607182844475346428225748240947723388671875	0.51673898577397270326372336057829670608043670654296875	0.163446517036765770480855053392588160932064056396484375	0.479574570770856467571974235397647134959697723388671875	-1.5593214238034985	2.642086124766763	FARP2;RAPGEF5
Fatty acid degradation_Homo sapiens_hsa00071	1/44	0.15064482965649828027920875683776102960109710693359375	0.51673898577397270326372336057829670608043670654296875	0.1429734635443009327371299832520890049636363983154296875	0.479574570770856467571974235397647134959697723388671875	-1.3304571220129577	2.5183295989390513	CPT1A
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	1/25	0.08855798336169741491463724969435133971273899078369140625	0.51673898577397270326372336057829670608043670654296875	0.08517476358336915909230668830787180922925472259521484375	0.479574570770856467571974235397647134959697723388671875	-0.9805145153519964	2.3768630425441497	PIGZ
