Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
RNA polymerase_Homo sapiens_hsa03020	2/32	0.0032479496427616082361577998227630814653821289539337158203125	0.1185501619607987056070896869641728699207305908203125	0.00295310628847217197801011678848226438276469707489013671875	0.10778837952923427112583709686077781952917575836181640625	-1.892248363714596	10.842074792147029	POLR3A;POLR2H
Homologous recombination_Homo sapiens_hsa03440	2/29	0.00267214280827644291849143343142714002169668674468994140625	0.1185501619607987056070896869641728699207305908203125	0.00245822171553850866987378509520567604340612888336181640625	0.10778837952923427112583709686077781952917575836181640625	-1.6256098630856706	9.631534552395294	RAD51D;TOP3A
Central carbon metabolism in cancer_Homo sapiens_hsa05230	2/67	0.01364796235701617142799246806816881871782243251800537109375	0.2160862004144715464715176267418428324162960052490234375	0.01175088073997938332981849640646032639779150485992431640625	0.1795767904590841734790984673963976092636585235595703125	-1.7867603190246892	7.6726437081940375	SLC1A5;EGFR
Epstein-Barr virus infection_Homo sapiens_hsa05169	3/202	0.01642396818468017105629996876814402639865875244140625	0.2160862004144715464715176267418428324162960052490234375	0.0122997801684304221281340829818873316980898380279541015625	0.1795767904590841734790984673963976092636585235595703125	-1.8492378021007467	7.598543160838079	POLR3A;PSMD11;POLR2H
Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623	2/64	0.01250724406894726699335240738264474202878773212432861328125	0.2160862004144715464715176267418428324162960052490234375	0.01078987908128465310342303240531691699288785457611083984375	0.1795767904590841734790984673963976092636585235595703125	-1.6642465229477412	7.291808396256326	POLR3A;POLR2H
RNA degradation_Homo sapiens_hsa03018	2/77	0.0177605096231072505374992687166013638488948345184326171875	0.2160862004144715464715176267418428324162960052490234375	0.01521531961496702840819228441660015960223972797393798828125	0.1851197219820988337790623745604534633457660675048828125	-1.7104428119118393	6.894414994532457	CNOT6;TOB1
Pyrimidine metabolism_Homo sapiens_hsa00240	2/105	0.031623635719862659698708995392735232599079608917236328125	0.32978934393571057714922289960668422281742095947265625	0.0269182810294512318838311415447606123052537441253662109375	0.2807192164499914266428959308541379868984222412109375	-1.625613653781651	5.614626485660018	POLR3A;POLR2H
Wnt signaling pathway_Homo sapiens_hsa04310	2/142	0.0545199794701814732800215779207064770162105560302734375	0.38342049402046562978085830764030106365680694580078125	0.0463861340935437793664419814376742579042911529541015625	0.3583901953489425640242416193359531462192535400390625	-1.7017479484197964	4.950704793458966	PPP3CA;PPARD
Oxytocin signaling pathway_Homo sapiens_hsa04921	2/158	0.06578103506750525297785969769392977468669414520263671875	0.38342049402046562978085830764030106365680694580078125	0.056030871443050835056798320010784664191305637359619140625	0.3583901953489425640242416193359531462192535400390625	-1.761895774392804	4.794864922741608	PPP3CA;EGFR
Calcium signaling pathway_Homo sapiens_hsa04020	2/180	0.082396824693701298247816566799883730709552764892578125	0.38342049402046562978085830764030106365680694580078125	0.07034562185845337489720208168364479206502437591552734375	0.3583901953489425640242416193359531462192535400390625	-1.680580089588065	4.195078099663878	PPP3CA;EGFR
Purine metabolism_Homo sapiens_hsa00230	2/176	0.0792858692577390333777742625898099504411220550537109375	0.38342049402046562978085830764030106365680694580078125	0.06765796005226208664762310718288063071668148040771484375	0.3583901953489425640242416193359531462192535400390625	-1.5385919645536437	3.8998619130116907	POLR3A;POLR2H
Dorso-ventral axis formation_Homo sapiens_hsa04320	1/27	0.06918212509295472434356355506679392419755458831787109375	0.38342049402046562978085830764030106365680694580078125	0.065694294926046337135261410367093048989772796630859375	0.3583901953489425640242416193359531462192535400390625	-1.0771313518368966	2.8770315824007024	EGFR
Bladder cancer_Homo sapiens_hsa05219	1/41	0.103182866510927950809417552591185085475444793701171875	0.38342049402046562978085830764030106365680694580078125	0.09699709403688010211919134917479823343455791473388671875	0.3583901953489425640242416193359531462192535400390625	-1.2509971438932042	2.8413303428958243	EGFR
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	1/40	0.1007951984475572715371782805959810502827167510986328125	0.38342049402046562978085830764030106365680694580078125	0.09479433189249626690031647058276575990021228790283203125	0.3583901953489425640242416193359531462192535400390625	-1.2347696103899615	2.8333820634035027	GAMT
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.14654178883893742568744755772058852016925811767578125	0.38342049402046562978085830764030106365680694580078125	0.126506957873612713161293186203693039715290069580078125	0.3583901953489425640242416193359531462192535400390625	-1.4376735849832745	2.7609725348839143	PPP3CA;EGFR
Endometrial cancer_Homo sapiens_hsa05213	1/52	0.129040127190295283998722197793540544807910919189453125	0.38342049402046562978085830764030106365680694580078125	0.12089683505679447994562991652855998836457729339599609375	0.3583901953489425640242416193359531462192535400390625	-1.2328947710913816	2.5245146126976983	EGFR
Arginine and proline metabolism_Homo sapiens_hsa00330	1/50	0.1243938472295053332405956325601437129080295562744140625	0.38342049402046562978085830764030106365680694580078125	0.1165961928728086738349389861468807794153690338134765625	0.3583901953489425640242416193359531462192535400390625	-1.2108654061402928	2.5238098651920335	GAMT
Non-small cell lung cancer_Homo sapiens_hsa05223	1/56	0.1382602344716604425567396674523479305207729339599609375	0.38342049402046562978085830764030106365680694580078125	0.1294390719274826906382003244289080612361431121826171875	0.3583901953489425640242416193359531462192535400390625	-1.255763826988206	2.4846764253342695	EGFR
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014	1/51	0.1267200189601805082606489349927869625389575958251953125	0.38342049402046562978085830764030106365680694580078125	0.118748983114958850393350076046772301197052001953125	0.3583901953489425640242416193359531462192535400390625	-1.1474758986284948	2.3704272554685994	PPP3CA
Acute myeloid leukemia_Homo sapiens_hsa05221	1/57	0.140550256910047688396758758244686760008335113525390625	0.38342049402046562978085830764030106365680694580078125	0.131562391264364919596374647881020791828632354736328125	0.3583901953489425640242416193359531462192535400390625	-1.1759019702884306	2.307343267864009	PPARD
Proteasome_Homo sapiens_hsa03050	1/44	0.11030861009887514556648824282092391513288021087646484375	0.38342049402046562978085830764030106365680694580078125	0.10357514962057993990196536060466314665973186492919921875	0.3583901953489425640242416193359531462192535400390625	-1.0146287465931294	2.236721976240435	PSMD11
VEGF signaling pathway_Homo sapiens_hsa04370	1/61	0.1496507884272460231489532134219189174473285675048828125	0.38342049402046562978085830764030106365680694580078125	0.140007024546594804892407637453288771212100982666015625	0.3583901953489425640242416193359531462192535400390625	-1.13742522475283	2.1604832260518823	PPP3CA
Glioma_Homo sapiens_hsa05214	1/65	0.1586567556169924675391058599416282959282398223876953125	0.38342049402046562978085830764030106365680694580078125	0.1483743287734752558382211873322376050055027008056640625	0.3583901953489425640242416193359531462192535400390625	-1.1639415903802157	2.1428306446620096	EGFR
