Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Collecting duct acid secretion_Homo sapiens_hsa04966	1/27	0.025351995885326904234258194037465727888047695159912109375	0.1453118942350992981449309127128799445927143096923828125	0.02371599663551142433970397860321099869906902313232421875	0.133295757193964636844185633890447206795215606689453125	-1.8428027586334503	6.77211183835621	ATP6V0C
Thyroid cancer_Homo sapiens_hsa05216	1/29	0.02720549482512853167737176818263833411037921905517578125	0.1453118942350992981449309127128799445927143096923828125	0.02539190049625873746297344268896267749369144439697265625	0.133295757193964636844185633890447206795215606689453125	-1.7862548333189305	6.43826315545336	RET
Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250	1/35	0.0327459765470238528539681510665104724466800689697265625	0.1453118942350992981449309127128799445927143096923828125	0.03040523453503019002397422809735871851444244384765625	0.133295757193964636844185633890447206795215606689453125	-1.6795879900083517	5.7424696470617596	ASNS
Vibrio cholerae infection_Homo sapiens_hsa05110	1/51	0.04737481301456321347576050584393669851124286651611328125	0.1453118942350992981449309127128799445927143096923828125	0.043669172123134029905866526632962631992995738983154296875	0.133295757193964636844185633890447206795215606689453125	-1.7930712851395278	5.468265956343357	ATP6V0C
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520	1/48	0.0446479711089212416563754004528163932263851165771484375	0.1453118942350992981449309127128799445927143096923828125	0.0411937699657560774113562729326076805591583251953125	0.133295757193964636844185633890447206795215606689453125	-1.7166371691699869	5.336932968795666	AMDHD2
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120	1/68	0.06268817076998838000445601892351987771689891815185546875	0.1453118942350992981449309127128799445927143096923828125	0.05759607987968544395851466788371908478438854217529296875	0.133295757193964636844185633890447206795215606689453125	-1.6632686852464567	4.606559865242209	ATP6V0C
Central carbon metabolism in cancer_Homo sapiens_hsa05230	1/67	0.061793879078514225844376284157988266088068485260009765625	0.1453118942350992981449309127128799445927143096923828125	0.0567815561797927748077796650250093080103397369384765625	0.133295757193964636844185633890447206795215606689453125	-1.6487459892632281	4.590027985311268	RET
Synaptic vesicle cycle_Homo sapiens_hsa04721	1/63	0.058208622428032825990573684293849510140717029571533203125	0.1453118942350992981449309127128799445927143096923828125	0.053517592212190823186546140277641825377941131591796875	0.133295757193964636844185633890447206795215606689453125	-1.5164557849871148	4.312378349533569	ATP6V0C
Shigellosis_Homo sapiens_hsa05131	1/65	0.060002870112805632707431158223698730580508708953857421875	0.1453118942350992981449309127128799445927143096923828125	0.05515074870591264721841895379839115776121616363525390625	0.133295757193964636844185633890447206795215606689453125	-1.526403335535052	4.294326488209558	ELMO1
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	1/78	0.07158678270516820318913886467271368019282817840576171875	0.1453118942350992981449309127128799445927143096923828125	0.065709129254351628102170934653258882462978363037109375	0.133295757193964636844185633890447206795215606689453125	-1.5108334244685744	3.983833290924049	ELMO1
