Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Chronic myeloid leukemia_Homo sapiens_hsa05220	42/73	0.00000044627277592769085862143304925531150928463830496184527873992919921875	0.0001276340139153195850363342600530813797377049922943115234375	0.000071527583664457200680886206356490220059640705585479736328125	0.007304052645423864641160971444833194254897534847259521484375	-1.9376702113005864	28.333263853394158	RB1;SHC3;CTBP2;CTBP1;PIK3R2;CBLB;PIK3R1;CBL;RELA;PIK3CG;PIK3R5;CRKL;NRAS;MECOM;CCND1;AKT2;ABL1;AKT1;E2F2;MAPK1;E2F3;MAPK3;STAT5B;MAP2K1;TGFB1;CHUK;CDKN2A;BRAF;GAB2;TGFBR1;NFKB1;RUNX1;TGFBR2;NFKBIA;BCR;CDK6;CDK4;MDM2;KRAS;RAF1;SOS2;BCL2L1
Glioma_Homo sapiens_hsa05214	37/65	0.00000303703120174574421171668874019911044115360709838569164276123046875	0.0002895303078997609456425588181360808448516763746738433837890625	0.0002210595828306093622341033100298091085278429090976715087890625	0.0090318629556506123401415919715873314999043941497802734375	-2.0614549323265785	26.190022379077075	RB1;SHC3;CAMK2A;PTEN;PDGFB;TGFA;PDGFA;PIK3R2;PIK3R1;EGFR;PIK3CG;PIK3R5;IGF1R;NRAS;CCND1;AKT2;AKT1;E2F2;MAPK1;E2F3;PLCG1;CAMK2G;MAPK3;PDGFRA;MAP2K1;CDKN2A;BRAF;PRKCA;MTOR;CDK6;CDK4;MDM2;KRAS;CALM1;RAF1;CALM2;SOS2
Prostate cancer_Homo sapiens_hsa05215	47/89	0.0000027297432963591646565694286141745550366977113299071788787841796875	0.0002895303078997609456425588181360808448516763746738433837890625	0.0001312041381296279065997445467672832819516770541667938232421875	0.0090318629556506123401415919715873314999043941497802734375	-1.9572258891508554	25.074613873700304	RB1;GSK3B;HSP90AB1;PTEN;PDGFB;TGFA;PDGFA;PIK3R2;PIK3R1;RELA;EGFR;FOXO1;PIK3CG;PIK3R5;IGF1R;NRAS;CCND1;CREB3L4;CREB3L1;AKT2;CREB3L2;AKT1;E2F2;EP300;MAPK1;E2F3;MAPK3;PDGFRA;TCF7L2;HSP90AA1;TCF7L1;MAP2K1;CHUK;BRAF;NFKB1;MTOR;NFKBIA;CDK2;BCL2;MDM2;CTNNB1;KRAS;RAF1;SOS2;FGFR2;FGFR1;ATF4
Pancreatic cancer_Homo sapiens_hsa05212	37/66	0.0000049673606010992999904474394512465806883483310230076313018798828125	0.0003002762801541563665065626143046983997919596731662750244140625	0.0002768519386610430945035166150347549773869104683399200439453125	0.00989745680713229047942292027073563076555728912353515625	-1.8999684805340533	23.203596722366314	RB1;TGFA;PIK3R2;PIK3R1;RELA;EGFR;PIK3CG;PIK3R5;CDC42;MAPK9;MAPK8;CCND1;AKT2;AKT1;E2F2;RAC3;MAPK1;E2F3;RALGDS;MAPK3;JAK1;SMAD2;RALBP1;MAP2K1;TGFB1;CHUK;CDKN2A;BRAF;TGFBR1;NFKB1;TGFBR2;VEGFA;CDK6;CDK4;KRAS;RAF1;BCL2L1
Hippo signaling pathway_Homo sapiens_hsa04390	71/153	0.000005249585317380355583942452835088943174923770129680633544921875	0.0003002762801541563665065626143046983997919596731662750244140625	0.0000766159368401104633357345807809224425000138580799102783203125	0.007304052645423864641160971444833194254897534847259521484375	-1.6402564019418262	19.941189984588316	YWHAE;GSK3B;BMPR2;YWHAB;FGF1;LIMD1;AREG;ACTB;ACTG1;BBC3;GLI2;SOX2;PPP1CC;CCND2;CCND1;YWHAQ;PPP2R1B;TEAD3;YWHAH;TEAD4;PRKCI;FBXW11;WNT9B;SCRIB;CSNK1D;CSNK1E;AXIN2;WNT9A;TGFBR1;TGFBR2;LATS1;LATS2;FRMD6;PARD3;AJUBA;BIRC2;LLGL1;YAP1;PARD6G;NKD1;STK3;SAV1;PPP2CA;PPP2CB;DVL2;WNT1;WNT4;SMAD2;WWTR1;SMAD1;TCF7L2;TCF7L1;TGFB1;FZD5;FZD4;FZD7;FZD9;GDF6;WTIP;PPP1CA;SMAD7;MOB1B;BMP4;DLG3;PPP2R2B;ID2;PPP2R2D;SNAI2;CTNNB1;NF2;BMPR1A
Pathways in cancer_Homo sapiens_hsa05200	154/397	0.00002573608945691096343516383881944165068489382974803447723388671875	0.0007360521584676535562785648636463520233519375324249267578125	0.00002505778334720575010346500788305235118968994356691837310791015625	0.00716652603730084415689649546266082325018942356109619140625	-1.8695385191519955	19.7565657136785	RB1;ITGA2B;CBLB;FGF1;CRKL;IGF1R;FGF8;TFG;CCND1;AKT2;RASSF5;AKT1;EP300;PRKACA;SKP2;PRKACB;PDGFRA;MAP2K1;RALBP1;F2R;DAPK3;PRKCA;PGF;PIAS2;RUNX1;BCR;MSH6;SMO;MSH3;RAF1;CTBP2;CTBP1;MAX;PDGFB;LPAR1;PDGFA;LPAR2;TGFA;PIK3R2;PIK3R1;HIF1A;CSF2RA;FOXO1;PIK3R5;GNG10;TPR;ABL1;DVL2;FGF20;PLCG1;FADD;WNT1;RALGDS;FGF21;WNT4;SMAD2;STAT5B;JUN;TGFB1;FZD5;FZD4;FZD7;PTCH1;ZBTB16;FZD9;BRAF;GNG12;NFKB1;BMP4;NFKBIA;CXCL12;CDK6;CDK4;CDK2;FGF18;GNB1;MDM2;BCL2;GNAS;FGFR3;FGF11;FGFR2;BCL2L1;FGFR1;ITGB1;GSK3B;HSP90AB1;PTEN;SLC2A1;PIK3CG;GLI2;CASP8;MECOM;SUFU;RAC3;APPL1;JAK1;HSP90AA1;ARHGEF12;CHUK;MMP2;WNT9B;WNT9A;FOS;TRAF1;AXIN2;RHOA;TGFBR1;TGFBR2;TRAF4;TRAF5;KIT;RARA;RARB;PPARG;SOS2;BIRC2;PPARD;BIRC3;CEBPA;ROCK2;PTGER1;GNAI3;ADCY8;CBL;ADCY6;EGFR;RELA;ADCY5;CDC42;MAPK9;NRAS;MAPK8;RXRA;GNG5;GNG7;GNG8;E2F2;MAPK1;E2F3;BID;MAPK3;EGLN1;TCF7L2;CDKN2B;TCF7L1;CDKN2A;LAMB2;MTOR;PML;VEGFA;CCDC6;CTNNB1;KRAS
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	47/94	0.00001857523820471170729481079353373473850297159515321254730224609375	0.0006536540162411477901394096789999821339733898639678955078125	0.00034188472271128663056150021049006682005710899829864501953125	0.01042113032822535555188547817806465900503098964691162109375	-1.748640829270981	19.049135628585702	ATF2;PRKAA2;IRS1;PRKAG1;PIK3R2;IRS2;PIK3R1;ADIPOR1;ADCY8;FOXO3;ADIPOR2;RELA;ADCY6;FOXO1;PIK3CG;ADCY5;PIK3R5;IGF1R;NRAS;STK11;SESN3;CREB3L4;CREB3L1;AKT2;RB1CC1;SESN1;CREB3L2;SESN2;AKT1;PRKACA;PPARGC1A;PRKACB;APPL1;INSR;TSC1;PRKAB1;NFKB1;MTOR;RPS6KB1;AKT1S1;RPS6KB2;ULK2;ULK1;PPARG;KRAS;EIF4E2;ATF4
FoxO signaling pathway_Homo sapiens_hsa04068	62/133	0.00001691641019685566471445793690353553984095924533903598785400390625	0.0006536540162411477901394096789999821339733898639678955078125	0.0001939011037854516538055105190352378485840745270252227783203125	0.0090318629556506123401415919715873314999043941497802734375	-1.6991849914275128	18.669330178628726	IRS1;SETD7;PTEN;PRKAG1;IRS2;SLC2A4;PIK3CG;IGF1R;STK11;CCND2;CCND1;AKT2;TNFSF10;AKT1;EP300;HOMER3;SKP2;GABARAPL1;MAP2K1;CHUK;CSNK1E;PRKAB1;TGFBR1;TGFBR2;SGK3;RAF1;SGK1;SOS2;PRKAA2;AGAP2;FOXO6;PIK3R2;PIK3R1;FOXO3;EGFR;FOXO1;GABARAP;PIK3R5;MAPK9;NRAS;MAPK8;BCL2L11;MAPK1;MAPK3;SMAD2;PLK3;CDKN2B;TGFB1;HOMER2;GADD45A;INSR;BNIP3;BRAF;MAPK14;KLF2;GADD45G;G6PC3;BCL6;CCNG2;CDK2;MDM2;KRAS
Acute myeloid leukemia_Homo sapiens_hsa05221	32/57	0.00002056953197961653603104657805911159584866254590451717376708984375	0.0006536540162411477901394096789999821339733898639678955078125	0.000684799552262345379537167300298960981308482587337493896484375	0.0150655901497715981329772461094762547872960567474365234375	-1.7118409848756564	18.473673683950206	CEBPA;PIK3R2;PIK3R1;RELA;PIK3CG;PIK3R5;NRAS;CCND1;AKT2;PIM1;AKT1;MAPK1;MAPK3;STAT5B;TCF7L2;TCF7L1;MAP2K1;CHUK;ZBTB16;BRAF;PML;NFKB1;MTOR;RUNX1;RPS6KB1;KIT;RPS6KB2;RARA;KRAS;RAF1;SOS2;PPARD
Insulin signaling pathway_Homo sapiens_hsa04910	64/139	0.00002031768386365171721007205629661029888666234910488128662109375	0.0006536540162411477901394096789999821339733898639678955078125	0.0002014113069587419803559147357674419254180975258350372314453125	0.0090318629556506123401415919715873314999043941497802734375	-1.6003265588143483	17.289958427351994	GSK3B;PYGB;IRS1;PDE3B;PRKAG1;CBLB;IRS2;SLC2A4;HK2;PIK3CG;CRKL;PPP1CC;GYS1;AKT2;FLOT1;AKT1;PRKACA;PRKACB;SREBF1;PRKCI;MAP2K1;EXOC7;TSC1;PHKA1;PRKAB1;PPP1R3F;PRKAR1B;PPP1R3D;RAF1;EIF4E2;SOS2;PRKAA2;SHC3;PIK3R2;PIK3R1;CBL;FOXO1;ACACA;PIK3R5;SOCS3;MAPK9;NRAS;MAPK8;SOCS1;PRKAR2A;MKNK1;MKNK2;PHKG2;MAPK1;PPARGC1A;SH2B2;MAPK3;INSR;PHKB;BRAF;MTOR;PPP1CA;G6PC3;RPS6KB1;RPS6KB2;TRIP10;KRAS;CALM1;CALM2
