Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Jak-STAT signaling pathway_Homo sapiens_hsa04630	12/158	0.001052848579555212306380074238632005290128290653228759765625	0.2284681417634810696171143717947416007518768310546875	0.000706905652857365575901515963863630531704984605312347412109375	0.153398526670048329645368312412756495177745819091796875	-1.9307482039721762	13.237703678523227	IL15;STAT1;AKT2;IFNGR2;BCL2;AKT1;PTPN11;IFNLR1;TYK2;IL27RA;BCL2L1;SOCS5
Insulin resistance_Homo sapiens_hsa04931	8/109	0.0084833763684533762539086154674805584363639354705810546875	0.479212413082283406051686824866919778287410736083984375	0.0066196548379074682255662764873704873025417327880859375	0.38261473869923767754386290107504464685916900634765625	-1.8349911389114042	8.752259525225265	PPP1CB;MGEA5;AKT2;INSR;GFPT1;AKT1;PTPN11;OGT
Toxoplasmosis_Homo sapiens_hsa05145	8/118	0.01331955214385602097315608460803559864871203899383544921875	0.479212413082283406051686824866919778287410736083984375	0.0101881836917704950151719600626165629364550113677978515625	0.38261473869923767754386290107504464685916900634765625	-1.875115387072188	8.097727496516113	STAT1;AKT2;IFNGR2;BCL2;AKT1;LAMC2;TYK2;BCL2L1
Ras signaling pathway_Homo sapiens_hsa04014	12/227	0.018329861540936666364220997138545499183237552642822265625	0.479212413082283406051686824866919778287410736083984375	0.01149933510694049754174983490884187631309032440185546875	0.38261473869923767754386290107504464685916900634765625	-1.9309793741539634	7.722418614127923	NGFR;AKT2;INSR;GAB1;AKT1;RASAL1;PTPN11;PLA2G6;CALM2;ETS1;FGFR2;BCL2L1
Influenza A_Homo sapiens_hsa05164	10/175	0.018498053674421512104775189300198690034449100494384765625	0.479212413082283406051686824866919778287410736083984375	0.01269275954063083487743934796299072331748902797698974609375	0.38261473869923767754386290107504464685916900634765625	-1.865737666148628	7.444460755091609	IFIH1;NLRX1;DDX39B;STAT1;AKT2;IFNGR2;AKT1;TYK2;RAE1;EIF2S1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	9/151	0.0194043756347427355513080016180538223125040531158447265625	0.479212413082283406051686824866919778287410736083984375	0.0139454159434708006848335770655467058531939983367919921875	0.38261473869923767754386290107504464685916900634765625	-1.8340235297544034	7.230191530089569	BCL2L11;NDUFA5;AKT2;INSR;AKT1;NDUFS1;NDUFV2;BID;EIF2S1
HIF-1 signaling pathway_Homo sapiens_hsa04066	7/103	0.01973258461112437078810444290866144001483917236328125	0.479212413082283406051686824866919778287410736083984375	0.0156833922089371184671602321714090066961944103240966796875	0.38261473869923767754386290107504464685916900634765625	-1.6819655019877435	6.602528613595922	AKT2;INSR;IFNGR2;BCL2;AKT1;ENO3;HK2
VEGF signaling pathway_Homo sapiens_hsa04370	5/61	0.0226150241991093965687742439740759436972439289093017578125	0.479212413082283406051686824866919778287410736083984375	0.0200576087668631782012784725566234556026756763458251953125	0.38261473869923767754386290107504464685916900634765625	-1.7153161040354992	6.499574245000242	PPP3CA;SPHK2;AKT2;AKT1;PTK2
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	10/180	0.0220170646973551938085922330401444924063980579376220703125	0.479212413082283406051686824866919778287410736083984375	0.015079209299625036255765309078924474306404590606689453125	0.38261473869923767754386290107504464685916900634765625	-1.5848528422828834	6.047699326660979	NGFR;MEIS1;GOLPH3;CDKN2C;TLX3;BMI1;HIST1H3C;PTK2;ETV5;BCL2L1
Herpes simplex infection_Homo sapiens_hsa05168	10/185	0.0259986300722353791403662626180448569357395172119140625	0.479212413082283406051686824866919778287410736083984375	0.0177863925033692991950484696417333907447755336761474609375	0.38261473869923767754386290107504464685916900634765625	-1.5628093313367761	5.703803082425766	PPP1CB;IFIH1;CSNK2A1;IL15;STAT1;C1QBP;IFNGR2;PTPN11;TYK2;EIF2S1
