Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	6/94	0.002473245081567084467655259771845521754585206508636474609375	0.316288850694469936275510235645924694836139678955078125	0.0022310803259201518466969815790434950031340122222900390625	0.309665013030905822422056417053681798279285430908203125	-1.9230851593867602	11.542788267744813	CREB3;ADCY9;RPS6KB1;SESN1;EIF4EBP1;PRKAG2
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	4/44	0.0037256132051252861293877405302055194624699652194976806640625	0.316288850694469936275510235645924694836139678955078125	0.0038632526310473959407776334273876273073256015777587890625	0.309665013030905822422056417053681798279285430908203125	-1.9521952767242563	10.917698590028799	CREB3;DYNC1LI2;ADCY9;VAMP2
AMPK signaling pathway_Homo sapiens_hsa04152	6/124	0.00948168482188884755024194106454160646535456180572509765625	0.316288850694469936275510235645924694836139678955078125	0.00808280709102659512821364984347383142448961734771728515625	0.309665013030905822422056417053681798279285430908203125	-1.689888664120515	7.872165954096293	CREB3;RPS6KB1;EIF4EBP1;PRKAG2;CPT1C;ELAVL1
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	5/98	0.01408247315652375215855318657531825010664761066436767578125	0.3444924818276511313541732306475751101970672607421875	0.0125297982151233548708813003713657963089644908905029296875	0.309665013030905822422056417053681798279285430908203125	-1.696677268867437	7.232637079712448	DGKG;CDS1;DGKE;SYNJ2;MTMR6
Propanoate metabolism_Homo sapiens_hsa00640	3/32	0.01096955551541514174707092621474657789804041385650634765625	0.316288850694469936275510235645924694836139678955078125	0.01143949572828304762917017711743028485216200351715087890625	0.309665013030905822422056417053681798279285430908203125	-1.5057277140037455	6.794794348336464	MCEE;PCCA;HIBCH
p53 signaling pathway_Homo sapiens_hsa04115	4/69	0.017921574199126356907729729073253110982477664947509765625	0.3444924818276511313541732306475751101970672607421875	0.0167419763117520846440466897320220596157014369964599609375	0.362045237741638825657020106518757529556751251220703125	-1.4948858742173667	6.012057308523829	PIDD1;RRM2;CCNG2;SESN1
Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280	3/48	0.032317424408548837966304034807762946002185344696044921875	0.53577554174439645517935559837496839463710784912109375	0.031196106819769774121109406905816285870969295501708984375	0.515700566899913059870641518500633537769317626953125	-1.5746450231987912	5.404415930483342	MCEE;PCCA;HIBCH
Sulfur relay system_Homo sapiens_hsa04122	2/10	0.0087315390229084667572667655122131691314280033111572265625	0.316288850694469936275510235645924694836139678955078125	0.0109155434709284661354278256339966901578009128570556640625	0.309665013030905822422056417053681798279285430908203125	-1.068114255229247	5.063730623202833	MPST;TST
Sulfur metabolism_Homo sapiens_hsa00920	2/10	0.0087315390229084667572667655122131691314280033111572265625	0.316288850694469936275510235645924694836139678955078125	0.0109155434709284661354278256339966901578009128570556640625	0.309665013030905822422056417053681798279285430908203125	-0.9768493951851597	4.631060930456922	MPST;TST
Phospholipase D signaling pathway_Homo sapiens_hsa04072	5/144	0.058895297763455291273348990443992079235613346099853515625	0.71267517626150544973739897613995708525180816650390625	0.050683093257260038166922555546989315189421176910400390625	0.61407958499923787076824055475299246609210968017578125	-1.5908809230529533	4.505365269762858	DGKG;DGKE;ADCY9;PTK2B;PTPN11
N-Glycan biosynthesis_Homo sapiens_hsa00510	3/49	0.034066652943285320731536813809725572355091571807861328125	0.53577554174439645517935559837496839463710784912109375	0.032790209456063833248773420336874551139771938323974609375	0.515700566899913059870641518500633537769317626953125	-1.3229418370879447	4.470797657412282	MAN2A2;MAN1A2;ALG5
Choline metabolism in cancer_Homo sapiens_hsa05231	4/101	0.059436601542024396216401527226480538956820964813232421875	0.71267517626150544973739897613995708525180816650390625	0.0532438946531131052086749377849628217518329620361328125	0.61407958499923787076824055475299246609210968017578125	-1.5759251752544916	4.448592587706668	DGKG;DGKE;RPS6KB1;EIF4EBP1
Glycerolipid metabolism_Homo sapiens_hsa00561	3/59	0.054162116231142774791518235133480629883706569671630859375	0.71267517626150544973739897613995708525180816650390625	0.051002420022665563570374303026255802251398563385009765625	0.61407958499923787076824055475299246609210968017578125	-1.5128744521803765	4.411199353666335	DGKG;DGKE;GLA
