Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Circadian rhythm_Homo sapiens_hsa04710	5/30	0.00132777454853072267824953822668021530262194573879241943359375	0.269520955515596793983235102132312022149562835693359375	0.0014171209562298171281968794943395550944842398166656494140625	0.1594261075758544310421171985581167973577976226806640625	-1.9727237660196422	13.067817399531684	PRKAA1;BHLHE40;PRKAG2;RORA;ARNTL
Phospholipase D signaling pathway_Homo sapiens_hsa04072	11/144	0.0023957418268053050532107040027085531619377434253692626953125	0.269520955515596793983235102132312022149562835693359375	0.00129423317013570120248555639363985392265021800994873046875	0.1594261075758544310421171985581167973577976226806640625	-1.871237477909957	11.291163625126677	EGF;GNAS;PIP5K1A;RRAS2;PTK2B;PTPN11;PLD1;ADCY6;AGPAT3;MTOR;CYTH1
Viral carcinogenesis_Homo sapiens_hsa05203	13/205	0.005122768766393631482969350798839514027349650859832763671875	0.38420765747952234647755176411010324954986572265625	0.0023558782599949032628139367062658493523485958576202392578125	0.1766908694996177364711087420801050029695034027099609375	-1.9314667609813165	10.186671993753288	ACTN1;MRPS18B;UBR4;SNW1;PKM;TRAF3;CDK4;PSMC1;IRF7;HIST1H4H;BAK1;HIST1H4C;HIST1H4D
Proteoglycans in cancer_Homo sapiens_hsa05205	12/203	0.01186803592589223514675023096742734196595847606658935546875	0.6675770208314382170300405050511471927165985107421875	0.005846244158406818484940981051067865337245166301727294921875	0.328851233910383566882984496260178275406360626220703125	-1.9356874190453937	8.582657124965156	DDX5;TGFB1;ITGB5;WNT3A;RRAS2;FLNB;PTPN11;ANK3;WNT9A;TLR4;MTOR;VEGFA
Biosynthesis of amino acids_Homo sapiens_hsa01230	6/74	0.0171848466495660712194393227036925964057445526123046875	0.7733180992304731216080426747794263064861297607421875	0.0126825496324019966476459586601777118630707263946533203125	0.5707147334580897624078943408676423132419586181640625	-1.6427380506062055	6.6756394502252325	ARG2;PKM;PGAM2;ACO1;MAT2B;GLUL
mTOR signaling pathway_Homo sapiens_hsa04150	5/60	0.0257826094918381827636455483343524974770843982696533203125	0.8994910888125924319780324367457069456577301025390625	0.020175919054026658638889557551010511815547943115234375	0.584714341637049717093077561003156006336212158203125	-1.794625845784039	6.564840165009117	PRKAA1;RPS6KA6;MLST8;MTOR;VEGFA
Renin secretion_Homo sapiens_hsa04924	5/64	0.032916148214852315734280097103692241944372653961181640625	0.8994910888125924319780324367457069456577301025390625	0.0254272657393680746873432241272894316352903842926025390625	0.584714341637049717093077561003156006336212158203125	-1.6719876473684006	5.707817911609608	EDNRA;GNAS;ADRB1;ADCY6;KCNJ2
Pancreatic cancer_Homo sapiens_hsa05212	5/66	0.0369001719834646524365240338738658465445041656494140625	0.8994910888125924319780324367457069456577301025390625	0.0283529096780999433080605598433976410888135433197021484375	0.584714341637049717093077561003156006336212158203125	-1.7152288506709026	5.659464601888035	TGFB1;EGF;CDK4;PLD1;VEGFA
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	4/44	0.03377918466269271002833107786500477232038974761962890625	0.8994910888125924319780324367457069456577301025390625	0.0282868911009083283392140373280199128203094005584716796875	0.584714341637049717093077561003156006336212158203125	-1.6377399848298388	5.548516498377965	DCTN5;DCTN4;GNAS;ADCY6
Dilated cardiomyopathy_Homo sapiens_hsa05414	6/90	0.0400228954736087383370346515221172012388706207275390625	0.8994910888125924319780324367457069456577301025390625	0.028586034480033543914156979326435248367488384246826171875	0.584714341637049717093077561003156006336212158203125	-1.6243971366363235	5.227803155555925	TGFB1;ITGB5;GNAS;ADRB1;ADCY6;CACNG4
