Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Spliceosome_Homo sapiens_hsa03040	6/134	0.007090487696547927327916926998341295984573662281036376953125	0.8822838399799783903887373526231385767459869384765625	0.004543881299311336614821232871008760412223637104034423828125	0.61910476203903652692162040693801827728748321533203125	-1.7966192231581692	8.891470609187524	PPIL1;HNRNPA3;SNW1;PRPF40B;PRPF40A;LSM2
Epstein-Barr virus infection_Homo sapiens_hsa05169	7/202	0.0143415901450298123587234755405006580986082553863525390625	0.8822838399799783903887373526231385767459869384765625	0.00842319404134743605905288887925053131766617298126220703125	0.61910476203903652692162040693801827728748321533203125	-1.9233400346011955	8.163792880154856	NCOR2;SNW1;CDKN1B;STAT3;TNFAIP3;POLR3H;YWHAZ
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	4/101	0.03894002997800534437988773106553708203136920928955078125	0.8822838399799783903887373526231385767459869384765625	0.029272705616441276055272879830226884223520755767822265625	0.79875395261136661329004482468008063733577728271484375	-1.9763841801157518	6.414814384044965	CDKN1B;PRKCE;STAT3;VEGFA
Notch signaling pathway_Homo sapiens_hsa04330	3/48	0.022544153301272608358463145350469858385622501373291015625	0.8822838399799783903887373526231385767459869384765625	0.01890768424721563090162845810482394881546497344970703125	0.79875395261136661329004482468008063733577728271484375	-1.6803517249575919	6.372363439266425	NCOR2;SNW1;CTBP1
HIF-1 signaling pathway_Homo sapiens_hsa04066	4/103	0.0413687249851338589845539672751328907907009124755859375	0.8822838399799783903887373526231385767459869384765625	0.031084299958709836475545529310693382285535335540771484375	0.79875395261136661329004482468008063733577728271484375	-1.7357723300005499	5.528834304858306	CDKN1B;STAT3;SLC2A1;VEGFA
Insulin resistance_Homo sapiens_hsa04931	4/109	0.049158940057283377622621145519588026218116283416748046875	0.8822838399799783903887373526231385767459869384765625	0.03691037540037268860348973475993261672556400299072265625	0.79875395261136661329004482468008063733577728271484375	-1.7024543850431233	5.12897846188082	SLC27A1;PRKCE;STAT3;SLC2A1
Cell cycle_Homo sapiens_hsa04110	4/124	0.07190217022727669882176115834226948209106922149658203125	0.8822838399799783903887373526231385767459869384765625	0.054062721785075630587247275116169475950300693511962890625	0.79875395261136661329004482468008063733577728271484375	-1.5562396069239057	4.096721133602744	STAG2;CDKN1B;GADD45B;YWHAZ
Glyoxylate and dicarboxylate metabolism_Homo sapiens_hsa00630	2/28	0.0482221647112814622015974919122527353465557098388671875	0.8822838399799783903887373526231385767459869384765625	0.043619973257109000142062171789802960120141506195068359375	0.79875395261136661329004482468008063733577728271484375	-1.2512558332400194	3.79372825020929	PGP;ACO1
Ribosome_Homo sapiens_hsa03010	4/137	0.0952380543091528586341354412070359103381633758544921875	0.8822838399799783903887373526231385767459869384765625	0.0718930069243946812118650768752559088170528411865234375	0.79875395261136661329004482468008063733577728271484375	-1.5279754487671735	3.592844320437935	MRPS11;MRPS21;RPL8;RPL7
Estrogen signaling pathway_Homo sapiens_hsa04915	3/99	0.1294519494987751151438004626470501534640789031982421875	0.8822838399799783903887373526231385767459869384765625	0.10475443341105918071409774938729242421686649322509765625	0.79875395261136661329004482468008063733577728271484375	-1.5861539177146926	3.2428052600606794	FKBP4;HSP90B1;GNAI2
Fatty acid metabolism_Homo sapiens_hsa01212	2/48	0.12248467456403454300950528477187617681920528411865234375	0.8822838399799783903887373526231385767459869384765625	0.1067042501955801914181876099974033422768115997314453125	0.79875395261136661329004482468008063733577728271484375	-1.405460479460776	2.9511428548686838	ACADVL;ELOVL2
Cocaine addiction_Homo sapiens_hsa05030	2/49	0.126684174952475914199823137096245773136615753173828125	0.8822838399799783903887373526231385767459869384765625	0.11028778349836186600807508284560753963887691497802734375	0.79875395261136661329004482468008063733577728271484375	-1.38268296938454	2.856703350250531	DLG4;GNAI2
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	2/57	0.161373218026461040519592415876104496419429779052734375	0.8822838399799783903887373526231385767459869384765625	0.14000436630435098006586258634342812001705169677734375	0.79875395261136661329004482468008063733577728271484375	-1.2523323310992225	2.284298595051865	TNFAIP3;HSP90B1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	4/180	0.19255659295253935159308866786886937916278839111328125	0.8822838399799783903887373526231385767459869384765625	0.1487514197436590468459627345509943552315235137939453125	0.79875395261136661329004482468008063733577728271484375	-1.372852786879125	2.2615898771307563	CDKN1B;DDIT3;RUNX2;DUSP6
Sphingolipid signaling pathway_Homo sapiens_hsa04071	3/120	0.1930024974346057631269246712690801359713077545166015625	0.8822838399799783903887373526231385767459869384765625	0.157271147839385949662727171016740612685680389404296875	0.79875395261136661329004482468008063733577728271484375	-1.3130728287009243	2.160073280073037	SGMS1;PRKCE;GNAI2
Renin secretion_Homo sapiens_hsa04924	2/64	0.19294092026268450101866847035125829279422760009765625	0.8822838399799783903887373526231385767459869384765625	0.1672470440904615107680086794061935506761074066162109375	0.79875395261136661329004482468008063733577728271484375	-1.262239586090784	2.0768527250202165	AGT;GNAI2
Pathways in cancer_Homo sapiens_hsa05200	7/397	0.2357084475379374322034919941870612092316150665283203125	0.8822838399799783903887373526231385767459869384765625	0.1623716176979313197126231216316227801144123077392578125	0.79875395261136661329004482468008063733577728271484375	-1.3356704531463504	1.9302570171635784	CDKN1B;CTBP1;STAT3;SLC2A1;HSP90B1;VEGFA;GNAI2
Pancreatic cancer_Homo sapiens_hsa05212	2/66	0.2021060277864787646517896746445330791175365447998046875	0.8822838399799783903887373526231385767459869384765625	0.17519514369622235516743558036978356540203094482421875	0.79875395261136661329004482468008063733577728271484375	-1.1979578870540804	1.9154901324128695	STAT3;VEGFA
Renal cell carcinoma_Homo sapiens_hsa05211	2/66	0.2021060277864787646517896746445330791175365447998046875	0.8822838399799783903887373526231385767459869384765625	0.17519514369622235516743558036978356540203094482421875	0.79875395261136661329004482468008063733577728271484375	-1.1674895897880895	1.8667724576138447	SLC2A1;VEGFA
Retinol metabolism_Homo sapiens_hsa00830	2/65	0.197516865694733312341924147403915412724018096923828125	0.8822838399799783903887373526231385767459869384765625	0.171213122405161788375238529624766670167446136474609375	0.79875395261136661329004482468008063733577728271484375	-1.1152080339085308	1.8087908188443766	RETSAT;RDH10
FoxO signaling pathway_Homo sapiens_hsa04068	3/133	0.2355581967619937155955511798310908488929271697998046875	0.8822838399799783903887373526231385767459869384765625	0.1931556328505566189068787252836045809090137481689453125	0.79875395261136661329004482468008063733577728271484375	-1.114658220563837	1.611569819013832	CDKN1B;GADD45B;STAT3
Prolactin signaling pathway_Homo sapiens_hsa04917	2/72	0.2298611956789266275169580922010936774313449859619140625	0.8822838399799783903887373526231385767459869384765625	0.1993765502190751603972529437669436447322368621826171875	0.79875395261136661329004482468008063733577728271484375	-1.0955935698265853	1.610828929603237	IRF1;STAT3
Adipocytokine signaling pathway_Homo sapiens_hsa04920	2/70	0.2205741224941411282589598386039142496883869171142578125	0.8822838399799783903887373526231385767459869384765625	0.1912662421894774367192582076313556171953678131103515625	0.79875395261136661329004482468008063733577728271484375	-1.0165446539839553	1.536529084091667	STAT3;SLC2A1
Chronic myeloid leukemia_Homo sapiens_hsa05220	2/73	0.234514688445390639959242662371252663433551788330078125	0.8822838399799783903887373526231385767459869384765625	0.2034477391378395061405370825013960711658000946044921875	0.79875395261136661329004482468008063733577728271484375	-1.0534810859264787	1.5277973083567196	CDKN1B;CTBP1
PPAR signaling pathway_Homo sapiens_hsa03320	2/69	0.21594239412204851991106124842190183699131011962890625	0.8822838399799783903887373526231385767459869384765625	0.18722861735545659467305767975631169974803924560546875	0.79875395261136661329004482468008063733577728271484375	-0.9452993766552314	1.4489015703579744	SLC27A1;GK
Measles_Homo sapiens_hsa05162	3/136	0.24561211587712838966268691365257836878299713134765625	0.8822838399799783903887373526231385767459869384765625	0.201719460046763943150693876305012963712215423583984375	0.79875395261136661329004482468008063733577728271484375	-1.02566138460213	1.4400303811233757	CDKN1B;STAT3;TNFAIP3
Viral carcinogenesis_Homo sapiens_hsa05203	4/205	0.259239734149086131775874264349113218486309051513671875	0.8822838399799783903887373526231385767459869384765625	0.2036875432154097165238226807559840381145477294921875	0.79875395261136661329004482468008063733577728271484375	-1.0411302332795775	1.4055279293841005	SNW1;CDKN1B;STAT3;YWHAZ
Hepatitis B_Homo sapiens_hsa05161	3/146	0.27955369510198868621131396139389835298061370849609375	0.8822838399799783903887373526231385767459869384765625	0.23087750902402282004999278797185979783535003662109375	0.79875395261136661329004482468008063733577728271484375	-0.9168070150610497	1.1685263683389764	CDKN1B;STAT3;YWHAZ
Biosynthesis of amino acids_Homo sapiens_hsa01230	2/74	0.239173620421341548425431255964213050901889801025390625	0.8822838399799783903887373526231385767459869384765625	0.2075286464597738966819662209672969765961170196533203125	0.79875395261136661329004482468008063733577728271484375	-0.8055945226695354	1.1524557677799532	MAT2A;ACO1
Pertussis_Homo sapiens_hsa05133	2/75	0.24383711975224908741211038432084023952484130859375	0.8822838399799783903887373526231385767459869384765625	0.211618561690636142191834778714110143482685089111328125	0.79875395261136661329004482468008063733577728271484375	-0.7071237140422987	0.99793174878377	IRF1;GNAI2
RNA degradation_Homo sapiens_hsa03018	2/77	0.253174437144585262604579156686668284237384796142578125	0.8822838399799783903887373526231385767459869384765625	0.2198226448666760479699888719551381655037403106689453125	0.79875395261136661329004482468008063733577728271484375	-0.7125561237772574	0.9788216398962086	PABPC4L;LSM2
MicroRNAs in cancer_Homo sapiens_hsa05206	5/297	0.320221628893458121201121002741274423897266387939453125	0.8822838399799783903887373526231385767459869384765625	0.2461000372922817203136247599104535765945911407470703125	0.79875395261136661329004482468008063733577728271484375	-0.7490691909196042	0.8529964981385948	CDKN1B;PRKCE;STAT3;EZH2;VEGFA
Prostate cancer_Homo sapiens_hsa05215	2/89	0.309164943152997973019324717824929393827915191650390625	0.8822838399799783903887373526231385767459869384765625	0.269457889154977703327631388674490153789520263671875	0.79875395261136661329004482468008063733577728271484375	-0.6747383103557666	0.7920620424961363	CDKN1B;HSP90B1
Insulin secretion_Homo sapiens_hsa04911	2/85	0.290545984885906827255297457668348215520381927490234375	0.8822838399799783903887373526231385767459869384765625	0.25286674289041022323232255075708962976932525634765625	0.79875395261136661329004482468008063733577728271484375	-0.6004601003931024	0.7421647327996426	SNAP25;SLC2A1
Salivary secretion_Homo sapiens_hsa04970	2/89	0.309164943152997973019324717824929393827915191650390625	0.8822838399799783903887373526231385767459869384765625	0.269457889154977703327631388674490153789520263671875	0.79875395261136661329004482468008063733577728271484375	-0.544509499986754	0.6391890012746664	AQP5;CAMP
Morphine addiction_Homo sapiens_hsa05032	2/91	0.318439640909772447852077448260388337075710296630859375	0.8822838399799783903887373526231385767459869384765625	0.277755221662695228612705022896989248692989349365234375	0.79875395261136661329004482468008063733577728271484375	-0.5276003253020043	0.603744834833384	ARRB1;GNAI2
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	3/167	0.35178116533404446553134903297177515923976898193359375	0.8822838399799783903887373526231385767459869384765625	0.294227571589772585181066233417368493974208831787109375	0.79875395261136661329004482468008063733577728271484375	-0.5386719838744285	0.5627753929799943	PRKCE;MEF2D;GNAI2
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	3/169	0.358652802429867578748456935500144027173519134521484375	0.8822838399799783903887373526231385767459869384765625	0.30034960140441901987884421032504178583621978759765625	0.79875395261136661329004482468008063733577728271484375	-0.4774216919787263	0.4895484333639231	MBTPS1;DDIT3;HSP90B1
RNA transport_Homo sapiens_hsa03013	3/172	0.368940845922608728901792574106366373598575592041015625	0.8822838399799783903887373526231385767459869384765625	0.309547003219388938699552227262756787240505218505859375	0.79875395261136661329004482468008063733577728271484375	-0.48466176027077407	0.4832654288724757	UPF2;GEMIN4;PABPC4L
mRNA surveillance pathway_Homo sapiens_hsa03015	2/91	0.318439640909772447852077448260388337075710296630859375	0.8822838399799783903887373526231385767459869384765625	0.277755221662695228612705022896989248692989349365234375	0.79875395261136661329004482468008063733577728271484375	-0.41533432452821845	0.4752763429768336	UPF2;PABPC4L
MAPK signaling pathway_Homo sapiens_hsa04010	4/255	0.400957596254773562804984976537525653839111328125	0.8822838399799783903887373526231385767459869384765625	0.3266151197599522770786961700650863349437713623046875	0.80853372059391848125642354716546833515167236328125	-0.4956628681181543	0.45298609803196405	GADD45B;DDIT3;ARRB1;DUSP6
NF-kappa B signaling pathway_Homo sapiens_hsa04064	2/93	0.32768496440248140455508973900577984750270843505859375	0.8822838399799783903887373526231385767459869384765625	0.286048311146700207086013278967584483325481414794921875	0.79875395261136661329004482468008063733577728271484375	-0.3462824728758232	0.3863482575838174	GADD45B;TNFAIP3
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	2/98	0.350641892213246542109317260837997309863567352294921875	0.8822838399799783903887373526231385767459869384765625	0.306737662354925666452487575952545739710330963134765625	0.79875395261136661329004482468008063733577728271484375	-0.35537133024335976	0.37242553870007444	CDS1;INPP5B
Glycerophospholipid metabolism_Homo sapiens_hsa00564	2/95	0.336896579696395692682386879823752678930759429931640625	0.8822838399799783903887373526231385767459869384765625	0.294333314279290603199257247979403473436832427978515625	0.79875395261136661329004482468008063733577728271484375	-0.29863713622046717	0.3249110167159457	CDS1;TAZ
Chemokine signaling pathway_Homo sapiens_hsa04062	3/187	0.4198268478089526301033629351877607405185699462890625	0.8822838399799783903887373526231385767459869384765625	0.355609389954337939965256509822211228311061859130859375	0.816689537323473491170489069190807640552520751953125	-0.31998884607965394	0.2777224537145747	STAT3;ARRB1;GNAI2
Pyrimidine metabolism_Homo sapiens_hsa00240	2/105	0.38231321522300365511881636848556809127330780029296875	0.8822838399799783903887373526231385767459869384765625	0.335513992899517166090816999712842516601085662841796875	0.80853372059391848125642354716546833515167236328125	-0.20628549109983493	0.19834660866238307	CAD;POLR3H
Glutamatergic synapse_Homo sapiens_hsa04724	2/114	0.42202809282214526209742189166718162596225738525390625	0.8822838399799783903887373526231385767459869384765625	0.371997925626196213055862926921690814197063446044921875	0.816689537323473491170489069190807640552520751953125	-0.2103347081842874	0.18145226045684043	DLG4;GNAI2
Metabolic pathways_Homo sapiens_hsa01100	16/1239	0.496625941356651223745899415007443167269229888916015625	0.8822838399799783903887373526231385767459869384765625	0.317947838501789148413223529132665134966373443603515625	0.80583331482350006869097569506266154348850250244140625	-0.19878725394711436	0.13913481087102636	CDS1;ACADVL;GK;SGMS1;CAD;GALNT10;INPP5B;MAT2A;MTHFD1L;RDH10;PGP;B3GNT2;ACO1;POLR3H;GGT1;PIGF
Carbon metabolism_Homo sapiens_hsa01200	2/113	0.417678053543920901891084440649137832224369049072265625	0.8822838399799783903887373526231385767459869384765625	0.36797941739732065169476982191554270684719085693359375	0.816689537323473491170489069190807640552520751953125	-0.13400371243261186	0.11699118402525482	PGP;ACO1
Toxoplasmosis_Homo sapiens_hsa05145	2/118	0.4392588344260788257855665506212972104549407958984375	0.8822838399799783903887373526231385767459869384765625	0.387971028077466695282993214277666993439197540283203125	0.816689537323473491170489069190807640552520751953125	-0.09300939764411961	0.07651571000861329	STAT3;GNAI2
Rap1 signaling pathway_Homo sapiens_hsa04015	3/211	0.4980677007881777473841111714136786758899688720703125	0.8822838399799783903887373526231385767459869384765625	0.4283871855492888958139019450754858553409576416015625	0.816689537323473491170489069190807640552520751953125	-0.10192230586540274	0.07104181080696488	RAP1GAP;VEGFA;GNAI2
Oocyte meiosis_Homo sapiens_hsa04114	2/123	0.460397469147790505683559558747219853103160858154296875	0.8822838399799783903887373526231385767459869384765625	0.407690676771515381204835648532025516033172607421875	0.816689537323473491170489069190807640552520751953125	-0.05569067363287275	0.043197311889186976	FBXO5;YWHAZ
Olfactory transduction_Homo sapiens_hsa04740	1/415	0.9950965048044400074189752558595500886440277099609375	0.9950965048044400074189752558595500886440277099609375	0.99180972560045432828701450489461421966552734375	0.99180972560045432828701450489461421966552734375	1.5290769159132642	-0.007516264391281485	ARRB1
Axon guidance_Homo sapiens_hsa04360	2/127	0.476971558349255808639810538807068951427936553955078125	0.8822838399799783903887373526231385767459869384765625	0.42325044674850464954118933746940456330776214599609375	0.816689537323473491170489069190807640552520751953125	0.04767691092354236	-0.0352951416352172	PLXNB2;GNAI2
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	1/265	0.9660454606236277275144175291643477976322174072265625	0.9726622103539266372962401874247007071971893310546875	0.9520899408028500321421461194404400885105133056640625	0.958611104780951794879229055368341505527496337890625	1.615895765096396	-0.055820125736304065	VEGFA
Hepatitis C_Homo sapiens_hsa05160	2/133	0.50124434613710555641574728724663145840167999267578125	0.8822838399799783903887373526231385767459869384765625	0.44619900316943994500462622454506345093250274658203125	0.816689537323473491170489069190807640552520751953125	0.08643372436484845	-0.059696452630957055	IRF1;STAT3
HTLV-I infection_Homo sapiens_hsa05166	1/258	0.9628499864342863201471800493891350924968719482421875	0.9726622103539266372962401874247007071971893310546875	0.9480230833056346728682228786055929958820343017578125	0.958611104780951794879229055368341505527496337890625	1.6541159782440242	-0.06262095475597425	SLC2A1
Ras signaling pathway_Homo sapiens_hsa04014	1/227	0.94469344476325123327598021205631084740161895751953125	0.96437455819581907601190096102072857320308685302734375	0.925514274701340067252886001369915902614593505859375	0.944795822090951364913280485779978334903717041015625	1.690183570688037	-0.09616265823301115	VEGFA
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	1/214	0.934661767381506525254053485696204006671905517578125	0.9608061524830870947511129998019896447658538818359375	0.91342524281082548842647383935400284826755523681640625	0.93897559925308637929219912621192634105682373046875	1.5910866863420072	-0.10751062040211726	TMSB4X
Apoptosis_Homo sapiens_hsa04210	2/140	0.52863401594522774207263182688620872795581817626953125	0.8822838399799783903887373526231385767459869384765625	0.47233376109247260377088650784571655094623565673828125	0.816689537323473491170489069190807640552520751953125	0.17211450271278664	-0.10971592637014492	GADD45B;DDIT3
Focal adhesion_Homo sapiens_hsa04510	1/202	0.923801370193980897482788350316695868968963623046875	0.9563295874543322749872231725021265447139739990234375	0.900556853135338286620026337914168834686279296875	0.9322666014851741511648697269265539944171905517578125	1.6235102153850818	-0.12867649373548148	VEGFA
cAMP signaling pathway_Homo sapiens_hsa04024	1/199	0.92081630901883537720920003266655839979648590087890625	0.9563295874543322749872231725021265447139739990234375	0.89705523369282380574674107265309430658817291259765625	0.9322666014851741511648697269265539944171905517578125	1.6741328692660171	-0.1381071054485901	GNAI2
Tight junction_Homo sapiens_hsa04530	2/139	0.52478380614521469293975997061352245509624481201171875	0.8822838399799783903887373526231385767459869384765625	0.46864418187516887481791627578786574304103851318359375	0.816689537323473491170489069190807640552520751953125	0.23147057754706551	-0.14924502944081303	PRKCE;GNAI2
Herpes simplex infection_Homo sapiens_hsa05168	1/185	0.90527117513473076559904484383878298103809356689453125	0.95053473389146725391896097789867781102657318115234375	0.87903642564072981269163165052304975688457489013671875	0.92298824692276626446840737116872332990169525146484375	1.5361796506755252	-0.15288173427594534	UBE2R2
Purine metabolism_Homo sapiens_hsa00230	1/176	0.89370886504472191180781237562769092619419097900390625	0.949378064401326327015340211801230907440185546875	0.86584354825092280094622765318490564823150634765625	0.920486299027235332914642640389502048492431640625	1.4673766010261569	-0.16489675538846843	POLR3H
Alcoholism_Homo sapiens_hsa05034	1/179	0.8977112309645194354601471786736510694026947021484375	0.949378064401326327015340211801230907440185546875	0.8703918065631681688643084271461702883243560791015625	0.920486299027235332914642640389502048492431640625	1.5564758179560148	-0.16795437378494213	GNAI2
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	2/137	0.51702038928631044445438647016999311745166778564453125	0.8822838399799783903887373526231385767459869384765625	0.461220498525680422385875090185436420142650604248046875	0.816689537323473491170489069190807640552520751953125	0.25753399559890705	-0.16988821512437435	UBE2H;UBE2R2
Wnt signaling pathway_Homo sapiens_hsa04310	2/142	0.53627100584563003327076557980035431683063507080078125	0.8822838399799783903887373526231385767459869384765625	0.479667739821413807721484090507146902382373809814453125	0.816689537323473491170489069190807640552520751953125	0.3044104530405586	-0.18968291358930917	CTBP1;TBL1X
Jak-STAT signaling pathway_Homo sapiens_hsa04630	1/158	0.86619932165448398908580429633730091154575347900390625	0.9294255495124754684610479671391658484935760498046875	0.83505121422155104138340675490326248109340667724609375	0.8960038575953868100754107217653654515743255615234375	1.5266508289731051	-0.2192884812870834	STAT3
Oxytocin signaling pathway_Homo sapiens_hsa04921	1/158	0.86619932165448398908580429633730091154575347900390625	0.9294255495124754684610479671391658484935760498046875	0.83505121422155104138340675490326248109340667724609375	0.8960038575953868100754107217653654515743255615234375	1.5572549001584426	-0.22368445721299218	GNAI2
Endocytosis_Homo sapiens_hsa04144	3/259	0.636472862233866454317876559798605740070343017578125	0.89846362713492677887217041643452830612659454345703125	0.5637353299980958354353788308799266815185546875	0.82048607435366427420575519136036746203899383544921875	0.5169301419683205	-0.23355601557047423	VPS29;IST1;ARRB1
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	1/151	0.8536787176498854545769745527650229632854461669921875	0.9294255495124754684610479671391658484935760498046875	0.82127563066017028603482685866765677928924560546875	0.8942779089410743953436622177832759916782379150390625	1.4985030427192705	-0.23706372804019607	DDIT3
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	1/148	0.84796172687870541295751536381430923938751220703125	0.9294255495124754684610479671391658484935760498046875	0.815029662575417201964000923908315598964691162109375	0.89409970446706221736121733556501567363739013671875	1.4633955381359502	-0.24134286669976845	GNAI2
Parkinson's disease_Homo sapiens_hsa05012	1/142	0.83585177395383836174147518249810673296451568603515625	0.92383617121213712497507231091731227934360504150390625	0.801884126553690013139430448063649237155914306640625	0.8862929819803941899891697175917215645313262939453125	1.3648933442696334	-0.2447308164107817	GNAI2
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	4/341	0.625714628996597799215351187740452587604522705078125	0.89846362713492677887217041643452830612659454345703125	0.540818946385240195695587317459285259246826171875	0.816689537323473491170489069190807640552520751953125	0.5256305575173815	-0.24644760367225954	CDKN1B;YWHAZ;VEGFA;HSP90B1
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514	1/142	0.83585177395383836174147518249810673296451568603515625	0.92383617121213712497507231091731227934360504150390625	0.801884126553690013139430448063649237155914306640625	0.8862929819803941899891697175917215645313262939453125	1.4037146005521215	-0.25169162238437187	NLGN2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	1/142	0.83585177395383836174147518249810673296451568603515625	0.92383617121213712497507231091731227934360504150390625	0.801884126553690013139430448063649237155914306640625	0.8862929819803941899891697175917215645313262939453125	1.463806354999223	-0.2624663134524603	STAT3
Hippo signaling pathway_Homo sapiens_hsa04390	2/153	0.57674084150656701464043862870312295854091644287109375	0.8822838399799783903887373526231385767459869384765625	0.5188901332139395083942190467496402561664581298828125	0.816689537323473491170489069190807640552520751953125	0.5006104302379414	-0.27551708853634127	DLG4;YWHAZ
Tuberculosis_Homo sapiens_hsa05152	2/178	0.65893316556413650264545367463142611086368560791015625	0.89846362713492677887217041643452830612659454345703125	0.60058818916634282292221769239404238760471343994140625	0.8446783276493519121430608720402233302593231201171875	0.7048832238047813	-0.29403017192188835	CEBPG;CAMP
Osteoclast differentiation_Homo sapiens_hsa04380	1/132	0.813497001196938018807713888236321508884429931640625	0.91987737827653759392632082381169311702251434326171875	0.77789564823164780715814003997365944087505340576171875	0.87962046376963254346037501818500459194183349609375	1.474638093272161	-0.30438452970801494	FOSL2
Huntington's disease_Homo sapiens_hsa05016	2/193	0.7018336235185309579520662737195380032062530517578125	0.89846362713492677887217041643452830612659454345703125	0.644472916746213098093676308053545653820037841796875	0.8446783276493519121430608720402233302593231201171875	0.8761942059817157	-0.31022436252245716	DLG4;NRF1
Dopaminergic synapse_Homo sapiens_hsa04728	1/129	0.8062171985445776289935793101903982460498809814453125	0.918712621597309375687245847075246274471282958984375	0.77015534276075181541187930633896030485630035400390625	0.87761887895992651831278408280923031270503997802734375	1.5235874327101742	-0.32818392595060786	GNAI2
Proteoglycans in cancer_Homo sapiens_hsa05205	2/203	0.72788183067416134530702720439876429736614227294921875	0.89846362713492677887217041643452830612659454345703125	0.671597568012354262378948988043703138828277587890625	0.8446783276493519121430608720402233302593231201171875	1.0408747258133653	-0.3305990544495988	STAT3;VEGFA
Lysosome_Homo sapiens_hsa04142	1/123	0.7907976912960474891178819234482944011688232421875	0.90818172359780457991718094490352086722850799560546875	0.75386704632803669401397428373456932604312896728515625	0.8657691860173546416490353294648230075836181640625	1.415860750851079	-0.3323210761149195	AP1B1
Platelet activation_Homo sapiens_hsa04611	1/122	0.7881115106230078826143881087773479521274566650390625	0.90818172359780457991718094490352086722850799560546875	0.75104368298558543681764376742648892104625701904296875	0.8657691860173546416490353294648230075836181640625	1.4086172878062384	-0.33541387488665725	GNAI2
Leukocyte transendothelial migration_Homo sapiens_hsa04670	1/118	0.77701886233989825303325460481573827564716339111328125	0.90818172359780457991718094490352086722850799560546875	0.7394269174490710749836352988495491445064544677734375	0.8657691860173546416490353294648230075836181640625	1.4273115630113868	-0.3600973663428383	GNAI2
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	1/118	0.77701886233989825303325460481573827564716339111328125	0.90818172359780457991718094490352086722850799560546875	0.7394269174490710749836352988495491445064544677734375	0.8657691860173546416490353294648230075836181640625	1.465874090499514	-0.3698263315862083	SLC2A1
Vascular smooth muscle contraction_Homo sapiens_hsa04270	1/120	0.7826356550146884583085693520843051373958587646484375	0.90818172359780457991718094490352086722850799560546875	0.74530068328265686172784398877411149442195892333984375	0.8657691860173546416490353294648230075836181640625	1.521055982573405	-0.37279258470710624	PRKCE
TNF signaling pathway_Homo sapiens_hsa04668	1/110	0.753068671022078195420590418507345020771026611328125	0.907439691075135446141075590276159346103668212890625	0.7145644372590769233255514336633495986461639404296875	0.8616725425254305736899596013245172798633575439453125	1.3162644398862666	-0.3732910929832932	TNFAIP3
Cholinergic synapse_Homo sapiens_hsa04725	1/111	0.7561972127487408545931657499750144779682159423828125	0.907439691075135446141075590276159346103668212890625	0.71779593760339166497175256154150702059268951416015625	0.8616725425254305736899596013245172798633575439453125	1.3938575925790004	-0.38951778812435023	GNAI2
Glycosaminoglycan biosynthesis - keratan sulfate_Homo sapiens_hsa00533	1/15	0.173262315972581515399753016026807017624378204345703125	0.8822838399799783903887373526231385767459869384765625	0.16430905832498432506127983288024552166461944580078125	0.79875395261136661329004482468008063733577728271484375	0.2311762115224112	-0.40524000607126137	B3GNT2
Serotonergic synapse_Homo sapiens_hsa04726	1/112	0.759286272124092942448214671458117663860321044921875	0.907439691075135446141075590276159346103668212890625	0.72099131109270719885984135544276796281337738037109375	0.8616725425254305736899596013245172798633575439453125	1.478475041042254	-0.40713713809664087	GNAI2
