Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Endometrial cancer_Homo sapiens_hsa05213	7/52	0.005539558743514645666738971385711920447647571563720703125	0.62155234007841719812148539858753792941570281982421875	0.006078845956051375475082121369041487923823297023773193359375	0.6099319398092568622615772255812771618366241455078125	-1.9624251671558022	10.196448025496208	APC2;TCF7L1;PDPK1;MYC;CTNNB1;CTNNA3;PIK3R1
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	15/169	0.00478228330325085153329478515615846845321357250213623046875	0.62155234007841719812148539858753792941570281982421875	0.0035980244568735129939707206858656718395650386810302734375	0.6099319398092568622615772255812771618366241455078125	-1.814298057299226	9.69349909441652	XBP1;VCP;SSR2;EDEM2;MOGS;TRAF2;UBE2G1;UBE2G2;ERN1;DNAJA2;MAN1C1;SEC61B;SEC24D;SEC24C;MAP3K5
Adherens junction_Homo sapiens_hsa04520	8/74	0.011685920440826814969970115498654195107519626617431640625	0.62155234007841719812148539858753792941570281982421875	0.01114849648214350473496292437403099029324948787689208984375	0.6099319398092568622615772255812771618366241455078125	-1.7699683649972162	7.875245105169888	TCF7L1;YES1;ACTN1;CTNND1;CTNNB1;PTPN6;CTNNA3;IGF1R
Insulin resistance_Homo sapiens_hsa04931	10/109	0.01554839225258542421970187064061974524520337581634521484375	0.62155234007841719812148539858753792941570281982421875	0.0132630112040759591540695083722312119789421558380126953125	0.6099319398092568622615772255812771618366241455078125	-1.7554690865904357	7.309418738197028	NFKBIA;CPT1A;TBC1D4;PDPK1;NR1H2;STAT3;MLX;PIK3R1;SLC2A4;PRKAB1
Base excision repair_Homo sapiens_hsa03410	5/33	0.01115632472435353246542621974413123098202049732208251953125	0.62155234007841719812148539858753792941570281982421875	0.0128201510243562723234678202288705506362020969390869140625	0.6099319398092568622615772255812771618366241455078125	-1.5624792949225572	7.024514262117753	MBD4;PARP3;FEN1;POLD1;POLE3
N-Glycan biosynthesis_Homo sapiens_hsa00510	6/49	0.01560382443711507728656417981483173207379877567291259765625	0.62155234007841719812148539858753792941570281982421875	0.0160621809021194821009981268389310571365058422088623046875	0.6099319398092568622615772255812771618366241455078125	-1.5557478180289461	6.472283117848206	MGAT5;MGAT4B;ALG14;ALG2;MAN1C1;MOGS
FoxO signaling pathway_Homo sapiens_hsa04068	11/133	0.0232539394566424716115360382673316053114831447601318359375	0.6960075163310543988615108901285566389560699462890625	0.0186509377669225907825367727355114766396582126617431640625	0.6099319398092568622615772255812771618366241455078125	-1.6737707839986573	6.29552178341409	PLK3;GABARAPL1;PDPK1;PLK2;STAT3;ATM;PIK3R1;SLC2A4;RAG2;PRKAB1;IGF1R
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	10/118	0.02557456494065968310991365797235630452632904052734375	0.6960075163310543988615108901285566389560699462890625	0.021144884024290121204980863467426388524472713470458984375	0.6099319398092568622615772255812771618366241455078125	-1.6737809173733411	6.136343590552809	MED1;RCAN1;THRB;TBC1D4;PDPK1;MYC;CTNNB1;PIK3R1;ATP1B1;WNT4
Apoptosis_Homo sapiens_hsa04210	11/140	0.032310965419462940595440869628873770125210285186767578125	0.7722320735251642087604295738856308162212371826171875	0.0255201648455756040234643222675003926269710063934326171875	0.6099319398092568622615772255812771618366241455078125	-1.7299296992890107	5.937721815524728	ERN1;NFKBIA;TUBA1C;PARP3;PDPK1;BIRC5;TRAF2;ATM;PIK3R1;FADD;MAP3K5
Adipocytokine signaling pathway_Homo sapiens_hsa04920	7/70	0.02620948806267568709227333556555095128715038299560546875	0.6960075163310543988615108901285566389560699462890625	0.024361379974257073299792608622738043777644634246826171875	0.6099319398092568622615772255812771618366241455078125	-1.5557642261587485	5.665523581437209	NFKBIA;CPT1A;STAT3;ACSL6;TRAF2;SLC2A4;PRKAB1
