Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Proximal tubule bicarbonate reclamation_Homo sapiens_hsa04964	1/23	0.036179070212317858412642834764483268372714519500732421875	0.258551499744240853573273852816782891750335693359375	0.02370762244474124147419757946408935822546482086181640625	0.168518672184187867646443237390485592186450958251953125	-1.6686865282948629	5.538828639002741	SLC25A10
MAPK signaling pathway_Homo sapiens_hsa04010	2/255	0.06253760423763844722433447032017284072935581207275390625	0.258551499744240853573273852816782891750335693359375	0.02484307816207086128112990763838752172887325286865234375	0.168518672184187867646443237390485592186450958251953125	-1.9723283161769913	5.467268916395644	TGFB2;TAOK2
Endocytosis_Homo sapiens_hsa04144	2/259	0.0642672742059115231771926346482359804213047027587890625	0.258551499744240853573273852816782891750335693359375	0.0255747151114872166288716215376553009264171123504638671875	0.168518672184187867646443237390485592186450958251953125	-1.8878856375855282	5.181688643157837	TGFB2;PSD4
Bladder cancer_Homo sapiens_hsa05219	1/41	0.06360541866418746581590681898887851275503635406494140625	0.258551499744240853573273852816782891750335693359375	0.041170655897180115367905983703167294152081012725830078125	0.168518672184187867646443237390485592186450958251953125	-1.8166620555036996	5.00500680986116	TYMP
Malaria_Homo sapiens_hsa05144	1/49	0.07555079279234482025895403012327733449637889862060546875	0.258551499744240853573273852816782891750335693359375	0.048845636700528681506394690359229571186006069183349609375	0.168518672184187867646443237390485592186450958251953125	-1.7301688111094788	4.468939697974662	TGFB2
Drug metabolism - other enzymes_Homo sapiens_hsa00983	1/46	0.07108867950716828143509218307372066192328929901123046875	0.258551499744240853573273852816782891750335693359375	0.04597371312940222443099713700576103292405605316162109375	0.168518672184187867646443237390485592186450958251953125	-1.6850954401267426	4.455101115657061	TYMP
Colorectal cancer_Homo sapiens_hsa05210	1/62	0.09464783536989151979668122294242493808269500732421875	0.258551499744240853573273852816782891750335693359375	0.06120517594081602286149035307971644215285778045654296875	0.168518672184187867646443237390485592186450958251953125	-1.7687012728261524	4.169876451275751	TGFB2
Pancreatic cancer_Homo sapiens_hsa05212	1/66	0.1004465646223472174991542260613641701638698577880859375	0.258551499744240853573273852816782891750335693359375	0.06498030483355692055180696797833661548793315887451171875	0.168518672184187867646443237390485592186450958251953125	-1.7152288506709026	3.9418178291863297	TGFB2
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321	1/65	0.09900026457192290241238197268103249371051788330078125	0.258551499744240853573273852816782891750335693359375	0.06403774465684537731124947868011076934635639190673828125	0.168518672184187867646443237390485592186450958251953125	-1.7028138860574906	3.93798317096202	TGFB2
Renal cell carcinoma_Homo sapiens_hsa05211	1/66	0.1004465646223472174991542260613641701638698577880859375	0.258551499744240853573273852816782891750335693359375	0.06498030483355692055180696797833661548793315887451171875	0.168518672184187867646443237390485592186450958251953125	-1.5971584106921441	3.6704766811954355	TGFB2
