Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Notch signaling pathway_Homo sapiens_hsa04330	10/48	0.0028210666658947543793123369226805152720771729946136474609375	0.77015119978926793731233146900194697082042694091796875	0.002034974501571278591993685580519013456068933010101318359375	0.39694241096356031039960043926839716732501983642578125	-1.7708801411372317	10.396200172918508	NCOR2;RBPJL;JAG1;NOTCH1;MFNG;DVL1;DTX2;HES1;RBPJ;DLL3
Phospholipase D signaling pathway_Homo sapiens_hsa04072	19/144	0.01285121209331417484189596933674692991189658641815185546875	0.86788568558240386519031517309485934674739837646484375	0.003741042365433616505299152521502037416212260723114013671875	0.39694241096356031039960043926839716732501983642578125	-1.871237477909957	8.147961433854656	DGKG;SHC4;ARF1;DGKD;AVPR2;LPAR2;TSC1;PRKCA;PIK3R1;DNM2;DNM3;GRM6;PDGFC;GNAS;PLCG2;MAPK1;RALGDS;RAPGEF3;RAPGEF4
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933	14/101	0.0203350498172305375887969347559192101471126079559326171875	0.86788568558240386519031517309485934674739837646484375	0.0082645114852038827069069526487510302104055881500244140625	0.39694241096356031039960043926839716732501983642578125	-1.9763841801157518	7.698825295434728	STAT5A;EGR1;EDN1;TGFB1;SMAD3;TGFB3;PRKCB;PRKCD;PRKCA;PIK3R1;MAPK12;CASP3;PLCG2;MAPK1
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	16/118	0.016742207346204039664083751404177746735513210296630859375	0.86788568558240386519031517309485934674739837646484375	0.0059512458420368750944273728009648039005696773529052734375	0.39694241096356031039960043926839716732501983642578125	-1.8079542083080786	7.394211550660982	NOTCH1;HDAC3;THRB;PRKCB;SRC;ATP2A2;PRKCA;GATA4;PIK3R1;MED4;ACTB;MED17;NCOR1;PLCG2;MAPK1;RXRG
Amphetamine addiction_Homo sapiens_hsa05031	10/67	0.029104154044227288633539529882909846492111682891845703125	0.86788568558240386519031517309485934674739837646484375	0.015613525004234178605866389943912508897483348846435546875	0.39694241096356031039960043926839716732501983642578125	-1.7967090113567075	6.354734042431588	GRIN3B;PPP3CC;PRKCB;CAMK2A;GNAS;FOSB;CALML3;PRKCA;STX1A;GRIN2D
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	13/98	0.034077692868278559867878385603034985251724720001220703125	0.86788568558240386519031517309485934674739837646484375	0.014567803024308496884220431866197031922638416290283203125	0.39694241096356031039960043926839716732501983642578125	-1.7806322402726287	6.016956263641712	PRKCB;SRC;PRKCD;CAMK2A;CALML3;PRKCA;ITPR3;PIK3R1;MAPK12;GNAS;PLCG2;F2RL1;ASIC1
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960	7/39	0.0258476904031186872912062568730107159353792667388916015625	0.86788568558240386519031517309485934674739837646484375	0.018228426567316879935987117278273217380046844482421875	0.39694241096356031039960043926839716732501983642578125	-1.6177112831994434	5.913598643420388	SLC9A3R2;PRKCB;NEDD4L;MAPK1;PRKCA;PIK3R1;SGK1
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	13/98	0.034077692868278559867878385603034985251724720001220703125	0.86788568558240386519031517309485934674739837646484375	0.014567803024308496884220431866197031922638416290283203125	0.39694241096356031039960043926839716732501983642578125	-1.6110619961893045	5.443959370073057	DGKG;PI4K2B;MTMR1;DGKD;PRKCB;CALML3;PRKCA;ITPR3;PIK3R1;SYNJ2;IMPAD1;PLCG2;PIK3C3
Pyruvate metabolism_Homo sapiens_hsa00620	7/40	0.0293449902336686795079057077373363426886498928070068359375	0.86788568558240386519031517309485934674739837646484375	0.020356021075054374358526132482438697479665279388427734375	0.39694241096356031039960043926839716732501983642578125	-1.540322895557848	5.4352348742476	GRHPR;LDHA;PKM;HAGHL;ACYP2;ME3;ALDH7A1
Terpenoid backbone biosynthesis_Homo sapiens_hsa00900	5/22	0.0222493039859046025374933464036075747571885585784912109375	0.86788568558240386519031517309485934674739837646484375	0.02008346930191227952544608115204027853906154632568359375	0.39694241096356031039960043926839716732501983642578125	-1.3982071337636128	5.320799720295733	FDPS;ICMT;PMVK;MVD;HMGCR
